skill,link,image_link,partner,title,course_skill,rating,num_review,difficulty,course_type,duration
information security,https://www.coursera.org/learn/it-security,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/af/d5ed10f26911e7a930e510b0715979/Course-Logo-6---NEW.jpg?auto=format%2Ccompress%2C%20enhance&dpr=1&w=320&h=180&fit=crop&q=50&crop=faces,Google,IT Security: Defense against the digital dark arts,"['Network Security', 'Cybersecurity', 'Encryption', 'Security Controls', 'Security Awareness', 'Data Security', 'Threat Modeling', 'Information Assurance', 'Wireless Networks', 'Hardening', 'Firewall', 'Malware Protection', 'Authentications', 'Authorization (Computing)', 'Technical Support', 'Generative AI']",4.8,25000,Beginner,Course,1 - 3 Months
information security,https://www.coursera.org/learn/-security-principles,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/c0/e2ded9549643f7a480ce828a8340cf/CC-D1-Badge_800x800.jpg?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&fit=crop&q=50,ISC2,Security Principles,"['Security Controls', 'Information Assurance', 'Cybersecurity', 'Risk Management Framework', 'Information Systems Security', 'Security Awareness', 'Cyber Governance', 'Security Management', 'Cyber Security Policies', 'Cyber Risk', 'Data Ethics', 'Data Integrity']",4.7,527,Beginner,Course,1 - 3 Months
information security,https://www.coursera.org/learn/information-systems-audit,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/51/865722ac5f48ffb2fb29cb303da899/course-logo---all-time-2021.jpg?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&fit=crop&q=50,The Hong Kong University of Science and Technology,"Information Systems Auditing, Controls and Assurance","['Systems Development Life Cycle', 'Information Assurance', 'Internal Controls', 'Information Systems Security', 'Compliance Auditing', 'Risk Management', 'Security Controls', 'Change Management', 'System Implementation', 'System Monitoring', 'Risk Analysis', 'Risk Mitigation', 'Software Development']",4.7,3900,Beginner,Course,1 - 4 Weeks
information security,https://www.coursera.org/learn/cybersecurity-solutions-and-microsoft-defender,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/0b/f2418e1f2b4a788fce4e45ea8bcf84/Cybersecurity-Solutions-and-Microsoft-Defender-logo_800x800-01.png?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&fit=crop&q=50,Microsoft,Cybersecurity Solutions and Microsoft Defender,"['Security Information and Event Management (SIEM)', 'Cloud Security', 'Cyber Security Policies', 'Microsoft Azure', 'Identity and Access Management', 'Cybersecurity', 'Malware Protection', 'Network Security', 'Distributed Denial-Of-Service (DDoS) Attacks', 'Threat Management', 'Firewall', 'Threat Detection', 'Incident Response', 'Encryption']",4.6,143,Beginner,Course,1 - 4 Weeks
information security,https://www.coursera.org/learn/data-privacy-security-governance-risk-and-compliance,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/0d/1f72a872ec4bef995ec1c867f5e8b9/1200x1200_247177471.jpg?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&fit=crop&q=50,SkillUp EdTech,"Data Privacy, Security, Governance, Risk and Compliance","['Data Security', 'Data Governance', 'Data Architecture', 'Data Quality', 'Personally Identifiable Information', 'Incident Response', 'Security Controls', 'Threat Management', 'Threat Detection', 'Risk Management', 'Cybersecurity', 'Compliance Management', 'Encryption', 'Data Integrity', 'Regulatory Compliance', 'Role-Based Access Control (RBAC)']",4.7,21,Intermediate,Course,1 - 4 Weeks
information security,https://www.coursera.org/specializations/packt-cissp-certified-information-systems-security-professional-2024,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/ce/d420b9970242d5a64285e3f06280cb/V22337.jpg?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&fit=crop&q=50,Packt,CISSP Certified Information Systems Security Professional,"['Identity and Access Management', 'IT Security Architecture', 'Authentications', 'Continuous Monitoring', 'Business Continuity', 'Security Controls', 'Secure Coding', 'Security Testing', 'Cryptography', 'Disaster Recovery', 'Vulnerability Assessments', 'Cyber Security Assessment', 'Application Security', 'Incident Management', 'Security Engineering', 'Data Security', 'Network Security', 'User Provisioning', 'OSI Models', 'Data Loss Prevention']",4.9,50,Beginner,Specialization,3 - 6 Months
information security,https://www.coursera.org/learn/security-concepts-and-practices,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/fc/f51d2945c442fca5623b26dc3827b4/7262132719-empowering-security-cybersecurity-measures-at-you-2023-11-27-05-37-23-utc.jpg?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&q=50&fit=crop,ISC2,Security Concepts and Practices,"['Security Controls', 'Security Awareness', 'Change Control', 'Cybersecurity', 'Security Management', 'Data Security', 'Safety and Security', 'Cyber Security Policies', 'Role-Based Access Control (RBAC)', 'Data Ethics', 'Data Integrity', 'Identity and Access Management']",4.8,69,Beginner,Course,1 - 4 Weeks
information security,https://www.coursera.org/learn/foundations-of-cybersecurity,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/f8/d2bb2e728e4622af311ff38339693d/1_CYBER_FOUNDATION.png?auto=format%2Ccompress%2C%20enhance&dpr=1&w=320&h=180&q=50&fit=crop&crop=faces,Google,Foundations of Cybersecurity,"['Cybersecurity', 'Security Controls', 'Cyber Attacks', 'Cyber Threat Intelligence', 'Information Systems Security', 'Security Management', 'Computer Security', 'Security Strategy', 'Network Security', 'Incident Response', 'Cyber Risk', 'Security Information and Event Management (SIEM)', 'Information Assurance', 'Data Ethics', 'Ethical Standards And Conduct']",4.9,32000,Beginner,Course,1 - 4 Weeks
information security,https://www.coursera.org/learn/cybersecurity-management-and-compliance,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/57/6746e4000d4cc499ed93d6f9fde8c2/Cybersecurity-Management-and-Compliance_800x800-01.png?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&q=50&fit=crop,Microsoft,Cybersecurity Management and Compliance,"['Cloud Security', 'Data Management', 'Cloud Computing Architecture', 'Records Management', 'Security Management', 'Cloud Computing', 'Microsoft Azure', 'Threat Management', 'Disaster Recovery', 'Security Strategy', 'Cybersecurity', 'Data Governance', 'Information Assurance', 'Personally Identifiable Information', 'Security Controls', 'Information Privacy', 'General Data Protection Regulation (GDPR)', 'Identity and Access Management']",4.7,113,Beginner,Course,1 - 4 Weeks
information security,https://www.coursera.org/learn/data-security,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/7e/b24d776114486b993a37e1b1c4abfa/800x800-1-.png?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&q=50&fit=crop,Cisco Learning and Certifications,Data Security,"['Key Management', 'Data Security', 'Cryptography', 'Encryption', 'Information Systems Security', 'Cybersecurity', 'Network Security', 'Security Information and Event Management (SIEM)', 'Network Monitoring', 'Information Assurance', 'Network Analysis', 'Intrusion Detection and Prevention', 'Event Monitoring', 'Data Capture', 'Data Integrity', 'Network Troubleshooting', 'Incident Response']",4.8,47,Mixed,Course,1 - 4 Weeks
