skill,link,image_link,partner,title,course_skill,rating,num_review,difficulty,course_type,duration
shell scripting,https://www.coursera.org/projects/introduction-to-bash-shell-scripting,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/4e/05a0573df64b13bfbd05dc9bab31fb/project-1-.png?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&fit=crop&q=50,Coursera Project Network,Introduction to Bash Shell Scripting,"['Bash (Scripting Language)', 'Shell Script', 'Unix Shell', 'Scripting', 'Linux Commands', 'Unix Commands', 'Scripting Languages', 'Command-Line Interface', 'Linux', 'File Management', 'Unix', 'File Systems']",4.5,663,Beginner,Guided Project,Less Than 2 Hours
shell scripting,https://www.coursera.org/learn/hands-on-introduction-to-linux-commands-and-shell-scripting,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/d6/554730bda341178c8c2801a0603acd/Hands-on-Introduction-to-Linux_Final.jpg?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&fit=crop&q=50,IBM,Hands-on Introduction to Linux Commands and Shell Scripting,"['Linux Commands', 'Bash (Scripting Language)', 'Shell Script', 'File Management', 'Unix Shell', 'Linux', 'Unix Commands', 'Linux Servers', 'Command-Line Interface', 'Linux Administration', 'Scripting Languages', 'Unix', 'Operating Systems', 'Network Protocols', 'OS Process Management', 'Automation']",4.6,1500,Beginner,Course,1 - 4 Weeks
shell scripting,https://www.coursera.org/learn/python-for-applied-data-science-ai,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/fc/c1b8dfbac740999b6256aca490de43/Python-Image.jpg?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&fit=crop&q=50,IBM,"Python for Data Science, AI & Development","['Jupyter', 'Automation', 'Web Scraping', 'Python Programming', 'Data Manipulation', 'Data Import/Export', 'Scripting', 'Data Structures', 'Data Processing', 'Data Collection', 'Application Programming Interface (API)', 'Pandas (Python Package)', 'Programming Principles', 'NumPy', 'Object Oriented Programming (OOP)', 'Computer Programming']",4.6,41000,Beginner,Course,1 - 3 Months
shell scripting,https://www.coursera.org/learn/linux-and-sql,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/0a/aedb91d6db4112bd4ef900db8f4c37/4_CYBER_TOOLSOFTHETRADE.png?auto=format%2Ccompress%2C%20enhance&dpr=1&w=320&h=180&fit=crop&q=50&crop=faces,Google,Tools of the Trade: Linux and SQL,"['Bash (Scripting Language)', 'Operating Systems', 'File Systems', 'Linux Commands', 'Linux', 'SQL', 'Unix Shell', 'Database Management', 'Command-Line Interface', 'Relational Databases', 'Authorization (Computing)', 'Authentications', 'User Accounts']",4.8,5200,Beginner,Course,1 - 4 Weeks
shell scripting,https://www.coursera.org/projects/intro-shell-bash-scripting-devops,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/8b/f6226c67634a8e9c49f1c9dfb62dbd/LINUX-SHELL-SCRIPTING-SMALL.png?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&fit=crop&q=50,Coursera Project Network,Linux: Introduction to Shell Scripting for DevOps,"['Bash (Scripting Language)', 'Shell Script', 'Linux', 'Scripting', 'Unix Commands', 'DevOps', 'File Management', 'Unix', 'Command-Line Interface']",4.6,74,Intermediate,Guided Project,Less Than 2 Hours
shell scripting,https://www.coursera.org/learn/etl-and-data-pipelines-shell-airflow-kafka,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/30/43abe2cacc45a69da1495a88f485be/ETL---Pipelines.jpg?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&fit=crop&q=50,IBM,"ETL and Data Pipelines with Shell, Airflow and Kafka","['Extract', 'Transform', 'Load', 'Apache Airflow', 'Data Pipelines', 'Apache Kafka', 'Data Warehousing', 'Data Transformation', 'Data Migration', 'Web Scraping', 'Data Integration', 'Shell Script', 'Real Time Data', 'Data Mart', 'Big Data', 'Performance Tuning', 'Databases', 'Scalability']",4.5,403,Intermediate,Course,1 - 3 Months
shell scripting,https://www.coursera.org/learn/data-analysis-with-python,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/1e/bccef0386611e889ebf7c982548ca6/Screen-Shot-2018-04-04-at-8.13.17-PM.png?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&q=50&fit=crop,IBM,Data Analysis with Python,"['Data Wrangling', 'Data Cleansing', 'Data Analysis', 'Data Manipulation', 'Data Transformation', 'Data Import/Export', 'Exploratory Data Analysis', 'Predictive Analytics', 'Statistical Analysis', 'Regression Analysis', 'Predictive Modeling', 'Pandas (Python Package)', 'Scikit Learn (Machine Learning Library)', 'Statistical Modeling', 'Machine Learning Methods', 'Feature Engineering', 'Python Programming', 'Data Pipelines', 'NumPy']",4.7,19000,Intermediate,Course,1 - 3 Months
shell scripting,https://www.coursera.org/learn/introduction-to-data-analytics,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/77/330fd160df42a79e6286fdc7b6b60f/Course-1--Introduction-to-Data-Analysis_1200x600.jpg?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&q=50&fit=crop,IBM,Introduction to Data Analytics,"['Big Data', 'Data Analysis', 'Statistical Analysis', 'Apache Hadoop', 'Apache Hive', 'Data Collection', 'Data Mart', 'Data Warehousing', 'Data Storytelling', 'Apache Spark', 'Data Cleansing', 'Data Lakes', 'Data Visualization Software', 'SQL']",4.8,18000,Beginner,Course,1 - 3 Months
shell scripting,https://www.coursera.org/learn/sql-practical-introduction-for-querying-databases,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/34/3819b0a78a424a82ede83dc0cfad4f/Querying-Databases-with-SQL.jpg?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&q=50&fit=crop,IBM,SQL: A Practical Introduction for Querying Databases,"['SQL', 'Stored Procedure', 'Relational Databases', 'MySQL', 'Microsoft SQL Servers', 'Query Languages', 'Database Management', 'Databases', 'Cloud Management', 'IBM DB2', 'Data Manipulation', 'Data Analysis', 'Transaction Processing']",4.7,547,Beginner,Course,1 - 3 Months
shell scripting,https://www.coursera.org/projects/the-bash-shell-and-basic-scripting-in-linux,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/db/58e2976aeb4b5cb8dae4d198c8e275/lbd-fy-stkhdm-Microsoft-Word-21-.png?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&q=50&fit=crop,Coursera Project Network,The Bash Shell and Basic Scripting in Linux,"['Bash (Scripting Language)', 'Systems Administration', 'Shell Script', 'Linux Commands', 'Linux Administration', 'Unix Shell', 'Linux', 'Scripting', 'Scripting Languages', 'IT Automation', 'File Systems']",4.2,28,Beginner,Guided Project,Less Than 2 Hours
shell scripting,https://www.coursera.org/projects/bash-shell-scripting,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/bb/4e53c4003e4bce8d2ba9c204619d13/terminal-icon.png?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&q=50&fit=crop,Coursera Project Network,Shell Scripting with Bash: Basics,"['Bash (Scripting Language)', 'Shell Script', 'Scripting', 'Command-Line Interface', 'Unix Shell', 'Unix Commands', 'Linux Commands', 'Unix', 'Linux', 'File Management']",4.6,51,Intermediate,Guided Project,Less Than 2 Hours
shell scripting,https://www.coursera.org/professional-certificates/aws-cloud-solutions-architect,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/76/502635507044d2a85518d04484b93b/AdobeStock_238076345--Coursera-SAA-Prof-Cert-image.jpeg?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&q=50&fit=crop,Amazon Web Services,AWS Cloud Solutions Architect,"['AWS Identity and Access Management (IAM)', 'Amazon CloudWatch', 'Data Lakes', 'Amazon DynamoDB', 'Amazon Web Services', 'Serverless Computing', 'Cloud Computing', 'Amazon S3', 'Scalability', 'Cloud Infrastructure', 'Amazon Elastic Compute Cloud', 'Event-Driven Programming', 'Cloud Security', 'Solution Architecture', 'Data Visualization', 'Cloud Computing Architecture', 'Cloud Solutions', 'Data Architecture', 'Amazon Redshift', 'Software Architecture']",4.8,6500,Intermediate,Professional Certificate,3 - 6 Months
