skill,link,image_link,partner,title,course_skill,rating,num_review,difficulty,course_type,duration
embedded system,https://www.coursera.org/learn/introduction-embedded-systems,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/b9/4b62a005be11e7a624372bb8972ebf/IMG_20170302_144335-01.jpg?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&fit=crop&q=50,University of Colorado Boulder,Introduction to Embedded Systems Software and Development Environments,"['Software Configuration Management', 'Embedded Software', 'Embedded Systems', 'Git (Version Control System)', 'Version Control', 'System Programming', 'Build Tools', 'Software Development Tools', 'C (Programming Language)', 'Development Environment', 'Code Review', 'Computer Architecture', 'Debugging', 'Command-Line Interface']",4.5,627,Intermediate,Course,1 - 4 Weeks
embedded system,https://www.coursera.org/learn/iot,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/39/739310451a11e5bd9a998e94db442d/Course-1-logo.jpg?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&fit=crop&q=50,"University of California, Irvine",Introduction to the Internet of Things and Embedded Systems,"['Embedded Systems', 'Internet Of Things', 'General Networking', 'Operating Systems', 'Wireless Networks', 'Network Protocols', 'Computer Hardware', 'Emerging Technologies', 'System Design and Implementation', 'Software Design']",4.7,13000,Mixed,Course,1 - 4 Weeks
embedded system,https://www.coursera.org/specializations/real-time-embedded-systems,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/7a/0861fe106e495babb0794f85ceacfd/Small-robot-timing.png?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&fit=crop&q=50,University of Colorado Boulder,Real-Time Embedded Systems,"['Embedded Systems', 'Electronic Systems', 'Reliability', 'Performance Tuning', 'Embedded Software', 'Computer Engineering', 'Hardware Architecture', 'Software Architecture', 'Verification And Validation', 'Software Design', 'Debugging', 'System Design and Implementation', 'Hardware Design', 'System Programming', 'Real Time Data', 'Microarchitecture', 'System Software', 'Software Systems', 'Systems Architecture', 'Operating Systems']",3.9,99,Intermediate,Specialization,3 - 6 Months
embedded system,https://www.coursera.org/learn/intro-to-devops,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/7f/a7bcf0d647445c96168281021c2b4d/Introduction-to-DevOps.jpg?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&fit=crop&q=50,IBM,Introduction to DevOps,"['DevOps', 'Agile Methodology', 'Cloud-Native Computing', 'CI/CD', 'Test Driven Development (TDD)', 'Scrum (Software Development)', 'Behavior-Driven Development', 'Performance Metric', 'Accountability', 'Team Oriented', 'Culture Transformation', 'Microservices', 'Cross-Functional Collaboration']",4.8,3600,Beginner,Course,1 - 3 Months
embedded system,https://www.coursera.org/professional-certificates/sre-devops-engineer-google-cloud,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/3d/9de77ef69f4fcc97b4aaa8a9958183/devops.png?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&fit=crop&q=50,Google Cloud,Preparing for Google Cloud Certification: Cloud DevOps Engineer,"['Site Reliability Engineering', 'Cloud Infrastructure', 'Kubernetes', 'Application Performance Management', 'Google Cloud Platform', 'System Monitoring', 'Infrastructure As A Service (IaaS)', 'Application Deployment', 'Identity and Access Management', 'Cloud Applications', 'CI/CD', 'Containerization', 'Cloud Computing', 'Cloud Security', 'Cloud Management', 'Service Level Agreement', 'Continuous Delivery', 'Safety Culture', 'Network Monitoring', 'Continuous Integration']",4.7,54000,Beginner,Professional Certificate,3 - 6 Months
embedded system,https://www.coursera.org/learn/internet-of-things-project,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/09/523050478211e5904035c294e7f8f5/capstone-logo-2.jpg?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&fit=crop&q=50,"University of California, Irvine",Programming for the Internet of Things Project,"['Test Planning', 'Embedded Software', 'Embedded Systems', 'Functional Requirement', 'Requirements Analysis', 'System Design and Implementation', 'Development Testing', 'Software Design', 'Prototyping', 'Systems Engineering', 'Conceptual Design']",4.7,926,Mixed,Course,1 - 3 Months
embedded system,https://www.coursera.org/specializations/fpga-design,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/a4/a980f083c811e8833a89f3a96a2e99/FPGA-LOGO.png?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&q=50&fit=crop,University of Colorado Boulder,FPGA Design for Embedded Systems,"['Field-Programmable Gate Array (FPGA)', 'Hardware Design', 'Electronic Hardware', 'Electronic Systems', 'Embedded Systems', 'Systems Design', 'Schematic Diagrams', 'Technical Design', 'Electrical and Computer Engineering', 'System Design and Implementation', 'Eclipse (Software)', 'Software Development', 'Integrated Development Environments', 'Verification And Validation', 'Simulation and Simulation Software', 'Computer Architecture', 'Computer Engineering', 'Software Development Tools', 'Hardware Architecture', 'Development Environment']",4.5,1700,Intermediate,Specialization,3 - 6 Months
embedded system,https://www.coursera.org/learn/real-time-embedded-systems-concepts-practices,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/fa/62090c1bbe4b06bcda2bb941ff5cb8/RT-Tracing.png?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&q=50&fit=crop,University of Colorado Boulder,Real-Time Embedded Systems Concepts and Practices,"['Embedded Systems', 'Electronic Systems', 'Computer Engineering', 'Hardware Architecture', 'System Programming', 'Software Architecture', 'Microarchitecture', 'Real Time Data', 'Operating Systems', 'Linux', 'System Design and Implementation', 'Service Management', 'Service Design', 'Algorithms']",3.8,84,Intermediate,Course,1 - 4 Weeks
embedded system,https://www.coursera.org/learn/embedded-software-hardware,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/32/5c32008e9e11e8a74b398575b2ee06/ESE-LOGO.jpg?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&q=50&fit=crop,University of Colorado Boulder,Embedded Software and Hardware Architecture,"['Embedded Software', 'Embedded Systems', 'Debugging', 'Data Structures', 'System Programming', 'Microarchitecture', 'C (Programming Language)', 'Hardware Architecture', 'Computer Architecture', 'Integrated Development Environments', 'Software Design', 'Maintainability', 'System Configuration', 'Peripheral Devices']",4.5,508,Intermediate,Course,1 - 4 Weeks
embedded system,https://www.coursera.org/specializations/embedded-interface-design,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/d9/32084c841e4a6d95189b9e90ac5a1c/Logo4.png?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&q=50&fit=crop,University of Colorado Boulder,Embedded Interface Design,"['User Research', 'User Experience Design', 'User Experience', 'User Interface and User Experience (UI/UX) Design', 'Usability', 'Verification And Validation', 'Persona (User Experience)', 'Usability Testing', 'User Centered Design', 'Internet Of Things', 'API Design', 'User Acceptance Testing (UAT)', 'Amazon Web Services', 'Embedded Software', 'Embedded Systems', 'Human Computer Interaction', 'Application Programming Interface (API)', 'Prototyping', 'Network Protocols', 'User Interface (UI) Design']",4.5,142,Intermediate,Specialization,3 - 6 Months
