skill,link,image_link,partner,title,course_skill,rating,num_review,difficulty,course_type,duration
troubleshooting skills,https://www.coursera.org/professional-certificates/sre-devops-engineer-google-cloud,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/3d/9de77ef69f4fcc97b4aaa8a9958183/devops.png?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&fit=crop&q=50,Google Cloud,Preparing for Google Cloud Certification: Cloud DevOps Engineer,"['Site Reliability Engineering', 'Cloud Infrastructure', 'Kubernetes', 'Application Performance Management', 'Google Cloud Platform', 'System Monitoring', 'Infrastructure As A Service (IaaS)', 'Application Deployment', 'Identity and Access Management', 'Cloud Applications', 'CI/CD', 'Containerization', 'Cloud Computing', 'Cloud Security', 'Cloud Management', 'Service Level Agreement', 'Continuous Delivery', 'Safety Culture', 'Network Monitoring', 'Continuous Integration']",4.7,54000.0,Beginner,Professional Certificate,3 - 6 Months
troubleshooting skills,https://www.coursera.org/learn/ibm-containers-docker-kubernetes-openshift,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/2f/b00f6d031143e9827bfc954130beb5/200800-Logo.png?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&fit=crop&q=50,IBM,"Introduction to Containers w/ Docker, Kubernetes & OpenShift","['Istio', 'Kubernetes', 'Containerization', 'OpenShift', 'Cloud-Native Computing', 'Docker (Software)', 'DevOps', 'Application Deployment', 'CI/CD', 'Microservices', 'Cloud Platforms', 'Scalability', 'Virtualization', 'Command-Line Interface']",4.4,939.0,Intermediate,Course,1 - 3 Months
troubleshooting skills,https://www.coursera.org/learn/core1-hardware-and-network-troubleshooting,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/63/33cc5dcd3e42aa93a07b7d010be8ec/Networking---Storage-final-image.png?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&fit=crop&q=50,IBM,Core 1: Hardware and Network Troubleshooting,"['Network Troubleshooting', 'Hardware Troubleshooting', 'Network Administration', 'Desktop Support', 'System Configuration', 'Computer Hardware', 'General Networking', 'Technical Support and Services', 'System Support', 'Computer Displays', 'Data Storage', 'Peripheral Devices', 'Information Technology', 'Display Devices']",4.6,147.0,Advanced,Course,1 - 3 Months
troubleshooting skills,https://www.coursera.org/learn/intro-to-devops,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/7f/a7bcf0d647445c96168281021c2b4d/Introduction-to-DevOps.jpg?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&fit=crop&q=50,IBM,Introduction to DevOps,"['DevOps', 'Agile Methodology', 'Cloud-Native Computing', 'CI/CD', 'Test Driven Development (TDD)', 'Scrum (Software Development)', 'Behavior-Driven Development', 'Performance Metric', 'Accountability', 'Team Oriented', 'Culture Transformation', 'Microservices', 'Cross-Functional Collaboration']",4.8,3600.0,Beginner,Course,1 - 3 Months
troubleshooting skills,https://www.coursera.org/learn/active-listening-enhancing-communication-skills,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/46/52facec9004372bce65d7c3916b4ca/Logo-image-12-.png?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&fit=crop&q=50,Coursera Instructor Network,Active Listening: Enhancing Communication Skills,"['Active Listening', 'Non-Verbal Communication', 'Social Skills', 'Cultural Diversity', 'Conflict Management', 'Emotional Intelligence', 'Empathy', 'Interpersonal Communications', 'Leadership', 'Collaboration', 'Relationship Building', 'Communication', 'Self-Awareness']",4.7,380.0,Beginner,Course,1 - 4 Weeks
troubleshooting skills,https://www.coursera.org/learn/technical-support-fundamentals,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/c8/e497f0f1ad11e7acdcffe7a1a68190/Course-Logo-1.jpg?auto=format%2Ccompress%2C%20enhance&dpr=1&w=320&h=180&fit=crop&q=50&crop=faces,Google,Technical Support Fundamentals,"['Desktop Support', 'Computer Hardware', 'Technical Support', 'Software Installation', 'Technical Documentation', 'Hardware Troubleshooting', 'Computer Networking', 'Information Technology', 'Technical Communication', 'Software Systems', 'Linux', 'Microsoft Windows']",4.8,158000.0,Beginner,Course,1 - 3 Months
troubleshooting skills,https://www.coursera.org/learn/the-science-of-well-being,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/7e/aff5b0f54c11e7b5ae579a0e963c38/Logo_TheScienceofWell-Being.png?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&q=50&fit=crop,Yale University,The Science of Well-Being,"['Growth Mindedness', 'Optimism', 'Positive Behavior Support', 'Goal Setting', 'Resilience', 'Self-Awareness', 'Emotional Intelligence', 'Mental Health', 'Psychology', 'Social Skills', 'Behavior Management', 'Time Management']",4.9,39000.0,Mixed,Course,1 - 3 Months
troubleshooting skills,https://www.coursera.org/learn/interpersonal-skills,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/bd/cffef3e94b42bf97e4fc0aee23d614/Interpersonal-Skills.jpg?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&q=50&fit=crop,IBM,Developing Interpersonal Skills,"['Active Listening', 'Interpersonal Communications', 'Conflict Management', 'Constructive Feedback', 'Social Skills', 'Relationship Building', 'Business Communication', 'Collaboration', 'Verbal Communication Skills', 'Communication', 'Professional Development', 'Empathy', 'Assertiveness', 'Emotional Intelligence', 'Influencing', 'Non-Verbal Communication']",4.7,2200.0,Beginner,Course,1 - 4 Weeks
troubleshooting skills,https://www.coursera.org/learn/technical-diagnostics-and-troubleshooting-techniques,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/51/4aa8981bb147958e673d5d8c6bd32a/Technical-diagnostics-and-troubelshooting.png?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&q=50&fit=crop,Microsoft,Technical Diagnostics and Troubleshooting Techniques,"['Desktop Support', 'Network Troubleshooting', 'Technical Support', 'Hardware Troubleshooting', 'System Support', 'Debugging', 'Microsoft Windows', 'System Monitoring', 'Mac OS', 'Unix', 'Computer Hardware', 'Network Monitoring', 'Generative AI', 'Operating Systems', 'Technical Communication']",4.8,71.0,Beginner,Course,1 - 4 Weeks
troubleshooting skills,https://www.coursera.org/learn/computer-networking,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/a4/8734d0f1ad11e7ae1dfb59d4b2b62a/Course-Logo-2.jpg?auto=format%2Ccompress%2C%20enhance&dpr=1&w=320&h=180&q=50&fit=crop&crop=faces,Google,The Bits and Bytes of Computer Networking,"['Computer Networking', 'Network Troubleshooting', 'TCP/IP', 'Network Architecture', 'Routing Protocols', 'Network Protocols', 'OSI Models', 'Network Infrastructure', 'Dynamic Host Configuration Protocol (DHCP)', 'Virtual Private Networks (VPN)', 'Network Security', 'Wireless Networks']",4.7,51000.0,Beginner,Course,1 - 3 Months
