skill,link,image_link,partner,title,course_skill,rating,num_review,difficulty,course_type,duration
ai,https://www.coursera.org/professional-certificates/applied-artifical-intelligence-ibm-watson-ai,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/f3/2b860471b441f38659038b5ce24c1e/image-1-1-.png?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&fit=crop&q=50,IBM,IBM AI Developer,"['Generative AI', 'Software Development Life Cycle', 'Unit Testing', 'ChatGPT', 'HTML and CSS', 'Development Environment', 'Web Design and Development', 'Jupyter', 'Hypertext Markup Language (HTML)', 'Software Engineering', 'Artificial Intelligence', 'Cascading Style Sheets (CSS)', 'Web Development', 'Data Ethics', 'Application Deployment', 'Web Applications', 'Automation', 'Interviewing Skills', 'CI/CD', 'Professional Networking']",4.6,66000,Beginner,Professional Certificate,3 - 6 Months
ai,https://www.coursera.org/learn/generative-ai-prompt-engineering-for-everyone,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/42/190f880708458082df6d47e4e904a7/Chat-AI_Logo-Image_1200X1200px.png?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&fit=crop&q=50,IBM,Generative AI: Prompt Engineering Basics,"['ChatGPT', 'Generative AI', 'IBM Cloud', 'Software Development Tools', 'Image Analysis', 'Technical Communication', 'Natural Language Processing']",4.8,3500,Beginner,Course,1 - 4 Weeks
ai,https://www.coursera.org/specializations/generative-ai-for-software-developers,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/9b/e21bc8514045dc8531ffaa70399ff0/Image-Software-Developer-Specialization.jpg?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&fit=crop&q=50,IBM,Generative AI for Software Developers,"['ChatGPT', 'Generative AI', 'OpenAI', 'CI/CD', 'Software Development', 'Software Development Life Cycle', 'DevSecOps', 'Data Ethics', 'Natural Language Processing', 'Prototyping', 'Software Architecture', 'Artificial Intelligence', 'IBM Cloud', 'Artificial Intelligence and Machine Learning (AI/ML)', 'Software Testing', 'Software Development Tools', 'Augmented and Virtual Reality (AR/VR)', 'Debugging', 'Image Analysis', 'Technical Communication']",4.7,5400,Intermediate,Specialization,1 - 3 Months
ai,https://www.coursera.org/learn/introduction-to-ai,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/a7/edd3b41ddd45298d7bbcb04b19fba6/200766_Logo-Image_1200x1200pxl-copy-3.png?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&fit=crop&q=50,IBM,Introduction to Artificial Intelligence (AI),"['Artificial Intelligence', 'Generative AI', 'Data Ethics', 'OpenAI', 'Artificial Intelligence and Machine Learning (AI/ML)', 'Deep Learning', 'Artificial Neural Networks', 'ChatGPT', 'Governance', 'Machine Learning', 'Business Transformation', 'Computer Vision', 'Emerging Technologies', 'Natural Language Processing']",4.7,18000,Beginner,Course,1 - 4 Weeks
ai,https://www.coursera.org/learn/generative-ai-introduction-and-applications,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/b0/ca7b7874b64bce8ff67a727e8f7cc4/GenAI_Logo-Image-2_1200x1200pxl-copy.jpg?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&fit=crop&q=50,IBM,Generative AI: Introduction and Applications,"['Generative AI', 'ChatGPT', 'OpenAI', 'Artificial Intelligence', 'IBM Cloud', 'Artificial Intelligence and Machine Learning (AI/ML)', 'Augmented and Virtual Reality (AR/VR)', 'Deep Learning']",4.7,2200,Beginner,Course,1 - 4 Weeks
ai,https://www.coursera.org/specializations/building-ai-cloud-apps-microsoft-azure,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/9c/56f348d8be4f00b2c8f6413a90d0fc/Building-AI-Cloud-Apps-with-Microsoft-Azure-.png?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&fit=crop&q=50,Microsoft,Building AI Cloud Apps with Microsoft Azure,"['Cloud Development', 'Image Analysis', 'Anomaly Detection', 'Microsoft Azure', 'Cloud Storage', 'Data Storage', 'Cloud Applications', 'Computer Vision', 'Text Mining', 'Microsoft Development Tools', 'Unsupervised Learning', 'Data Storage Technologies', 'Natural Language Processing', 'Data Ethics', 'Continuous Deployment', 'Application Deployment', 'Virtual Machines', 'ASP.NET', 'GitHub', 'Generative AI']",4.4,419,Intermediate,Specialization,3 - 6 Months
ai,https://www.coursera.org/learn/python-for-applied-data-science-ai,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/fc/c1b8dfbac740999b6256aca490de43/Python-Image.jpg?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&q=50&fit=crop,IBM,"Python for Data Science, AI & Development","['Jupyter', 'Automation', 'Web Scraping', 'Python Programming', 'Data Manipulation', 'Data Import/Export', 'Scripting', 'Data Structures', 'Data Processing', 'Data Collection', 'Application Programming Interface (API)', 'Pandas (Python Package)', 'Programming Principles', 'NumPy', 'Object Oriented Programming (OOP)', 'Computer Programming']",4.6,41000,Beginner,Course,1 - 3 Months
ai,https://www.coursera.org/specializations/ai-agents,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/0f/fba568cd714d04a0540d14f0764712/juleswhite_3d_colorful_volumeric_vibrant_reflective_geometric_o_ad0dfd3d-a03f-4757-b49d-b48db8081412.png?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&q=50&fit=crop,Vanderbilt University,AI Agent Developer,"['ChatGPT', 'Generative AI', 'Ideation', 'Verification And Validation', 'Data Presentation', 'Document Management', 'Artificial Intelligence and Machine Learning (AI/ML)', 'OpenAI', 'Creative Thinking', 'Artificial Intelligence', 'Creativity', 'Personalized Service', 'Risk Management Framework', 'Business Process Automation', 'Expense Management', 'Automation', 'Productivity Software', 'Strategic Thinking', 'Microsoft Excel', 'Python Programming']",4.8,6200,Beginner,Specialization,3 - 6 Months
ai,https://www.coursera.org/professional-certificates/ai-engineer,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/a2/922bfdcbbe4ac1a413253209b11611/Professional-Certificate---AI-Engineering.png?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&q=50&fit=crop,IBM,IBM AI Engineering,"['PyTorch (Machine Learning Library)', 'Supervised Learning', 'Feature Engineering', 'Generative AI', 'Keras (Neural Network Library)', 'Jupyter', 'Unsupervised Learning', 'Natural Language Processing', 'Reinforcement Learning', 'Deep Learning', 'Scikit Learn (Machine Learning Library)', 'Machine Learning Algorithms', 'Data Manipulation', 'Tensorflow', 'Python Programming', 'Verification And Validation', 'Applied Machine Learning', 'Artificial Neural Networks', 'Statistical Machine Learning', 'Data Processing']",4.6,20000,Intermediate,Professional Certificate,3 - 6 Months
ai,https://www.coursera.org/specializations/ai-agents-python,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/31/1ce8cdc4d2479ab810e34fd311247b/juleswhite_3d_colorful_volumeric_organic_rounded_vibrant_highly_af4ef28f-938c-4a47-b26d-610a4e0159c3.png?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&q=50&fit=crop,Vanderbilt University,AI Agents and Agentic AI in Python: Powered by Generative AI,"['ChatGPT', 'Generative AI', 'Artificial Intelligence and Machine Learning (AI/ML)', 'OpenAI', 'Artificial Intelligence', 'Business Process Automation', 'Automation', 'Strategic Thinking', 'Python Programming', 'Creative Thinking', 'Creativity', 'Business Intelligence', 'Value Propositions', 'Workflow Management', 'Software Design', 'Emerging Technologies', 'Innovation', 'Business Strategy', 'Natural Language Processing', 'Action Oriented']",4.8,5300,Beginner,Specialization,3 - 6 Months
