skill,link,image_link,partner,title,course_skill,rating,num_review,difficulty,course_type,duration
mes - manufacturing execution system,https://www.coursera.org/learn/lean-manufacturing-services,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/e5/b92710e18711e6a5960f5c1206f26b/lean.png?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&fit=crop&q=50,École des Ponts ParisTech,The hidden value – Lean in manufacturing and services,"['Lean Manufacturing', 'Lean Methodologies', 'Culture Transformation', 'Business Transformation', 'Continuous Improvement Process', 'Process Improvement', 'Manufacturing Operations', 'Service Improvement', 'Operational Efficiency', 'Value Engineering', 'Waste Minimization', 'Competitive Intelligence', 'Business Technologies']",4.8,812.0,Beginner,Course,1 - 4 Weeks
mes - manufacturing execution system,https://www.coursera.org/professional-certificates/microsoft-business-analyst,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/cb/412c57d143465691790ad6c2bd9727/Business-Analyst-professional-certificate-SP-logo.png?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&fit=crop&q=50,Microsoft,Microsoft Business Analyst,"['Microsoft Power Platform', 'Excel Formulas', 'Process Flow Diagrams', 'Business Process Modeling', 'User Story', 'Business Requirements', 'Stakeholder Management', 'Data Modeling', 'Microsoft Excel', 'Microsoft Visio', 'Software Development Life Cycle', 'Requirements Analysis', 'Requirements Elicitation', 'Quality Management', 'Pivot Tables And Charts', 'Power BI', 'Project Management Life Cycle', 'Microsoft Power Automate/Flow', 'Business Analysis', 'Project Management']",4.6,865.0,Beginner,Professional Certificate,3 - 6 Months
mes - manufacturing execution system,https://www.coursera.org/specializations/digital-technologies-future-of-manufacturing,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/29/8d63bb9f884b4fbf7d72f2ed4c3b67/Digital-Technologies-Series-Image.png?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&fit=crop&q=50,University of Michigan,Digital Technologies and the Future of Manufacturing,"['Internet Of Things', 'Manufacturing Operations', 'Manufacturing Processes', 'Digital Transformation', 'Technology Roadmaps', 'Business Technologies', 'Technology Strategies', 'Cloud Computing', 'Emerging Technologies', 'Strategic Partnership', 'Operational Efficiency', 'Business Modeling', 'Production Process', 'System Implementation', 'Business Valuation', 'Cost Benefit Analysis', 'Business Strategy', 'Product Lifecycle Management', 'Business Logic', 'Asset Management']",4.5,327.0,Beginner,Specialization,1 - 3 Months
mes - manufacturing execution system,https://www.coursera.org/learn/business-analytics-excel,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/66/e2793ae80742ccac9bdebe7f538a1c/excel-g9ac6b342d_1920.png?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&fit=crop&q=50,Johns Hopkins University,Business Analytics with Excel: Elementary to Advanced,"['Risk Modeling', 'Regression Analysis', 'Microsoft Excel', 'Business Analytics', 'Business Modeling', 'Data Modeling', 'Business Analysis', 'Risk Management', 'Resource Allocation', 'Analysis', 'Statistical Analysis', 'Mathematical Modeling', 'Process Optimization', 'Financial Analysis', 'Spreadsheet Software', 'Transportation Operations']",4.8,3600.0,Intermediate,Course,1 - 3 Months
mes - manufacturing execution system,https://www.coursera.org/professional-certificates/ibm-business-analyst-professional-certificate,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/d7/1b7897a722471f9f59b99b053bf063/BA_PC_Final-Logo-Image_600x600pxl-copy.jpg?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&fit=crop&q=50,IBM,IBM Business Analyst,"['Data Storytelling', 'Requirements Elicitation', 'Risk Mitigation', 'Business Analysis', 'Business Process Modeling', 'Risk Analysis', 'Process Optimization', 'Data Visualization', 'Requirements Management', 'Risk Management', 'Business Requirements', 'Stakeholder Management', 'Work Breakdown Structure', 'Scope Management', 'Process Analysis', 'Agile Methodology', 'Stakeholder Engagement', 'Excel Formulas', 'Microsoft Excel', 'Analysis']",4.7,12000.0,Beginner,Professional Certificate,3 - 6 Months
mes - manufacturing execution system,https://www.coursera.org/projects/business-analysis-process-management,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/59/630408b17e41429a019ada61f22bc8/Courses-Project-images-06.png?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&fit=crop&q=50,Coursera Project Network,Business Analysis & Process Management,"['Process Analysis', 'Business Process', 'Business Analysis', 'Process Mapping', 'Workflow Management', 'Process Flow Diagrams', 'Business Modeling', 'Business Process Management', 'Stakeholder Management']",4.4,6300.0,Beginner,Guided Project,Less Than 2 Hours
mes - manufacturing execution system,https://www.coursera.org/learn/additive-manufacturing-3d-printing,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/10/5389ecf8be4bd6a4e1d885df6b1d9b/Course3_Additive-Manufacturing.jpg?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&q=50&fit=crop,University of Michigan,Additive Manufacturing,"['Manufacturing Processes', 'Manufacturing Operations', 'Technology Strategies', 'Digital Transformation', 'Business Technologies', 'Emerging Technologies', 'Strategic Partnership', 'Business Valuation', 'Cost Benefit Analysis', 'Business Strategy', 'Forecasting', 'Risk Analysis', 'Prototyping', 'Change Management']",4.6,83.0,Beginner,Course,1 - 4 Weeks
mes - manufacturing execution system,https://www.coursera.org/learn/project-execution-google,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/76/e6ea72882d490ca05f53007e811b92/1200x600_certsResize_1.png?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&q=50&fit=crop,Google,Project Execution: Running the Project,"['Quality Management', 'Project Closure', 'Project Management', 'Continuous Improvement Process', 'Process Improvement', 'Project Controls', 'Team Leadership', 'Project Coordination', 'Team Management', 'Project Risk Management', 'Data-Driven Decision-Making', 'Project Documentation', 'Stakeholder Communications', 'Meeting Facilitation', 'Communication']",4.8,9400.0,Beginner,Course,1 - 3 Months
mes - manufacturing execution system,https://www.coursera.org/learn/business-analysis-fundamentals,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/1a/80d9a569fe405d910c52e3e772489b/Business-Analysis-Fundamentals.png?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&q=50&fit=crop,Microsoft,Business Analysis Fundamentals,"['Stakeholder Management', 'Business Analysis', 'Project Management', 'Analysis', 'Business Requirements', 'Risk Management', 'Microsoft Power Platform', 'Requirements Analysis', 'Problem Management']",4.7,649.0,Beginner,Course,1 - 4 Weeks
mes - manufacturing execution system,https://www.coursera.org/learn/lean-manufacturing-robotics-for-flexible-systems,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/dd/5b6ad32b084c719a6eac85e769aed8/BATCH-4-1200X1200.png?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&q=50&fit=crop,Coursera Instructor Network,Lean Manufacturing & Robotics for Flexible Systems,"['Lean Manufacturing', 'Lean Methodologies', 'Continuous Improvement Process', 'Kaizen Methodology', 'Production Process', 'Industrial Engineering', 'Quality Improvement', 'Manufacturing Operations', 'Process Improvement', 'Emerging Technologies', 'Manufacturing Processes', 'Automation', 'Internet Of Things', 'Artificial Intelligence']",4.5,17.0,Beginner,Course,1 - 4 Weeks
