skill,link,image_link,partner,title,course_skill,rating,num_review,difficulty,course_type,duration
cloud,https://www.coursera.org/professional-certificates/gcp-data-engineering,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/63/c6c427d9244493b8074cd432eab090/DE.jpg?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&fit=crop&q=50,Google Cloud,Preparing for Google Cloud Certification: Cloud Data Engineer,"['Data Pipelines', 'Dataflow', 'Google Cloud Platform', 'Real Time Data', 'Data Lakes', 'Data Storage', 'MLOps (Machine Learning Operations)', 'Data Analysis', 'Dashboard', 'Data Warehousing', 'Data Processing', 'Extract', 'Transform', 'Load', 'Data Infrastructure', 'Cloud Storage', 'Big Data', 'Tensorflow', 'Unstructured Data', 'Data Management', 'Data Integration', 'Data Visualization Software']",4.6,19000,Intermediate,Professional Certificate,3 - 6 Months
cloud,https://www.coursera.org/learn/gcp-fundamentals,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/31/8ffb301bf011e79fa2d5b154b6a30b/GCP-Fundamentals-Core-Infra.jpg?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&fit=crop&q=50,Google Cloud,Google Cloud Fundamentals: Core Infrastructure,"['Cloud Infrastructure', 'Google Cloud Platform', 'Infrastructure As A Service (IaaS)', 'Cloud Applications', 'Kubernetes', 'Identity and Access Management', 'Cloud Computing', 'Cloud Storage', 'Network Infrastructure', 'Containerization', 'Virtual Machines', 'Generative AI', 'Platform As A Service (PaaS)', 'Serverless Computing', 'Load Balancing', 'Relational Databases', 'Scalability']",4.7,49000,Beginner,Course,1 - 3 Months
cloud,https://www.coursera.org/professional-certificates/azure-data-scientist,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/a9/6fa836e5fc414cb62654b5779bde7e/DP-100.png?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&fit=crop&q=50,Microsoft,Microsoft Azure Data Scientist Associate (DP-100) Exam Prep,"['Databricks', 'Unsupervised Learning', 'PySpark', 'Microsoft Azure', 'Apache Spark', 'Scikit Learn (Machine Learning Library)', 'MLOps (Machine Learning Operations)', 'PyTorch (Machine Learning Library)', 'Exploratory Data Analysis', 'Deep Learning', 'Data Visualization', 'Applied Machine Learning', 'Regression Analysis', 'Data Science', 'Predictive Modeling', 'Image Analysis', 'Pandas (Python Package)', 'Artificial Intelligence and Machine Learning (AI/ML)', 'Big Data', 'Cloud Computing']",4.2,535,Intermediate,Professional Certificate,3 - 6 Months
cloud,https://www.coursera.org/professional-certificates/google-cloud-data-analytics-certificate,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/d2/4dc58eb84446559fe404baf536d5ac/Course-1--1080x1080.png?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&fit=crop&q=50,Google Cloud,Google Cloud Data Analytics,"['Data Storytelling', 'Data Governance', 'Data Visualization', 'Data Management', 'Data Pipelines', 'Data Visualization Software', 'Dashboard', 'Data Lakes', 'Data Architecture', 'Cloud Infrastructure', 'Generative AI', 'Data Cleansing', 'Data Transformation', 'Cloud Computing', 'Data Access', 'Cloud Storage', 'Metadata Management', 'Data Ethics', 'Data Analysis', 'Google Cloud Platform']",4.4,153,Beginner,Professional Certificate,3 - 6 Months
cloud,https://www.coursera.org/specializations/google-cloud-database-engineer,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/ee/ab61e2b9f9418c9ea7aa0d26044599/super-cloud-coursera-logo.png?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&fit=crop&q=50,Google Cloud,Google Cloud Database Engineer,"['Cloud Infrastructure', 'Application Deployment', 'Infrastructure As A Service (IaaS)', 'Kubernetes', 'Database Architecture and Administration', 'MySQL', 'PostgreSQL', 'Identity and Access Management', 'Cloud Computing', 'Data Migration', 'Cloud Management', 'Cloud API', 'Oracle Databases', 'Databases', 'Cloud Storage', 'Network Infrastructure', 'Cloud Security', 'Cloud Applications', 'Google Cloud Platform', 'Database Administration']",4.7,49000,Intermediate,Specialization,3 - 6 Months
cloud,https://www.coursera.org/learn/applied-data-science-capstone,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/f1/b398d04fee11e8a43c11984f8aae45/ADS-Capstone-400x400.png?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&fit=crop&q=50,IBM,Applied Data Science Capstone,"['Plotly', 'Exploratory Data Analysis', 'Predictive Modeling', 'Interactive Data Visualization', 'Data Science', 'Data-Driven Decision-Making', 'Data Storytelling', 'Data Presentation', 'Data Analysis', 'Pandas (Python Package)', 'Web Scraping', 'Statistical Machine Learning', 'Data Wrangling', 'Data Collection']",4.7,7300,Intermediate,Course,1 - 3 Months
cloud,https://www.coursera.org/specializations/from-data-to-insights-google-cloud-platform,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/46/61d680c01611e7b516050a113dfef7/specialization-logo.jpg?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&q=50&fit=crop,Google Cloud,From Data to Insights with Google Cloud,"['Dashboard', 'SQL', 'Data Transformation', 'Big Data', 'Google Cloud Platform', 'Applied Machine Learning', 'Data Cleansing', 'Machine Learning', 'Cloud Infrastructure', 'Data Import/Export', 'Artificial Intelligence and Machine Learning (AI/ML)', 'Data Analysis', 'Data Access', 'Analytics', 'Data Warehousing', 'Database Architecture and Administration', 'Data Visualization Software', 'Predictive Modeling', 'Query Languages', 'Performance Tuning']",4.6,4700,Beginner,Specialization,3 - 6 Months
cloud,https://www.coursera.org/specializations/gcp-data-machine-learning,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/95/77558056d811e79f95119f98b3ba96/visite-google-datacenter-14.jpg?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&q=50&fit=crop,Google Cloud,"Data Engineering, Big Data, and Machine Learning on GCP","['Data Pipelines', 'Dataflow', 'Google Cloud Platform', 'Real Time Data', 'Data Lakes', 'MLOps (Machine Learning Operations)', 'Dashboard', 'Data Warehousing', 'Extract', 'Transform', 'Load', 'Data Infrastructure', 'Cloud Storage', 'Big Data', 'Tensorflow', 'Unstructured Data', 'Data Integration', 'Data Processing', 'Data Visualization Software', 'Apache Hadoop', 'Apache Spark', 'Cloud Computing']",4.6,18000,Intermediate,Specialization,3 - 6 Months
cloud,https://www.coursera.org/specializations/hands-on-data-science-machine-learning,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/d4/431eb8c3e64385a1d4a1c172fa3951/icon_cloud_192pt_clr.png?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&q=50&fit=crop,Google Cloud,Hands-on Foundations for Data Science and Machine Learning with Google Cloud Labs,"['Data Warehousing', 'Google Cloud Platform', 'Big Data', 'Apache Spark', 'Data Integration', 'SQL', 'Data Pipelines', 'Metadata Management', 'Data Management', 'Real Time Data', 'Tensorflow', 'Data Science', 'Command-Line Interface', 'Applied Machine Learning', 'Cloud-Based Integration', 'Apache Hadoop', 'Query Languages', 'Data Processing', 'Data Loss Prevention', 'Data Mining']",4.3,125,Intermediate,Specialization,1 - 4 Weeks
cloud,https://www.coursera.org/learn/introduction-to-cloud,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/f3/5d00cbdb784bee9e7ff6d4bbab1ebb/CloudComputingIntroduction.jpg?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&q=50&fit=crop,IBM,Introduction to Cloud Computing,"['Cloud Computing Architecture', 'Cloud Services', 'Cloud Security', 'Cloud Infrastructure', 'Cloud Platforms', 'Cloud Computing', 'Cloud Storage', 'Infrastructure As A Service (IaaS)', 'Emerging Technologies', 'Hybrid Cloud Computing', 'IBM Cloud', 'Serverless Computing', 'Virtualization', 'Microservices', 'Containerization']",4.6,7100,Beginner,Course,1 - 3 Months
cloud,https://www.coursera.org/specializations/gcp-data-engineer-es,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/6b/edd887324e4685af97b994ef0dddc1/DE.jpg?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&q=50&fit=crop,Google Cloud,Preparing for Google Cloud Certification: Cloud Data Engineer Professional Certificate en Español,"['Dataflow', 'Google Cloud Platform', 'Looker (Software)', 'Data Pipelines', 'Real Time Data', 'Data Processing', 'Data Lakes', 'Systems Design', 'Big Data', 'Data Warehousing', 'Dashboard', 'Cloud Infrastructure', 'Data Infrastructure', 'Data Visualization', 'Cloud Storage', 'Extract', 'Transform', 'Load', 'Quality Assurance', 'Data Architecture', 'Unstructured Data', 'MLOps (Machine Learning Operations)']",4.7,787,Intermediate,Specialization,3 - 6 Months
cloud,https://www.coursera.org/specializations/security-google-cloud-platform,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/f4/925a00f9bc11e89f6323eb5125b878/managing-security-gcp-course-logo.jpg?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&q=50&fit=crop,Google Cloud,Security in Google Cloud,"['Cloud Infrastructure', 'Google Cloud Platform', 'Identity and Access Management', 'Data Loss Prevention', 'Distributed Denial-Of-Service (DDoS) Attacks', 'Infrastructure As A Service (IaaS)', 'Cloud Applications', 'Cloud Security', 'Kubernetes', 'Cloud Computing', 'OAuth', 'Security Controls', 'Cloud Storage', 'Network Infrastructure', 'Containerization', 'Threat Management', 'Application Security', 'Virtual Private Networks (VPN)', 'Data Security', 'Authorization (Computing)']",4.7,49000,Intermediate,Specialization,3 - 6 Months
cloud,https://www.coursera.org/professional-certificates/sre-devops-engineer-google-cloud,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/3d/9de77ef69f4fcc97b4aaa8a9958183/devops.png?auto=format%2Ccompress&dpr=2&blur=200&px=8&max-w=265,Google Cloud,Preparing for Google Cloud Certification: Cloud DevOps Engineer,"['Site Reliability Engineering', 'Cloud Infrastructure', 'Kubernetes', 'Application Performance Management', 'Google Cloud Platform', 'System Monitoring', 'Infrastructure As A Service (IaaS)', 'Application Deployment', 'Identity and Access Management', 'Cloud Applications', 'CI/CD', 'Containerization', 'Cloud Computing', 'Cloud Security', 'Cloud Management', 'Service Level Agreement', 'Continuous Delivery', 'Safety Culture', 'Network Monitoring', 'Continuous Integration']",4.7,54000,Beginner,Professional Certificate,3 - 6 Months
cloud,https://www.coursera.org/learn/smart-analytics-machine-learning-ai-gcp,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/e3/d2a90321c54cfcb577896c8c21e07e/BD-and-ML-Fundamentals-v3.jpg?auto=format%2Ccompress&dpr=2&blur=200&px=8&max-w=265,Google Cloud,"Smart Analytics, Machine Learning, and AI on Google Cloud","['Google Cloud Platform', 'MLOps (Machine Learning Operations)', 'Tensorflow', 'Unstructured Data', 'Data Pipelines', 'Artificial Intelligence and Machine Learning (AI/ML)', 'Cloud API', 'Big Data', 'Machine Learning', 'Jupyter', 'Natural Language Processing']",4.6,1200,Intermediate,Course,1 - 3 Months
cloud,https://www.coursera.org/professional-certificates/gcp-cloud-architect,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/1d/714104d1c241e8981bb58390da9811/Option-2_1.png?auto=format%2Ccompress&dpr=2&blur=200&px=8&max-w=265,Google Cloud,Preparing for Google Cloud Certification: Cloud Architect,"['Cloud Infrastructure', 'Kubernetes', 'Google Cloud Platform', 'Identity and Access Management', 'Infrastructure As A Service (IaaS)', 'Application Deployment', 'Containerization', 'Cloud Applications', 'Cloud Computing', 'CI/CD', 'Cloud Computing Architecture', 'Cloud Security', 'Cloud Management', 'Load Balancing', 'Service Level Agreement', 'Infrastructure as Code (IaC)', 'Virtual Machines', 'Microservices', 'Service Level', 'Network Planning And Design']",4.7,59000,Intermediate,Professional Certificate,3 - 6 Months
cloud,https://www.coursera.org/learn/introduction-to-data-analytics-in-google-cloud,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/28/77afa9048b456f99f93de9b7bfd1c7/Course-1-.png?auto=format%2Ccompress&dpr=2&blur=200&px=8&max-w=265,Google Cloud,Introduction to Data Analytics in Google Cloud,"['Cloud Infrastructure', 'Data Management', 'Data Governance', 'Cloud Computing', 'Google Cloud Platform', 'Cloud Computing Architecture', 'Big Data', 'Analytics', 'Data Storage Technologies', 'Cloud Storage', 'Data Analysis', 'Data Storage', 'Data Processing']",4.6,108,Beginner,Course,1 - 4 Weeks
cloud,https://www.coursera.org/professional-certificates/google-cloud-digital-leader-training,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/20/759964989244b2b7f003a2901348a1/Cloud_Digital_Leader_Specialization_1200x1200_dark.png?auto=format%2Ccompress&dpr=2&blur=200&px=8&max-w=265,Google Cloud,Google Cloud Digital Leader Training,"['Cloud Management', 'Serverless Computing', 'Google Cloud Platform', 'Digital Transformation', 'Data Governance', 'Cloud Services', 'Distributed Denial-Of-Service (DDoS) Attacks', 'Cloud Security', 'Cloud Infrastructure', 'Artificial Intelligence and Machine Learning (AI/ML)', 'Data Strategy', 'Application Programming Interface (API)', 'Real Time Data', 'Business Transformation', 'Artificial Intelligence', 'Data Management', 'Hybrid Cloud Computing', 'Data Warehousing', 'Cloud Computing', 'Data Security']",4.8,4500,Beginner,Professional Certificate,3 - 6 Months
cloud,https://www.coursera.org/specializations/building-cloud-computing-solutions-at-scale,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/53/7e77610abb4e64a59c4202c0cc0c92/specialization_graphic.png?auto=format%2Ccompress&dpr=2&blur=200&px=8&max-w=265,Duke University,Building Cloud Computing Solutions at Scale,"['Technical Communication', 'Cloud Infrastructure', 'MLOps (Machine Learning Operations)', 'Cloud-Native Computing', 'CI/CD', 'Cloud Platforms', 'Cloud Computing', 'Application Deployment', 'Agile Software Development', 'Technical Documentation', 'Software Engineering', 'Infrastructure As A Service (IaaS)', 'Distributed Computing', 'Microservices', 'Continuous Delivery', 'Applied Machine Learning', 'Cloud Storage', 'Extract', 'Transform', 'Load', 'Google Cloud Platform', 'Cloud Applications']",4.4,450,Intermediate,Specialization,3 - 6 Months
cloud,https://www.coursera.org/professional-certificates/google-cloud-security,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/ac/2b9afa21c2425d934f8ac83f8bdd5b/security.png?auto=format%2Ccompress&dpr=2&blur=200&px=8&max-w=265,Google Cloud,Preparing for Google Cloud Certification: Cloud Security Engineer,"['Cloud Infrastructure', 'Application Performance Management', 'Distributed Denial-Of-Service (DDoS) Attacks', 'Google Cloud Platform', 'Kubernetes', 'Identity and Access Management', 'Data Loss Prevention', 'Load Balancing', 'System Monitoring', 'Infrastructure As A Service (IaaS)', 'Network Monitoring', 'Cloud Applications', 'Cloud Computing Architecture', 'Network Architecture', 'Role-Based Access Control (RBAC)', 'Network Security', 'Cloud Computing', 'Network Routing', 'Cloud Security', 'Virtual Private Networks (VPN)']",4.7,50000,Intermediate,Professional Certificate,3 - 6 Months
cloud,https://www.coursera.org/specializations/it-cloud-fundamentals,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/94/54ee8a12c64631b31372a6809659f1/IT-and-Cloud-Fundamentals-Specialization-Temp-no-watermark-.jpg?auto=format%2Ccompress&dpr=2&blur=200&px=8&max-w=265,IBM,Information Technology (IT) and Cloud Fundamentals,"['Cloud Computing Architecture', 'Peripheral Devices', 'Cloud Services', 'Cybersecurity', 'Computing Platforms', 'Cloud Security', 'Cloud Infrastructure', 'Network Troubleshooting', 'Cloud Platforms', 'Encryption', 'Data Storage', 'Cyber Attacks', 'Software Development Life Cycle', 'Networking Hardware', 'Application Development', 'Information Technology', 'Cloud Computing', 'Databases', 'Computer Hardware', 'Computer Systems']",4.6,10000,Beginner,Specialization,3 - 6 Months
cloud,https://www.coursera.org/learn/data-lakes-data-warehouses-gcp,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/d7/ae085568e94de29ca34917dfbae02a/BD-and-ML-Fundamentals-v3.jpg?auto=format%2Ccompress&dpr=2&blur=200&px=8&max-w=265,Google Cloud,Modernizing Data Lakes and Data Warehouses with Google Cloud,"['Data Lakes', 'Data Warehousing', 'Google Cloud Platform', 'Data Infrastructure', 'Cloud Storage', 'Data Pipelines', 'Big Data', 'Cloud Services', 'Cloud Computing', 'SQL', 'Scalability']",4.7,2800,Intermediate,Course,1 - 3 Months
cloud,https://www.coursera.org/professional-certificates/google-cloud-networking,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/56/49f11fec0a4a5da3db957b0f27c4ca/network.png?auto=format%2Ccompress&dpr=2&blur=200&px=8&max-w=265,Google Cloud,Preparing for Google Cloud Certification: Cloud Network Engineer,"['Cloud Infrastructure', 'Application Performance Management', 'Distributed Denial-Of-Service (DDoS) Attacks', 'Google Cloud Platform', 'Load Balancing', 'System Monitoring', 'Infrastructure As A Service (IaaS)', 'Network Performance Management', 'Network Monitoring', 'Cloud Applications', 'Kubernetes', 'Cloud Computing Architecture', 'Identity and Access Management', 'Network Architecture', 'Network Security', 'Cloud Computing', 'Cloud Management', 'Network Routing', 'Virtual Private Networks (VPN)', 'Network Troubleshooting']",4.7,49000,Intermediate,Professional Certificate,3 - 6 Months
cloud,https://www.coursera.org/professional-certificates/cloud-engineering-gcp,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/64/b30013147f4398b756ee843ce9895c/Option-1_1.png?auto=format%2Ccompress&dpr=2&blur=200&px=8&max-w=265,Google Cloud,Preparing for Google Cloud Certification: Cloud Engineer,"['Cloud Infrastructure', 'Kubernetes', 'Google Cloud Platform', 'Identity and Access Management', 'Infrastructure As A Service (IaaS)', 'Containerization', 'Cloud Applications', 'Cloud Management', 'Load Balancing', 'Cloud Engineering', 'Infrastructure as Code (IaC)', 'Virtual Machines', 'Cloud Computing Architecture', 'Cloud Computing', 'Data Storage', 'Cloud Storage', 'Application Deployment', 'Docker (Software)', 'Network Infrastructure', 'Cloud Services']",4.7,59000,Intermediate,Professional Certificate,3 - 6 Months
cloud,https://www.coursera.org/learn/batch-data-pipelines-gcp,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/51/f6514ea43b4403a8a1be1d9bcd2cf8/BD-and-ML-Fundamentals-v3.jpg?auto=format%2Ccompress&dpr=2&blur=200&px=8&max-w=265,Google Cloud,Building Batch Data Pipelines on Google Cloud,"['Data Pipelines', 'Extract', 'Transform', 'Load', 'Google Cloud Platform', 'Data Integration', 'Data Processing', 'Apache Hadoop', 'Apache Spark', 'Big Data', 'Data Transformation', 'Cloud Computing', 'Cloud Services']",4.5,1700,Intermediate,Course,1 - 3 Months
