skill,link,image_link,partner,title,course_skill,rating,num_review,difficulty,course_type,duration
tableau,https://www.coursera.org/professional-certificates/tableau-business-intelligence-analyst,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/90/b0039e8be24df5b617a2a3db4df91c/ACTION_600x600-graphic.png?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&fit=crop&q=50,Tableau Learning Partner,Tableau Business Intelligence Analyst,"['Data Storytelling', 'Exploratory Data Analysis', 'Requirements Elicitation', 'Ad Hoc Reporting', 'Data Governance', 'Data Ethics', 'Tableau Software', 'Business Analysis', 'Data Visualization Software', 'Data Warehousing', 'Business Metrics', 'Dashboard', 'Statistical Visualization', 'Extract', 'Transform', 'Load', 'Data Analysis', 'Spatial Data Analysis', 'Data Quality', 'Data Management', 'Descriptive Statistics', 'Interactive Data Visualization']",4.7,897.0,Beginner,Professional Certificate,3 - 6 Months
tableau,https://www.coursera.org/learn/data-visualization-with-tableau-public,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/bb/d06cac43124c57a77f2f38be8721d4/1080x1080-Course-5_-Data-Visualization-Public.png?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&fit=crop&q=50,Tableau Learning Partner,Data Visualization with Tableau,"['Data Visualization Software', 'Interactive Data Visualization', 'Tableau Software', 'Data Presentation', 'Tree Maps', 'Heat Maps', 'Pivot Tables And Charts', 'Data Manipulation', 'Scatter Plots', 'Histogram', 'Data Mapping', 'Trend Analysis']",4.7,114.0,Beginner,Course,1 - 3 Months
tableau,https://www.coursera.org/learn/advanced-data-visualization-with-tableau-public,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/50/fd4c05435749c0a8dc216e000ce1f5/1080x1080-Course-6_-Advanced-Data-Visualization-Public.png?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&fit=crop&q=50,Tableau Learning Partner,Advanced Data Visualization with Tableau,"['Data Visualization Software', 'Spatial Data Analysis', 'Tableau Software', 'Data Storytelling', 'Interactive Data Visualization', 'Geospatial Information and Technology', 'Stakeholder Communications', 'Geospatial Mapping', 'Business Reporting', 'Business Analytics', 'Business Intelligence']",4.9,87.0,Beginner,Course,1 - 4 Weeks
tableau,https://www.coursera.org/learn/introduction-to-tableau,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/db/c07c69d0b544748f1762043198e8c7/1080x1080-Course-4_-Intro-Preprocessing.png?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&fit=crop&q=50,Tableau Learning Partner,Introduction to Tableau,"['Tableau Software', 'Interactive Data Visualization', 'Data Visualization Software', 'Business Analytics', 'Data Integration', 'Data Analysis', 'Data Cleansing', 'Data Transformation', 'Data Processing']",4.8,245.0,Beginner,Course,1 - 4 Weeks
tableau,https://www.coursera.org/professional-certificates/ibm-data-science,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/23/22bc54f77f45a2b057f4ff518d272f/iStock-1169539468.jpg?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&fit=crop&q=50,IBM,IBM Data Science,"['Dashboard', 'Data Visualization Software', 'Data Wrangling', 'Data Visualization', 'SQL', 'Supervised Learning', 'Feature Engineering', 'Plotly', 'Interactive Data Visualization', 'Jupyter', 'Exploratory Data Analysis', 'Data Mining', 'Data Cleansing', 'Matplotlib', 'Data Analysis', 'Unsupervised Learning', 'Generative AI', 'Pandas (Python Package)', 'Data Manipulation', 'Professional Networking']",4.6,141000.0,Beginner,Professional Certificate,3 - 6 Months
tableau,https://www.coursera.org/learn/data-analysis-with-tableau-public,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/c5/46399c0894489484428258ff9dc1a3/1080x1080-Course-7_-Data-Analysis-Public.png?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&fit=crop&q=50,Tableau Learning Partner,Data Analysis with Tableau,"['Exploratory Data Analysis', 'Tableau Software', 'Statistical Visualization', 'Data Analysis', 'Descriptive Statistics', 'Predictive Analytics', 'Data Processing', 'Box Plots', 'Statistical Analysis', 'Data Cleansing', 'Scatter Plots', 'Data Visualization Software', 'Trend Analysis', 'Analytics', 'Histogram', 'Data Transformation', 'Business Analytics', 'Data Manipulation', 'Regression Analysis', 'Correlation Analysis']",4.4,78.0,Beginner,Course,1 - 4 Weeks
tableau,https://www.coursera.org/specializations/data-visualization,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/41/d326f0af5b11e5ada4195d312ad6aa/davis_data_thumb.jpg?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&q=50&fit=crop,"University of California, Davis",Data Visualization with Tableau,"['Data Storytelling', 'Data Presentation', 'Data Visualization Software', 'Key Performance Indicators (KPIs)', 'Data Integration', 'Dashboard', 'Data Visualization', 'Interactive Data Visualization', 'Data Mapping', 'Tableau Software', 'Proposal Development', 'Data-Driven Decision-Making', 'Histogram', 'Scatter Plots', 'Exploratory Data Analysis', 'Storytelling', 'Performance Metric', 'Performance Measurement', 'Infographics', 'Performance Analysis']",4.5,8200.0,Beginner,Specialization,3 - 6 Months
tableau,https://www.coursera.org/learn/data-visualization-tableau,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/67/dc27f0490e11e6bdd5d9ef6a4743fd/GettyImages-152400281.jpg?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&q=50&fit=crop,"University of California, Davis",Fundamentals of Visualization with Tableau,"['Data Visualization Software', 'Interactive Data Visualization', 'Dashboard', 'Tableau Software', 'Data Presentation', 'Data Storytelling', 'Tree Maps', 'Data Import/Export']",4.5,6700.0,Beginner,Course,1 - 4 Weeks
tableau,https://www.coursera.org/specializations/jhu-data-science,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/eb/8e18e0a4f111e59ae9c776a3dd0526/jhu-logo-thumb.png?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&q=50&fit=crop,Johns Hopkins University,Data Science,"['Shiny (R Package)', 'Rmarkdown', 'Exploratory Data Analysis', 'Regression Analysis', 'Leaflet (Software)', 'Version Control', 'Statistical Analysis', 'R Programming', 'Data Manipulation', 'Data Cleansing', 'Data Science', 'Statistical Inference', 'Predictive Modeling', 'Statistical Hypothesis Testing', 'Data Visualization', 'Machine Learning Algorithms', 'Plotly', 'Interactive Data Visualization', 'Probability & Statistics', 'Knitr']",4.5,51000.0,Beginner,Specialization,3 - 6 Months
tableau,https://www.coursera.org/learn/communicating-data-insights-with-tableau,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/de/e74f87806045eda4914669dd9b7a92/1080x1080-Course-8_-Communicating-Data-Insights.png?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&q=50&fit=crop,Tableau Learning Partner,Communicating Data Insights with Tableau,"['Data Storytelling', 'Ad Hoc Reporting', 'Dashboard', 'Interactive Data Visualization', 'Tableau Software', 'Data-Driven Decision-Making', 'Data Visualization Software', 'Data Analysis', 'Business Intelligence', 'Business Analytics', 'Presentations', 'Stakeholder Engagement', 'Trend Analysis']",4.7,50.0,Beginner,Course,1 - 4 Weeks
tableau,https://www.coursera.org/learn/tableau-capstone-project,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/df/4e3a99cc73409e9390fb8bd30b49c2/1200x1200_TCP.jpg?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&q=50&fit=crop,SkillUp EdTech,Tableau Capstone Project,"['Tableau Software', 'Peer Review', 'Data Storytelling', 'Dashboard', 'Presentations', 'Data Cleansing', 'Business Intelligence', 'Data Visualization Software', 'Interactive Data Visualization', 'Data Quality', 'Data Manipulation', 'Verbal Communication Skills', 'Data Analysis', 'Key Performance Indicators (KPIs)']",,,Advanced,Course,1 - 4 Weeks
tableau,https://www.coursera.org/professional-certificates/ibm-data-analyst,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/63/baf9bea98641aeb8fd36a7b1291791/DA-PC_Image.jpg?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&q=50&fit=crop,IBM,IBM Data Analyst,"['Data Storytelling', 'Dashboard', 'Data Visualization Software', 'Plotly', 'Data Wrangling', 'Data Visualization', 'SQL', 'Generative AI', 'Interactive Data Visualization', 'Exploratory Data Analysis', 'Data Cleansing', 'Big Data', 'Jupyter', 'Matplotlib', 'Data Analysis', 'Statistical Analysis', 'Pandas (Python Package)', 'Data Manipulation', 'Excel Formulas', 'Professional Networking']",4.6,90000.0,Beginner,Professional Certificate,3 - 6 Months
