skill,link,image_link,partner,title,course_skill,rating,num_review,difficulty,course_type,duration
c/c++,https://www.coursera.org/specializations/coding-for-everyone,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/fe/163a0249a146fdab429b3908e28422/C4E-logo-spec.png?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&fit=crop&q=50,"University of California, Santa Cruz",Coding for Everyone: C and C++,"['C++ (Programming Language)', 'Debugging', 'C (Programming Language)', 'Object Oriented Programming (OOP)', 'Object Oriented Design', 'Software Design Patterns', 'Programming Principles', 'Data Structures', 'Computer Programming', 'Algorithms', 'Command-Line Interface', 'Software Design', 'Graph Theory', 'Computer Science', 'Program Development', 'Computational Thinking', 'Artificial Intelligence', 'Software Technical Review', 'File Management']",4.5,9400.0,Beginner,Specialization,3 - 6 Months
c/c++,https://www.coursera.org/specializations/hands-on-cpp,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/10/a180da2c5d49298380057c0eec1480/Computer-Science_3-3x.png?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&fit=crop&q=50,Codio,Programming in C++: A Hands-on Introduction,"['Data Import/Export', 'C++ (Programming Language)', 'Object Oriented Programming (OOP)', 'Data Validation', 'Object Oriented Design', 'Programming Principles', 'Computer Programming', 'Data Structures', 'Data Integrity', 'File Management', 'Integrated Development Environments', 'Software Documentation', 'Computer Science', 'Pseudocode', 'Data Storage']",4.6,1200.0,Beginner,Specialization,3 - 6 Months
c/c++,https://www.coursera.org/professional-certificates/sre-devops-engineer-google-cloud,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/3d/9de77ef69f4fcc97b4aaa8a9958183/devops.png?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&fit=crop&q=50,Google Cloud,Preparing for Google Cloud Certification: Cloud DevOps Engineer,"['Site Reliability Engineering', 'Cloud Infrastructure', 'Kubernetes', 'Application Performance Management', 'Google Cloud Platform', 'System Monitoring', 'Infrastructure As A Service (IaaS)', 'Application Deployment', 'Identity and Access Management', 'Cloud Applications', 'CI/CD', 'Containerization', 'Cloud Computing', 'Cloud Security', 'Cloud Management', 'Service Level Agreement', 'Continuous Delivery', 'Safety Culture', 'Network Monitoring', 'Continuous Integration']",4.7,54000.0,Beginner,Professional Certificate,3 - 6 Months
c/c++,https://www.coursera.org/learn/c-plus-plus-a,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/51/af81efe486417a81ab080be3ed731a/C-PartA.jpg?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&fit=crop&q=50,"University of California, Santa Cruz","C++ For C Programmers, Part A","['C++ (Programming Language)', 'Object Oriented Programming (OOP)', 'Algorithms', 'C (Programming Language)', 'Programming Principles', 'Computer Programming', 'Graph Theory', 'Data Structures']",4.4,2300.0,Intermediate,Course,1 - 3 Months
c/c++,https://www.coursera.org/learn/intro-to-devops,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/7f/a7bcf0d647445c96168281021c2b4d/Introduction-to-DevOps.jpg?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&fit=crop&q=50,IBM,Introduction to DevOps,"['DevOps', 'Agile Methodology', 'Cloud-Native Computing', 'CI/CD', 'Test Driven Development (TDD)', 'Scrum (Software Development)', 'Behavior-Driven Development', 'Performance Metric', 'Accountability', 'Team Oriented', 'Culture Transformation', 'Microservices', 'Cross-Functional Collaboration']",4.8,3600.0,Beginner,Course,1 - 3 Months
c/c++,https://www.coursera.org/specializations/c-go-c-plus-plus,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/57/04bca6a4164084b1194f1ea7f53d0f/CGO-Thumbnail.png?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&fit=crop&q=50,"University of California, Santa Cruz","C, Go, and C++: A Comprehensive Introduction to Programming","['C++ (Programming Language)', 'Go (Programming Language)', 'Debugging', 'C (Programming Language)', 'Data Structures', 'Object Oriented Programming (OOP)', 'Object Oriented Design', 'Software Design Patterns', 'Programming Principles', 'Computer Programming', 'Unit Testing', 'Algorithms', 'Command-Line Interface', 'Program Development', 'Software Design', 'Graph Theory', 'Computer Science', 'Software Testing', 'File Systems', 'Computational Thinking']",4.5,9400.0,Intermediate,Specialization,3 - 6 Months
c/c++,https://www.coursera.org/specializations/c-and-go,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/b9/d8e9ca093d4e0c95d40f7bb74be936/CandGo-Thumbnail-A.png?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&q=50&fit=crop,"University of California, Santa Cruz",C and Go: Classical and Modern Programming,"['Go (Programming Language)', 'Debugging', 'C (Programming Language)', 'Data Structures', 'C++ (Programming Language)', 'Object Oriented Programming (OOP)', 'Programming Principles', 'Computer Programming', 'Unit Testing', 'Algorithms', 'Command-Line Interface', 'Program Development', 'Computer Science', 'Software Testing', 'File Systems', 'Computational Thinking', 'Integration Testing', 'Software Technical Review', 'System Programming', 'File Management']",4.5,7100.0,Intermediate,Specialization,3 - 6 Months
c/c++,https://www.coursera.org/specializations/embedded-software-development-with-c,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/1b/08c33d38014efdbb74f697b0f5ac2c/Embedded-C.jpg?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&q=50&fit=crop,EDUCBA,Embedded Software Development with C,"['Embedded Software', 'C (Programming Language)', 'Embedded Systems', 'Debugging', 'Peripheral Devices', 'Integrated Development Environments', 'Computer Programming Tools', 'Development Environment', 'System Programming', 'Program Development', 'Hardware Architecture', 'Systems Architecture', 'Data Structures', 'Microarchitecture', 'Performance Tuning', 'Computer Architecture', 'C++ (Programming Language)', 'Data Storage', 'Computational Logic', 'Computer Programming']",4.4,131.0,Intermediate,Specialization,3 - 6 Months
c/c++,https://www.coursera.org/specializations/cplusplusunrealgamedevelopment,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/70/d28a28b3b24adc82008ce9acf33155/Specialization-Logo.png?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&q=50&fit=crop,University of Colorado System,C++ Programming for Unreal Game Development,"['Object Oriented Programming (OOP)', 'C++ (Programming Language)', 'Debugging', 'Computer Programming', 'Event-Driven Programming', 'Computer Programming Tools', 'Data Structures', 'Integrated Development Environments', 'Data Storage', 'Software Documentation', 'Program Development', 'Augmented and Virtual Reality (AR/VR)', 'Software Architecture', 'User Interface (UI)', 'Virtual Environment', 'Data Import/Export', 'Software Development', 'File Management', 'Scripting', 'Software Design']",4.5,201.0,Intermediate,Specialization,3 - 6 Months
c/c++,https://www.coursera.org/specializations/c-programming-linux,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/ed/31b9fd7f384a879466cf5d99cd437e/CProgramming_Linux-Coursera800x800.png?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&q=50&fit=crop,Dartmouth College,C Programming with Linux,"['Command-Line Interface', 'C (Programming Language)', 'Linux Commands', 'Embedded Systems', 'Programming Principles', 'Computer Engineering', 'Embedded Software', 'Linux', 'File Systems', 'Engineering Software', 'Build Tools', 'Data Structures', 'Unix', 'Program Development', 'Algorithms', 'Operating Systems', 'System Programming', 'Computer Programming', 'Software Installation', 'Software Documentation']",4.6,396.0,Beginner,Specialization,3 - 6 Months
