skill,link,image_link,partner,title,course_skill,rating,num_review,difficulty,course_type,duration
api design,https://www.coursera.org/learn/api-design-apigee-gcp,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/85/fae0a03ff811e7972e7fa5f98f4f29/5.png?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&fit=crop&q=50,Google Cloud,API Design and Fundamentals of Google Cloud's Apigee API Platform,"['API Design', 'Restful API', 'API Gateway', 'Application Programming Interface (API)', 'Cloud API', 'Application Lifecycle Management', 'Proxy Servers', 'Cloud Applications', 'Software Design Documents', 'Software Documentation', 'Google Cloud Platform', 'Authentications']",4.7,2400,Beginner,Course,1 - 3 Months
api design,https://www.coursera.org/professional-certificates/google-ux-design,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/f9/f48728d31a4af3b8eba082c0b4cb18/1060x596_GCC-photos-1-.png?auto=format%2Ccompress%2C%20enhance&dpr=1&w=320&h=180&fit=crop&q=50&crop=faces,Google,Google UX Design,"['Storyboarding', 'Wireframing', 'UI/UX Research', 'Responsive Web Design', 'User Experience Design', 'Design Thinking', 'User Research', 'Information Architecture', 'Figma (Design Software)', 'Usability Testing', 'User Story', 'Web Design', 'Design Reviews', 'Usability', 'Presentations', 'Design Research', 'Persona (User Experience)', 'Ideation', 'User Centered Design', 'Mockups']",4.8,89000,Beginner,Professional Certificate,3 - 6 Months
api design,https://www.coursera.org/specializations/web-design,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d2j5ihb19pt1hq.cloudfront.net/sdp_page/s12n_logos/webdesign.jpg?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&fit=crop&q=50,University of Michigan,Web Design for Everybody: Basics of Web Development & Coding,"['Wireframing', 'Responsive Web Design', 'HTML and CSS', 'Web Content Accessibility Guidelines', 'Cascading Style Sheets (CSS)', 'Web Design', 'Hypertext Markup Language (HTML)', 'Browser Compatibility', 'Bootstrap (Front-End Framework)', 'Javascript', 'Front-End Web Development', 'User Interface (UI)', 'Verification And Validation', 'Web Development', 'Interactive Design', 'Usability', 'Web Design and Development', 'Application Frameworks', 'Event-Driven Programming', 'Web Applications']",4.7,35000,Beginner,Specialization,3 - 6 Months
api design,https://www.coursera.org/projects/showcase-build-a-website-api-html-javascript-json,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/75/cedcfd3d754f4cb9b3dbb4e13a102c/logo-data-analysis.png?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&fit=crop&q=50,Coursera Project Network,"Build a Website using an API with HTML, JavaScript, and JSON","['JSON', 'Restful API', 'Web Design', 'Cloud API', 'Hypertext Markup Language (HTML)', 'Web Development', 'Application Programming Interface (API)', 'Cascading Style Sheets (CSS)', 'Web Applications', 'Real Time Data', 'Javascript', 'User Interface (UI) Design']",4.0,29,Intermediate,Guided Project,Less Than 2 Hours
api design,https://www.coursera.org/learn/responsive-web-design-adobe-xd,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/04/50876ae23c49f697ebf1e58fe37089/certs_squareresize2.png?auto=format%2Ccompress%2C%20enhance&dpr=1&w=320&h=180&fit=crop&q=50&crop=faces,Google,Build Dynamic User Interfaces (UI) for Websites,"['Responsive Web Design', 'Information Architecture', 'User Experience Design', 'Web Design', 'Design Reviews', 'Usability Testing', 'Wireframing', 'UI/UX Strategy', 'User Research', 'Persona (User Experience)', 'User Interface (UI) Design', 'Prototyping', 'Figma (Design Software)']",4.8,3700,Beginner,Course,1 - 4 Weeks
api design,https://www.coursera.org/specializations/meta-react-native,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/22/fd0bb5fa6640abad2df3b86ed9f13e/front-end-dev6.png?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&fit=crop&q=50,Meta,Meta React Native,"['React Native', 'Jest (JavaScript Testing Framework)', 'Version Control', 'User Research', 'UI/UX Research', 'Usability Testing', 'Unix Commands', 'Restful API', 'Git (Version Control System)', 'Persona (User Experience)', 'GitHub', 'Interaction Design', 'User Experience Design', 'SQL', 'User Interface and User Experience (UI/UX) Design', 'Mobile Development', 'Design Research', 'Cross Platform Development', 'React.js', 'Web Development Tools']",4.6,10000,Beginner,Specialization,3 - 6 Months
api design,https://www.coursera.org/projects/start-your-api-testing-journey-with-postman-tool,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/d5/aa98eaab3a480683a01de1bdd9323b/Black-with-Green-Cube-Computer-Logo-18-.png?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&q=50&fit=crop,Coursera Project Network,Start Your API Testing Journey With Postman Tool,"['Postman API Platform', 'JSON', 'Application Programming Interface (API)', 'Software Testing', 'Restful API', 'Scripting', 'Test Case']",4.4,280,Beginner,Guided Project,Less Than 2 Hours
api design,https://www.coursera.org/projects/api-testing-a-real-application-via-postman,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/43/d2a079cc9e48089f4752b92c77aca8/Black-with-Green-Cube-Computer-Logo-33-.png?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&q=50&fit=crop,Coursera Project Network,API Testing a real web application via Postman,"['Postman API Platform', 'OAuth', 'Application Programming Interface (API)', 'API Design', 'Performance Testing', 'Security Testing', 'Software Testing', 'Restful API', 'Test Tools', 'Authentications', 'Authorization (Computing)']",4.4,59,Beginner,Guided Project,Less Than 2 Hours
api design,https://www.coursera.org/learn/ux-design-jobs,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/07/d505bf933248d9b1a1419f173464b0/certs_squareresize1.png?auto=format%2Ccompress%2C%20enhance&dpr=1&w=320&h=180&q=50&fit=crop&crop=faces,Google,Design a User Experience for Social Good & Prepare for Jobs,"['User Experience Design', 'Persona (User Experience)', 'UI/UX Research', 'User Centered Design', 'Design Thinking', 'Professional Development', 'Usability', 'Interviewing Skills', 'Cross Platform Development', 'Artificial Intelligence', 'Responsive Web Design', 'Web Applications', 'Mobile Development', 'Prototyping', 'Communication', 'Business Planning']",4.9,4400,Beginner,Course,1 - 4 Weeks
api design,https://www.coursera.org/professional-certificates/meta-front-end-developer,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/ed/d25c0d25114924a34754928dbf8273/Front-end-dev-ProCert.png?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&q=50&fit=crop,Meta,Meta Front-End Developer,"['Jest (JavaScript Testing Framework)', 'Version Control', 'User Research', 'UI/UX Research', 'Usability Testing', 'Responsive Web Design', 'Cascading Style Sheets (CSS)', 'Data Structures', 'Unix Commands', 'HTML and CSS', 'Git (Version Control System)', 'Persona (User Experience)', 'GitHub', 'Interaction Design', 'Bootstrap (Front-End Framework)', 'React.js', 'Mobile Development', 'Front-End Web Development', 'Algorithms', 'Web Development Tools']",4.7,22000,Beginner,Professional Certificate,3 - 6 Months
api design,https://www.coursera.org/learn/back-end-developer-capstone,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/c6/d873882b7c45a2a7b32eec109ba969/iOS-dev3.jpg?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&q=50&fit=crop,Meta,Back-End Developer Capstone,"['Back-End Web Development', 'Django (Web Framework)', 'Version Control', 'Git (Version Control System)', 'Authentications', 'Server Side', 'API Design', 'Application Development', 'Restful API', 'Unit Testing', 'MySQL', 'User Accounts', 'Software Testing', 'Web Applications', 'Databases', 'Database Management']",4.6,152,Intermediate,Course,1 - 4 Weeks
api design,https://www.coursera.org/specializations/apigee-api-gcp,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/e6/495f603fdd11e79e71e78acf0bed19/google_AFW_2192_RGB_F2v2.jpg?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&q=50&fit=crop,Google Cloud,Developing APIs with Google Cloud's Apigee API Platform,"['OAuth', 'API Design', 'Restful API', 'API Gateway', 'Application Programming Interface (API)', 'Cloud API', 'CI/CD', 'Authentications', 'Google Cloud Platform', 'Application Lifecycle Management', 'Security Controls', 'Proxy Servers', 'Authorization (Computing)', 'Cloud Applications', 'Application Security', 'Software Design Documents', 'Software Documentation', 'Information Systems Security', 'Network Security', 'Data Security']",4.7,2800,Intermediate,Specialization,3 - 6 Months
