skill,link,image_link,partner,title,course_skill,rating,num_review,difficulty,course_type,duration
docker,https://www.coursera.org/learn/ibm-containers-docker-kubernetes-openshift,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/2f/b00f6d031143e9827bfc954130beb5/200800-Logo.png?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&fit=crop&q=50,IBM,"Introduction to Containers w/ Docker, Kubernetes & OpenShift","['Istio', 'Kubernetes', 'Containerization', 'OpenShift', 'Cloud-Native Computing', 'Docker (Software)', 'DevOps', 'Application Deployment', 'CI/CD', 'Microservices', 'Cloud Platforms', 'Scalability', 'Virtualization', 'Command-Line Interface']",4.4,939,Intermediate,Course,1 - 3 Months
docker,https://www.coursera.org/professional-certificates/ibm-full-stack-cloud-developer,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/18/2aa16c328a457cb910aa933bf2cd87/Professional-Certificate-Cloud-App.jpg?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&fit=crop&q=50,IBM,IBM Full Stack Software Developer,"['Istio', 'Node.JS', 'Software Development Life Cycle', 'Unit Testing', 'Object-Relational Mapping', 'Cloud Computing Architecture', 'Server Side', 'Application Deployment', 'React Redux', 'Kubernetes', 'Cloud Services', 'OpenShift', 'Git (Version Control System)', 'Cloud Applications', 'Full-Stack Web Development', 'HTML and CSS', 'Cloud Computing', 'Jupyter', 'Generative AI', 'Interviewing Skills']",4.6,54000,Beginner,Professional Certificate,3 - 6 Months
docker,https://www.coursera.org/specializations/docker-certified-associate-dca-course,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/14/29c756c5d94bf7b54e4f43b4cdf0c0/Docker---DCA-2-.png?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&fit=crop&q=50,LearnKartS,Docker Certified Associate (DCA),"['Docker (Software)', 'Containerization', 'Application Deployment', 'Microservices', 'Cloud-Native Computing', 'DevOps', 'Devops Tools', 'Data Storage Technologies', 'Development Environment', 'CI/CD', 'Linux Administration', 'YAML', 'Network Architecture', 'Application Lifecycle Management', 'Network Administration', 'Security Controls', 'Network Infrastructure', 'Virtualization', 'Software Installation', 'Software Architecture']",3.7,46,Beginner,Specialization,1 - 3 Months
docker,https://www.coursera.org/specializations/asp-dot-net-experience,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/a7/c9f13936de4766bc5971cddf28292c/ASP.NET-for-Experienced-Developers.png?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&fit=crop&q=50,Board Infinity,ASP.NET for Experienced Developers,"['C# (Programming Language)', 'ASP.NET', '.NET Framework', 'Object Oriented Programming (OOP)', 'Docker (Software)', 'Restful API', 'Azure DevOps', 'Model View Controller', 'JSON', 'Containerization', 'Microservices', 'Web Services', 'DevOps', 'Application Programming Interface (API)', 'Web Applications', 'Back-End Web Development', 'CI/CD', 'Programming Principles', 'Server Side', 'Software Development']",4.1,324,Intermediate,Specialization,1 - 3 Months
docker,https://www.coursera.org/projects/googlecloud-introduction-to-docker-2zs0k,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/54/b57d4f66f4444195b9b2677512b52e/Logo-Image_GC-Projects.png?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&fit=crop&q=50,Google Cloud,Introduction to Docker,"['Docker (Software)', 'Containerization', 'Google Cloud Platform', 'Devops Tools']",4.3,79,Beginner,Project,Less Than 2 Hours
docker,https://www.coursera.org/learn/docker-certified-associate-docker-fundamentals,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/69/a9652510c14744b91c70f1244a5009/DCA-1.png?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&fit=crop&q=50,LearnKartS,Docker Fundamentals,"['Docker (Software)', 'Containerization', 'Microservices', 'Cloud-Native Computing', 'DevOps', 'CI/CD', 'Development Environment', 'Virtualization', 'Software Architecture', 'Systems Architecture']",3.8,38,Beginner,Course,1 - 4 Weeks
docker,https://www.coursera.org/specializations/certified-kubernetes-application-developer-ckad-course,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/bb/5acb2f538f459f9da7777432322802/CKAD-2-.png?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&q=50&fit=crop,LearnKartS,Certified Kubernetes Application Developer (CKAD),"['Kubernetes', 'Docker (Software)', 'Application Deployment', 'Containerization', 'YAML', 'Microservices', 'Cloud-Native Computing', 'CI/CD', 'Devops Tools', 'Scalability', 'DevOps', 'Development Environment', 'Linux Administration', 'Data Storage', 'Performance Tuning', 'Configuration Management', 'General Networking', 'Cloud Computing', 'Infrastructure Architecture', 'Network Administration']",4.0,40,Intermediate,Specialization,1 - 3 Months
docker,https://www.coursera.org/learn/docker-certified-associate-advanced-docker,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/e9/659bde7e234a2a81ae45c5e62104d1/DCA-3.png?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&q=50&fit=crop,LearnKartS,Advanced Docker,"['Docker (Software)', 'Containerization', 'Devops Tools', 'Data Storage Technologies', 'DevOps', 'Microservices', 'YAML', 'Network Architecture', 'Network Administration', 'Security Controls', 'Network Infrastructure', 'Scalability']",3.3,11,Intermediate,Course,1 - 4 Weeks
docker,https://www.coursera.org/learn/docker-for-the-absolute-beginner,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/be/f2467688764f5b9482f701b5608eb5/Docker-Training-Course-For-Absolute-Beginners.png?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&q=50&fit=crop,KodeKloud,Docker for Beginners with Hands-on labs,"['Docker (Software)', 'Containerization', 'Kubernetes', 'Cloud-Native Computing', 'Linux Commands', 'Application Deployment', 'CI/CD', 'DevOps', 'YAML', 'Command-Line Interface', 'Data Storage', 'Computer Networking']",4.6,94,Beginner,Course,1 - 3 Months
docker,https://www.coursera.org/professional-certificates/tensorflow-in-practice,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/ab/8699caa15e413a812e1257b6027f07/Specialization-Logo.png?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&q=50&fit=crop,DeepLearning.AI,DeepLearning.AI TensorFlow Developer,"['Tensorflow', 'Computer Vision', 'Image Analysis', 'Keras (Neural Network Library)', 'Natural Language Processing', 'Time Series Analysis and Forecasting', 'Deep Learning', 'Applied Machine Learning', 'Predictive Modeling', 'Artificial Intelligence and Machine Learning (AI/ML)', 'Artificial Neural Networks', 'Text Mining', 'Forecasting', 'Machine Learning', 'Supervised Learning', 'Data Processing', 'Data Transformation']",4.7,25000,Intermediate,Professional Certificate,3 - 6 Months
