skill,link,image_link,partner,title,course_description,rating,num_review,difficulty,num_lecture,duration,price
active directory,https://www.udemy.com/course/active-directory-group-policy-2012/,https://img-c.udemycdn.com/course/240x135/700114_3644_2.jpg,Paul Hill,Active Directory & Group Policy Lab,Learn REAL job skills and stack your resume with the experience you will gain in this course!,4.6,13650,All Levels,78 lectures,7 total hours,Current price: $99.99
active directory,https://www.udemy.com/course/active-directory-on-windows-server-2016/,https://img-c.udemycdn.com/course/240x135/1344728_2ee3_2.jpg,Kevin Brown,Active Directory on Windows Server,"Learn how to deploy and manage all aspects of Active Directory, Group Policy, DNS and many more technologies",4.6,12078,All Levels,63 lectures,7 total hours,Current price: $89.99
active directory,https://www.udemy.com/course/windows-server-2016-with-powershell-dns/,https://img-c.udemycdn.com/course/240x135/1132376_40c0_4.jpg,Vitalii Shumylo,Administration of Active Directory and Windows Server (2025),"Domain Controllers (DC), Global Catalog, FSMO, Groups, Users, Security, Domains and Forests ,Trusts, GPO, much more..",4.4,337,All Levels,664 lectures,72 total hours,Current price: $34.99
active directory,https://www.udemy.com/course/complete-active-directory-9-hours-bootcamp/,https://img-c.udemycdn.com/course/240x135/2301648_6fde_3.jpg,Vitalii Shumylo,Active Directory and Windows Server 40+ Hour with Labs,"Domain Controllers (DC), Global Catalog, FSMO, Groups, Users, Security, Domains and Forests ,Trusts, GPO, much more..",4.5,536,All Levels,594 lectures,59 total hours,Current price: $84.99
active directory,https://www.udemy.com/course/azure-active-directory-masterclass/,https://img-c.udemycdn.com/course/240x135/4084634_902e.jpg,Kevin Brown,Azure Active Directory Masterclass,Learn to be a Subject Matter Expert (SME) on Azure Active Directory,4.5,2279,All Levels,66 lectures,7 total hours,Current price: $84.99
active directory,https://www.udemy.com/course/powershell-for-active-directory-administrators/,https://img-c.udemycdn.com/course/240x135/1688848_6371_4.jpg,Kevin Brown,PowerShell for Active Directory Administrators,"Use PowerShell to manage Active Directory users, computer, groups, security settings and more on Windows Server",4.5,6900,Intermediate,22 lectures,3 total hours,Current price: $69.99
active directory,https://www.udemy.com/course/active-directory-administration-for-helpdesk-technicians/,https://img-c.udemycdn.com/course/240x135/2631188_6a16_6.jpg,John Courtenay,Mastering Active Directory: Administration and Fundamentals,Essential Skills for Active Directory Administration: Master Active Directory and Group Policy Management,4.5,721,Beginner,27 lectures,,Current price: $34.99
active directory,https://www.udemy.com/course/active-directory-managing-users-accounts-and-properties/,https://img-c.udemycdn.com/course/240x135/2254938_925b_3.jpg,Vitalii Shumylo,Active Directory: Managing Users Accounts and Properties,"Active Directory: Managing Users Accounts, Profiles, Attributes, Properties",4.5,55,All Levels,16 lectures,2 total hours,Current price: $27.99
active directory,https://www.udemy.com/course/getting-started-with-microsoft-active-directory/,https://img-c.udemycdn.com/course/240x135/3815602_c573_2.jpg,Glen Richardson,Getting Started with Microsoft Active Directory,Your path to becoming a great Active Directory Administrator,4.4,105,All Levels,100 lectures,7 total hours,Current price: $44.99
active directory,https://www.udemy.com/course/active-directory-securing-active-directory-domain-services/,https://img-c.udemycdn.com/course/240x135/2491972_8b4e.jpg,Vitalii Shumylo,Active Directory: Securing Active Directory Domain Services,"AD DS Security with Lab: domain controllers, account security, audit authentication, managed service accounts, PSO",4.3,606,,Expert,9.5 total hours,Current price: $54.99
