skill,link,image_link,partner,title,course_description,rating,num_review,difficulty,num_lecture,duration,price
analytical skills,https://www.udemy.com/course/analytics-for-business-strategy/,https://img-c.udemycdn.com/course/240x135/2604586_16a0_2.jpg,Scandinavian Institute of Business Analytics,Analytics for Business Strategy: Core Executive Skills,Learn an analytics-based approach to making strategic decisions for your organization with Excel examples,4.3,111,Intermediate,23 lectures,1.5 total hours,Current price: $49.99
analytical skills,https://www.udemy.com/course/business-analyst-career-blueprint-from-beginner-to-hired/,https://img-c.udemycdn.com/course/240x135/5953488_6577.jpg,Youness Gouiza,Business Analyst Career Blueprint: From Beginner to Hired,"Master the essential skills to become a Business Analyst, from requirements gathering to landing your first job.",4.3,67,All Levels,66 lectures,4 total hours,Current price: $69.99
analytical skills,https://www.udemy.com/course/technical-business-analytics-for-agile-decision-making/,https://img-c.udemycdn.com/course/240x135/4990970_895f_4.jpg,Leo Zhu,"Business Analyst Bootcamp: Excel, Stats, SQL, Tableau","30+ Data Analysis, Business Intelligence, and Decision Making Exercises for Agile Business Analytics",4.5,621,All Levels,95 lectures,23.5 total hours,Current price: $64.99
analytical skills,https://www.udemy.com/course/the-business-intelligence-analyst-course-2018/,https://img-c.udemycdn.com/course/240x135/1653432_3a57_3.jpg,"365 Careers, 365 Team",The Business Intelligence Analyst Course 2025,"The skills you need to become a BI Analyst - Statistics, Database theory, SQL, Tableau – Everything is included",4.6,47217,All Levels,467 lectures,23 total hours,Current price: $109.99
analytical skills,https://www.udemy.com/course/data-analytics-for-business-analysts-tools-and-techniques/,https://img-c.udemycdn.com/course/240x135/6043184_ab01.jpg,Gabriel Ololade,Data Analytics for Business Analysts: Tools and Techniques,"Master Tableau, Business Intelligence, CBAP, and ECBA Skills for Effective Business Analysis",4.5,17,Beginner,8 lectures,,Current price: $19.99
analytical skills,https://www.udemy.com/course/how-to-start-a-career-as-a-business-analyst/,https://img-c.udemycdn.com/course/240x135/1951482_50a5_5.jpg,Justin Butlion,Business Analytics 101: Become A Business Analyst,Learn the basics of business analytics and build your career as a business analyst.,3.9,116,Beginner,25 lectures,2.5 total hours,Current price: $44.99
analytical skills,https://www.udemy.com/course/business-analyst-using-excel/,https://img-c.udemycdn.com/course/240x135/4321408_ab69.jpg,Start-Tech Academy,"Business Analytics: Excel, Stats & Looker Studio [3-in-1]",Essential skills for a business analyst: MS Excel for Data Analysis + Google Looker Studio for Viz + Business Statistics,4.5,398,All Levels,158 lectures,18 total hours,Current price: $79.99
analytical skills,https://www.udemy.com/course/business-analyst-in-it-role-skills-and-responsibilities/,https://img-c.udemycdn.com/course/240x135/4921598_975c_2.jpg,The Interview | Vitali Botvich,"Business Analyst in IT: role, skills and responsibilities",Learn the key business analysis concepts to get the job and thrive in your Business Analyst career,4.5,22,Beginner,8 lectures,1.5 total hours,Current price: $54.99
analytical skills,https://www.udemy.com/course/business-analysis-masterclass/,https://img-c.udemycdn.com/course/240x135/3482742_897a_13.jpg,Meetul Patel,"Business Analysis ""A to Z"" Masterclass",We don't teach. We job Train!,4.6,8331,All Levels,25 lectures,31 total hours,Current price: $79.99
analytical skills,https://www.udemy.com/course/business-analysis-ba/,https://img-c.udemycdn.com/course/240x135/751792_622e_10.jpg,The BA Guide | Jeremy Aschenbrenner,Business Analysis Fundamentals - IIBA endorsed,Gain the core BA skills you need to start strong - and earn PD Hours/CDUs to kickstart your analysis career!,4.5,63374,Beginner,66 lectures,7.5 total hours,Current price: $129.99
