skill,link,image_link,partner,title,course_description,rating,num_review,difficulty,num_lecture,duration,price
microstrategy,https://www.udemy.com/course/microstrategy-for-business-intelligence/,https://img-c.udemycdn.com/course/240x135/3903604_6820.jpg,George Smarts,MicroStrategy for Business Intelligence- The Complete Course,Learn Business Intelligence using the latest 2021 MicroStrategy Desktop application. Develop amazing reporting solutions,4.6,1158,Beginner,39 lectures,3 total hours,Current price: $69.99
microstrategy,https://www.udemy.com/course/microstrategy-course-business-intelligence-dashboard/,https://img-c.udemycdn.com/course/240x135/6231439_465c_3.jpg,Dr. Florian Detzel | BI Academy,MicroStrategy Workstation: Business Intelligence Masterclass,Learn building Business Intelligence Dashboards and Data Visualisation in the brand-new MicroStrategy Workstation.,4.3,12,Beginner,58 lectures,6 total hours,Current price: $69.99
microstrategy,https://www.udemy.com/course/microstrategy/,https://img-c.udemycdn.com/course/240x135/2545439_3c7e_4.jpg,Saad Qureshi,MicroStrategy for Business Intelligence,Comprehensive course on MicroStrategy Desktop and Web Dashboards,4.1,389,All Levels,46 lectures,8 total hours,Current price: $74.99
microstrategy,https://www.udemy.com/course/microstrategy-architect/,https://img-c.udemycdn.com/course/240x135/1869728_74b8.jpg,James Oliver,MicroStrategy Architect,A comprehensive course that covers the basics and advanced concepts required to be a MicroStrategy Architect.,4.5,923,All Levels,28 lectures,2.5 total hours,Current price: $74.99
microstrategy,https://www.udemy.com/course/business-intelligence-with-microstrategy-10-analytics/,https://img-c.udemycdn.com/course/240x135/1520372_b667_6.jpg,Lorenz D.,Business Intelligence with Microstrategy 10 Analytics,Learn about Microstrategy 10. A step-by-step course for beginners with exercises and certificate of completion.,4.2,1638,Beginner,17 lectures,2 total hours,Current price: $59.99
microstrategy,https://www.udemy.com/course/strategy-for-management-consultants-business-analysts/,https://img-c.udemycdn.com/course/240x135/1647046_c11d.jpg,Asen Gyczew,Strategy for Management Consultants & Business Analysts,Top advices from consulting practice with examples and case studies,4.6,11988,Intermediate,139 lectures,6.5 total hours,Current price: $79.99
microstrategy,https://www.udemy.com/course/the-business-intelligence-analyst-course-2018/,https://img-c.udemycdn.com/course/240x135/1653432_3a57_3.jpg,"365 Careers, 365 Team",The Business Intelligence Analyst Course 2025,"The skills you need to become a BI Analyst - Statistics, Database theory, SQL, Tableau – Everything is included",4.6,47217,All Levels,467 lectures,23 total hours,Current price: $109.99
microstrategy,https://www.udemy.com/course/salesforcebusinessanalyst/,https://img-c.udemycdn.com/course/240x135/4746864_2973_4.jpg,"Rapid Reskill by Mike Wheeler, Evan Wheeler",The Complete Salesforce Certified Business Analyst Course,Salesforce Business Analyst Certification Exam - Earn Salesforce's Newest Certification and Learn Business Analysis,3.9,1823,All Levels,92 lectures,5 total hours,Current price: $89.99
microstrategy,https://www.udemy.com/course/technical-business-analytics-for-agile-decision-making/,https://img-c.udemycdn.com/course/240x135/4990970_895f_4.jpg,Leo Zhu,"Business Analyst Bootcamp: Excel, Stats, SQL, Tableau","30+ Data Analysis, Business Intelligence, and Decision Making Exercises for Agile Business Analytics",4.5,621,All Levels,95 lectures,23.5 total hours,Current price: $64.99
microstrategy,https://www.udemy.com/course/microstrategy-data-analytics-business-intelligence-course/,https://img-c.udemycdn.com/course/240x135/4469686_ba00_3.jpg,Amit Kumar,MicroStrategy Data Analytics & Business Intelligence Course,MicroStrategy is a self driven data visualization tool. Drive insight discovery with the data visualization app,2.8,12,Intermediate,40 lectures,8.5 total hours,Current price: $34.99
microstrategy,https://www.udemy.com/course/bpmn-business-process-modelling-for-business-analysts/,https://img-c.udemycdn.com/course/240x135/2898026_1ecd_4.jpg,Peter Vliegenthart,BPMN 2.0 Business Process Modelling for Business Analysts,Become a BPMN 2.0 Expert in 1 day. With this practical hands-on course you will learn proper Business Process Modelling,4.4,843,All Levels,69 lectures,3 total hours,Current price: $54.99
microstrategy,https://www.udemy.com/course/dmn-training-understanding-and-applying-decision-models/,https://img-c.udemycdn.com/course/240x135/5989398_7508_3.jpg,Oliver Berndorf | Senior Business Analyst - Xplore One,DMN for Business Analysts: Decision Modeling made easy,Decision Modeling & Notation - The ideal BPMN extension for efficient business processes.,4.7,13,All Levels,34 lectures,1.5 total hours,Current price: $19.99
microstrategy,https://www.udemy.com/course/prepare-for-the-salesforce-business-analyst-certification/,https://img-c.udemycdn.com/course/240x135/4865350_69f9.jpg,"Emily Call, MBA, Jeremy Call, MSDA",Prepare for the Salesforce Business Analyst Certification,Pass the Salesforce Business Analyst Certification with Ease and Confidence!,5.0,2,All Levels,106 lectures,8.5 total hours,Current price: $44.99
microstrategy,https://www.udemy.com/course/excel-basics-for-busy-individuals/,https://img-c.udemycdn.com/course/240x135/4895064_6ec1_6.jpg,Jacob Coccari,Microsoft Excel Crash Course for Business Analysts,Master Excel for Business Analysis: Unlock the Power of Excel & Accelerate Your Career!,4.6,1007,Beginner,153 lectures,8.5 total hours,Current price: $79.99
microstrategy,https://www.udemy.com/course/the-data-analyst-course-complete-data-analyst-bootcamp/,https://img-c.udemycdn.com/course/240x135/3570337_9b02_6.jpg,365 Careers,The Data Analyst Course: Complete Data Analyst Bootcamp,"Complete Data Analyst Training: Python, NumPy, Pandas, Data Collection, Preprocessing, Data Types, Data Visualization",4.5,21135,All Levels,282 lectures,21.5 total hours,Current price: $149.99
microstrategy,https://www.udemy.com/course/the-agile-dojo-agile-business-analyst/,https://img-c.udemycdn.com/course/240x135/5841904_678d.jpg,"Rian Chapman, The Agile Dojo",The Agile Dojo: Agile Business Analyst,"5 hrs to Master The Agile Business Analyst role: Learn Agile, User Stories, Refinement, Story Mapping, JIRA and more!",4.6,10,All Levels,42 lectures,5 total hours,Current price: $34.99
microstrategy,https://www.udemy.com/course/business-analyst-career-blueprint-from-beginner-to-hired/,https://img-c.udemycdn.com/course/240x135/5953488_6577.jpg,Youness Gouiza,Business Analyst Career Blueprint: From Beginner to Hired,"Master the essential skills to become a Business Analyst, from requirements gathering to landing your first job.",4.3,67,All Levels,66 lectures,4 total hours,Current price: $69.99
microstrategy,https://www.udemy.com/course/miro-for-product-owners-scrum-masters-and-business-analysts/,https://img-c.udemycdn.com/course/240x135/5410358_5b69_3.jpg,Alan Slater,"MIRO For Product Owners, Scrum Masters and Business Analysts","Learn how to Brainstorm, Workshop, Run SCRUM events, develop Product Strategy and more with MIRO Digital white boards",4.8,231,All Levels,47 lectures,3.5 total hours,Current price: $69.99
microstrategy,https://www.udemy.com/course/business-analysis-ba/,https://img-c.udemycdn.com/course/240x135/751792_622e_10.jpg,The BA Guide | Jeremy Aschenbrenner,Business Analysis Fundamentals - IIBA endorsed,Gain the core BA skills you need to start strong - and earn PD Hours/CDUs to kickstart your analysis career!,4.5,63374,Beginner,66 lectures,7.5 total hours,Current price: $129.99
microstrategy,https://www.udemy.com/course/project-management-for-business-analyst/,https://img-c.udemycdn.com/course/240x135/909354_8ed0_8.jpg,The BA Guide | Jeremy Aschenbrenner,Business Analyst: Project Management Techniques and Tools,Learn project management techniques to increase your project success rate as a Business Analyst!,4.5,5406,All Levels,52 lectures,5 total hours,Current price: $89.99
