skill,link,image_link,partner,title,course_description,rating,num_review,difficulty,num_lecture,duration,price
mysql,https://www.udemy.com/course/sql-mysql-for-data-analytics-and-business-intelligence/,https://img-c.udemycdn.com/course/240x135/1405632_6e6f_2.jpg,"365 Careers, 365 Team",SQL - MySQL for Data Analytics and Business Intelligence,"SQL that will get you hired – SQL for Data Science, Data Engineering, Business Analysis, Marketing, and Data Management",4.6,61887,All Levels,333 lectures,12 total hours,Current price: $139.99
mysql,https://www.udemy.com/course/mysql-for-data-analysis/,https://img-c.udemycdn.com/course/240x135/2422318_79c1_5.jpg,"Maven Analytics • 1,500,000 Learners, John Pauler",SQL for Data Analysis: Beginner MySQL Business Intelligence,Learn SQL database analysis & business intelligence w/ MySQL Workbench. Perfect for SQL beginners or first-time coders!,4.6,9682,All Levels,103 lectures,4.5 total hours,Current price: $189.99
mysql,https://www.udemy.com/course/the-business-intelligence-analyst-course-2018/,https://img-c.udemycdn.com/course/240x135/1653432_3a57_3.jpg,"365 Careers, 365 Team",The Business Intelligence Analyst Course 2025,"The skills you need to become a BI Analyst - Statistics, Database theory, SQL, Tableau – Everything is included",4.6,47217,All Levels,467 lectures,23 total hours,Current price: $109.99
mysql,https://www.udemy.com/course/technical-business-analytics-for-agile-decision-making/,https://img-c.udemycdn.com/course/240x135/4990970_895f_4.jpg,Leo Zhu,"Business Analyst Bootcamp: Excel, Stats, SQL, Tableau","30+ Data Analysis, Business Intelligence, and Decision Making Exercises for Agile Business Analytics",4.5,621,All Levels,95 lectures,23.5 total hours,Current price: $64.99
mysql,https://www.udemy.com/course/business-analyst-sql-survival-guide/,https://img-c.udemycdn.com/course/240x135/2111876_25d4.jpg,Daniel Gater,Business Analyst - SQL Survival Guide,"Get started in SQL; learn how databases work, connect to one, and get the data you need.",4.3,116,Beginner,19 lectures,2.5 total hours,Current price: $59.99
mysql,https://www.udemy.com/course/salesforcebusinessanalyst/,https://img-c.udemycdn.com/course/240x135/4746864_2973_4.jpg,"Rapid Reskill by Mike Wheeler, Evan Wheeler",The Complete Salesforce Certified Business Analyst Course,Salesforce Business Analyst Certification Exam - Earn Salesforce's Newest Certification and Learn Business Analysis,3.9,1823,All Levels,92 lectures,5 total hours,Current price: $89.99
mysql,https://www.udemy.com/course/the-data-analyst-course-complete-data-analyst-bootcamp/,https://img-c.udemycdn.com/course/240x135/3570337_9b02_6.jpg,365 Careers,The Data Analyst Course: Complete Data Analyst Bootcamp,"Complete Data Analyst Training: Python, NumPy, Pandas, Data Collection, Preprocessing, Data Types, Data Visualization",4.5,21135,All Levels,282 lectures,21.5 total hours,Current price: $149.99
mysql,https://www.udemy.com/course/my-sql-excel-pivots-charts-tableau-4-in-1/,https://img-c.udemycdn.com/course/240x135/5344522_650d_7.jpg,Raghvan Bhattacharya,Business Intelligence Analyst Course,40+ hours : Become a BI Analyst - Learn to query database using MySQL | Excel | Tableau Desktop Specialist for BI,4.2,11,All Levels,186 lectures,42.5 total hours,Current price: $49.99
mysql,https://www.udemy.com/course/business-and-data-analysis-with-sql/,https://img-c.udemycdn.com/course/240x135/1629684_c896_7.jpg,Geoffrey Devitt,SQL Essentials for Business Analysts and Data Professionals,Mastering SQL: Essential Skills for Data and Business Analysts,4.2,110,Intermediate,39 lectures,5.5 total hours,Current price: $59.99
mysql,https://www.udemy.com/course/excel-basics-for-busy-individuals/,https://img-c.udemycdn.com/course/240x135/4895064_6ec1_6.jpg,Jacob Coccari,Microsoft Excel Crash Course for Business Analysts,Master Excel for Business Analysis: Unlock the Power of Excel & Accelerate Your Career!,4.6,1007,Beginner,153 lectures,8.5 total hours,Current price: $79.99
mysql,https://www.udemy.com/course/advanced-sql-mysql-for-analytics-business-intelligence/,https://img-c.udemycdn.com/course/240x135/2554557_5a12_4.jpg,"Maven Analytics • 1,500,000 Learners, John Pauler",Advanced SQL: MySQL for Ecommerce Data Analysis,"Learn advanced SQL data analysis & business intelligence with SQL + MySQL Workbench, with real-world Ecommerce projects!",4.7,5779,All Levels,103 lectures,8 total hours,Current price: $159.99
mysql,https://www.udemy.com/course/data-analysis-business-intelligence-advanced-mysql/,https://img-c.udemycdn.com/course/240x135/4635122_734f.jpg,Mohannad Alhariri,Business Intelligence & Data analysis | Advanced MySQL,Learn Advanced MySQL skills in real-world project as a Senior data analyst,4.5,14,All Levels,42 lectures,7 total hours,Current price: $149.99
mysql,https://www.udemy.com/course/the-ultimate-mysql-bootcamp-go-from-sql-beginner-to-expert/,https://img-c.udemycdn.com/course/240x135/1187016_51b3.jpg,Colt Steele,The Ultimate MySQL Bootcamp: Go from SQL Beginner to Expert,"JUST COMPLETELY REDONE!  Master SQL, Work With Complex Databases, Build Reports, and More!",4.6,101257,Beginner,383 lectures,22 total hours,Current price: $119.99
mysql,https://www.udemy.com/course/project-management-for-business-analyst/,https://img-c.udemycdn.com/course/240x135/909354_8ed0_8.jpg,The BA Guide | Jeremy Aschenbrenner,Business Analyst: Project Management Techniques and Tools,Learn project management techniques to increase your project success rate as a Business Analyst!,4.5,5406,All Levels,52 lectures,5 total hours,Current price: $89.99
mysql,https://www.udemy.com/course/sql-data-analyst-sql-microsoft-sql-postgresql-mysql/,https://img-c.udemycdn.com/course/240x135/4259018_16b9_2.jpg,Bluelime Learning Solutions,"SQL Data Analyst -  SQL , Microsoft SQL, PostgreSQL, MySQL",Hands-On Data Analysis with SQL,4.2,252,Beginner,108 lectures,10.5 total hours,Current price: $54.99
mysql,https://www.udemy.com/course/data-analytics-career-track/,https://img-c.udemycdn.com/course/240x135/5787046_e749_10.jpg,Shahriar's Sight Academy,Data Analytics Career Path: 72 Days of Data Analyst Bootcamp,"Learn Excel, MySQL, Python, PowerBI, ChatGPT for A-Z Data Analysis. Become a Full-Packed Data Analyst. [5 Courses in 1]",4.3,958,All Levels,359 lectures,34.5 total hours,Current price: $79.99
mysql,https://www.udemy.com/course/bpmn-for-business-analysts/,https://img-c.udemycdn.com/course/240x135/599732_533f_5.jpg,Zbigniew Misiak,BPMN for business analysts,Learn the best practices of process modeling and analysis with Business Process Model and Notation (BPMN 2.0) standard,4.4,5026,All Levels,84 lectures,5.5 total hours,Current price: $84.99
mysql,https://www.udemy.com/course/business-analyst-certification/,https://img-c.udemycdn.com/course/240x135/5443154_98a0_3.jpg,ARSCCOM Learning,Business Analyst Certification,"Your Complete Guide to Business Process Improvement, Digital Strategy, and BA Certification",4.3,80,Beginner,33 lectures,3 total hours,Current price: $54.99
mysql,https://www.udemy.com/course/essentials-of-business-analysis/,https://img-c.udemycdn.com/course/240x135/5522158_f62d_5.jpg,"TIA Education, Andrew Ramdayal",The Essentials of Business Analyst- 6 PDUs,Learn the Basis of Business Analysis to Enhance Your Career,4.6,1171,All Levels,50 lectures,3.5 total hours,Current price: $19.99
mysql,https://www.udemy.com/course/becoming-a-production-mysql-dba/,https://img-c.udemycdn.com/course/240x135/3258712_0553_2.jpg,Abid Malik,Becoming a Production MySQL DBA,An awesome journey towards world's most popular open source database to become a Production MySQL DBA.,4.6,740,,Expert,19.5 total hours,Current price: $84.99
