skill,link,image_link,partner,title,course_description,rating,num_review,difficulty,num_lecture,duration,price
powerpoint,https://www.udemy.com/course/powerpoint-business-presentations-data-visualization/,https://img-c.udemycdn.com/course/240x135/4775628_54af_4.jpg,Andrew Pach,PowerPoint Business Presentations & Data Visualization,Learn how to create a business PowerPoint presentation and use data visualization in Microsoft PowerPoint.,4.6,1959,All Levels,90 lectures,4 total hours,Current price: $79.99
powerpoint,https://www.udemy.com/course/essential-powerpoint-for-management-consultants-analysts/,https://img-c.udemycdn.com/course/240x135/4218086_66f9.jpg,Asen Gyczew,Essential PowerPoint for Management Consultants & Analysts,A practical guide on how to create slides fast & efficiently during consulting projects,4.2,607,Intermediate,63 lectures,3 total hours,Current price: $59.99
powerpoint,https://www.udemy.com/course/case-study-powerpoint-2013-presentation-slide-by-slide/,https://img-c.udemycdn.com/course/240x135/384496_f770_22.jpg,Andrew Pach,Powerpoint 2016 2019 365 - Master powerpoint presentation,"Complete Powerpoint Masterclass, 20+ powerpoint 365 presentation slides. Learn Microsoft Powerpoint beginner to advanced",4.6,22794,All Levels,163 lectures,10 total hours,Current price: $99.99
powerpoint,https://www.udemy.com/course/the-complete-financial-analyst-course/,https://img-c.udemycdn.com/course/240x135/648826_f0e5_4.jpg,365 Careers,The Complete Financial Analyst Course 2025,"Excel, Accounting, Financial Statement Analysis, Business Analysis, Financial Math, PowerPoint: Everything is Included!",4.6,94291,All Levels,381 lectures,22.5 total hours,Current price: $199.99
powerpoint,https://www.udemy.com/course/powerpoint-visual-storytelling-course-for-presentations/,https://img-c.udemycdn.com/course/240x135/6091241_5c4c_2.jpg,Andrew Pach,PowerPoint Visual Storytelling for Business Presentations,Learn Visual storytelling in PowerPoint and how to create and present a PowerPoint presentation (presentation skills).,4.3,204,All Levels,61 lectures,3.5 total hours,Current price: $69.99
powerpoint,https://www.udemy.com/course/business-presentation-skills-training-bpst-with-powerpoint/,https://img-c.udemycdn.com/course/240x135/1454806_17fc_3.jpg,Ashish Agarwal,Business Presentation in PowerPoint,"Master how to create a client-ready presentation - ideal for investment banking, consulting and business professionals.",4.4,5329,All Levels,193 lectures,5.5 total hours,Current price: $74.99
powerpoint,https://www.udemy.com/course/the-business-intelligence-analyst-course-2018/,https://img-c.udemycdn.com/course/240x135/1653432_3a57_3.jpg,"365 Careers, 365 Team",The Business Intelligence Analyst Course 2025,"The skills you need to become a BI Analyst - Statistics, Database theory, SQL, Tableau – Everything is included",4.6,47217,All Levels,467 lectures,23 total hours,Current price: $109.99
powerpoint,https://www.udemy.com/course/charts-and-data-visualization-in-powerpoint/,https://img-c.udemycdn.com/course/240x135/5916258_8891_2.jpg,Andrew Pach,PowerPoint Charts & Data Visualization for Business,Learn everything about Charts in PowerPoint. Learn how to choose the right chart type for your Data Visualization.,4.6,702,All Levels,51 lectures,3 total hours,Current price: $69.99
powerpoint,https://www.udemy.com/course/salesforcebusinessanalyst/,https://img-c.udemycdn.com/course/240x135/4746864_2973_4.jpg,"Rapid Reskill by Mike Wheeler, Evan Wheeler",The Complete Salesforce Certified Business Analyst Course,Salesforce Business Analyst Certification Exam - Earn Salesforce's Newest Certification and Learn Business Analysis,3.9,1823,All Levels,92 lectures,5 total hours,Current price: $89.99
powerpoint,https://www.udemy.com/course/technical-business-analytics-for-agile-decision-making/,https://img-c.udemycdn.com/course/240x135/4990970_895f_4.jpg,Leo Zhu,"Business Analyst Bootcamp: Excel, Stats, SQL, Tableau","30+ Data Analysis, Business Intelligence, and Decision Making Exercises for Agile Business Analytics",4.5,621,All Levels,95 lectures,23.5 total hours,Current price: $64.99
powerpoint,https://www.udemy.com/course/powerpoint-for-consulting-and-business-presentations/,https://img-c.udemycdn.com/course/240x135/4953844_0095_2.jpg,Kevin Foo,PowerPoint for Consulting and Business presentations,"A practical guide to the creation of well structured, effective, and aesthetic PowerPoint slides",4.2,170,Beginner,28 lectures,2 total hours,Current price: $34.99
powerpoint,https://www.udemy.com/course/microsoft-powerpoint-beginner-to-advanced-x/,https://img-c.udemycdn.com/course/240x135/2619774_41ee_2.jpg,"Kyle Pew, Office Newb",Microsoft PowerPoint From Beginner to Advanced,Go from Zero to Microsoft PowerPoint Presenter Extraordinaire. Downloadable Exercise Files to Follow Along.,4.7,20756,All Levels,89 lectures,7 total hours,Current price: $89.99
powerpoint,https://www.udemy.com/course/the-financial-analyst-skills-training-fast-course-2017/,https://img-c.udemycdn.com/course/240x135/1053272_79a3_3.jpg,Ashish Agarwal,Finance Training for Financial Analysts,"The comprehensive course in Excel, Accounting, Financial Analysis, Forecasting, Business Valuation and PowerPoint.",4.4,1236,All Levels,150 lectures,10 total hours,Current price: $69.99
powerpoint,https://www.udemy.com/course/create-professional-powerpoint-from-beginner-to-expert/,https://img-c.udemycdn.com/course/240x135/5681934_2f67_4.jpg,Mei Ying Ng,Create Professional PowerPoint: From Beginner to Expert,"Learn visual hierarchy, layout, and design techniques to create professional PowerPoint designs",4.8,253,All Levels,41 lectures,3 total hours,Current price: $74.99
powerpoint,https://www.udemy.com/course/complete-powerpoint-presentation-design/,https://img-c.udemycdn.com/course/240x135/1406474_cadf_7.jpg,Andrew Pach,PowerPoint Masterclass - Presentation Design & Animation,Microsoft PowerPoint presentation slides and animation. Microsoft PowerPoint 2016 2019 and 365 beginner to expert!,4.7,7021,Intermediate,151 lectures,10 total hours,Current price: $94.99
powerpoint,https://www.udemy.com/course/powerpoint-design-for-business-presentations-full-edition/,https://img-c.udemycdn.com/course/240x135/4982410_463d_2.jpg,Mark James Normand,PowerPoint Design for Business Presentations: Full Edition,The Latest PowerPoint Course that transforms dry business slides into Compelling Content and provides a Creative WOW!,4.7,38,All Levels,60 lectures,15.5 total hours,Current price: $39.99
powerpoint,https://www.udemy.com/course/essential-presentations-for-business-analysts-and-consultant/,https://img-c.udemycdn.com/course/240x135/1268052_5313.jpg,Asen Gyczew,Essential Presentations for Business Analysts and Consultant,A practical guide on how to create a killer presentation efficiently with examples from management consulting,4.6,313,Intermediate,56 lectures,2 total hours,Current price: $49.99
powerpoint,https://www.udemy.com/course/project-management-for-business-analyst/,https://img-c.udemycdn.com/course/240x135/909354_8ed0_8.jpg,The BA Guide | Jeremy Aschenbrenner,Business Analyst: Project Management Techniques and Tools,Learn project management techniques to increase your project success rate as a Business Analyst!,4.5,5406,All Levels,52 lectures,5 total hours,Current price: $89.99
powerpoint,https://www.udemy.com/course/powerpoint-master-class-for-business-and-finance-graduates/,https://img-c.udemycdn.com/course/240x135/383414_6091_5.jpg,365 Careers,Beginner to Pro in PowerPoint: Complete PowerPoint Training,PowerPoint lessons that are easy to apply at work! Become the top PowerPoint user in your office. #1 PowerPoint training,4.5,13966,All Levels,90 lectures,6.5 total hours,Current price: $99.99
powerpoint,https://www.udemy.com/course/powerpoint-speed-training/,https://img-c.udemycdn.com/course/240x135/157542_07d7_13.jpg,Taylor Croonquist,Advanced PowerPoint Training,PowerPoint Training That Actually Works. NEW and UPDATED for Microsoft 365 (PowerPoint 2019).,4.6,3193,Intermediate,85 lectures,9 total hours,Current price: $79.99
