skill,link,image_link,partner,title,course_description,rating,num_review,difficulty,num_lecture,duration,price
sap wm,https://www.udemy.com/course/sap-ewm-full-consultant-course-for-beginners-110-hours/,https://img-c.udemycdn.com/course/240x135/5923872_d905_3.jpg,Studyuuu SAP MM/EWM,SAP EWM - Full Consultant course (beginners) - 80 hours,SAP EWM Consultant full course from scratch,4.5,94,Beginner,32 lectures,55 total hours,Current price: $19.99
sap wm,https://www.udemy.com/course/sap-extended-warehouse-management-ewm-business-process/,https://img-c.udemycdn.com/course/240x135/5566666_7466_2.jpg,Key User Training,SAP Extended Warehouse Management (EWM) : Business Process,Discover SAP Extended Warehouse Management (EWM) Business Processes under S4/HANA (SAP GUI & Fiori),4.5,37,All Levels,79 lectures,5 total hours,Current price: $64.99
sap wm,https://www.udemy.com/course/sap-extended-warehouse-management/,https://img-c.udemycdn.com/course/240x135/5161914_a745.jpg,Sunil M,SAP EWM - SAP Extended Warehouse management,SAP Extended Warehouse Management (Decentralized EWM & S4HANA Embedded EWM),4.1,518,All Levels,68 lectures,67.5 total hours,Current price: $79.99
sap wm,https://www.udemy.com/course/sap-ewm-certification-assessment-c_s4ewm_2023/,https://img-c.udemycdn.com/course/240x135/6319895_a656.jpg,Studyuuu SAP MM/EWM,SAP EWM Certification Assessment(Practice) - C_S4EWM_2023,Latest Practice Questions for SAP EWM (Extended Warehouse Management) - C_S4EWM_2023,3.5,21,All Levels,160 questions,,Current price: $44.99
sap wm,https://www.udemy.com/course/sap-ewm-customizing-additional-topics-in-ewm/,https://img-c.udemycdn.com/course/240x135/5407076_4809.jpg,Sunil M,SAP EWM : Customizing additional Topics in EWM,SAP Extended Warehouse management,4.7,11,All Levels,16 lectures,11 total hours,Current price: $19.99
sap wm,https://www.udemy.com/course/sap-business-analyst-erp-ba-ba-role-in-sdmmfi/,https://img-c.udemycdn.com/course/240x135/3993946_d755_5.jpg,Brian UYI,"SAP Business Analyst / ERP BA / BA Role in SD,MM,FI.","SAP Business Analyst / ERP Business Analyst  / Business Analyst  Role in SD,MM,FI Functionality.",4.0,201,Beginner,7 lectures,2 total hours,Current price: $34.99
sap wm,https://www.udemy.com/course/sapbusinessanalyst-erpbusinessanalyst-barole-in-sdmmfi-part2/,https://img-c.udemycdn.com/course/240x135/4210774_fe80_2.jpg,Brian UYI,"SAP Business Analyst / ERP BA / BA Role in SD,MM,FI. PART 2","SAP Business Analyst / ERP Business Analyst  / Business Analyst  Role in SD,MM,FI Functionality.",4.4,21,Intermediate,32 lectures,10 total hours,Current price: $49.99
sap wm,https://www.udemy.com/course/sap-extended-warehouse-management-the-fundamentals-of-ewm/,https://img-c.udemycdn.com/course/240x135/3386602_4e11_9.jpg,KnowYour EWM,SAP Extended Warehouse Management - Fundamentals of SAP EWM,The ultimate Beginners Guide through the SAP EWM - Build the best foundation for your career in SAP EWM 9.5 and S/4 HANA,4.4,2234,All Levels,16 lectures,2 total hours,Current price: $39.99
sap wm,https://www.udemy.com/course/sap-for-beginners-2021/,https://img-c.udemycdn.com/course/240x135/4289598_9aaf_17.jpg,Artur Paziewski,SAP for Beginners course | SAP ERP with practice,SAP ERP practical training with business examples and practice on the newest SAP HANA system,4.5,14446,Beginner,27 lectures,4.5 total hours,Current price: $89.99
sap wm,https://www.udemy.com/course/sap-wm-warehouse-management-training/,https://img-c.udemycdn.com/course/240x135/2172042_78e3_3.jpg,Uplatz Training,SAP Warehouse Management (WM): Practical Implementation,Learn SAP WM module with practical scenarios in this course. Become SAP WM Consultant and prepare for SAP Certification.,3.9,599,All Levels,30 lectures,22.5 total hours,Current price: $49.99
sap wm,https://www.udemy.com/course/sap-ewm-training/,https://img-c.udemycdn.com/course/240x135/2782430_8071_7.jpg,Uplatz Training,SAP EWM (Extended Warehouse Management) Certification Course,Become SAP EWM Consultant with this in-depth training on SAP Extended Warehouse Management. Learn SAP EWM with S/4HANA.,3.3,108,All Levels,12 lectures,36 total hours,Current price: $44.99
sap wm,https://www.udemy.com/course/salesforcebusinessanalyst/,https://img-c.udemycdn.com/course/240x135/4746864_2973_4.jpg,"Rapid Reskill by Mike Wheeler, Evan Wheeler",The Complete Salesforce Certified Business Analyst Course,Salesforce Business Analyst Certification Exam - Earn Salesforce's Newest Certification and Learn Business Analysis,3.9,1823,All Levels,92 lectures,5 total hours,Current price: $89.99
sap wm,https://www.udemy.com/course/sap-s4hana-erp/,https://img-c.udemycdn.com/course/240x135/4768966_c12d.jpg,"Allen Sun, Michael Todd, Fredrick Higgins",The Ultimate SAP S/4HANA Course 2025: From Zero to Expert,SAP ERP for absolute beginners: Become an in-demand SAP consultant through real-world projects,4.4,9379,All Levels,168 lectures,7.5 total hours,Current price: $74.99
sap wm,https://www.udemy.com/course/full-course-sap-s4-ewm-sap-extended-warehouse-management/,https://img-c.udemycdn.com/course/240x135/5325640_4031_5.jpg,Rohit Navgere,Full Course SAP S/4 EWM - SAP Extended Warehouse management,Complete SAP S/4 HANA EWM training sessions from Basic to Advanced,4.4,266,All Levels,45 lectures,52.5 total hours,Current price: $54.99
sap wm,https://www.udemy.com/course/sap-extended-warehouse-management-become-certified/,https://img-c.udemycdn.com/course/240x135/5434760_5438.jpg,Key User Training,SAP Extended Warehouse Management (EWM) : become Certified !,"Gear Up for the SAP Certified Application Associate - SAP Extended Warehouse Management (C_S4EWM_1909, C_S4EWM_2020)",4.5,15,All Levels,248 questions,,Current price: $19.99
sap wm,https://www.udemy.com/course/sap-basis-administrator/,https://img-c.udemycdn.com/course/240x135/2464676_59ac_6.jpg,SAP  Buddy,SAP Basis Administration,"Learn everything you need to know to become and SAP Basis Administrator, will prepare from start to be an SAP Consultant",4.5,6439,,Expert,40 total hours,Current price: $79.99
sap wm,https://www.udemy.com/course/sap-abap-for-sap-functional-consultants/,https://img-c.udemycdn.com/course/240x135/5998886_bfa3.jpg,Vin WC,SAP ABAP For SAP Functional Consultants,SAP ABAP For SAP Functional Consultants,4.4,197,All Levels,55 lectures,49.5 total hours,Current price: $19.99
sap wm,https://www.udemy.com/course/the-data-analyst-course-complete-data-analyst-bootcamp/,https://img-c.udemycdn.com/course/240x135/3570337_9b02_6.jpg,365 Careers,The Data Analyst Course: Complete Data Analyst Bootcamp,"Complete Data Analyst Training: Python, NumPy, Pandas, Data Collection, Preprocessing, Data Types, Data Visualization",4.5,21135,All Levels,282 lectures,21.5 total hours,Current price: $149.99
sap wm,https://www.udemy.com/course/sap-ewm-110-basic-customizing-pt2/,https://img-c.udemycdn.com/course/240x135/3639342_26c4_2.jpg,KnowYour EWM,SAP Extended Warehouse Management - Customizing SAP EWM,Improve your skills and learn how to customize SAP Extended Warehouse Management - Basic Customizing of EWM,4.6,663,All Levels,100 lectures,9.5 total hours,Current price: $99.99
sap wm,https://www.udemy.com/course/sap-s4hana-extended-warehouse-management-ewm/,https://img-c.udemycdn.com/course/240x135/4770074_3c64.jpg,Victor Tran,SAP S/4HANA Extended Warehouse Management (EWM),"Practice test for SAP S/4HANA Extended Warehouse Management (EWM) Exam & Certification (1909, 2020)",4.4,19,All Levels,320 questions,,Current price: $44.99
