skill,link,image_link,partner,title,course_description,rating,num_review,difficulty,num_lecture,duration,price
hive,https://www.udemy.com/course/the-big-data-developer-course/,https://img-c.udemycdn.com/course/240x135/4870802_1653_5.jpg,Deesa Technologies,"Mastering Big Data: Spark, Scala, Kafka, Hadoop,Hive & More","Complete Hands-On Developer Guide to Modern Big Data Tools like Hadoop, Hive, Spark, Scala, Kafka, NIFI, HBase and more",4.4,140,All Levels,197 lectures,33.5 total hours,Current price: $64.99
hive,https://www.udemy.com/course/mastering-hive-from-basics-to-advanced-big-data-analysis/,https://img-c.udemycdn.com/course/240x135/6050191_12b6_2.jpg,EDUCBA Bridging the Gap,Mastering Hive: From Basics to Advanced Big Data Analysis,"Unlock the power of Hive for big data management and analytics, from beginner to expert level!",4.9,5,All Levels,190 lectures,23.5 total hours,Current price: $19.99
hive,https://www.udemy.com/course/the-ultimate-hands-on-hadoop-tame-your-big-data/,https://img-c.udemycdn.com/course/240x135/996228_af5f_3.jpg,"Sundog Education by Frank Kane, Frank Kane, Sundog Education Team",The Ultimate Hands-On Hadoop: Tame your Big Data!,"Data Engineering and Hadoop tutorial with MapReduce, HDFS, Spark, Flink, Hive, HBase, MongoDB, Cassandra, Kafka + more!",4.6,30658,All Levels,104 lectures,14.5 total hours,Current price: $139.99
hive,https://www.udemy.com/course/hadoop-querying-tool-hive-to-advance-hivereal-time-usage/,https://img-c.udemycdn.com/course/240x135/1286120_1ad8_10.jpg,J Garg,Hive to ADVANCE Hive (Real time usage) :Hadoop querying tool,In and Out of Apache Hive - From Basic to Advance Hive (Real-world concepts) + Use cases asked in Hive interviews,4.5,6011,All Levels,77 lectures,7 total hours,Current price: $74.99
hive,https://www.udemy.com/course/hands-on-hadoop-masterclass-tame-the-big-data/,https://img-c.udemycdn.com/course/240x135/1978354_c650_4.jpg,EDUCBA Bridging the Gap,Big Data: Hadoop| MapReduce| Hive| Pig| NoSQL| Mahout| Oozie,"Learn Hadoop, HDFS, MapReduce, Hive, Pig, NoSQL, Mahout, Oozie, Flume, Storm, Avro, Spark, Projects and Case studies.",3.9,490,All Levels,532 lectures,68 total hours,Current price: $34.99
hive,https://www.udemy.com/course/apache-hive-for-data-engineers-hands-on/,https://img-c.udemycdn.com/course/240x135/4394060_67f4.jpg,Bigdata Engineer,Apache Hive for Data Engineers (Hands On) with 2 Projects,"Learn everything about Apache Hive a modern, data warehouse.",3.9,38,Beginner,97 lectures,6.5 total hours,Current price: $54.99
hive,https://www.udemy.com/course/cca-159-data-analyst-using-sqoop-hive-and-impala/,https://img-c.udemycdn.com/course/240x135/2341082_0c5a_4.jpg,"Durga Viswanatha Raju Gadiraju, Madhuri Gadiraju, Sathvika Dandu, Pratik Kumar, Sai Varma, Phani Bhushan Bozzam, Siva Kalyan Geddada, Anushka Chakraborty","Sqoop, Hive and Impala for Data Analysts (Formerly CCA 159)","Hands on Sqoop, Hive and Impala for Data Analysts",4.1,714,Intermediate,233 lectures,20.5 total hours,Current price: $49.99
hive,https://www.udemy.com/course/big-data-ingestion-using-sqoop-and-flume-cca-and-hdpcd/,https://img-c.udemycdn.com/course/240x135/2170564_8911_17.jpg,Navdeep Kaur,Data Engineering Master Course: Spark/Hadoop/Kafka/MongoDB,Full Hands on course to become Big Data Engineer: Spark/Kafka/Hadoop/Flume/Hive/Sqoop/MongoDB. Data Engineering course.,4.5,1966,All Levels,151 lectures,12 total hours,Current price: $69.99
hive,https://www.udemy.com/course/from-0-to-1-hive/,https://img-c.udemycdn.com/course/240x135/857298_e6aa_2.jpg,Loony Corn,From 0 to 1: Hive for Processing Big Data,"End-to-End Hive : HQL, Partitioning, Bucketing, UDFs, Windowing, Optimization, Map Joins, Indexes",4.5,958,All Levels,87 lectures,15.5 total hours,Current price: $74.99
hive,https://www.udemy.com/course/data-architecture-for-data-engineers/,https://img-c.udemycdn.com/course/240x135/6268045_b022.jpg,Manas Jain,Data Architecture for Data Engineers: Practical Approaches,"Building Scalable, Efficient Data Solutions with Real-World Applications",4.5,119,All Levels,41 lectures,4 total hours,Current price: $69.99
hive,https://www.udemy.com/course/big-data-engineering-bootcamp-with-gcp-and-azure-cloud/,https://img-c.udemycdn.com/course/240x135/6242299_e787.jpg,"Krish Naik, Mayank Aggarwal, KRISHAI Technologies Private Limited","Big Data Engineering Bootcamp with GCP, and Azure Cloud","Master Big Data with Hadoop, Spark, Kafka & Cloud | Build Real-World Projects & Scalable Data Pipelines from Scratch",4.7,357,All Levels,301 lectures,73.5 total hours,Current price: $44.99
hive,https://www.udemy.com/course/data-architecture-for-data-scientists/,https://img-c.udemycdn.com/course/240x135/5295982_ca3c_3.jpg,Biju Krishnan,Data Architecture for Data Scientists,"Datawarehouse, Data Lake, Data Lakehouse, Data Mesh, Kafka, Lambda & Kappa architecture, Feature Store, Vector DB & more",4.6,849,Intermediate,37 lectures,2.5 total hours,Current price: $69.99
hive,https://www.udemy.com/course/the-data-analyst-course-complete-data-analyst-bootcamp/,https://img-c.udemycdn.com/course/240x135/3570337_9b02_6.jpg,365 Careers,The Data Analyst Course: Complete Data Analyst Bootcamp,"Complete Data Analyst Training: Python, NumPy, Pandas, Data Collection, Preprocessing, Data Types, Data Visualization",4.5,21135,All Levels,282 lectures,21.5 total hours,Current price: $149.99
hive,https://www.udemy.com/course/complete-apache-hive-hadoop-course/,https://img-c.udemycdn.com/course/240x135/2748158_3609.jpg,Hive Zone,The Complete Apache Hive and Hadoop Course,Leverage your knowledge of SQL to easily write distributed data processing applications on Hadoop using Hive.,3.3,13,All Levels,24 lectures,1.5 total hours,Current price: $29.99
hive,https://www.udemy.com/course/salesforce-certified-data-architect-course/,https://img-c.udemycdn.com/course/240x135/4480780_cb46_2.jpg,Walid El Horr,Salesforce Data Architect Course,"Get your Salesforce Data Architect certification with this course, aligned with the Spring 23 exam guide objectives",4.5,435,Intermediate,68 lectures,10 total hours,Current price: $59.99
hive,https://www.udemy.com/course/learn-data-lake-fundamentals/,https://img-c.udemycdn.com/course/240x135/5655698_f3ae_6.jpg,George Smarts,Data Lake Fundamentals - A Comprehensive Data Lakes Guide,"Learn the Data Lake Essentials: Data Architecture, Benefits, Implementation, Tools, Best Practices of a modern Data Lake",4.5,513,Beginner,40 lectures,2 total hours,Current price: $54.99
