skill,link,image_link,partner,title,course_description,rating,num_review,difficulty,num_lecture,duration,price
d3.js,https://www.udemy.com/course/learn-d3js-for-data-visualization/,https://img-c.udemycdn.com/course/240x135/1368106_1b2b_2.jpg,Luis Ramirez Jr,Learn and Understand D3.js for Data Visualization,Dive deep under the hood of D3.js. Learn core concepts and build stunning data visualizations using D3 version 7,4.6,1759.0,All Levels,92 lectures,9 total hours,Current price: $74.99
d3.js,https://www.udemy.com/course/masteringd3js/,https://img-c.udemycdn.com/course/240x135/1360998_ccfe_6.jpg,Adam Janes,Mastering data visualization in D3.js,Design and build beautiful data visualizations with d3.js. An intensive introduction to the D3 library (V6).,4.6,5380.0,Intermediate,95 lectures,6.5 total hours,Current price: $84.99
d3.js,https://www.udemy.com/course/d3jsbasics/,https://img-c.udemycdn.com/course/240x135/2945236_aedc.jpg,Sunrise E-Learning,D3.js Data Visualization Fundamentals - Hands On,Design and build beautiful data visualizations with d3.js. A practical hands on approach to learning the D3 library.,4.6,3904.0,Beginner,47 lectures,4.5 total hours,Current price: $49.99
d3.js,https://www.udemy.com/course/d3js-the-art-of-data-visualization/,https://img-c.udemycdn.com/course/240x135/3086988_12f0_5.jpg,Marek Pilczuk,D3.js - the art of data visualization,Mastering data visualization with the D3 library,4.7,49.0,All Levels,53 lectures,7.5 total hours,Current price: $49.99
d3.js,https://www.udemy.com/course/data-visualization-react-d3/,https://img-c.udemycdn.com/course/240x135/5192454_c060_3.jpg,Caleb Diehl,Data Visualization in JavaScript with React and D3.js,Build beautiful data visualizations and visualization tools with JavaScript,4.6,49.0,Intermediate,29 lectures,3 total hours,Current price: $64.99
d3.js,https://www.udemy.com/course/d3js-data-visualization-projects/,https://img-c.udemycdn.com/course/240x135/1676620_9eb7_4.jpg,Crypters Infotech,D3.js in Action: Build 17 D3.js Data Visualization Projects,D3.js (V 5) from Scratch! Build Useful D3.js Data Visualization Projects! D3.js for Beginners,4.6,325.0,All Levels,145 lectures,17.5 total hours,Current price: $74.99
d3.js,https://www.udemy.com/course/build-data-uis-with-d3-firebase/,https://img-c.udemycdn.com/course/240x135/1918908_8c89.jpg,The Net Ninja (Shaun Pelling),Build Data Visualizations with D3.js & Firebase,"Learn how to use D3 (v5) & Firebase (Firestore) to create dynamic SVG data visualizations. Bar charts, pie charts...",4.8,1698.0,All Levels,107 lectures,10.5 total hours,Current price: $74.99
d3.js,https://www.udemy.com/course/master-d3js-concepts-and-25-projects/,https://img-c.udemycdn.com/course/240x135/3809648_5b40_2.jpg,Chethan Kambi,Master D3.js with Concepts & 25+ Projects | ~43 Hours,Beginner to Advanced | Learn D3.js in Depth and Create Interactive Data Visualizations,4.4,156.0,All Levels,117 lectures,43.5 total hours,Current price: $59.99
d3.js,https://www.udemy.com/course/the-data-science-course-complete-data-science-bootcamp/,https://img-c.udemycdn.com/course/240x135/1754098_e0df_3.jpg,365 Careers,The Data Science Course: Complete Data Science Bootcamp 2025,"Complete Data Science Training: Math, Statistics, Python, Advanced Statistics in Python, Machine and Deep Learning",4.6,151551.0,All Levels,523 lectures,32 total hours,Current price: $124.99
d3.js,https://www.udemy.com/course/the-complete-d3js-data-visualization-guide/,https://img-c.udemycdn.com/course/240x135/2046134_1dcb_3.jpg,"Paulo Dichone | Software Engineer, AWS Cloud Practitioner & Instructor",d3.js - Complete Developer Data Visualization Guide,"Bring Data to life with D3.Js Data Visualization Library.  Master JavaScript, HTML, CSS and Build Stunning Data Visuals",4.5,336.0,All Levels,157 lectures,17.5 total hours,Current price: $74.99
d3.js,https://www.udemy.com/course/dp-100-azure-data-scientist-associate-complete-exam-guide/,https://img-c.udemycdn.com/course/240x135/4992188_0f74_2.jpg,Henry Habib,DP-100 Azure Data Scientist Associate Complete Exam Guide,"Complete DP-100 Azure Machine Learning training guide to prepare you for DP-100, with practice exams on DP 100 Azure ML",4.4,689.0,All Levels,97 lectures,8.5 total hours,Current price: $74.99
d3.js,https://www.udemy.com/course/d3js-from-beginner-to-understanding/,https://img-c.udemycdn.com/course/240x135/2120254_bbcf_3.jpg,Nicholas Gati,D3.js v5: From Beginner To Understanding,Create beautiful interactive data visualizations with D3.js v5. The beginner's guide to understanding the world of D3.,4.5,19.0,Beginner,40 lectures,7 total hours,Current price: $44.99
d3.js,https://www.udemy.com/course/data-architecture-for-data-scientists/,https://img-c.udemycdn.com/course/240x135/5295982_ca3c_3.jpg,Biju Krishnan,Data Architecture for Data Scientists,"Datawarehouse, Data Lake, Data Lakehouse, Data Mesh, Kafka, Lambda & Kappa architecture, Feature Store, Vector DB & more",4.6,849.0,Intermediate,37 lectures,2.5 total hours,Current price: $69.99
d3.js,https://www.udemy.com/course/data-visualization-with-d3js/,https://img-c.udemycdn.com/course/240x135/6460551_a76e_2.jpg,Frontend Coach,Data Visualization with D3.js,Learn to create stunning and interactive data visualizations using D3.js,,,All Levels,238 questions,,Current price: $44.99
d3.js,https://www.udemy.com/course/how-to-visualize-data-with-d3/,https://img-c.udemycdn.com/course/240x135/2736796_3a3a.jpg,Elisabeth Robson,How to Visualize Data with D3,Learn the D3 JavaScript library and create a data visualization using real science data,4.4,23.0,Intermediate,25 lectures,1.5 total hours,Current price: $39.99
d3.js,https://www.udemy.com/course/the-data-analyst-course-complete-data-analyst-bootcamp/,https://img-c.udemycdn.com/course/240x135/3570337_9b02_6.jpg,365 Careers,The Data Analyst Course: Complete Data Analyst Bootcamp,"Complete Data Analyst Training: Python, NumPy, Pandas, Data Collection, Preprocessing, Data Types, Data Visualization",4.5,21135.0,All Levels,282 lectures,21.5 total hours,Current price: $149.99
d3.js,https://www.udemy.com/course/complete-machine-learning-and-data-science-zero-to-mastery/,https://img-c.udemycdn.com/course/240x135/2511476_4e38_5.jpg,"Andrei Neagoie, Daniel Bourke","Complete A.I. & Machine Learning, Data Science Bootcamp","Learn Data Science, Data Analysis, Machine Learning (Artificial Intelligence) and Python with Tensorflow, Pandas & more!",4.6,26310.0,All Levels,384 lectures,44 total hours,Current price: $119.99
d3.js,https://www.udemy.com/course/data-visualize-data-with-d3js-the-easy-way/,https://img-c.udemycdn.com/course/240x135/328274_bebc_7.jpg,Infinite Skills,Data Visualize Data with D3.js The Easy Way,Learn how to use D3.js to create data driven graphics and documents. A beginners guide to getting started with D3,3.9,797.0,All Levels,50 lectures,4 total hours,Current price: $19.99
d3.js,https://www.udemy.com/course/d3-react/,https://img-c.udemycdn.com/course/240x135/2521762_b8f6_3.jpg,Adam Janes,Introduction to D3.js with React,"Learn how to use D3.js (version 6.x) in a React environment. Learn enough D3 to be dangerous, and get started ASAP.",4.2,505.0,Intermediate,52 lectures,5.5 total hours,Current price: $54.99
d3.js,https://www.udemy.com/course/data-visualization-with-d3js-step-by-step-tutorial/,https://img-c.udemycdn.com/course/240x135/2097320_d58e_2.jpg,Packt Publishing,Data Visualization with D3.js: Step-By-Step Tutorial,Leverage the power of D3.js to create beautiful and stunning illustrations of data,3.7,3.0,Beginner,72 lectures,9.5 total hours,Current price: $19.99
