skill,link,image_link,partner,title,course_description,rating,num_review,difficulty,num_lecture,duration,price
julia,https://www.udemy.com/course/julia-programming-language/,https://img-c.udemycdn.com/course/240x135/3100438_cabe_7.jpg,Subhabrata P.,Julia Programming for Machine Learning,Learn Fundamentals of Julia Programming with exploration to Data Analysis and Machine Learning : Ultimate Guide,4.5,55,All Levels,102 lectures,14.5 total hours,Current price: $54.99
julia,https://www.udemy.com/course/data-science-with-julia/,https://img-c.udemycdn.com/course/240x135/4407444_bb94_5.jpg,Dr. İlker Arslan,Data Science with Julia (Part I),THIS COURSE IS IN UNPUBLISHING PROCESS. NO SUPPORT WILL BE PROVIDED. DO NOT ENROLL.,4.6,40,Beginner,50 lectures,5 total hours,Current price: $27.99
julia,https://www.udemy.com/course/the-data-science-course-complete-data-science-bootcamp/,https://img-c.udemycdn.com/course/240x135/1754098_e0df_3.jpg,365 Careers,The Data Science Course: Complete Data Science Bootcamp 2025,"Complete Data Science Training: Math, Statistics, Python, Advanced Statistics in Python, Machine and Deep Learning",4.6,151551,All Levels,523 lectures,32 total hours,Current price: $124.99
julia,https://www.udemy.com/course/top-data-scientist/,https://img-c.udemycdn.com/course/240x135/5961214_0e9b_3.jpg,Nancy Ticharwa (CEO Bethel Labs),The Top Data Scientist ™ BootCamp,Python | SQL | Machine Learning | Deep Learning | ChatGPT | Natural Language Processing | Computer Vision | 20+ Projects,4.3,43,All Levels,433 lectures,38 total hours,Current price: $49.99
julia,https://www.udemy.com/course/data-architecture-for-data-scientists/,https://img-c.udemycdn.com/course/240x135/5295982_ca3c_3.jpg,Biju Krishnan,Data Architecture for Data Scientists,"Datawarehouse, Data Lake, Data Lakehouse, Data Mesh, Kafka, Lambda & Kappa architecture, Feature Store, Vector DB & more",4.6,849,Intermediate,37 lectures,2.5 total hours,Current price: $69.99
julia,https://www.udemy.com/course/dp-100-azure-data-scientist-associate-complete-exam-guide/,https://img-c.udemycdn.com/course/240x135/4992188_0f74_2.jpg,Henry Habib,DP-100 Azure Data Scientist Associate Complete Exam Guide,"Complete DP-100 Azure Machine Learning training guide to prepare you for DP-100, with practice exams on DP 100 Azure ML",4.4,689,All Levels,97 lectures,8.5 total hours,Current price: $74.99
julia,https://www.udemy.com/course/the-data-analyst-course-complete-data-analyst-bootcamp/,https://img-c.udemycdn.com/course/240x135/3570337_9b02_6.jpg,365 Careers,The Data Analyst Course: Complete Data Analyst Bootcamp,"Complete Data Analyst Training: Python, NumPy, Pandas, Data Collection, Preprocessing, Data Types, Data Visualization",4.5,21135,All Levels,282 lectures,21.5 total hours,Current price: $149.99
julia,https://www.udemy.com/course/become-a-data-scientist/,https://img-c.udemycdn.com/course/240x135/5254956_406a_3.jpg,Start-Tech Academy,"Become a Data Scientist: SQL, Tableau, ML & DL [4-in-1]","4-in-1 Bundle covering the 4 essential topics for a data scientist - SQL, Tableau, Machine & Deep Learning using Python",4.6,111,Beginner,338 lectures,37 total hours,Current price: $79.99
julia,https://www.udemy.com/course/programming-with-julia/,https://img-c.udemycdn.com/course/240x135/4406742_1937_2.jpg,Dr. İlker Arslan,Programming with Julia,THIS COURSE IS IN UNPUBLISHING PROCESS. NO SUPPORT WILL BE PROVIDED. DO NOT ENROLL.,4.5,523,Beginner,72 lectures,10 total hours,Current price: $27.99
julia,https://www.udemy.com/course/complete-machine-learning-and-data-science-zero-to-mastery/,https://img-c.udemycdn.com/course/240x135/2511476_4e38_5.jpg,"Andrei Neagoie, Daniel Bourke","Complete A.I. & Machine Learning, Data Science Bootcamp","Learn Data Science, Data Analysis, Machine Learning (Artificial Intelligence) and Python with Tensorflow, Pandas & more!",4.6,26310,All Levels,384 lectures,44 total hours,Current price: $119.99
julia,https://www.udemy.com/course/ml-in-production/,https://img-c.udemycdn.com/course/240x135/5768286_9a96_2.jpg,"Andrew Wolf, Ilya Fursov",ML in Production: From Data Scientist to ML Engineer,Turn any ML model within Jupyter Notebook into a deployed production-ready microservice.,4.6,191,All Levels,23 lectures,5.5 total hours,Current price: $74.99
julia,https://www.udemy.com/course/ace-your-tech-interview-sql-for-data-scientists-engineers/,https://img-c.udemycdn.com/course/240x135/5806102_6b94_7.jpg,"Chandra Lingam, Compute with Cloud Support","SQL for Data Scientists, Data Engineers and Developers",Solve Real-World Problems with Interactive Coding Exercises and LeetCode challenges,4.8,17,Beginner,102 lectures,5 total hours,Current price: $79.99
julia,https://www.udemy.com/course/data-science-in-python-data-prep-eda/,https://img-c.udemycdn.com/course/240x135/5457418_5f1f_2.jpg,"Maven Analytics • 1,500,000 Learners, Alice Zhao",Python Data Science: Data Prep & EDA with Python,"Learn Python + Pandas for data cleaning, profiling & EDA, and prep data for machine learning & data science with Python",4.7,1170,All Levels,180 lectures,8.5 total hours,Current price: $79.99
julia,https://www.udemy.com/course/spark-nlp-for-data-scientists/,https://img-c.udemycdn.com/course/240x135/4790132_5802_4.jpg,"Ace Vo, David Talby, Jiri Dobes, Veysel Kocaman",Spark NLP for Data Scientists,"Unlock your NLP power with Spark NLP, the most popular NLP library in enterprises",4.6,61,Intermediate,78 lectures,12.5 total hours,Current price: $19.99
julia,https://www.udemy.com/course/julialang/,https://img-c.udemycdn.com/course/240x135/2703190_4f46_7.jpg,"Ankit Mistry : 150,000+ Students, Data Science & Machine Learning Academy",Julia Programming For Data Science & Machine Learning: Julia,Learn power of Julia High performace programming for Data Science and Machine Learning with nearly C like Performace,4.2,209,Beginner,37 lectures,4 total hours,Current price: $49.99
julia,https://www.udemy.com/course/julia-programming-language-from-zero-to-expert/,https://img-c.udemycdn.com/course/240x135/3967574_7c3b_2.jpg,Dr. Mohammad Nauman,Julia Programming Language - From Zero to Expert,"Learn the Next Gen Language for Data Science, Machine Learning and Numerical Computing",4.4,250,Beginner,34 lectures,4 total hours,Current price: $79.99
