skill,link,image_link,partner,title,course_description,rating,num_review,difficulty,num_lecture,duration,price
scikit learn,https://www.udemy.com/course/master-machine-learning-in-python-with-scikit-learn/,https://img-c.udemycdn.com/course/240x135/4466986_6b39_3.jpg,TM Quest,Master Machine Learning in Python with Scikit-Learn,A comprehensive introduction to machine learning and data science in Python with the scikit-learn library!,4.5,39,Beginner,109 lectures,9 total hours,Current price: $49.99
scikit learn,https://www.udemy.com/course/python-for-data-science-numpy-pandas-scikit-learn/,https://img-c.udemycdn.com/course/240x135/4675096_cec4_7.jpg,Paweł Krakowiak,"Python for Data Science - NumPy, Pandas & Scikit-Learn",Master Python for Data Science - Unlock the Key Tools for Efficient Data Analysis and Modeling!,4.3,43,Beginner,345 lectures,1.5 total hours,Current price: $49.99
scikit learn,https://www.udemy.com/course/python-for-machine-learning-data-science-masterclass/,https://img-c.udemycdn.com/course/240x135/2769460_e60c.jpg,"Jose Portilla, Pierian Training",Python for Machine Learning & Data Science Masterclass,"Learn about Data Science and Machine Learning with Python! Including Numpy, Pandas, Matplotlib, Scikit-Learn and more!",4.6,17183,All Levels,231 lectures,44 total hours,Current price: $119.99
scikit learn,https://www.udemy.com/course/machine-learning-101-with-scikit-learn-and-stats-models/,https://img-c.udemycdn.com/course/240x135/2283598_7af0.jpg,365 Careers,Machine Learning 101 with Scikit-learn and StatsModels,"New to machine learning? This is the place to start: Linear regression, Logistic regression & Cluster Analysis",4.6,824,All Levels,102 lectures,5.5 total hours,Current price: $119.99
scikit learn,https://www.udemy.com/course/100-exercises-python-data-science-scikit-learn/,https://img-c.udemycdn.com/course/240x135/3305776_136f_11.jpg,Paweł Krakowiak,Scikit-learn in Python: 100+ Data Science Exercises,Master Machine Learning - Unleash the Power of Data Science for Predictive Modeling!,4.5,96,Beginner,114 lectures,,Current price: $59.99
scikit learn,https://www.udemy.com/course/introduction-to-machine-learning-with-scikit-learn/,https://img-c.udemycdn.com/course/240x135/4080134_acf9_3.jpg,"Francesco Mosconi, Data Weekends",Introduction to Machine Learning with Scikit-Learn,"Learn the three main techniques of machine learning: regression, classification and clustering, using Scikit-Learn",4.3,112,Beginner,62 lectures,2.5 total hours,Current price: $54.99
scikit learn,https://www.udemy.com/course/scikit-learn-tips-and-tricks/,https://img-c.udemycdn.com/course/240x135/5054678_5b27_4.jpg,Scien Click,scikit-learn tips and tricks,Master Scikit-Learn for Real-World ML,5.0,9,Intermediate,16 lectures,4.5 total hours,Current price: $69.99
scikit learn,https://www.udemy.com/course/python-for-data-science-and-machine-learning-bootcamp/,https://img-c.udemycdn.com/course/240x135/903744_8eb2.jpg,"Jose Portilla, Pierian Training",Python for Data Science and Machine Learning Bootcamp,"Learn how to use NumPy, Pandas, Seaborn , Matplotlib , Plotly , Scikit-Learn , Machine Learning, Tensorflow , and more!",4.6,150162,All Levels,165 lectures,25 total hours,Current price: $119.99
scikit learn,https://www.udemy.com/course/the-data-science-course-complete-data-science-bootcamp/,https://img-c.udemycdn.com/course/240x135/1754098_e0df_3.jpg,365 Careers,The Data Science Course: Complete Data Science Bootcamp 2025,"Complete Data Science Training: Math, Statistics, Python, Advanced Statistics in Python, Machine and Deep Learning",4.6,151551,All Levels,523 lectures,32 total hours,Current price: $124.99
scikit learn,https://www.udemy.com/course/learn-data-science-skills-python-pandas-machine-learning/,https://img-c.udemycdn.com/course/240x135/6039908_7615.jpg,Skill Tree,"Learn Data Science Skills: Python, Pandas, Machine Learning","Explore  tools like : Python,Pandas,Jupyter Notebook, Numpy, Matplotlib,  scikit-learn,Seaborn, Machine Learning",4.8,3,Beginner,109 lectures,7 total hours,Current price: $19.99
