skill,link,image_link,partner,title,course_description,rating,num_review,difficulty,num_lecture,duration,price
cisco routers,https://www.udemy.com/course/mikrotik-routing-engineer-with-labs-mtcre/,https://img-c.udemycdn.com/course/240x135/2856870_3b68_2.jpg,Maher Haddad,MikroTik Routing Engineer with LABS,Understand the topics of the MikroTik MTCRE track and be ready for the MTCRE exam,4.8,540,Intermediate,53 lectures,12 total hours,
cisco routers,https://www.udemy.com/course/aws-certified-devops-engineer-professional-practice-exams-amazon-dop-c02/,https://img-c.udemycdn.com/course/240x135/2644002_eff2_6.jpg,"Jon Bonso AWS Certified Cloud Practitioner, Developer, Solutions Architect, Tutorials Dojo | AWS Certified Cloud Practitioner, AWS Certified Solutions Architect, AWS Certified Developer, Amiel Palacol AWS Certified Solutions Architect, DevOps Engineer Professional",AWS Certified DevOps Engineer Professional Practice Exams,Be an AWS DevOps Engineer! AWS Certified DevOps Engineer Professional Practice Tests that covers all DOP-C02 topics!,4.5,1285,Intermediate,150 questions,,
cisco routers,https://www.udemy.com/course/cisco-bgp-masterclass/,https://img-c.udemycdn.com/course/240x135/4805092_a2f8_2.jpg,Neil Anderson,Cisco BGP Masterclass for Enterprise Network Engineers,Become a BGP expert with full hands-on lab exercises included.,4.7,851,Intermediate,57 lectures,16.5 total hours,Current price: $84.99
cisco routers,https://www.udemy.com/course/aws-certified-devops-engineer-professional-practice-exam-dop/,https://img-c.udemycdn.com/course/240x135/2567118_611e_8.jpg,"Stephane Maarek | AWS Certified Cloud Practitioner,Solutions Architect,Developer, Abhishek Singh",Practice Exams | AWS Certified DevOps Engineer Professional,AWS Certified DevOps: 120 high fidelity questions: AWS Certified DevOps Engineer Professional DOP-C02.,4.4,2568,All Levels,120 questions,,
cisco routers,https://www.udemy.com/course/routing-switching-for-network-engineers/,https://img-c.udemycdn.com/course/240x135/4787156_400c.jpg,ZB Networks 50000+ students trained Worldwide,Cisco Routing & Switching (CCNA & CCNP Equivalent),"Master the Routing, Switching and IP Services Skills to be the best of the Network Engineers.",4.4,260,Intermediate,174 lectures,32 total hours,Current price: $54.99
cisco routers,https://www.udemy.com/course/cisco-certified-devnet-associate-course-netdevops/,https://img-c.udemycdn.com/course/240x135/4042720_c514_2.jpg,Francis Kagai,Cisco Certified DevNet Associate Course - Part 1 - NetDevOPs,Cisco Certified DevNet Associate Course - Part 1: Developing Applications and Automating Workflows using Cisco Platforms,4.1,92,Beginner,124 lectures,10 total hours,
cisco routers,https://www.udemy.com/course/decodingdevops/,https://img-c.udemycdn.com/course/240x135/4039556_ebb3_9.jpg,Imran Teli,DevOps Beginners to Advanced with Projects,"Begin Your DevOps Career As a Newbie | AWS, Linux, Scripting, Jenkins, Ansible, GitOps, Docker, Kubernetes, & Terraform.",4.6,36463,All Levels,318 lectures,53 total hours,
cisco routers,https://www.udemy.com/course/devops-training/,https://img-c.udemycdn.com/course/240x135/1464166_c16e_33.jpg,TechLink Selenium | DevOps | GenAI,DevOps MasterClass: Terraform Kubernetes Ansible Docker,"DevOps with Jenkins Terraform GIT Docker Maven Kubernetes Ansible Automation Docker Swarm, DevOps Real world Exercises",4.5,6619,All Levels,548 lectures,76.5 total hours,
cisco routers,https://www.udemy.com/course/aws-certified-devops-engineer-professional-hands-on/,https://img-c.udemycdn.com/course/240x135/2533568_2828_6.jpg,"Stephane Maarek | AWS Certified Cloud Practitioner,Solutions Architect,Developer",AWS Certified DevOps Engineer Professional 2025 - DOP-C02,Pass the AWS Certified DevOps Engineer Professional Certification (DOP-C02) with 20 hours of advanced videos.,4.7,18041,Intermediate,248 lectures,17 total hours,
cisco routers,https://www.udemy.com/course/the-complete-devops-bootcamp/,https://img-c.udemycdn.com/course/240x135/4347106_9cfa.jpg,"Mumshad Mannambeth, KodeKloud Training",The Ultimate DevOps Bootcamp,The ultimate DevOps Bootcamp course for all your DevOps learning,4.6,6636,Beginner,281 lectures,17.5 total hours,Current price: $99.99
cisco routers,https://www.udemy.com/course/devops-with-docker-kubernetes-and-azure-devops/,https://img-c.udemycdn.com/course/240x135/2813427_cc60_2.jpg,"in28Minutes Official, Ravi S | DevOps Expert - Docker & Kubernetes, Open Cloud Solutions | Microsoft Azure Certification - AZ 900, Ranga Karanam | GCP Certification - Google Cloud Engineer & Architect","Learn DevOps: Docker, Kubernetes, Terraform and Azure DevOps","DevOps for Absolute Beginners: Azure DevOps, Docker, Kubernetes, Jenkins, Terraform, Ansible - AWS, Azure & Google Cloud",4.5,15966,All Levels,235 lectures,21.5 total hours,
cisco routers,https://www.udemy.com/course/cisco-router-configuration-for-beginners-zero-to-hero/,https://img-c.udemycdn.com/course/240x135/2296828_5055.jpg,Dr. Sunil Soni,Cisco CCNA Router Configuration for Beginners: Zero to Hero,Welcome to the World of Cisco Devices Configurations. Learn to Configure and Administrator Cisco Router.,4.2,94,Beginner,11 lectures,,
cisco routers,https://www.udemy.com/course/ccna-complete/,https://img-c.udemycdn.com/course/240x135/1203374_6d6f_3.jpg,Neil Anderson,Cisco CCNA 200-301 – The Complete Guide to Getting Certified,"The top rated CCNA course online with comprehensive videos, lab exercises, study notes, Anki flashcards and active Q&A",4.8,75610,Beginner,326 lectures,42.5 total hours,
cisco routers,https://www.udemy.com/course/gcp-google-cloud-professional-devops-engineer-certification/,https://img-c.udemycdn.com/course/240x135/4133780_4390_9.jpg,"Ankit Mistry : 150,000+ Students, GCP Certification - Google Cloud Academy | Associate Cloud & Professional Engineer Certifications",GCP Google Cloud Professional DevOps Engineer Certification,Pass Google Cloud Professional DevOps Certification with 12+ Hours of HD quality video and 70+ Hands-on Practical labs,4.2,2106,All Levels,112 lectures,13.5 total hours,Current price: $79.99
cisco routers,https://www.udemy.com/course/hands-on-cisco-packet-tracer-routing-labs/,https://img-c.udemycdn.com/course/240x135/6233895_10c8.jpg,Dan Mill,Hands on Cisco Packet Tracer - Routing Labs,Master Routing Protocols with Practical Labs in Cisco Packet Tracer. Gain Hands on Experience!,4.8,21,Beginner,83 lectures,7.5 total hours,Current price: $74.99
cisco routers,https://www.udemy.com/course/hands-on-cisco-labs-routing-fundamentals/,https://img-c.udemycdn.com/course/240x135/6154709_60d0.jpg,Dan Mill,Hands on Cisco Labs: Routing Fundamentals,Master Routing Concepts with Practical Real-World Labs and Demonstrations,4.6,5,Beginner,97 lectures,9 total hours,Current price: $19.99
