skill,link,image_link,partner,title,course_description,rating,num_review,difficulty,num_lecture,duration,price
mongodb,https://www.udemy.com/course/mongodb-the-complete-developers-guide/,https://img-c.udemycdn.com/course/240x135/1906852_93c6_2.jpg,"Academind by Maximilian Schwarzmüller, Maximilian Schwarzmüller",MongoDB - The Complete Developer's Guide 2025,"Master MongoDB Development for Web & Mobile Apps. CRUD Operations, Indexes, Aggregation Framework - All about MongoDB!",4.6,26568,All Levels,266 lectures,17.5 total hours,Current price: $99.99
mongodb,https://www.udemy.com/course/aws-certified-devops-engineer-professional-hands-on/,https://img-c.udemycdn.com/course/240x135/2533568_2828_6.jpg,"Stephane Maarek | AWS Certified Cloud Practitioner,Solutions Architect,Developer",AWS Certified DevOps Engineer Professional 2025 - DOP-C02,Pass the AWS Certified DevOps Engineer Professional Certification (DOP-C02) with 20 hours of advanced videos.,4.7,18041,Intermediate,248 lectures,17 total hours,Current price: $149.99
mongodb,https://www.udemy.com/course/aws-certified-devops-engineer-professional-practice-exams-amazon-dop-c02/,https://img-c.udemycdn.com/course/240x135/2644002_eff2_6.jpg,"Jon Bonso AWS Certified Cloud Practitioner, Developer, Solutions Architect, Tutorials Dojo | AWS Certified Cloud Practitioner, AWS Certified Solutions Architect, AWS Certified Developer, Amiel Palacol AWS Certified Solutions Architect, DevOps Engineer Professional",AWS Certified DevOps Engineer Professional Practice Exams,Be an AWS DevOps Engineer! AWS Certified DevOps Engineer Professional Practice Tests that covers all DOP-C02 topics!,4.5,1285,Intermediate,150 questions,,Current price: $59.99
mongodb,https://www.udemy.com/course/aws-certified-devops-engineer-professional-practice-exam-dop/,https://img-c.udemycdn.com/course/240x135/2567118_611e_8.jpg,"Stephane Maarek | AWS Certified Cloud Practitioner,Solutions Architect,Developer, Abhishek Singh",Practice Exams | AWS Certified DevOps Engineer Professional,AWS Certified DevOps: 120 high fidelity questions: AWS Certified DevOps Engineer Professional DOP-C02.,4.4,2568,All Levels,120 questions,,Current price: $59.99
mongodb,https://www.udemy.com/course/decodingdevops/,https://img-c.udemycdn.com/course/240x135/4039556_ebb3_9.jpg,Imran Teli,DevOps Beginners to Advanced with Projects,"Begin Your DevOps Career As a Newbie | AWS, Linux, Scripting, Jenkins, Ansible, GitOps, Docker, Kubernetes, & Terraform.",4.6,36463,All Levels,318 lectures,53 total hours,Current price: $119.99
mongodb,https://www.udemy.com/course/gcp-google-cloud-professional-devops-engineer-certification/,https://img-c.udemycdn.com/course/240x135/4133780_4390_9.jpg,"Ankit Mistry : 150,000+ Students, GCP Certification - Google Cloud Academy | Associate Cloud & Professional Engineer Certifications",GCP Google Cloud Professional DevOps Engineer Certification,Pass Google Cloud Professional DevOps Certification with 12+ Hours of HD quality video and 70+ Hands-on Practical labs,4.2,2106,All Levels,112 lectures,13.5 total hours,Current price: $79.99
mongodb,https://www.udemy.com/course/the-ultimate-guide-for-mongodb/,https://img-c.udemycdn.com/course/240x135/4186602_e4d7_3.jpg,Firoj Atar,MongoDB - The Ultimate Administration and Developer's Guide,"Master MongoDB Development and Administration. CRUD, Aggregation, Indexes, Replication, Sharding, Security, MongoDB 6.0!",4.4,242,All Levels,316 lectures,37.5 total hours,Current price: $59.99
mongodb,https://www.udemy.com/course/the-complete-devops-bootcamp/,https://img-c.udemycdn.com/course/240x135/4347106_9cfa.jpg,"Mumshad Mannambeth, KodeKloud Training",The Ultimate DevOps Bootcamp,The ultimate DevOps Bootcamp course for all your DevOps learning,4.6,6636,Beginner,281 lectures,17.5 total hours,Current price: $99.99
mongodb,https://www.udemy.com/course/the-complete-mongodb-course/,https://img-c.udemycdn.com/course/240x135/4336104_6211_9.jpg,Malvik Vaghadia,The Complete MongoDB Course,"Learn about NoSQL Document Databases and master Mongo Query Language, Aggregation Pipelines and more!",4.6,1649,Beginner,96 lectures,8 total hours,Current price: $84.99
mongodb,https://www.udemy.com/course/devops-with-docker-kubernetes-and-azure-devops/,https://img-c.udemycdn.com/course/240x135/2813427_cc60_2.jpg,"in28Minutes Official, Ravi S | DevOps Expert - Docker & Kubernetes, Open Cloud Solutions | Microsoft Azure Certification - AZ 900, Ranga Karanam | GCP Certification - Google Cloud Engineer & Architect","Learn DevOps: Docker, Kubernetes, Terraform and Azure DevOps","DevOps for Absolute Beginners: Azure DevOps, Docker, Kubernetes, Jenkins, Terraform, Ansible - AWS, Azure & Google Cloud",4.5,15966,All Levels,235 lectures,21.5 total hours,Current price: $139.99
