skill,link,image_link,partner,title,course_description,rating,num_review,difficulty,num_lecture,duration,price
ci/cd,https://www.udemy.com/course/aws-certified-machine-learning-engineer-associate-mla-c01/,https://img-c.udemycdn.com/course/240x135/6125705_2219.jpg,"Sundog Education by Frank Kane, Stephane Maarek | AWS Certified Cloud Practitioner,Solutions Architect,Developer, Frank Kane",AWS Certified Machine Learning Engineer Associate: Hands On!,"Practice exam included! Master MLA-C01 / ME1-C01 AWS Machine Learning Engineer Exam: SageMaker, Bedrock, and AI Skills.",4.6,1747,All Levels,294 lectures,23.5 total hours,Current price: $89.99
ci/cd,https://www.udemy.com/course/practice-exams-aws-certified-machine-learning-engineer-associate/,https://img-c.udemycdn.com/course/240x135/6139021_a896.jpg,"Stephane Maarek | AWS Certified Cloud Practitioner,Solutions Architect,Developer, Abhishek Singh",Practice Exams: AWS Machine Learning Engineer Associate Cert,Prepare for AWS Certified Machine Learning Engineer Associate. 195 high-quality test questions and detailed explanations,4.6,306,All Levels,195 questions,,Current price: $64.99
ci/cd,https://www.udemy.com/course/complete-machine-learning-nlp-bootcamp-mlops-deployment/,https://img-c.udemycdn.com/course/240x135/5993822_2c2a_7.jpg,"Krish Naik, KRISHAI Technologies Private Limited","Complete Data Science,Machine Learning,DL,NLP Bootcamp","Master the theory, practice,and math behind Data Science,Machine Learning,Deep Learning,NLP with end to end projects",4.5,11296,All Levels,429 lectures,99 total hours,Current price: $94.99
ci/cd,https://www.udemy.com/course/google-cloud-machine-learning-engineer-certification-prep/,https://img-c.udemycdn.com/course/240x135/4878666_74ed_3.jpg,"Dan Sullivan, Dan Sullivan",Google Cloud Machine Learning Engineer Certification Prep,"Building, Deploying, and Managing Machine Learning Services at Scale",4.4,1213,All Levels,71 lectures,5.5 total hours,Current price: $69.99
ci/cd,https://www.udemy.com/course/aws-certified-machine-learning-engineer-associate-mla-c01-exam-prep/,https://img-c.udemycdn.com/course/240x135/6188041_95ae.jpg,Nikolai Schuler,AWS Certified Machine Learning Engineer - Associate MLA-C01,The ONLY course you need to PASS the AWS Certified Machine Learning Engineer Exam | MLA-C01 | Incl. FULL Practice Exam!,4.6,263,All Levels,252 lectures,26.5 total hours,Current price: $89.99
ci/cd,https://www.udemy.com/course/machine-learning-using-azureml/,https://img-c.udemycdn.com/course/240x135/1088256_077d_2.jpg,"Jitesh Khurkhuriya, Python, Data Science & Machine Learning A-Z Team",DP-100: A-Z Machine Learning using Azure Machine Learning,Microsoft Azure DP-100: Designing and Implementing a Data Science Solution Exam Covered. Learn Azure Machine Learning,4.4,7796,All Levels,230 lectures,26.5 total hours,Current price: $124.99
ci/cd,https://www.udemy.com/course/aws-machine-learning/,https://img-c.udemycdn.com/course/240x135/2529790_a0c6_9.jpg,"Sundog Education by Frank Kane, Stephane Maarek | AWS Certified Cloud Practitioner,Solutions Architect,Developer, Frank Kane, Sundog Education Team",AWS Certified Machine Learning Specialty 2025 - Hands On!,"AWS machine learning certification preparation - learn SageMaker, generative AI, data engineering, modeling & more",4.6,15104,Intermediate,167 lectures,15 total hours,Current price: $119.99
ci/cd,https://www.udemy.com/course/complete-machine-learning-and-data-science-zero-to-mastery/,https://img-c.udemycdn.com/course/240x135/2511476_4e38_5.jpg,"Andrei Neagoie, Daniel Bourke","Complete A.I. & Machine Learning, Data Science Bootcamp","Learn Data Science, Data Analysis, Machine Learning (Artificial Intelligence) and Python with Tensorflow, Pandas & more!",4.6,26310,All Levels,384 lectures,44 total hours,Current price: $119.99
ci/cd,https://www.udemy.com/course/mastering-advanced-mlops-on-gcp-cicd-kubernetes-kubeflow/,https://img-c.udemycdn.com/course/240x135/6474355_89e1.jpg,"KRISHAI Technologies Private Limited, Sudhanshu Gusain","Beginner to Advanced MLOps on GCP-CI/CD, Kubernetes Jenkins","Simply streamline ML pipelines with Kubernetes, GitLab CI, Jenkins, Prometheus, Grafana, Kubeflow & Minikube on GCP.",4.6,63,All Levels,112 lectures,54.5 total hours,Current price: $54.99
ci/cd,https://www.udemy.com/course/google-certified-professional-machine-learning-engineer/,https://img-c.udemycdn.com/course/240x135/5211228_899a_3.jpg,Deepak Dubey,Google Certified Professional Machine Learning Engineer,"Master ML Algorithms, Data Modeling, TensorFlow & Google Cloud AI/ML Services. 137 Questions, Answers with Explanations",4.1,223,All Levels,63 lectures,16.5 total hours,Current price: $79.99
ci/cd,https://www.udemy.com/course/machinelearning/,https://img-c.udemycdn.com/course/240x135/950390_270f_3.jpg,"Kirill Eremenko, Hadelin de Ponteves, SuperDataScience Team, Ligency Team","Machine Learning A-Z: AI, Python & R + ChatGPT Prize [2025]",Learn to create Machine Learning Algorithms in Python and R from two Data Science experts. Code templates included.,4.5,195572,All Levels,386 lectures,43 total hours,Current price: $149.99
ci/cd,https://www.udemy.com/course/machine-learning-with-projects-on-retail-marketing-analytics/,https://img-c.udemycdn.com/course/240x135/3751642_8d21_4.jpg,Machine Learning Express,Master Marketing Analytics with Python and Machine Learning,Level up your marketing career with data analytics skills | Learn Python & ML to optimize your marketing campaigns,4.5,85,Intermediate,145 lectures,25.5 total hours,Current price: $69.99
ci/cd,https://www.udemy.com/course/mastering-aws-devops-for-cloud-engineers/,https://img-c.udemycdn.com/course/240x135/5492716_8a93_5.jpg,Pravin Mishra | AWS Certified Cloud Practitioner | Solutions Architect,AWS DevOps & CI/CD with AWS CodePipeline for Engineers,"Build, Deploy, Scaling Applications with AWS DevOps. Learn AWS CodeCommit, CodeBuild, CodeDeploy, CodePipeline",4.6,373,Intermediate,78 lectures,16.5 total hours,Current price: $19.99
ci/cd,https://www.udemy.com/course/gitlab-ci-pipelines-ci-cd-and-devops-for-beginners/,https://img-c.udemycdn.com/course/240x135/2309602_ed2d_3.jpg,"Valentin Despa, Valentin Despa - Support","GitLab CI/CD: Pipelines, CI/CD and DevOps for Beginners",Complete course for GitLab CI/CD from a GitLab Hero. Learn valuable DevOps skills. Build pipelines and Deploy to AWS.,4.6,20713,Intermediate,141 lectures,13 total hours,Current price: $99.99
ci/cd,https://www.udemy.com/course/python-for-machine-learning-data-science-masterclass/,https://img-c.udemycdn.com/course/240x135/2769460_e60c.jpg,"Jose Portilla, Pierian Training",Python for Machine Learning & Data Science Masterclass,"Learn about Data Science and Machine Learning with Python! Including Numpy, Pandas, Matplotlib, Scikit-Learn and more!",4.6,17183,All Levels,231 lectures,44 total hours,Current price: $119.99
ci/cd,https://www.udemy.com/course/hands-on-machine-learning-for-net-developers/,https://img-c.udemycdn.com/course/240x135/3280488_8c66_5.jpg,Packt Publishing,Hands-On Machine Learning for .NET Developers,Use machine learning today without a machine learning background,4.1,161,Beginner,31 lectures,3 total hours,Current price: $54.99
ci/cd,https://www.udemy.com/course/practice-exams-aws-certified-machine-learning-mla-c01/,https://img-c.udemycdn.com/course/240x135/6277145_55fc_10.jpg,Marlon Anesi | Python | AI | DevOps | AWS Certified Architect,Practice Exams - Ace AWS Certified Machine Learning MLA-C01,Pass in AWS Certified MLA-C01 exam! Study with 390 Practice Questions + Objective explanations for each answer!,4.6,136,Intermediate,390 questions,,Current price: $69.99
ci/cd,https://www.udemy.com/course/the-ai-engineer-course-complete-ai-engineer-bootcamp/,https://img-c.udemycdn.com/course/240x135/6112535_7103.jpg,365 Careers,The AI Engineer Course 2025: Complete AI Engineer Bootcamp,"Complete AI Engineer Training: Python, NLP, Transformers, LLMs, LangChain, Hugging Face, APIs",4.6,2803,All Levels,367 lectures,24.5 total hours,Current price: $89.99
ci/cd,https://www.udemy.com/course/data-science-in-python-unsupervised-learning/,https://img-c.udemycdn.com/course/240x135/5930252_06be_6.jpg,"Maven Analytics • 1,500,000 Learners, Alice Zhao",Python Data Science: Unsupervised Machine Learning,"Learn Python for data science & machine learning, and build unsupervised learning models w/ a top Python instructor!",4.7,187,All Levels,202 lectures,17 total hours,Current price: $84.99
