skill,link,image_link,partner,title,course_description,rating,num_review,difficulty,num_lecture,duration,price
data visualization,https://www.udemy.com/course/data-visualization-in-python-for-machine-learning-engineers/,https://img-c.udemycdn.com/course/240x135/1470278_4491_2.jpg,Mike West,Data Visualization in Python for Machine Learning Engineers,The Third Course in a Series for Mastering Python for Machine Learning Engineers,4.1,181,Intermediate,63 lectures,,Current price: $19.99
data visualization,https://www.udemy.com/course/complete-machine-learning-nlp-bootcamp-mlops-deployment/,https://img-c.udemycdn.com/course/240x135/5993822_2c2a_7.jpg,"Krish Naik, KRISHAI Technologies Private Limited","Complete Data Science,Machine Learning,DL,NLP Bootcamp","Master the theory, practice,and math behind Data Science,Machine Learning,Deep Learning,NLP with end to end projects",4.5,11296,All Levels,429 lectures,99 total hours,Current price: $94.99
data visualization,https://www.udemy.com/course/complete-machine-learning-and-data-science-zero-to-mastery/,https://img-c.udemycdn.com/course/240x135/2511476_4e38_5.jpg,"Andrei Neagoie, Daniel Bourke","Complete A.I. & Machine Learning, Data Science Bootcamp","Learn Data Science, Data Analysis, Machine Learning (Artificial Intelligence) and Python with Tensorflow, Pandas & more!",4.6,26310,All Levels,384 lectures,44 total hours,Current price: $119.99
data visualization,https://www.udemy.com/course/aws-certified-machine-learning-engineer-associate-mla-c01/,https://img-c.udemycdn.com/course/240x135/6125705_2219.jpg,"Sundog Education by Frank Kane, Stephane Maarek | AWS Certified Cloud Practitioner,Solutions Architect,Developer, Frank Kane",AWS Certified Machine Learning Engineer Associate: Hands On!,"Practice exam included! Master MLA-C01 / ME1-C01 AWS Machine Learning Engineer Exam: SageMaker, Bedrock, and AI Skills.",4.6,1747,All Levels,294 lectures,23.5 total hours,Current price: $89.99
data visualization,https://www.udemy.com/course/python-for-machine-learning-data-science-masterclass/,https://img-c.udemycdn.com/course/240x135/2769460_e60c.jpg,"Jose Portilla, Pierian Training",Python for Machine Learning & Data Science Masterclass,"Learn about Data Science and Machine Learning with Python! Including Numpy, Pandas, Matplotlib, Scikit-Learn and more!",4.6,17183,All Levels,231 lectures,44 total hours,Current price: $119.99
data visualization,https://www.udemy.com/course/complete-data-science-and-machine-learning-using-python/,https://img-c.udemycdn.com/course/240x135/1478886_7e44_5.jpg,"Jitesh Khurkhuriya, Python, Data Science & Machine Learning A-Z Team",Data Science : Complete Data Science & Machine Learning,"Learn and master the Data Science, Python for Machine Learning, Math for Machine Learning, Statistics for Data Science",4.4,3337,All Levels,281 lectures,26 total hours,Current price: $99.99
data visualization,https://www.udemy.com/course/python-for-data-science-and-machine-learning-bootcamp/,https://img-c.udemycdn.com/course/240x135/903744_8eb2.jpg,"Jose Portilla, Pierian Training",Python for Data Science and Machine Learning Bootcamp,"Learn how to use NumPy, Pandas, Seaborn , Matplotlib , Plotly , Scikit-Learn , Machine Learning, Tensorflow , and more!",4.6,150162,All Levels,165 lectures,25 total hours,Current price: $119.99
data visualization,https://www.udemy.com/course/the-data-science-course-complete-data-science-bootcamp/,https://img-c.udemycdn.com/course/240x135/1754098_e0df_3.jpg,365 Careers,The Data Science Course: Complete Data Science Bootcamp 2025,"Complete Data Science Training: Math, Statistics, Python, Advanced Statistics in Python, Machine and Deep Learning",4.6,151551,All Levels,523 lectures,32 total hours,Current price: $124.99
data visualization,https://www.udemy.com/course/data-science-in-python-unsupervised-learning/,https://img-c.udemycdn.com/course/240x135/5930252_06be_6.jpg,"Maven Analytics • 1,500,000 Learners, Alice Zhao",Python Data Science: Unsupervised Machine Learning,"Learn Python for data science & machine learning, and build unsupervised learning models w/ a top Python instructor!",4.7,187,All Levels,202 lectures,17 total hours,Current price: $84.99
data visualization,https://www.udemy.com/course/data-science-and-machine-learning-bootcamp-with-r/,https://img-c.udemycdn.com/course/240x135/821726_8071.jpg,"Jose Portilla, Pierian Training",Data Science and Machine Learning Bootcamp with R,Learn how to use the R programming language for data science and machine learning and data visualization!,4.6,17410,All Levels,128 lectures,18 total hours,Current price: $99.99
data visualization,https://www.udemy.com/course/practice-exams-aws-certified-machine-learning-engineer-associate/,https://img-c.udemycdn.com/course/240x135/6139021_a896.jpg,"Stephane Maarek | AWS Certified Cloud Practitioner,Solutions Architect,Developer, Abhishek Singh",Practice Exams: AWS Machine Learning Engineer Associate Cert,Prepare for AWS Certified Machine Learning Engineer Associate. 195 high-quality test questions and detailed explanations,4.6,306,All Levels,195 questions,,Current price: $64.99
data visualization,https://www.udemy.com/course/google-cloud-machine-learning-engineer-certification-prep/,https://img-c.udemycdn.com/course/240x135/4878666_74ed_3.jpg,"Dan Sullivan, Dan Sullivan",Google Cloud Machine Learning Engineer Certification Prep,"Building, Deploying, and Managing Machine Learning Services at Scale",4.4,1213,All Levels,71 lectures,5.5 total hours,Current price: $69.99
data visualization,https://www.udemy.com/course/an-introduction-to-machine-learning-for-data-engineers/,https://img-c.udemycdn.com/course/240x135/1333372_08d9_3.jpg,Mike West,An Introduction to Machine Learning for Data Engineers,A Prerequisite for Tensorflow on Google's Cloud Platform for Data Engineers,4.5,4325,Beginner,46 lectures,,Current price: $64.99
data visualization,https://www.udemy.com/course/data-science-and-machine-learning-fundamentals-one/,https://img-c.udemycdn.com/course/240x135/5160648_d59a_4.jpg,Henrik Johansson,Data Science and Machine Learning Fundamentals [2025],Learn to master Data Science and Machine Learning Fundamentals with Python and Pandas,4.8,529,All Levels,103 lectures,54.5 total hours,Current price: $19.99
data visualization,https://www.udemy.com/course/complete-python-for-data-science-machine-learning-from-a-z/,https://img-c.udemycdn.com/course/240x135/5289390_5cd0.jpg,"Oak Academy, OAK Academy Team, Ali̇ CAVDAR",Complete Python for Data Science & Machine Learning from A-Z,"Python with Machine Learning & Data Science, Data Visulation, Numpy & Pandas for Data Analysis, Kaggle projects from A-Z",4.5,133,All Levels,321 lectures,43.5 total hours,Current price: $74.99
data visualization,https://www.udemy.com/course/mastering-the-art-of-data-visualization-2020/,https://img-c.udemycdn.com/course/240x135/3002664_21f4_7.jpg,Joshua Brindley,Data Storytelling and Data Visualization Mastery,"Learn the crucial skills to effectively communicate, persuade, and drive decisions with data",4.5,10452,All Levels,30 lectures,6 total hours,Current price: $119.99
data visualization,https://www.udemy.com/course/learn-azure-data-factory-from-scratch/,https://img-c.udemycdn.com/course/240x135/3685634_740c_6.jpg,Ramesh Retnasamy,Azure Data Factory For Data Engineers - Project on Covid19,"Real world project for Data Engineers using Azure Data Factory, SQL, Data Lake, Databricks, HDInsight, CI/CD [DP203]",4.6,15379,All Levels,146 lectures,13 total hours,Current price: $94.99
data visualization,https://www.udemy.com/course/the-data-analyst-course-complete-data-analyst-bootcamp/,https://img-c.udemycdn.com/course/240x135/3570337_9b02_6.jpg,365 Careers,The Data Analyst Course: Complete Data Analyst Bootcamp,"Complete Data Analyst Training: Python, NumPy, Pandas, Data Collection, Preprocessing, Data Types, Data Visualization",4.5,21135,All Levels,282 lectures,21.5 total hours,Current price: $149.99
data visualization,https://www.udemy.com/course/aws-certified-machine-learning-engineer-associate-mla-c01-exam-prep/,https://img-c.udemycdn.com/course/240x135/6188041_95ae.jpg,Nikolai Schuler,AWS Certified Machine Learning Engineer - Associate MLA-C01,The ONLY course you need to PASS the AWS Certified Machine Learning Engineer Exam | MLA-C01 | Incl. FULL Practice Exam!,4.6,263,All Levels,252 lectures,26.5 total hours,Current price: $89.99
data visualization,https://www.udemy.com/course/data-science-and-machine-learning-with-python-hands-on/,https://img-c.udemycdn.com/course/240x135/671576_a272_4.jpg,"Sundog Education by Frank Kane, Frank Kane, Sundog Education Team","Machine Learning, Data Science and Generative AI with Python","Complete hands-on machine learning and GenAI tutorial with data science, Tensorflow, GPT, OpenAI, and neural networks",4.5,34629,Beginner,146 lectures,20 total hours,Current price: $124.99
