skill,link,image_link,partner,title,course_description,rating,num_review,difficulty,num_lecture,duration,price
reinforcement learning,https://www.udemy.com/course/aws-certified-machine-learning-engineer-associate-mla-c01/,https://img-c.udemycdn.com/course/240x135/6125705_2219.jpg,"Sundog Education by Frank Kane, Stephane Maarek | AWS Certified Cloud Practitioner,Solutions Architect,Developer, Frank Kane",AWS Certified Machine Learning Engineer Associate: Hands On!,"Practice exam included! Master MLA-C01 / ME1-C01 AWS Machine Learning Engineer Exam: SageMaker, Bedrock, and AI Skills.",4.6,1747,All Levels,294 lectures,23.5 total hours,Current price: $89.99
reinforcement learning,https://www.udemy.com/course/practice-exams-aws-certified-machine-learning-engineer-associate/,https://img-c.udemycdn.com/course/240x135/6139021_a896.jpg,"Stephane Maarek | AWS Certified Cloud Practitioner,Solutions Architect,Developer, Abhishek Singh",Practice Exams: AWS Machine Learning Engineer Associate Cert,Prepare for AWS Certified Machine Learning Engineer Associate. 195 high-quality test questions and detailed explanations,4.6,306,All Levels,195 questions,,Current price: $64.99
reinforcement learning,https://www.udemy.com/course/beginner-master-rl-1/,https://img-c.udemycdn.com/course/240x135/3725442_3406_3.jpg,Escape Velocity Labs,Reinforcement Learning beginner to master - AI in Python,"Build Artificial Intelligence (AI) agents using Deep Reinforcement Learning and PyTorch: A2C, REINFORCE, DQN, etc.",4.3,1345,All Levels,133 lectures,11 total hours,Current price: $79.99
reinforcement learning,https://www.udemy.com/course/fundamentals-of-reinforcement-learning/,https://img-c.udemycdn.com/course/240x135/6182155_9a75.jpg,Tom Walker,Fundamentals of Reinforcement Learning,"A systematic tour of foundational RL, from k-armed bandits to planning via Markov Decision Processes and TD learning",4.7,19,Intermediate,52 lectures,10.5 total hours,Current price: $94.99
reinforcement learning,https://www.udemy.com/course/cutting-edge-artificial-intelligence/,https://img-c.udemycdn.com/course/240x135/2310440_7c36_3.jpg,"Lazy Programmer Inc., Lazy Programmer Team",Cutting-Edge AI: Deep Reinforcement Learning in Python,"Apply deep learning to artificial intelligence and reinforcement learning using evolution strategies, A2C, and DDPG",4.7,3348,,Expert,8.5 total hours,Current price: $89.99
reinforcement learning,https://www.udemy.com/course/aws-certified-machine-learning-engineer-associate-mla-c01-exam-prep/,https://img-c.udemycdn.com/course/240x135/6188041_95ae.jpg,Nikolai Schuler,AWS Certified Machine Learning Engineer - Associate MLA-C01,The ONLY course you need to PASS the AWS Certified Machine Learning Engineer Exam | MLA-C01 | Incl. FULL Practice Exam!,4.6,263,All Levels,252 lectures,26.5 total hours,Current price: $89.99
reinforcement learning,https://www.udemy.com/course/advanced-deep-qnetworks/,https://img-c.udemycdn.com/course/240x135/4126942_1e12_4.jpg,Escape Velocity Labs,Advanced Reinforcement Learning in Python: cutting-edge DQNs,Build Artificial Intelligence (AI) agents using Deep Reinforcement Learning and PyTorch: From basic DQN to Rainbow DQN,4.6,100,All Levels,104 lectures,8.5 total hours,Current price: $69.99
reinforcement learning,https://www.udemy.com/course/google-cloud-machine-learning-engineer-certification-prep/,https://img-c.udemycdn.com/course/240x135/4878666_74ed_3.jpg,"Dan Sullivan, Dan Sullivan",Google Cloud Machine Learning Engineer Certification Prep,"Building, Deploying, and Managing Machine Learning Services at Scale",4.4,1213,All Levels,71 lectures,5.5 total hours,Current price: $69.99
reinforcement learning,https://www.udemy.com/course/deep-reinforcement-learning-in-python/,https://img-c.udemycdn.com/course/240x135/1153742_e649.jpg,"Lazy Programmer Team, Lazy Programmer Inc.",Advanced AI: Deep Reinforcement Learning in Python,The Complete Guide to Mastering Artificial Intelligence using Deep Learning and Neural Networks,4.5,6111,,Expert,10.5 total hours,Current price: $29.99
reinforcement learning,https://www.udemy.com/course/advanced-rl-pg/,https://img-c.udemycdn.com/course/240x135/4635836_2d12_2.jpg,Escape Velocity Labs,Advanced Reinforcement Learning: policy gradient methods,"Build Artificial Intelligence (AI) agents using Deep Reinforcement Learning and PyTorch: (REINFORCE, A2C, PPO, etc)",4.5,108,All Levels,97 lectures,7.5 total hours,Current price: $69.99
