skill,link,image_link,partner,title,course_description,rating,num_review,difficulty,num_lecture,duration,price
continuous integration,https://www.udemy.com/course/the-project-management-course-beginner-to-project-manager/,https://img-c.udemycdn.com/course/240x135/1978132_e90d_5.jpg,365 Careers,The Project Management Course: Beginner to PROject Manager,The Complete Course For Becoming A Successful Project Manager,4.6,74024,All Levels,109 lectures,8 total hours,
continuous integration,https://www.udemy.com/course/introduction-to-continuous-integration-and-continuous-delivery/,https://img-c.udemycdn.com/course/240x135/3565021_5e05.jpg,"Tim Buchalka, Tim Buchalka's Learn Programming Academy, Eduardo Rosas",Introduction to Continuous Integration & Continuous Delivery,"Find out why CI and CD, coupled with DevOps will give you a competitive advantage over developers without this knowledge",4.5,16432,All Levels,35 lectures,2.5 total hours,
continuous integration,https://www.udemy.com/course/project-management-with-gen-ai-a-guide-for-project-managers/,https://img-c.udemycdn.com/course/240x135/6488353_f0c1.jpg,AI MENTOR,Project Management with Gen AI: A Guide for Project Managers,"Learn Project Management with Generative AI to optimize workflows, automate tasks & drive Success in Project Management",4.5,90,All Levels,17 lectures,2 total hours,Current price: $44.99
continuous integration,https://www.udemy.com/course/a-project-management-course-becoming-a-project-manager/,https://img-c.udemycdn.com/course/240x135/6049011_94c0_2.jpg,Providence Essien,A project management course: Becoming a PROject Manager,The Complete Course you need to Becoming a Successful PROject Manager,4.7,200,All Levels,10 lectures,1.5 total hours,Current price: $19.99
continuous integration,https://www.udemy.com/course/ci-cd-devops/,https://img-c.udemycdn.com/course/240x135/2779762_87e5_4.jpg,John Honai,"DevOps, CI/CD(Continuous Integration/Delivery) for Beginners","Learn about CI/CD, DevOps, the concepts of Continuous Integration, Continuous Delivery / Deployment, DevOps pipeline",4.4,47094,Beginner,13 lectures,,
continuous integration,https://www.udemy.com/course/pmp-certification-exam-prep-course-pmbok-6th-edition/,https://img-c.udemycdn.com/course/240x135/1759114_873a_13.jpg,"TIA Education, Andrew Ramdayal",PMP Certification Exam Prep Course 35 PDU Contact Hours/PDU,Get your PMP Certification with this course. Fully updated for the Current PMP Exam,4.7,124008,All Levels,364 lectures,35 total hours,
continuous integration,https://www.udemy.com/course/project-management-with-chatgpt/,https://img-c.udemycdn.com/course/240x135/5534098_a35c_5.jpg,Tobias Becker,Project Management with ChatGPT: AI for Project Managers,Master Modern Project Management with AI. A Comprehensive Guide to Use Chat GPT for Project Managers (+ 42 Prompts),4.4,4678,Beginner,29 lectures,2.5 total hours,Current price: $19.99
continuous integration,https://www.udemy.com/course/continuous-improvement-an-introduction/,https://img-c.udemycdn.com/course/240x135/3764678_7237_7.jpg,Robert Chapman,Continuous Improvement: Certification,The step by step guide on how you can effectively deploy continuous improvement methodologies within your business,4.6,666,All Levels,85 lectures,8.5 total hours,
continuous integration,https://www.udemy.com/course/project-management-complete-guide-for-a-project-managers/,https://img-c.udemycdn.com/course/240x135/4663650_39fa_9.jpg,"Peter Alkema, Regenesys Business School",Project Management - Complete Guide For A+ Project Managers,"Complete guide to project management - stakeholders, planning, cost, quality, risks, feasibility, methods & resourcing",4.4,793,All Levels,454 lectures,28 total hours,Current price: $74.99
continuous integration,https://www.udemy.com/course/devopsprojects/,https://img-c.udemycdn.com/course/240x135/3710504_9b6d_9.jpg,Imran Teli,DevOps Projects | Real Time DevOps & GitOps Projects,Master Your DevOps Skills with Real challenge,4.7,3409,Intermediate,218 lectures,33.5 total hours,
continuous integration,https://www.udemy.com/course/cicd-continuous-integration-and-continuous-deployment/,https://img-c.udemycdn.com/course/240x135/5633082_4816.jpg,SkillBakery Studio,CI/CD Continuous Integration and Continuous Deployment,"A Comprehensive Guide to Continuous Integration and Continuous Deployment with GitHub, AWS and Azure",4.6,2,All Levels,61 lectures,5 total hours,Current price: $34.99
continuous integration,https://www.udemy.com/course/microsoft-project-tutorial/,https://img-c.udemycdn.com/course/240x135/831116_92e7_2.jpg,Srikanth Shirodkar,Microsoft Project ALL: BEGINNER to EXPERT 10 Projects 9 PDU,Learn MS Project all version HANDS-ON with COMPLETE real life examples BONUS 125 project files FREE PMI approved 9 PDUs,4.6,21952,All Levels,139 lectures,10.5 total hours,Current price: $124.99
continuous integration,https://www.udemy.com/course/devops-continuous-integration-continuous-delivery-agile/,https://img-c.udemycdn.com/course/240x135/5638026_648a_6.jpg,My Cloud Prof,"DevOps, Continuous Integration, Continuous Delivery & Agile","Learn DevOps, CI/CD, Agile, pipeline with Continuous Integration, Continuous Delivery / Continuous Deployment examples",4.2,30,All Levels,22 lectures,2.5 total hours,Current price: $19.99
continuous integration,https://www.udemy.com/course/pmp-project-integration-management/,https://img-c.udemycdn.com/course/240x135/581280_b325_6.jpg,Global Learning Labs .,Project Integration Management,Project success depends on how tightly you as a project manager integrate the processes during project lifecycle.,3.9,24,All Levels,30 lectures,2.5 total hours,Current price: $39.99
continuous integration,https://www.udemy.com/course/docker-for-continuous-integration/,https://img-c.udemycdn.com/course/240x135/2891008_bd8a_5.jpg,Brandon Harper,Docker for Continuous Integration,Build and deploy real-life applications using Docker containers,4.1,18,Beginner,42 lectures,2 total hours,
continuous integration,https://www.udemy.com/course/atlassian-confluence-training-project-management/,https://img-c.udemycdn.com/course/240x135/2573662_3be7_2.jpg,Andy Makar,Atlassian Confluence for Project Managers,Learn Confluence Project Management and how to manage projects and programs BETTER with Atlassian Confluence,4.5,4140,All Levels,38 lectures,3 total hours,
continuous integration,https://www.udemy.com/course/introduction-to-project-management-project-integration-23/,https://img-c.udemycdn.com/course/240x135/5576766_3cd9.jpg,OZIS Academy,Project Integration Management : PMP Certification,"Comprehensive Training Aligned with PMBOK-7 for the Introduction to Project Management , Project Integration Management.",4.4,81,All Levels,25 lectures,7 total hours,Current price: $19.99
continuous integration,https://www.udemy.com/course/project-management-mastery/,https://img-c.udemycdn.com/course/240x135/1918248_ad2f.jpg,Chris Croft,Project Management for Non Project Managers - PMP/PMI,Project Management practical guide for all industries,4.6,14699,All Levels,29 lectures,2.5 total hours,
continuous integration,https://www.udemy.com/course/quality-continuous-improvement-in-project-management/,https://img-c.udemycdn.com/course/240x135/6048383_fd18.jpg,YouAccel Training,Quality & Continuous Improvement in Project Management,Enhancing Project Success through Quality Assurance and Continuous Improvement Strategies,4.4,61,All Levels,97 lectures,11 total hours,Current price: $19.99
continuous integration,https://www.udemy.com/course/hybrid-project-management/,https://img-c.udemycdn.com/course/240x135/3722014_e0c0.jpg,Janet Burns,Hybrid Project Management for Project Managers,Agile? Waterfall? Why not both? Learn the benefits of these approaches to develop your own recipe for project success.,4.5,2772,Intermediate,22 lectures,,
