skill,link,image_link,partner,title,course_description,rating,num_review,difficulty,num_lecture,duration,price
microsoft exchange,https://www.udemy.com/course/microsoft-365-messenger-administrator-exchange-course/,https://img-c.udemycdn.com/course/240x135/3175574_1315_2.jpg,John Christopher,Microsoft 365 Messaging Admin Exchange Online Course w/ SIMS,Learn how to expertly administer Exchange Online through Microsoft 365 with lecture & hands on simulations 24/7,4.5,4026,All Levels,73 lectures,9 total hours,
microsoft exchange,https://www.udemy.com/course/exchange-server-exchange-online-course-with-hands-on-demos/,https://img-c.udemycdn.com/course/240x135/5488412_2321_5.jpg,John Christopher,Exchange Server & Exchange Online course with hands on demos,Learn how to expertly administer Microsoft Exchange Server / Online with lecture and hands on simulations available 24/7,4.6,523,All Levels,109 lectures,14.5 total hours,Current price: $84.99
microsoft exchange,https://www.udemy.com/course/microsoft-project-tutorial/,https://img-c.udemycdn.com/course/240x135/831116_92e7_2.jpg,Srikanth Shirodkar,Microsoft Project ALL: BEGINNER to EXPERT 10 Projects 9 PDU,Learn MS Project all version HANDS-ON with COMPLETE real life examples BONUS 125 project files FREE PMI approved 9 PDUs,4.6,21952,All Levels,139 lectures,10.5 total hours,Current price: $124.99
microsoft exchange,https://www.udemy.com/course/microsoft-project-complete-course-all-in-one-ms-project/,https://img-c.udemycdn.com/course/240x135/6351611_bc50_2.jpg,Usama Hassan,Microsoft Project Complete Course | All in one MS Project,Basic to Advanced Level Microsoft Project Training Course | A Complete Guide to MS Project,4.8,89,All Levels,35 lectures,7.5 total hours,Current price: $69.99
microsoft exchange,https://www.udemy.com/course/the-project-management-course-beginner-to-project-manager/,https://img-c.udemycdn.com/course/240x135/1978132_e90d_5.jpg,365 Careers,The Project Management Course: Beginner to PROject Manager,The Complete Course For Becoming A Successful Project Manager,4.6,74024,All Levels,109 lectures,8 total hours,
microsoft exchange,https://www.udemy.com/course/microsoft-project-for-civil-engineers-learn-2-live-projects/,https://img-c.udemycdn.com/course/240x135/5628573_a072_7.jpg,Akshay Kamath,Microsoft Project for Project Manager & Civil Engineers -MSP,[2024 ] Only Course With Live Project [23 Hours] on MS Project for Project Planning & Project Management from Zero,4.5,353,All Levels,75 lectures,23 total hours,Current price: $19.99
microsoft exchange,https://www.udemy.com/course/microsoft-project-the-complete-project-lifecycle/,https://img-c.udemycdn.com/course/240x135/2297596_3eac_2.jpg,"Dave Murphy, Ann Murphy",Microsoft Project - The Complete Guide for Project Managers,Use Microsoft Project 2016/2019 professionally for project success,4.6,135,All Levels,55 lectures,6.5 total hours,
microsoft exchange,https://www.udemy.com/course/microsoft-project-training-advanced/,https://img-c.udemycdn.com/course/240x135/2806983_856c_4.jpg,Uplatz Training,Microsoft Project Training for Project & Program Managers,"Advanced training on Microsoft Project (MSP). Learn how the tool works, create and link tasks, manage project resources.",4.4,16,All Levels,26 lectures,9.5 total hours,
microsoft exchange,https://www.udemy.com/course/microsoft-project-2019-beginner-to-advanced-online-course/,https://img-c.udemycdn.com/course/240x135/2328922_f5c6_3.jpg,Simon Sez IT,Microsoft Project 2019: Beginner to Advanced Mega Bundle,Claim 16 PDUs as this Microsoft Project 2019 course takes you from Project novice to superstar project manager,4.7,974,All Levels,115 lectures,16.5 total hours,
microsoft exchange,https://www.udemy.com/course/microsoft-365-messaging-admin-exchange-online-course/,https://img-c.udemycdn.com/course/240x135/6091417_2f53.jpg,Amit Kumar,Microsoft 365 Messaging Admin Exchange Online Course,"Microsoft 365 Messaging Admin Exchange Online Course, Mastering Exchange Online Troubleshooting, Exchange Online Course",4.5,6,All Levels,17 lectures,3 total hours,Current price: $69.99
