skill,link,image_link,partner,title,course_description,rating,num_review,difficulty,num_lecture,duration,price
sas,https://www.udemy.com/course/the-project-management-course-beginner-to-project-manager/,https://img-c.udemycdn.com/course/240x135/1978132_e90d_5.jpg,365 Careers,The Project Management Course: Beginner to PROject Manager,The Complete Course For Becoming A Successful Project Manager,4.6,74024,All Levels,109 lectures,8 total hours,Current price: $119.99
sas,https://www.udemy.com/course/the-simplest-guide-to-sas-programming-for-absolute-beginners/,https://img-c.udemycdn.com/course/240x135/2044798_d97d_37.jpg,"Aslam Khan, M.S, PMP, PgMP",The Simplest Guide to SAS Programming- SAS Base-SAS Advanced,Comprehensive SAS Training Guide + Capstone Project. Prepare and Pass SAS Certification Exam,4.6,2930,All Levels,125 lectures,12.5 total hours,Current price: $84.99
sas,https://www.udemy.com/course/practical-sas-from-beginner-to-advanced/,https://img-c.udemycdn.com/course/240x135/1161560_9af8_8.jpg,Alan Ye,SAS Programming - Data Analysis from Beginner to Advanced,Become a SAS Data Analyst and Data Scientist | SAS SQL | SAS Macro | 7+ Practice Projects,4.7,351,All Levels,100 lectures,8 total hours,Current price: $69.99
sas,https://www.udemy.com/course/sas-programming-for-beginners/,https://img-c.udemycdn.com/course/240x135/530022_dbc8_3.jpg,Sharon Cheng,SAS Programming BASE Certification Course for SAS Beginners,"The Complete Preparation Course for SAS Certified Base Programming Professionals for SAS 9.4 (Exam ID A00-231, A00-215 )",4.5,7207,All Levels,120 lectures,13.5 total hours,Current price: $99.99
sas,https://www.udemy.com/course/project-management-with-gen-ai-a-guide-for-project-managers/,https://img-c.udemycdn.com/course/240x135/6488353_f0c1.jpg,AI MENTOR,Project Management with Gen AI: A Guide for Project Managers,"Learn Project Management with Generative AI to optimize workflows, automate tasks & drive Success in Project Management",4.5,90,All Levels,17 lectures,2 total hours,Current price: $44.99
sas,https://www.udemy.com/course/sascompletetutorial/,https://img-c.udemycdn.com/course/240x135/943442_89d2_9.jpg,Ermin Dedic,SAS Programming Complete: Learn SAS and Become a Data Ninja,"Use the SAS Data Step, SQL, and Macros",4.7,2762,All Levels,154 lectures,12 total hours,Current price: $84.99
sas,https://www.udemy.com/course/project-management-with-chatgpt/,https://img-c.udemycdn.com/course/240x135/5534098_a35c_5.jpg,Tobias Becker,Project Management with ChatGPT: AI for Project Managers,Master Modern Project Management with AI. A Comprehensive Guide to Use Chat GPT for Project Managers (+ 42 Prompts),4.4,4678,Beginner,29 lectures,2.5 total hours,Current price: $19.99
sas,https://www.udemy.com/course/a-project-management-course-becoming-a-project-manager/,https://img-c.udemycdn.com/course/240x135/6049011_94c0_2.jpg,Providence Essien,A project management course: Becoming a PROject Manager,The Complete Course you need to Becoming a Successful PROject Manager,4.7,200,All Levels,10 lectures,1.5 total hours,Current price: $19.99
sas,https://www.udemy.com/course/project-management-skills-for-successful-project-managers/,https://img-c.udemycdn.com/course/240x135/6222223_e2aa.jpg,Fahad Virk,Project Management Skills for Successful Project Managers,"Learn to Analyze, Plan & Execute Projects to Achieve Company Objectives & Master Project Management Skills for Managers.",4.4,4,All Levels,15 lectures,1.5 total hours,Current price: $44.99
sas,https://www.udemy.com/course/sas-programming-on-proc-sql-part2/,https://img-c.udemycdn.com/course/240x135/988908_98f1_2.jpg,Sharon Cheng,"SAS Programming Advance Certification Course(SAS SQL, Macro)",The complete Prep Course for SAS Advanced Programming Professional Certification SAS® 9.4 (Exam ID A00-232),4.4,1467,All Levels,144 lectures,14 total hours,Current price: $94.99
sas,https://www.udemy.com/course/learn-to-use-sas-in-academic-researches/,https://img-c.udemycdn.com/course/240x135/2168574_a81d_3.jpg,Alan Ye,SAS Programming - Learn SAS from Beginner to Advanced,"Topics: SAS for Data Import, Transformation, Analysis, and Modeling. SAS Macro.",4.6,1248,All Levels,100 lectures,8.5 total hours,Current price: $74.99
sas,https://www.udemy.com/course/clinical-sas/,https://img-c.udemycdn.com/course/240x135/5610352_df79.jpg,Uplatz Training,Clinical SAS: Clinical Data Management and Analysis with SAS,Unlock Power of Clinical SAS: From Data Management to Advanced Analysis Techniques for Clinical Research Professionals.,3.6,34,All Levels,52 lectures,45 total hours,Current price: $44.99
sas,https://www.udemy.com/course/data-analysis-and-predictive-modeling-using-sas/,https://img-c.udemycdn.com/course/240x135/2693448_1b72.jpg,Sharon Cheng,SAS programming Statistical Analyst Certification Course,The Complete SAS Prep Course: Statistical Business Analyst using SAS 9.4 on Regression and Modeling (exam ID A00-240),4.7,147,All Levels,89 lectures,12 total hours,Current price: $59.99
sas,https://www.udemy.com/course/project-management-ready-becoming-a-project-manager-in-2024/,https://img-c.udemycdn.com/course/240x135/5698496_d3b8_2.jpg,Ivy Lewis,Project Management Ready - Becoming a Project Manager,Step by step actionable guide to transform your skills and experiences to become a project manager,4.8,13,Beginner,31 lectures,5.5 total hours,Current price: $19.99
