skill,link,image_link,partner,title,course_description,rating,num_review,difficulty,num_lecture,duration,price
ecs,https://www.udemy.com/course/production-site-reliability-engineer/,https://img-c.udemycdn.com/course/240x135/3531340_3cd0_2.jpg,Nidhi Singh,Production Support - Site Reliability Engineer,Job of SRE in DevOps,4.5,2087.0,Beginner,95 lectures,7 total hours,Current price: $59.99
ecs,https://www.udemy.com/course/sre-fundamentals-mastering-site-reliability-engineering/,https://img-c.udemycdn.com/course/240x135/5481794_d3c4_2.jpg,Douglas Mugnos,SRE Fundamentals: Mastering Site Reliability Engineering,Empower Your Team: Embrace SRE Fundamentals for Unparalleled Reliability and Efficiency,4.4,2058.0,All Levels,35 lectures,4 total hours,Current price: $19.99
ecs,https://www.udemy.com/course/from-zero-to-site-reliability-engineer/,https://img-c.udemycdn.com/course/240x135/5901296_0671.jpg,Philip Afable,From Zero to Site Reliability Engineer,Learn About the SRE Workflow,4.2,20.0,Intermediate,24 lectures,3 total hours,Current price: $69.99
ecs,https://www.udemy.com/course/site-reliability-engineer-sre-150-unique-interview-questions/,https://img-c.udemycdn.com/course/240x135/5366082_0865.jpg,Mustafa Erdinç ZORBA,150 Unique Site Reliability Engineer SRE Interview Questions,Master SRE Concepts: Real-World Scenarios In-Depth Interview Preparation Guide with Answers and Explanations!,4.2,28.0,All Levels,150 questions,,Current price: $69.99
ecs,https://www.udemy.com/course/ecsandfargate/,https://img-c.udemycdn.com/course/240x135/5709632_bd71_4.jpg,Rick Crisci,Containers on AWS ECS and Fargate 2 hour Crash Course,A hands-on introduction into the configuration and optimization of AWS ECS and Fargate for beginners,4.6,528.0,Beginner,20 lectures,2.5 total hours,Current price: $69.99
ecs,https://www.udemy.com/course/site-reliability-engineering-on-aws/,https://img-c.udemycdn.com/course/240x135/3287718_5368_2.jpg,Packt Publishing,Site Reliability Engineering on AWS,Implement a reliable application architecture using the patterns and best practices recommended by AWS.,4.1,224.0,Beginner,37 lectures,4.5 total hours,Current price: $54.99
ecs,https://www.udemy.com/course/complete-amazon-ecs-bootcamp-from-zero-to-hero/,https://img-c.udemycdn.com/course/240x135/5911124_ae75.jpg,Seedha Logic,[NEW] Complete Amazon ECS Bootcamp - From Zero to Hero,"Learn ECS, Fargate, Load Balancing, Auto Scaling, ECR, Service Connect, Wordpress deployment on AWS ECS, IAM, Security",4.3,21.0,All Levels,34 lectures,3.5 total hours,Current price: $44.99
ecs,https://www.udemy.com/course/introduction-to-reliability-maintainability-availability/,https://img-c.udemycdn.com/course/240x135/4448412_a4b3_3.jpg,Christopher Olson,"Introduction to Reliability, Maintainability & Availability",A solid foundation for Project Managers & Systems Engineers,4.6,742.0,Beginner,85 lectures,7 total hours,Current price: $69.99
ecs,https://www.udemy.com/course/aws-ecs-fargate/,https://img-c.udemycdn.com/course/240x135/3259666_77fa_3.jpg,"Paulo Dichone | Software Engineer, AWS Cloud Practitioner & Instructor",[NEW] Amazon ECS & Fargate Master Class - Docker on AWS,"Learn ECS & Fargate, Load Balancing, Auto Scaling, ECR, CICD for ECS, Blue/Green, X-Ray, Service Discovery, App Mesh",4.3,2504.0,Beginner,70 lectures,10.5 total hours,Current price: $79.99
ecs,https://www.udemy.com/course/aws-fargate-ecs-masterclass-microservices-docker-cloudformation/,https://img-c.udemycdn.com/course/240x135/2654134_3a6f_4.jpg,"Kalyan Reddy Daida | DevOps & SRE Architect on AWS, Azure & Google Cloud Platforms","AWS Fargate & ECS - Masterclass | Microservices, Docker, CFN","Learn ECR, AppMesh, X-Ray, ALB, CodePipeline, CodeBuild, CodeCommit, CloudMap, CFN, Docker and Microservices Deployments",4.3,1030.0,All Levels,103 lectures,10.5 total hours,Current price: $79.99
