skill,link,image_link,partner,title,course_description,rating,num_review,difficulty,num_lecture,duration,price
nagios,https://www.udemy.com/course/production-site-reliability-engineer/,https://img-c.udemycdn.com/course/240x135/3531340_3cd0_2.jpg,Nidhi Singh,Production Support - Site Reliability Engineer,Job of SRE in DevOps,4.5,2087.0,Beginner,95 lectures,7 total hours,Current price: $59.99
nagios,https://www.udemy.com/course/sre-fundamentals-mastering-site-reliability-engineering/,https://img-c.udemycdn.com/course/240x135/5481794_d3c4_2.jpg,Douglas Mugnos,SRE Fundamentals: Mastering Site Reliability Engineering,Empower Your Team: Embrace SRE Fundamentals for Unparalleled Reliability and Efficiency,4.4,2058.0,All Levels,35 lectures,4 total hours,Current price: $19.99
nagios,https://www.udemy.com/course/from-zero-to-site-reliability-engineer/,https://img-c.udemycdn.com/course/240x135/5901296_0671.jpg,Philip Afable,From Zero to Site Reliability Engineer,Learn About the SRE Workflow,4.2,20.0,Intermediate,24 lectures,3 total hours,Current price: $69.99
nagios,https://www.udemy.com/course/nagios-mastering-monitoring-and-management/,https://img-c.udemycdn.com/course/240x135/6336083_2b4d.jpg,EDUCBA Bridging the Gap,Nagios: Mastering Monitoring and Management,"Unlock the power of Nagios XI to streamline IT monitoring, enhance performance, and ensure system reliability!",5.0,1.0,All Levels,19 lectures,3 total hours,Current price: $54.99
nagios,https://www.udemy.com/course/site-reliability-engineer-sre-150-unique-interview-questions/,https://img-c.udemycdn.com/course/240x135/5366082_0865.jpg,Mustafa Erdinç ZORBA,150 Unique Site Reliability Engineer SRE Interview Questions,Master SRE Concepts: Real-World Scenarios In-Depth Interview Preparation Guide with Answers and Explanations!,4.2,28.0,All Levels,150 questions,,Current price: $69.99
nagios,https://www.udemy.com/course/site-reliability-engineering-on-aws/,https://img-c.udemycdn.com/course/240x135/3287718_5368_2.jpg,Packt Publishing,Site Reliability Engineering on AWS,Implement a reliable application architecture using the patterns and best practices recommended by AWS.,4.1,224.0,Beginner,37 lectures,4.5 total hours,Current price: $54.99
nagios,https://www.udemy.com/course/introduction-to-reliability-maintainability-availability/,https://img-c.udemycdn.com/course/240x135/4448412_a4b3_3.jpg,Christopher Olson,"Introduction to Reliability, Maintainability & Availability",A solid foundation for Project Managers & Systems Engineers,4.6,742.0,Beginner,85 lectures,7 total hours,Current price: $69.99
nagios,https://www.udemy.com/course/setting-up-nagios-4/,https://img-c.udemycdn.com/course/240x135/1421046_c002_2.jpg,Rusty Yonkers,Setting up Nagios 4 monitoring,Monitor your system health and be a hero,4.0,173.0,Beginner,16 lectures,2.5 total hours,Current price: $34.99
nagios,https://www.udemy.com/course/nagios-ultimate-it-monitoring-guide-with-eyesofnetwork/,https://img-c.udemycdn.com/course/240x135/4667764_b00b_3.jpg,Tech Academy,Nagios | Ultimate IT monitoring guide with EyesOfNetwork,The complete guide for IT supervision with EyesOfNetwork bundle (Nagios/Nagvis/Nagiosbp/...),4.4,21.0,All Levels,141 lectures,10.5 total hours,Current price: $69.99
nagios,https://www.udemy.com/course/mastering-asq-certified-reliability-engineer-exam/,https://img-c.udemycdn.com/course/240x135/5663722_5b5f_4.jpg,AERP Engineering,Mastering Certified Reliability Engineer Exam - Vol 1,This course has been meticulously designed to aid individuals preparing for the Certified Reliability Engineer exam.,4.2,12.0,Intermediate,856 questions,,Current price: $19.99
nagios,https://www.udemy.com/course/reliability-engineering-statistics/,https://img-c.udemycdn.com/course/240x135/4308267_bdea.jpg,"Ray Harkins, The Manufacturing Academy, Michael J. Vella",Reliability Engineering Statistics (2025),"Master the Statistical Tools to Optimize Reliability, Minimize Failures, and Drive Performance in Engineering",4.4,633.0,All Levels,123 lectures,9 total hours,Current price: $84.99
