skill,link,image_link,partner,title,course_description,rating,num_review,difficulty,num_lecture,duration,price
nosql,https://www.udemy.com/course/production-site-reliability-engineer/,https://img-c.udemycdn.com/course/240x135/3531340_3cd0_2.jpg,Nidhi Singh,Production Support - Site Reliability Engineer,Job of SRE in DevOps,4.5,2087.0,Beginner,95 lectures,7 total hours,Current price: $59.99
nosql,https://www.udemy.com/course/from-zero-to-site-reliability-engineer/,https://img-c.udemycdn.com/course/240x135/5901296_0671.jpg,Philip Afable,From Zero to Site Reliability Engineer,Learn About the SRE Workflow,4.2,20.0,Intermediate,24 lectures,3 total hours,Current price: $69.99
nosql,https://www.udemy.com/course/sre-fundamentals-mastering-site-reliability-engineering/,https://img-c.udemycdn.com/course/240x135/5481794_d3c4_2.jpg,Douglas Mugnos,SRE Fundamentals: Mastering Site Reliability Engineering,Empower Your Team: Embrace SRE Fundamentals for Unparalleled Reliability and Efficiency,4.4,2058.0,All Levels,35 lectures,4 total hours,Current price: $19.99
nosql,https://www.udemy.com/course/site-reliability-engineer-sre-150-unique-interview-questions/,https://img-c.udemycdn.com/course/240x135/5366082_0865.jpg,Mustafa Erdinç ZORBA,150 Unique Site Reliability Engineer SRE Interview Questions,Master SRE Concepts: Real-World Scenarios In-Depth Interview Preparation Guide with Answers and Explanations!,4.2,28.0,All Levels,150 questions,,Current price: $69.99
nosql,https://www.udemy.com/course/site-reliability-engineering-on-aws/,https://img-c.udemycdn.com/course/240x135/3287718_5368_2.jpg,Packt Publishing,Site Reliability Engineering on AWS,Implement a reliable application architecture using the patterns and best practices recommended by AWS.,4.1,224.0,Beginner,37 lectures,4.5 total hours,Current price: $54.99
nosql,https://www.udemy.com/course/introduction-to-reliability-maintainability-availability/,https://img-c.udemycdn.com/course/240x135/4448412_a4b3_3.jpg,Christopher Olson,"Introduction to Reliability, Maintainability & Availability",A solid foundation for Project Managers & Systems Engineers,4.6,742.0,Beginner,85 lectures,7 total hours,Current price: $69.99
nosql,https://www.udemy.com/course/cassandra-essentials/,https://img-c.udemycdn.com/course/240x135/6388385_7c5d.jpg,Koushik Kothagal,Cassandra Essentials: NoSQL Distributed Data for Developers,"Master Cassandra & NoSQL fundamentals — covering architecture, replication, data modeling, and consistency.",5.0,3.0,All Levels,44 lectures,6 total hours,Current price: $44.99
nosql,https://www.udemy.com/course/reliability-engineering-statistics/,https://img-c.udemycdn.com/course/240x135/4308267_bdea.jpg,"Ray Harkins, The Manufacturing Academy, Michael J. Vella",Reliability Engineering Statistics (2025),"Master the Statistical Tools to Optimize Reliability, Minimize Failures, and Drive Performance in Engineering",4.4,633.0,All Levels,123 lectures,9 total hours,Current price: $84.99
nosql,https://www.udemy.com/course/google-cloud-professional-database-engineer-exam-prep/,https://img-c.udemycdn.com/course/240x135/4953374_c329_2.jpg,"Dan Sullivan, Dan Sullivan",Google Cloud Professional Database Engineer Exam Prep,"Know How to Design for High Availability and Reliability, Use Relational and NoSQL, Plan and Execute Database Migrations",4.4,303.0,All Levels,74 lectures,4.5 total hours,Current price: $74.99
nosql,https://www.udemy.com/course/site-reliability-engineering-mastering-slo-and-error-budget/,https://img-c.udemycdn.com/course/240x135/5842894_7ad8.jpg,Junior Mayhé,Site Reliability Engineering: Mastering SLO and Error Budget,"SRE core concepts of Non-Functional Requirements, Reliability, Business Flows, SLI, SLO, Error Budget, and more.",4.4,29.0,Beginner,27 lectures,,Current price: $39.99
nosql,https://www.udemy.com/course/an-introduction-to-reliability-engineering/,https://img-c.udemycdn.com/course/240x135/2513962_7e40_4.jpg,"Ray Harkins, The Manufacturing Academy",An Introduction to Reliability Engineering,A Study of Why Things Fail and How to Measure and Improve their Useful Life,4.4,3367.0,All Levels,39 lectures,5 total hours,Current price: $84.99
nosql,https://www.udemy.com/course/the-ai-engineer-course-complete-ai-engineer-bootcamp/,https://img-c.udemycdn.com/course/240x135/6112535_7103.jpg,365 Careers,The AI Engineer Course 2025: Complete AI Engineer Bootcamp,"Complete AI Engineer Training: Python, NLP, Transformers, LLMs, LangChain, Hugging Face, APIs",4.6,2803.0,All Levels,367 lectures,24.5 total hours,Current price: $89.99
nosql,https://www.udemy.com/course/nosql-databases-for-beginners/,https://img-c.udemycdn.com/course/240x135/1117836_50b4_2.jpg,Bluelime Learning Solutions,NoSQL Databases For Beginners,Learn to Store and Retrieve Data  from a Database without using SQL,3.7,186.0,Beginner,83 lectures,7 total hours,Current price: $49.99
nosql,https://www.udemy.com/course/mastering-asq-certified-reliability-engineer-exam/,https://img-c.udemycdn.com/course/240x135/5663722_5b5f_4.jpg,AERP Engineering,Mastering Certified Reliability Engineer Exam - Vol 1,This course has been meticulously designed to aid individuals preparing for the Certified Reliability Engineer exam.,4.2,12.0,Intermediate,856 questions,,Current price: $19.99
nosql,https://www.udemy.com/course/sql-nosql-big-data-hadoop/,https://img-c.udemycdn.com/course/240x135/1734696_c0b1_3.jpg,Michael Enudi,"SQL, NoSQL, Big Data and Hadoop","A comprehensive journey through the world of database and data engineering concepts  - from SQL, NoSQL to Hadoop",3.9,489.0,All Levels,129 lectures,22 total hours,Current price: $64.99
nosql,https://www.udemy.com/course/database-engineerdba-postgresql-ibm-db2-mariadbnosql/,https://img-c.udemycdn.com/course/240x135/4051480_46df.jpg,Bluelime Learning Solutions,"Database Engineer/DBA - (PostgreSQL, IBM-DB2, MariaDB,NoSQL)",Practical Database Engineering | Administration,4.3,582.0,Beginner,191 lectures,18 total hours,Current price: $69.99
nosql,https://www.udemy.com/course/certified-reliability-engineer-cre-practice-tests/,https://img-c.udemycdn.com/course/240x135/6376849_acb3_2.jpg,Aman Kaushik,Certified Reliability Engineer (CRE) Practice Tests,Comprehensive Practice for the Certified Reliability Engineer (CRE) Exam,,,All Levels,240 questions,,Current price: $44.99
nosql,https://www.udemy.com/course/maintenance-management-reliability-engineering-full-course/,https://img-c.udemycdn.com/course/240x135/5433122_e234_2.jpg,Engineering Training Academy,Maintenance Management & Reliability Crash Course,"Comprehensive Course covering all Fundamentals of Maintenance Management, Reliability Engineering and Asset Management",4.3,327.0,All Levels,35 lectures,4.5 total hours,Current price: $69.99
nosql,https://www.udemy.com/course/sre-site-reliability-engineering-quick-learninig-course/,https://img-c.udemycdn.com/course/240x135/4913734_aae5_2.jpg,GG トップ,SRE ( Site Reliability Engineering ) Quick Learning Course,Google's innovative methodology for DevOps,3.4,24.0,Beginner,39 lectures,2 total hours,Current price: $44.99
nosql,https://www.udemy.com/course/the-complete-mongodb-course/,https://img-c.udemycdn.com/course/240x135/4336104_6211_9.jpg,Malvik Vaghadia,The Complete MongoDB Course,"Learn about NoSQL Document Databases and master Mongo Query Language, Aggregation Pipelines and more!",4.6,1649.0,Beginner,96 lectures,8 total hours,Current price: $84.99
