skill,link,image_link,partner,title,course_description,rating,num_review,difficulty,num_lecture,duration,price
agile development methodologies,https://www.udemy.com/course/software-development-and-it-complete-guide-to-key-concepts/,https://img-c.udemycdn.com/course/240x135/4879694_6afd_4.jpg,Kamil Kulik • Software Engineer,Software Development and IT - Complete Guide To Key Concepts,"For new joiners in IT industry: basics of apps, APIs, testing, Cloud, GIT, deployment, containerisation, SDLC, Scrum",4.7,1213,All Levels,109 lectures,6.5 total hours,Current price: $84.99
agile development methodologies,https://www.udemy.com/course/software-development-lifecycle-methodologies/,https://img-c.udemycdn.com/course/240x135/2394346_5a5e_3.jpg,Michal Juhas,Software Development Lifecycle & Methodologies,Learn how software development works straight from the source: a CTO of a fast-growing startup.,4.5,290,All Levels,17 lectures,2.5 total hours,Current price: $49.99
agile development methodologies,https://www.udemy.com/course/software-development-from-a-to-z/,https://img-c.udemycdn.com/course/240x135/826410_16f3_14.jpg,Karoly Nyisztor • Professional Software Architect,Software Development From A to Z - Learn What Truly Matters,"Valuable Software Development Insights: IT Roles, Agile, SCRUM, SDLC, OOP, UML, Python Programming 101, Web Development",4.5,3313,Beginner,117 lectures,6.5 total hours,Current price: $89.99
agile development methodologies,https://www.udemy.com/course/fundamentals-of-agile-software-development/,https://img-c.udemycdn.com/course/240x135/2385176_96b3_3.jpg,Jimmy Mathew,Fundamentals Of Agile Software Development,"Agile Fundamentals, Agile Manifesto and Principles, Overview of Agile Methodologies",4.3,126,All Levels,5 lectures,,Current price: $39.99
agile development methodologies,https://www.udemy.com/course/agile-software-testing-methodologies-and-approaches/,https://img-c.udemycdn.com/course/240x135/3389606_fd13_3.jpg,Sorin Dumitrascu,Agile Software Testing - Methodologies and Approaches,"Agile Software Testing: Methodologies and Testing Approaches, Techniques and Tools",4.5,215,Beginner,32 lectures,2 total hours,Current price: $49.99
agile development methodologies,https://www.udemy.com/course/introduction-to-agile-methodology-t/,https://img-c.udemycdn.com/course/240x135/5155318_77dc_2.jpg,Master Easily,Introduction to Agile methodology,"Agile methodology, a project management approach that prioritizes flexibility, collaboration, and customer satisfaction.",3.9,11,All Levels,7 lectures,,Current price: $29.99
agile development methodologies,https://www.udemy.com/course/sdlc-software-development-life-cycle-lifecycle-process/,https://img-c.udemycdn.com/course/240x135/4374016_a9fc_2.jpg,Yogesh Dahake,SDLC - Software Development Life Cycle SDLC,Learn Software development life cycle/ Process and methodologies of developing software's with real life project.,4.4,5694,Beginner,49 lectures,2.5 total hours,Current price: $64.99
agile development methodologies,https://www.udemy.com/course/project-management-methodologies-agile-scrum-and-pmp/,https://img-c.udemycdn.com/course/240x135/6362573_2f2e.jpg,"MTF Institute of Management, Technology and Finance","Project Management Methodologies: Agile, Scrum, and PMP","Comparing: Project Management, Agile, Scrum, Project Management Professional (PMP) Methodology, Kanban, Lean and tools",4.4,137,All Levels,15 lectures,1.5 total hours,Current price: $44.99
agile development methodologies,https://www.udemy.com/course/agile-from-mindset-to-mastery/,https://img-c.udemycdn.com/course/240x135/3332562_a818_2.jpg,Mousa Coach,Agile for Software Development,A complete and lean course about Agile software development,4.3,5,All Levels,19 lectures,2 total hours,Current price: $19.99
agile development methodologies,https://www.udemy.com/course/agile-software-testing/,https://img-c.udemycdn.com/course/240x135/3389320_87d2_5.jpg,Sorin Dumitrascu,Agile Software Testing,"Agile Software Testing: Methodologies and Testing Approaches, Techniques and Tools",4.1,308,Beginner,47 lectures,3.5 total hours,Current price: $54.99
