skill,link,image_link,partner,title,course_description,rating,num_review,difficulty,num_lecture,duration,price
agile,https://www.udemy.com/course/software-development-and-it-complete-guide-to-key-concepts/,https://img-c.udemycdn.com/course/240x135/4879694_6afd_4.jpg,Kamil Kulik • Software Engineer,Software Development and IT - Complete Guide To Key Concepts,"For new joiners in IT industry: basics of apps, APIs, testing, Cloud, GIT, deployment, containerisation, SDLC, Scrum",4.7,1213,All Levels,109 lectures,6.5 total hours,Current price: $84.99
agile,https://www.udemy.com/course/software-testing-masterclass-from-novice-to-expert/,https://img-c.udemycdn.com/course/240x135/2151486_095a_6.jpg,"Ozan Ilhan, Software Testing House By Ozan Ilhan",Software Testing Masterclass (2025) - From Novice to Expert,"Learn software testing and become QA Engineer/Agile Tester, Mobile/Backend/Web/QA testing, JIRA, TestRail and much more!",4.5,11333,All Levels,100 lectures,9.5 total hours,Current price: $139.99
agile,https://www.udemy.com/course/software-tester-course-become-an-effective-tester/,https://img-c.udemycdn.com/course/240x135/3396522_2495_2.jpg,Manual 2 Automation Testing,Software Tester Course - Become an Effective Tester,"Project & Job based Tester/QA Engineer Course. Manual Software Testing, Agile with JIRA, SQL for Testers & Interviews.",4.6,561,All Levels,186 lectures,15.5 total hours,Current price: $84.99
agile,https://www.udemy.com/course/agile-scrum-for-beginners-scrum-master-certification-preparation/,https://img-c.udemycdn.com/course/240x135/1850902_6c52_6.jpg,"Valentin Despa, Valentin Despa - Support",Agile Scrum for Beginners + Scrum Master Certification Prep,"[UNOFFICIAL] Learn Scrum, understand the Agile principles + prepare for your Agile/Scrum Master certification in 2025",4.7,26066,All Levels,134 lectures,14.5 total hours,Current price: $109.99
agile,https://www.udemy.com/course/qa-essential-course-from-0-to-hero/,https://img-c.udemycdn.com/course/240x135/5168122_12cd_5.jpg,SQA Path,Software testing essential course 2023 - from 0 to QA Hero,Learn software testing and become Quality Assurance Engineer/Agile Software Tester!,4.4,65,Beginner,53 lectures,4.5 total hours,Current price: $19.99
agile,https://www.udemy.com/course/software-development-from-a-to-z/,https://img-c.udemycdn.com/course/240x135/826410_16f3_14.jpg,Karoly Nyisztor • Professional Software Architect,Software Development From A to Z - Learn What Truly Matters,"Valuable Software Development Insights: IT Roles, Agile, SCRUM, SDLC, OOP, UML, Python Programming 101, Web Development",4.5,3313,Beginner,117 lectures,6.5 total hours,Current price: $89.99
agile,https://www.udemy.com/course/learn-software-testing-in-practical-become-a-qa-expert/,https://img-c.udemycdn.com/course/240x135/456460_2b1c_6.jpg,Rahul Shetty,MasterClass Software Testing with Jira & Agile -Be a QA Lead,Straight to the point. 2025 BEST job oriented Software Manual Testing course on real time Projects + Interview questions,4.5,22960,All Levels,81 lectures,10.5 total hours,Current price: $124.99
agile,https://www.udemy.com/course/learn-manual-software-testing-with-live-project-jira-tool/,https://img-c.udemycdn.com/course/240x135/2144654_1c6b_7.jpg,Pavan Kumar,Learn Manual Software Testing + Agile with Jira Tool,"Manual Testing, STLC, Agile, Jira, e-Commerce Project",4.6,12949,All Levels,16 lectures,23 total hours,Current price: $99.99
agile,https://www.udemy.com/course/agile-fundamentals-scrum-kanban-scrumban/,https://img-c.udemycdn.com/course/240x135/2013892_4fd3_5.jpg,"The BA Guide | Jeremy Aschenbrenner, Vivek & Pabitra Khattri",Agile Fundamentals: Including Scrum & Kanban,"Master Agile principles, values, approaches, & mindset to help organizations make changes faster and with less expense",4.5,82850,All Levels,85 lectures,4.5 total hours,Current price: $149.99
agile,https://www.udemy.com/course/software-engineering-101/,https://img-c.udemycdn.com/course/240x135/2267906_505c.jpg,Kurt Anderson,Software Engineering 101: Plan and Execute Better Software.,Software Engineering 101: Use Software Engineering to Plan and Build Amazing Software + Learn SCRUM Framework!,4.5,12113,All Levels,102 lectures,8.5 total hours,Current price: $109.99
agile,https://www.udemy.com/course/the-complete-agile-scrum-project-management-course/,https://img-c.udemycdn.com/course/240x135/6028152_84b7.jpg,365 Careers,The Complete Agile & Scrum Project Management Course,"Master Agile and Scrum through an immersive, real-world case study to become a world-class project manager",4.6,1942,All Levels,57 lectures,4 total hours,Current price: $79.99
agile,https://www.udemy.com/course/testerbootcamp/,https://img-c.udemycdn.com/course/240x135/2125112_86f5_8.jpg,"Tarek Roshdy, Nezam Academy, Nezam Team",The Complete 2025 Software Testing Bootcamp,Your Step-by-Step Guide to Becoming a Professional Software Tester,4.5,33946,Beginner,395 lectures,37.5 total hours,Current price: $119.99
agile,https://www.udemy.com/course/becoming-an-agile-coach/,https://img-c.udemycdn.com/course/240x135/3079220_2081_4.jpg,"Masha Ostroumova, Agile Apothecary","Become an Agile Coach in 2024 | Mindset, Frameworks, Skills","Learn to plan, build, and deliver successful products | Master Scrum, Kanban, and more Agile frameworks in 2024",4.5,2503,All Levels,84 lectures,11.5 total hours,Current price: $84.99
agile,https://www.udemy.com/course/agile-software-testing/,https://img-c.udemycdn.com/course/240x135/3389320_87d2_5.jpg,Sorin Dumitrascu,Agile Software Testing,"Agile Software Testing: Methodologies and Testing Approaches, Techniques and Tools",4.1,308,Beginner,47 lectures,3.5 total hours,Current price: $54.99
