skill,link,image_link,partner,title,course_description,rating,num_review,difficulty,num_lecture,duration,price
kanban,https://www.udemy.com/course/agile-kanban/,https://img-c.udemycdn.com/course/240x135/3704956_8552.jpg,GenMan Solutions,Agile Kanban: Kanban for Software Development Teams,Learn the Kanban way of Agile Project Management | Prepare for Kanban Certification | Kanban for Software Development,4.3,2142,All Levels,42 lectures,3.5 total hours,Current price: $69.99
kanban,https://www.udemy.com/course/kanban-scrum-scrumban-psk-complete-agile-lean-package/,https://img-c.udemycdn.com/course/240x135/4112466_6f12_2.jpg,"Omni Academy 400,000+ students, Mirko Perkusich, Ph.D., Gustavo Farias 500.000+ Alunos, Omni Academy - Student Care & Support",Complete Kanban from A to Z + 4 EXTRA Courses,"Undoubtedly, the most complete: Kanban, Scrum, Scrumban, GTD and Leadership. Practice-based course with real scenarios.",4.7,974,Beginner,125 lectures,6 total hours,Current price: $84.99
kanban,https://www.udemy.com/course/kanban-for-creative-professionals/,https://img-c.udemycdn.com/course/240x135/4168420_d9de_4.jpg,Martin Lehmann,The Kanban Course - for Individuals and Software Teams,Learn how to use Kanban step by step and how it is used by successful software teams you can do the same.,4.5,150,All Levels,10 lectures,1.5 total hours,Current price: $39.99
kanban,https://www.udemy.com/course/kanban-for-software-development-teams-izenbridge/,https://img-c.udemycdn.com/course/240x135/580778_ee55.jpg,iZenBridge Consultancy,Kanban for Software Development Teams,Learn how to implement kanban principles and practices to improve software development process.,4.6,134,All Levels,51 lectures,3.5 total hours,Current price: $19.99
kanban,https://www.udemy.com/course/agile-fundamentals-scrum-kanban-scrumban/,https://img-c.udemycdn.com/course/240x135/2013892_4fd3_5.jpg,"The BA Guide | Jeremy Aschenbrenner, Vivek & Pabitra Khattri",Agile Fundamentals: Including Scrum & Kanban,"Master Agile principles, values, approaches, & mindset to help organizations make changes faster and with less expense",4.5,82900,All Levels,85 lectures,4.5 total hours,Current price: $149.99
kanban,https://www.udemy.com/course/kanban-fundamentals/,https://img-c.udemycdn.com/course/240x135/1859036_660e.jpg,Darren R.,Kanban Fundamentals: How to Become Insanely Productive,Instantly Improve Productivity by Learning Kanban,4.4,4577,All Levels,15 lectures,,Current price: $39.99
kanban,https://www.udemy.com/course/software-development-and-it-complete-guide-to-key-concepts/,https://img-c.udemycdn.com/course/240x135/4879694_6afd_4.jpg,Kamil Kulik • Software Engineer,Software Development and IT - Complete Guide To Key Concepts,"For new joiners in IT industry: basics of apps, APIs, testing, Cloud, GIT, deployment, containerisation, SDLC, Scrum",4.7,1213,All Levels,109 lectures,6.5 total hours,Current price: $84.99
kanban,https://www.udemy.com/course/become-an-associate-software-engineer/,https://img-c.udemycdn.com/course/240x135/5958238_8203_3.jpg,Paulo Victor Gomes,Become a Software Engineer,The Complete Guide to Becoming an Associate Software Engineer: Your Entry into the Tech World,4.8,19,All Levels,135 lectures,14.5 total hours,Current price: $19.99
kanban,https://www.udemy.com/course/jira-confluence-masterclass-2025-for-users-projects/,https://img-c.udemycdn.com/course/240x135/6203609_c5c7.jpg,"Niels Rabe | Agile Coach, Project manager, Scrum Master",Jira & Confluence Masterclass 2025 for Projects & Teams,"Manage Agile, Scrum, Kanban and more Teams and Projects by Mastering Jira and Confluence in 2025. Learn Jira today!",4.5,48,Beginner,114 lectures,10.5 total hours,Current price: $89.99
kanban,https://www.udemy.com/course/kanban-for-software-development/,https://img-c.udemycdn.com/course/240x135/6196165_01b4.jpg,Jimmy Mathew,Kanban for Software Development,Mastering Workflow Optimization and Efficiency,4.1,2,All Levels,7 lectures,2.5 total hours,Current price: $19.99
kanban,https://www.udemy.com/course/software-engineering-101/,https://img-c.udemycdn.com/course/240x135/2267906_505c.jpg,Kurt Anderson,Software Engineering 101: Plan and Execute Better Software.,Software Engineering 101: Use Software Engineering to Plan and Build Amazing Software + Learn SCRUM Framework!,4.5,12122,All Levels,102 lectures,8.5 total hours,Current price: $109.99
kanban,https://www.udemy.com/course/introduction-to-agile-scrum-and-kanban/,https://img-c.udemycdn.com/course/240x135/4275028_4cbb.jpg,Jamal Lazaar,Introduction to Agile : Scrum and Kanban,"Introduction to Agile project management: Lean, Scrum, Kanban. Get familiar with Agile methodologies.",4.6,10274,All Levels,43 lectures,2.5 total hours,Current price: $74.99
kanban,https://www.udemy.com/course/agile-management-scrum-complete/,https://img-c.udemycdn.com/course/240x135/2742660_c2e4_6.jpg,"Omni Academy 400,000+ students, Mirko Perkusich, Ph.D., Gustavo Farias 500.000+ Alunos, Omni Academy - Student Care & Support",Agile Scrum Mastery & Kanban: The Complete Practical Guide,"Your 2025 Scrum Real-World Guide, including: Kanban, Agile Project Management, PSM Certification & Essential Soft Skills",4.5,4544,All Levels,200 lectures,9.5 total hours,Current price: $139.99
kanban,https://www.udemy.com/course/agile-scrum-and-kanban-foundations/,https://img-c.udemycdn.com/course/240x135/4332396_3fb1_2.jpg,Karoly Nyisztor • Professional Software Architect,"Agile, SCRUM, and Kanban Foundations","Take advantage of Agile, Scrum, and Kanban to work efficiently in a professional team",4.3,726,Beginner,28 lectures,1.5 total hours,Current price: $59.99
kanban,https://www.udemy.com/course/kanban-board/,https://img-c.udemycdn.com/course/240x135/567564_cd9e.jpg,Paul Ashun,Kanban+Agile Kanban Productivity & Efficiency+Agile Scrum,"Learn how to reduce bottlenecks, visualize workflow for kanban certification using the kanban board & combine with scrum",4.1,1356,All Levels,49 lectures,2 total hours,Current price: $59.99
kanban,https://www.udemy.com/course/agile-project-management-genman/,https://img-c.udemycdn.com/course/240x135/3533698_42a6.jpg,GenMan Solutions,"Agile Project Management: Agile, Scrum, Kanban & XP","Everything you need to know to get started with Agile Project Management, Scrum, Kanban & XP",4.5,6575,All Levels,77 lectures,5.5 total hours,Current price: $79.99
kanban,https://www.udemy.com/course/sap-computerized-kanban/,https://img-c.udemycdn.com/course/240x135/3949808_ead1_5.jpg,Ciprian Muntean,SAP Computerized KANBAN,Implement Kanban for your business,4.4,30,Beginner,24 lectures,4.5 total hours,Current price: $49.99
kanban,https://www.udemy.com/course/the-complete-jira-agile-project-management-course/,https://img-c.udemycdn.com/course/240x135/1839552_d891_5.jpg,Danny Liu,The Complete JIRA Agile Project Management Course,Learn how to quickly manage Scrum and Kanban Agile projects using JIRA Software Cloud and more!,4.5,2958,Beginner,48 lectures,2 total hours,Current price: $49.99
kanban,https://www.udemy.com/course/testerbootcamp/,https://img-c.udemycdn.com/course/240x135/2125112_86f5_8.jpg,"Tarek Roshdy, Nezam Academy, Nezam Team",The Complete 2025 Software Testing Bootcamp,Your Step-by-Step Guide to Becoming a Professional Software Tester,4.5,33957,Beginner,395 lectures,37.5 total hours,Current price: $119.99
kanban,https://www.udemy.com/course/agile-kanban-software-development/,https://img-c.udemycdn.com/course/240x135/4569272_dae9_2.jpg,Puneet Gupta,Kanban Fundamentals | Become Insanely Productive | Be Agile,Master the Kanban way of Agile Project Management | Kanban Certification | Improve Productivity by Learning Kanban,4.5,32,All Levels,60 lectures,3 total hours,Current price: $64.99
