skill,link,image_link,partner,title,course_description,rating,num_review,difficulty,num_lecture,duration,price
observability,https://www.udemy.com/course/practical-introduction-to-observability/,https://img-c.udemycdn.com/course/240x135/5539818_17b3.jpg,Andrew Howden,Practical introduction to Observability,Learn how to instrument systems with logs & traces so you can later debug them in production,4.4,250.0,Intermediate,56 lectures,3.5 total hours,Current price: $64.99
observability,https://www.udemy.com/course/opentelemetry-foundations/,https://img-c.udemycdn.com/course/240x135/6195287_542b_5.jpg,Arun Krishnan,OpenTelemetry Foundations: Hands-On Guide to Observability,"Learn Observability, OpenTelemetry Instrumentation, Telemetry Signals, Context Propagation, Collector and more!",4.5,88.0,Beginner,69 lectures,5 total hours,Current price: $69.99
observability,https://www.udemy.com/course/grafana-graphite-and-statsd-visualize-metrics/,https://img-c.udemycdn.com/course/240x135/1473698_386a_11.jpg,Aref Karimi,"Observability with Grafana, Prometheus,Loki, Alloy and Tempo","Complete hands-on course of Grafana, Prometheus, Loki, Opentelemetry, Alloy and Tempo",4.4,4426.0,All Levels,97 lectures,6 total hours,Current price: $64.99
observability,https://www.udemy.com/course/1z0-1111-oracle-cloud-infrastructure-observability-prof/,https://img-c.udemycdn.com/course/240x135/5851044_5277.jpg,Anuran Academy,1Z0-1111-24 : Oracle Cloud Infrastructure Observability Prof,To prepare for 1Z0-1111-24 Exam with confidence New 2024,4.4,7.0,All Levels,64 questions,,Current price: $49.99
observability,https://www.udemy.com/course/software-architecture-design-of-modern-large-scale-systems/,https://img-c.udemycdn.com/course/240x135/3997622_0670_2.jpg,"Michael Pogrebinsky | Software Architecture, System Design, Java Expert, Top Developer Academy LLC",Software Architecture & Design of Modern Large Scale Systems,"Become a Software Architect or Technical Lead by Mastering Software Architecture, System Design & Big Data Processing.",4.7,11311.0,All Levels,45 lectures,7 total hours,Current price: $109.99
observability,https://www.udemy.com/course/new-relic-apm-application-performance-management-for-devops/,https://img-c.udemycdn.com/course/240x135/1733814_8701_4.jpg,Aref Karimi,New Relic One: Observability From Beginner to Advanced,"Metric and Log Collection with Agents, New Relic Query Language (NRQL), Alerts and Incidents, and New Relic CLI",4.6,4129.0,All Levels,55 lectures,3.5 total hours,Current price: $59.99
observability,https://www.udemy.com/course/observability-in-cloud-native-apps-using-opentelemetry/,https://img-c.udemycdn.com/course/240x135/4359682_6ad9_4.jpg,Michael Haberman,Observability in Cloud Native apps using OpenTelemetry,Mastering OpenTelemetry with Jaeger and Prometheus to have Observability to your cloud native apps,4.3,1012.0,Intermediate,27 lectures,2.5 total hours,Current price: $74.99
observability,https://www.udemy.com/course/sre-bootcamp-builddeployrun-and-implement-observability/,https://img-c.udemycdn.com/course/240x135/4709978_8647_2.jpg,Jai Chenchlani,"SRE Bootcamp | Build,Deploy,Run and Implement Observability","Become an ace SRE enabled on core concepts SLIs, SLOs, Error Budgets; Deploy apps on GCP, and implement Golden Signals.",4.3,153.0,Beginner,121 lectures,7.5 total hours,Current price: $64.99
observability,https://www.udemy.com/course/monitoring-observability-and-alerting-with-prometheus/,https://img-c.udemycdn.com/course/240x135/5536396_4180.jpg,DevOps Hint,"Monitoring, Observability and Alerting with Prometheus","Infrastructure Monitoring,Observability and Alerting with Prometheus, Prometheus Exporters, PromQL and Grafana",,,All Levels,32 lectures,8.5 total hours,Current price: $54.99
observability,https://www.udemy.com/course/microservices-observability-resilience-monitoring-on-net/,https://img-c.udemycdn.com/course/240x135/3958562_cadd_5.jpg,Mehmet Ozkaya,"Microservices Observability, Resilience, Monitoring on .Net","Microservices Observability with Distributed Logging, Health Monitoring, Resilient and Fault Tolerance with using Polly",4.3,512.0,Intermediate,51 lectures,9 total hours,Current price: $69.99
observability,https://www.udemy.com/course/become-an-associate-software-engineer/,https://img-c.udemycdn.com/course/240x135/5958238_8203_3.jpg,Paulo Victor Gomes,Become a Software Engineer,The Complete Guide to Becoming an Associate Software Engineer: Your Entry into the Tech World,4.8,19.0,All Levels,135 lectures,14.5 total hours,Current price: $19.99
observability,https://www.udemy.com/course/software-engineering-101/,https://img-c.udemycdn.com/course/240x135/2267906_505c.jpg,Kurt Anderson,Software Engineering 101: Plan and Execute Better Software.,Software Engineering 101: Use Software Engineering to Plan and Build Amazing Software + Learn SCRUM Framework!,4.5,12122.0,All Levels,102 lectures,8.5 total hours,Current price: $109.99
observability,https://www.udemy.com/course/software-development-and-it-complete-guide-to-key-concepts/,https://img-c.udemycdn.com/course/240x135/4879694_6afd_4.jpg,Kamil Kulik • Software Engineer,Software Development and IT - Complete Guide To Key Concepts,"For new joiners in IT industry: basics of apps, APIs, testing, Cloud, GIT, deployment, containerisation, SDLC, Scrum",4.7,1213.0,All Levels,109 lectures,6.5 total hours,Current price: $84.99
observability,https://www.udemy.com/course/the-complete-guide-to-becoming-a-software-architect/,https://img-c.udemycdn.com/course/240x135/2304734_767b.jpg,Memi Lavi,The Complete Guide to Becoming a Software Architect,"The most comprehensive guide that will make you a Software Architect, the most desired role in the software industry.",4.6,16096.0,Beginner,117 lectures,6 total hours,Current price: $159.99
observability,https://www.udemy.com/course/the-ai-engineer-course-complete-ai-engineer-bootcamp/,https://img-c.udemycdn.com/course/240x135/6112535_7103.jpg,365 Careers,The AI Engineer Course 2025: Complete AI Engineer Bootcamp,"Complete AI Engineer Training: Python, NLP, Transformers, LLMs, LangChain, Hugging Face, APIs",4.6,2803.0,All Levels,367 lectures,24.5 total hours,Current price: $89.99
observability,https://www.udemy.com/course/rxjs-and-observables/,https://img-c.udemycdn.com/course/240x135/3548982_214c_2.jpg,Jurek Wozniak,RxJS 7 and Observables: Introduction,Learn how Observables work and behave in an easy to understand step-by-step way!,4.6,3483.0,All Levels,74 lectures,5.5 total hours,Current price: $84.99
observability,https://www.udemy.com/course/software-engineer-interview-unleashed/,https://img-c.udemycdn.com/course/240x135/960796_025f_4.jpg,Jeff Bae,Software Engineer Interview Unleashed,Learn how to make yourself ready for software engineer interviews from a former Google interviewer.,4.2,1206.0,All Levels,41 lectures,7 total hours,Current price: $69.99
observability,https://www.udemy.com/course/datadog-observability-monitoring-logging-in-kubernetes-aws-eks/,https://img-c.udemycdn.com/course/240x135/5032740_7c5b_5.jpg,CSCareerKaizen.com | CKA & CKS & AWS DevOps Pro (元Microsoft現シリバレエンジニア),"Datadog Observability (Monitoring, Logging, Alerting) in K8s",Learn how to use Datadog for Kubernetes observability (AWS EKS),4.0,11.0,Intermediate,62 lectures,5 total hours,Current price: $19.99
observability,https://www.udemy.com/course/google-cloud-certification-associate-cloud-engineer/,https://img-c.udemycdn.com/course/240x135/3827154_aecc_4.jpg,"in28Minutes Official, Ranga Karanam | GCP Certification - Google Cloud Engineer & Architect",GCP Associate Cloud Engineer - Google Cloud Certification,GCP ACE - Google Cloud Associate Cloud Engineer certification. Begin your Google Cloud Platform - GCP journey!,4.6,31693.0,All Levels,299 lectures,18 total hours,Current price: $109.99
observability,https://www.udemy.com/course/master-uml-pro-with-ease-unlock-your-future-software-architect/,https://img-c.udemycdn.com/course/240x135/5525234_4c7f_7.jpg,Santanu Das,UML Course for Software Engineers!,Unlock Architect-Level Design Skills with UML and AI: Turn Complex Systems into Child's Play!,4.5,30.0,All Levels,39 lectures,7.5 total hours,Current price: $49.99
