skill,link,image_link,partner,title,course_description,rating,num_review,difficulty,num_lecture,duration,price
rtos,https://www.udemy.com/course/mastering-rtos-hands-on-with-freertos-arduino-and-stm32fx/,https://img-c.udemycdn.com/course/240x135/915690_681c_8.jpg,"FastBit Embedded Brain Academy, Kiran Nayak",Mastering RTOS: Hands on FreeRTOS and STM32Fx with Debugging,Learn Running/Porting FreeRTOS Real Time Operating System on  STM32F4x and ARM cortex M based Mircocontrollers,4.5,6519,All Levels,121 lectures,14 total hours,Current price: $84.99
rtos,https://www.udemy.com/course/rtos-building-from-ground-up-on-arm-processors/,https://img-c.udemycdn.com/course/240x135/1446160_79aa_9.jpg,"Israel Gbati, BHM Engineering Academy",Build Your Own RealTime OS (RTOS) From Ground Up™ on ARM 1,Build Your Own RealTime Operating Systems from first principles . Practice on STM32 and TIVA C boards,4.5,1058,Intermediate,79 lectures,9.5 total hours,Current price: $69.99
rtos,https://www.udemy.com/course/introduction-to-rtos/,https://img-c.udemycdn.com/course/240x135/1353620_eca4.jpg,Amr Ali,Introduction to Real-Time Operating System (RTOS),Learn how to realize dynamic embedded software design using RTOS in an industrial/practical way,4.0,649,Intermediate,42 lectures,3 total hours,Current price: $39.99
rtos,https://www.udemy.com/course/embedded-electronics-bootcamp-from-bit-to-deep-learning/,https://img-c.udemycdn.com/course/240x135/4116136_6fa8_2.jpg,"Mouhammad Hamsho, Kemalaldin Hamso","Embedded Systems Bootcamp: RTOS, IoT,  AI, Vision and FPGA","All microcontrollers in one: Embedded Systems, IoT,  RTOS, Deep Learning, Linux and Raspberry PI, ESP32, Arduino",4.6,645,All Levels,189 lectures,16.5 total hours,Current price: $74.99
rtos,https://www.udemy.com/course/freertos-on-arm-processors/,https://img-c.udemycdn.com/course/240x135/1481998_9971_12.jpg,"Israel Gbati, BHM Engineering Academy",FreeRTOS  From Ground Up™  on ARM Processors (REVISED),RTOS : Build RealTime embedded applications  with FreeRTOS. Practice on STM32 and TIVA C boards,4.5,875,All Levels,205 lectures,23.5 total hours,Current price: $69.99
rtos,https://www.udemy.com/course/build-your-own-realtime-os-rtos-from-ground-uptm-on-arm-2/,https://img-c.udemycdn.com/course/240x135/2637466_1c0d_2.jpg,"Israel Gbati, BHM Engineering Academy, EmbeddedExpertIO .",Build Your Own RealTime OS (RTOS) From Ground Up™ on ARM 2,Practice on STM32. Build Your Own RealTime Operating Systems from first principles .,4.1,115,Intermediate,62 lectures,11 total hours,Current price: $64.99
rtos,https://www.udemy.com/course/introduction-to-osek-rtos-i/,https://img-c.udemycdn.com/course/240x135/3164622_7145_8.jpg,Sarea Alhariri,Introduction to AUTOSAR/OSEK RTOS I,Master AUTOSAR/OSEK OS. The 1st RTOS In Automotive Software Industry,4.5,530,Intermediate,45 lectures,3.5 total hours,Current price: $59.99
rtos,https://www.udemy.com/course/mastering-rtos/,https://img-c.udemycdn.com/course/240x135/3635940_270a.jpg,Ginu Jacob,A beginner's guide to the concepts of RTOS,Understand RTOS kernel objects and schedulers in great detail to start working with any RTOS based embedded application.,3.8,42,Intermediate,34 lectures,,Current price: $29.99
rtos,https://www.udemy.com/course/become-an-associate-software-engineer/,https://img-c.udemycdn.com/course/240x135/5958238_8203_3.jpg,Paulo Victor Gomes,Become a Software Engineer,The Complete Guide to Becoming an Associate Software Engineer: Your Entry into the Tech World,4.8,19,All Levels,135 lectures,14.5 total hours,Current price: $19.99
rtos,https://www.udemy.com/course/software-development-and-it-complete-guide-to-key-concepts/,https://img-c.udemycdn.com/course/240x135/4879694_6afd_4.jpg,Kamil Kulik • Software Engineer,Software Development and IT - Complete Guide To Key Concepts,"For new joiners in IT industry: basics of apps, APIs, testing, Cloud, GIT, deployment, containerisation, SDLC, Scrum",4.7,1213,All Levels,109 lectures,6.5 total hours,Current price: $84.99
