skill,link,image_link,partner,title,course_description,rating,num_review,difficulty,num_lecture,duration,price
terraform,https://www.udemy.com/course/terraform-hands-on-labs/,https://img-c.udemycdn.com/course/240x135/4254508_54c8_7.jpg,"Bryan Krausen • 160,000+ Enrollments Worldwide, Gabe Maentz",HashiCorp Certified: Terraform Associate - Hands-On Labs,Master the Terraform Associate with 70+ AWS-based labs that follow the Terraform Associate 003 objectives,4.7,5060,All Levels,81 lectures,14.5 total hours,Current price: $89.99
terraform,https://www.udemy.com/course/mastering-terraform-beginner-to-expert/,https://img-c.udemycdn.com/course/240x135/5761444_aff6_3.jpg,Lauro Fialho Müller,Terraform: The Complete Guide from Beginner to Expert,"20+ hours, 60+ hands-on labs and 6 projects in AWS for you to master Terraform and Infrastructure as Code!",4.8,677,Beginner,234 lectures,21 total hours,
terraform,https://www.udemy.com/course/terraform-for-the-absolute-beginners/,https://img-c.udemycdn.com/course/240x135/4226208_6500_5.jpg,"Mumshad Mannambeth, KodeKloud Training, Vijin Palazhi",Terraform for the Absolute Beginners with Labs,Learn the basics of Terraform with real hands on labs right in your browser,4.6,14323,Beginner,87 lectures,4.5 total hours,Current price: $94.99
terraform,https://www.udemy.com/course/terraform-associate-practice-exam/,https://img-c.udemycdn.com/course/240x135/2736086_4d37_13.jpg,"Bryan Krausen • 160,000+ Enrollments Worldwide",HashiCorp Certified: Terraform Associate Practice Exam 2025,The Original Terraform Associate 003 Prep: Pass your Terraform cert with 300+ Questions with Explanations and Resources,4.7,10843,Beginner,305 questions,,Current price: $79.99
terraform,https://www.udemy.com/course/terraform-101-azure-edition/,https://img-c.udemycdn.com/course/240x135/6208847_f60a_7.jpg,Mark Tinderholt,Terraform 101: The Ultimate Hands-On Guide [Azure Edition],"A Practical, Step-by-Step Guide to Building and Automating Azure Infrastructure with Terraform",4.8,144,Beginner,102 lectures,10 total hours,
terraform,https://www.udemy.com/course/terraform-beginner-to-advanced/,https://img-c.udemycdn.com/course/240x135/1617616_5a60_3.jpg,Zeal Vora,HashiCorp Certified: Terraform Associate 2025,All in One course for learning Terraform and gaining the official Terraform Associate Certification (003).,4.7,27122,Beginner,166 lectures,21.5 total hours,Current price: $27.99
terraform,https://www.udemy.com/course/terraform-for-beginners-using-google-cloud/,https://img-c.udemycdn.com/course/240x135/4296670_af59_13.jpg,"Ankit Mistry : 150,000+ Students, GCP Certification - Google Cloud Academy | Associate Cloud & Professional Engineer Certifications",Terraform for Beginners using GCP - Google Cloud (Hands-on),Provision Google Cloud - GCP infrastructure with Most popular tool Terraform - Hashicorp Configuration Language (HCL),4.4,2024,Beginner,74 lectures,9.5 total hours,Current price: $79.99
terraform,https://www.udemy.com/course/terraform-on-azure-services/,https://img-c.udemycdn.com/course/240x135/4714122_9dd2.jpg,Alan Rodrigues,Terraform on Azure,"Using Terraform with Azure (Includes 100+ code files, 10+ assignments, a mini-project)",4.5,3044,All Levels,202 lectures,20.5 total hours,Current price: $79.99
terraform,https://www.udemy.com/course/terraform-fast-track/,https://img-c.udemycdn.com/course/240x135/2500248_5f8b_5.jpg,Warp 9 Training,Terraform for AWS - Beginner to Expert,"Learn Terraform quickly, easily and effectively",4.6,8994,All Levels,75 lectures,3 total hours,Current price: $84.99
terraform,https://www.udemy.com/course/lets-learn-terraform-in-gcp/,https://img-c.udemycdn.com/course/240x135/5774134_fc07_2.jpg,Saleh Ramadan,Let's Learn Terraform in GCP,"Learn to use Terraform in GCP by practice, build and deploy your configuration in Google Cloud Platform!",4.5,79,Intermediate,85 lectures,17.5 total hours,
terraform,https://www.udemy.com/course/terraform-with-gcp/,https://img-c.udemycdn.com/course/240x135/5125754_8827_3.jpg,TechTrapture .,Terraform with GCP,HashiCorp Certified: Terraform Associate (003),4.3,47,,Expert,5 total hours,
terraform,https://www.udemy.com/course/gcp-terraform-on-google-cloud-devops-sre-iac/,https://img-c.udemycdn.com/course/240x135/6010828_992c.jpg,"Kalyan Reddy Daida | DevOps & SRE Architect on AWS, Azure & Google Cloud Platforms",GCP Terraform on Google Cloud:DevOps SRE 30 Real-World Demos,"[NEW-JULY2024] Learn Terraform on GCP: Master DevOps, SRE, and IaC skills with 30 real-world demos from DNS to DB.",4.6,152,All Levels,134 lectures,15.5 total hours,
