skill,link,image_link,partner,title,course_description,rating,num_review,difficulty,num_lecture,duration,price
visual studio,https://www.udemy.com/course/learn-visual-studio-code-vscode-course/,https://img-c.udemycdn.com/course/240x135/4601546_f235_11.jpg,Estefania Cassingena Navone,Visual Studio Code for Developers 2025: Beginner to Advanced,"Learn Visual Studio Code, Extensions, Shortcuts, Version Control, Debugging, Jupyter Notebooks, Markdown, and More.",4.6,2051,Beginner,240 lectures,10 total hours,Current price: $84.99
visual studio,https://www.udemy.com/course/mastering-visual-studio-code/,https://img-c.udemycdn.com/course/240x135/2664746_b9a2_8.jpg,Alex Dan,Mastering Visual Studio Code (2025),"Boost your productivity with Visual Studio Code, the best code editor of the moment! Completely updated in 2024!",4.5,2081,All Levels,123 lectures,8 total hours,Current price: $69.99
visual studio,https://www.udemy.com/course/git-with-visual-studio-code/,https://img-c.udemycdn.com/course/240x135/3559743_c6bc_2.jpg,Alex Dan,Git with Visual Studio Code,"An introduction to Version Control using Git, GitHub and Visual Studio Code",4.5,690,Beginner,19 lectures,,Current price: $19.99
visual studio,https://www.udemy.com/course/learn-visual-studio-code/,https://img-c.udemycdn.com/course/240x135/2022242_e523.jpg,James Quick,Learn Visual Studio Code (2020),"Everything you need to know about Visual Studio Code, the most popular editor in Web Development!",4.6,5793,Intermediate,41 lectures,4 total hours,Current price: $64.99
visual studio,https://www.udemy.com/course/the-complete-visual-studio-code-course/,https://img-c.udemycdn.com/course/240x135/5673984_f3bb_2.jpg,"Codestars • over 2 million students worldwide!, Dr. Mohammad Nauman",The Complete Visual Studio Code Course,"Essential VSCode Tips, Tricks and Best Practices!",4.6,182,Beginner,68 lectures,7 total hours,Current price: $19.99
visual studio,https://www.udemy.com/course/c-sharp-and-visual-studio-productivity-masterclass/,https://img-c.udemycdn.com/course/240x135/3565493_c418_2.jpg,"Denis Panjuta, Tutorials.eu by Denis Panjuta",C# And Visual Studio Productivity Masterclass,"Double Your Coding Speed Using C#, Visual Studio, Resharper And Other Powerful Extensions",4.6,214,All Levels,67 lectures,2.5 total hours,Current price: $64.99
visual studio,https://www.udemy.com/course/azure-devops-repos-with-git-and-visual-studio-for-developers/,https://img-c.udemycdn.com/course/240x135/2557794_ad29_6.jpg,Patrick Videos,GIT and Visual Studio with Azure DevOps Repos for Developers,"Step by Step, easy way for developers to get started with Azure Repos, GIT and Visual Studio",4.5,7173,Beginner,21 lectures,1.5 total hours,Current price: $64.99
visual studio,https://www.udemy.com/course/learn-visual-basic/,https://img-c.udemycdn.com/course/240x135/1719160_784d_2.jpg,Louis Irwin,Learn Visual Basic with Visual Studio,Become a master of Visual Basic - No programming experience required,3.7,136,Beginner,19 lectures,1.5 total hours,Current price: $27.99
visual studio,https://www.udemy.com/course/microsoft-copilot-studio/,https://img-c.udemycdn.com/course/240x135/5924944_de24_2.jpg,"Henry Habib, The Intelligent Worker",Microsoft Copilot Studio - The Copilot Studio Masterclass,Master Copilot Studio | Build personalized copilot | Connect copilot to your data | Extend copilot with Generative AI,4.6,2164,All Levels,113 lectures,12 total hours,Current price: $89.99
visual studio,https://www.udemy.com/course/mastering-visual-studio-2019/,https://img-c.udemycdn.com/course/240x135/2573226_d123_2.jpg,Packt Publishing,Mastering Visual Studio 2019,Reap the full benefits of Visual Studio 2019 by mastering its advanced topics,4.2,84,Intermediate,30 lectures,2 total hours,Current price: $44.99
visual studio,https://www.udemy.com/course/introduction-to-microsoft-sql-server-and-visual-studio/,https://img-c.udemycdn.com/course/240x135/4540878_a996_2.jpg,Bluelime Learning Solutions,Introduction to  Microsoft SQL Server and Visual Studio,Learn some key skills of SQL Server and Visual Studio,4.6,27,Beginner,19 lectures,2 total hours,Current price: $49.99
visual studio,https://www.udemy.com/course/visual-studio-code-vscode/,https://img-c.udemycdn.com/course/240x135/3386388_3380_2.jpg,Praveenkumar Bouna,Visual Studio Code for .NET Developers,A guide to learn Visual Studio Code (VS Code) for highly productive editing of source code in Visual Studio Code,4.4,107,Beginner,64 lectures,3.5 total hours,Current price: $74.99
visual studio,https://www.udemy.com/course/python-debugging-with-visual-studio-code/,https://img-c.udemycdn.com/course/240x135/5029842_d36f.jpg,"Learning From Experience, Ayan Dutta",Python Debugging with Visual Studio Code: A Complete Guide,"Master Python Debugging in VSCode: Unittest, Pytest, Docker, Cloud Debugging & Hands-On Scenarios with Flask, AWS, Azure",5.0,14,All Levels,58 lectures,4 total hours,Current price: $44.99
visual studio,https://www.udemy.com/course/become-an-associate-software-engineer/,https://img-c.udemycdn.com/course/240x135/5958238_8203_3.jpg,Paulo Victor Gomes,Become a Software Engineer,The Complete Guide to Becoming an Associate Software Engineer: Your Entry into the Tech World,4.8,19,All Levels,135 lectures,14.5 total hours,Current price: $19.99
visual studio,https://www.udemy.com/course/the-complete-guide-visual-studio-code-vscode-2024-edition/,https://img-c.udemycdn.com/course/240x135/5681360_87bc.jpg,Jan Schaffranek,The Complete Guide: Visual Studio Code [VSCode] Edition,"Learn the most important features of the code editor VSCode. Settings, tasks, debugging, and much more. Always updated.",4.6,28,All Levels,37 lectures,3.5 total hours,Current price: $19.99
visual studio,https://www.udemy.com/course/master-vs-code/,https://img-c.udemycdn.com/course/240x135/4125522_2e61_2.jpg,Michael Tromba,Master VS Code: Learn To Use Visual Studio Code Like A Pro,Quickly improve your software development productivity and have more fun while coding.,4.7,67,Intermediate,60 lectures,3.5 total hours,Current price: $49.99
visual studio,https://www.udemy.com/course/data-analysis-and-dashboards-with-google-data-studio/,https://img-c.udemycdn.com/course/240x135/1213560_e635_12.jpg,Ian Littlejohn,Complete Introduction to Looker Studio (Google Data Studio),"Learn how to create powerful data analysis, reports and dashboards with Looker Studio (formerly Google Data Studio)",4.7,8054,All Levels,72 lectures,5 total hours,Current price: $89.99
visual studio,https://www.udemy.com/course/c-sharp-2022-with-exercises/,https://img-c.udemycdn.com/course/240x135/4901080_79fb_3.jpg,T O,C# With Visual Studio Community 2022 (With Exercises),Jump Into C#!,4.1,9,Beginner,52 lectures,3.5 total hours,Current price: $49.99
