skill,link,image_link,partner,title,course_description,rating,num_review,difficulty,num_lecture,duration,price
graphql,https://www.udemy.com/course/graphql-with-react-course/,https://img-c.udemycdn.com/course/240x135/1109926_7f97_2.jpg,Stephen Grider,GraphQL with React: The Complete Developers Guide,Learn and master GraphQL by building real web apps with React and Node,4.5,10819,Intermediate,116 lectures,13.5 total hours,Current price: $109.99
graphql,https://www.udemy.com/course/building-web-apis-with-graphql-the-complete-guide/,https://img-c.udemycdn.com/course/240x135/4994238_99f3_3.jpg,Memi Lavi,Building Web APIs with GraphQL - The Complete Guide,"Become an expert in one of  the most exciting web APIs framework with this practical, hands-on course",4.4,450,Beginner,67 lectures,4 total hours,Current price: $79.99
graphql,https://www.udemy.com/course/graphql-spring/,https://img-c.udemycdn.com/course/240x135/4839740_7098_2.jpg,Vinoth Selvaraj,Reactive GraphQL Masterclass For Java Spring Boot Developers,Boost API Performance and Scalability using Efficient Data Fetching with GraphQL and Spring Boot,4.7,180,All Levels,176 lectures,12.5 total hours,Current price: $84.99
graphql,https://www.udemy.com/course/graphql-by-example/,https://img-c.udemycdn.com/course/240x135/1657930_7b48_3.jpg,Mirko Nasato,GraphQL by Example,"Learn GraphQL by writing full-stack JavaScript applications with Node.js, Express, Apollo Server, React, Apollo Client.",4.6,5389,All Levels,102 lectures,8 total hours,Current price: $84.99
graphql,https://www.udemy.com/course/complete-nodejs-developer-zero-to-mastery/,https://img-c.udemycdn.com/course/240x135/3616978_b3f2_4.jpg,"Andrei Neagoie, Adam Odziemkowski","Complete NodeJS Developer (GraphQL, MongoDB, + more)","Learn from real NodeJS experts! Includes REALLY Advanced NodeJS. Express, GraphQL, REST, MongoDB, SQL, MERN + much more",4.5,5284,All Levels,432 lectures,46.5 total hours,Current price: $94.99
graphql,https://www.udemy.com/course/complete-react-developer-zero-to-mastery/,https://img-c.udemycdn.com/course/240x135/2365628_0b60_9.jpg,"Andrei Neagoie, Yihua Zhang","Complete React Developer (w/ Redux, Hooks, GraphQL)","Updated! Become a Senior React Developer. Build a massive E-commerce app with Redux, Hooks, GraphQL, Stripe, Firebase",4.3,28766,All Levels,346 lectures,42 total hours,Current price: $139.99
graphql,https://www.udemy.com/course/modern-graphql-complete-guide/,https://img-c.udemycdn.com/course/240x135/4329888_05b8_2.jpg,Laith Harb,Modern GraphQL with Node - Complete Developers Guide,Learn and master GraphQL with Node and React by building real production ready applications,4.5,1059,Beginner,85 lectures,10.5 total hours,Current price: $74.99
graphql,https://www.udemy.com/course/the-complete-web-development-bootcamp/,https://img-c.udemycdn.com/course/240x135/1565838_e54e_18.jpg,"Dr. Angela Yu, Developer and Lead Instructor",The Complete Full-Stack Web Development Bootcamp,"Become a Full-Stack Web Developer with just ONE course. HTML, CSS, Javascript, Node, React, PostgreSQL, Web3 and DApps",4.7,431983,All Levels,374 lectures,61.5 total hours,Current price: $119.99
graphql,https://www.udemy.com/course/graphql-in-ios-using-swift/,https://img-c.udemycdn.com/course/240x135/4040130_8d4f_2.jpg,Mohammad Azam,GraphQL with iOS and SwiftUI: The Complete Developers Guide,"Build GraphQL Apps in SwiftUI Using Apollo, NodeJS and MVVM Design Pattern",4.4,142,All Levels,99 lectures,7.5 total hours,Current price: $74.99
graphql,https://www.udemy.com/course/nodejs-the-complete-guide/,https://img-c.udemycdn.com/course/240x135/1879018_95b6_3.jpg,"Academind by Maximilian Schwarzmüller, Maximilian Schwarzmüller","NodeJS - The Complete Guide (MVC, REST APIs, GraphQL, Deno)","Master Node JS & Deno.js, build REST APIs with Node.js, GraphQL APIs, add Authentication, use MongoDB, SQL & much more!",4.6,51554,All Levels,544 lectures,40.5 total hours,Current price: $149.99
graphql,https://www.udemy.com/course/the-web-developer-bootcamp/,https://img-c.udemycdn.com/course/240x135/625204_436a_3.jpg,Colt Steele,The Web Developer Bootcamp 2025,"With 10 Hours of React added. Become a Developer With ONE course - HTML, CSS, JavaScript, React, Node, MongoDB and More!",4.7,279902,All Levels,730 lectures,74 total hours,Current price: $149.99
graphql,https://www.udemy.com/course/building-graphql-apis-with-python/,https://img-c.udemycdn.com/course/240x135/5261950_a84a.jpg,Andy Bek,Building GraphQL APIs with Python: Beginner To Pro,"Learn How To Build GraphQL APIs in Python - plus SQLAlchemy ORM, JWTs auth flows, deployment and more!",4.6,226,Beginner,128 lectures,12 total hours,Current price: $79.99
graphql,https://www.udemy.com/course/graphql-with-nextjs-build-a-fullstack-app-from-scratch/,https://img-c.udemycdn.com/course/240x135/6081717_1496_2.jpg,Uzochukwu Eddie Odozi,GraphQL with NextJS - Build a Fullstack App From Scratch,"Learn GraphQL and Next.js by building a full-stack application with NodeJS, Express, Apollo Server, Apollo Client.",4.8,20,Intermediate,238 lectures,34.5 total hours,Current price: $19.99
graphql,https://www.udemy.com/course/build-dynamic-applications-with-graphql/,https://img-c.udemycdn.com/course/240x135/2421674_e12b_2.jpg,Packt Publishing,Build Dynamic Applications with GraphQL,A rapid guild to building web apps with GraphQL,4.4,13,Intermediate,49 lectures,8.5 total hours,Current price: $54.99
graphql,https://www.udemy.com/course/graphql-introduction-to-graphql-for-beginners/,https://img-c.udemycdn.com/course/240x135/1586650_fe26_3.jpg,Bluelime Learning Solutions,GraphQL: Introduction to GraphQL for beginners,"Learn about GraphQL, how it works step by step",4.0,115,Beginner,30 lectures,2.5 total hours,Current price: $54.99
graphql,https://www.udemy.com/course/graphql-mern-react-node-firebase/,https://img-c.udemycdn.com/course/240x135/2885730_e129_3.jpg,Ryan Dhungel,GraphQL from Scratch with MERN Stack,Learn GraphQL from Scratch with MERN Stack (Mongo Express React Node) and Firebase to build Truly Realtime Web Apps,4.6,78,All Levels,139 lectures,19.5 total hours,Current price: $64.99
graphql,https://www.udemy.com/course/graphql-bootcamp/,https://img-c.udemycdn.com/course/240x135/1720558_d57e.jpg,Andrew Mead,The Modern GraphQL Bootcamp (with Node.js and Apollo),"Learn how to build GraphQL applications using Node.js. Includes Prisma v1, authentication, Apollo Client, and more!",4.3,5626,Beginner,118 lectures,23.5 total hours,Current price: $79.99
graphql,https://www.udemy.com/course/graphql-with-java-spring-boot-query-mutation-schema-resolver-edge-jpa/,https://img-c.udemycdn.com/course/240x135/3430412_d6db_9.jpg,Infybuzz Learning,GraphQL API with Java Spring Boot & Spring Framework,"GraphQL API with Java Spring Boot & Spring Data JPA and MySQL. Learn GraphQL Query, Mutation, Schema, Resolver, Edge",4.2,2686,All Levels,65 lectures,5 total hours,Current price: $64.99
graphql,https://www.udemy.com/course/rest-api-vs-graphql-vs-grpc-the-complete-guide/,https://img-c.udemycdn.com/course/240x135/5432962_b6a9_2.jpg,Memi Lavi,REST API vs GraphQL vs gRPC - The Complete Guide,Learn the three most popular Web APIs in the industry and how to choose the right one,4.6,596,Beginner,45 lectures,2 total hours,Current price: $19.99
graphql,https://www.udemy.com/course/nestjs-the-complete-developers-guide/,https://img-c.udemycdn.com/course/240x135/4174580_dd1c.jpg,Stephen Grider,NestJS: The Complete Developer's Guide,"Build full featured backend APIs incredibly quickly with Nest, TypeORM, and Typescript. Includes testing and deployment!",4.7,8045,All Levels,244 lectures,20 total hours,Current price: $89.99
