skill,link,image_link,partner,title,course_description,rating,num_review,difficulty,num_lecture,duration,price
jira,https://www.udemy.com/course/jira-7-for-developer-administrator-project-managers/,https://img-c.udemycdn.com/course/240x135/2025178_dc2a_2.jpg,Packt Publishing,"Jira 7: For Developer, Administrator & Project Managers",Get hands-on practice on Jira customization and issue tracking implementation for your organization,4.5,228,Beginner,53 lectures,6.5 total hours,Current price: $44.99
jira,https://www.udemy.com/course/jira-confluence-masterclass-2025-for-users-projects/,https://img-c.udemycdn.com/course/240x135/6203609_c5c7.jpg,"Niels Rabe | Agile Coach, Project manager, Scrum Master",Jira & Confluence Masterclass 2025 for Projects & Teams,"Manage Agile, Scrum, Kanban and more Teams and Projects by Mastering Jira and Confluence in 2025. Learn Jira today!",4.5,48,Beginner,114 lectures,10.5 total hours,Current price: $89.99
jira,https://www.udemy.com/course/the-complete-guide-to-jira-with-real-world-examples/,https://img-c.udemycdn.com/course/240x135/1120038_2d02_6.jpg,Kosh Sarkar (Atlassian Certified Trainer),Learn Jira with real-world examples 2024 (+Confluence bonus),"Updated 2024! Learn to work on, manage, administer agile projects with this comprehensive course on JIRA and Confluence",4.6,39824,All Levels,82 lectures,10.5 total hours,Current price: $109.99
jira,https://www.udemy.com/course/jira-for-beginners-detailed-course-to-get-started-in-jira-online/,https://img-c.udemycdn.com/course/240x135/4287514_db09_2.jpg,Simon Sez IT,Jira for Beginners - Detailed Course to Get Started in Jira,Learn how to manage projects with Jira for agile teams in this comprehensive beginner course from Simon Sez IT!,4.5,22651,Beginner,89 lectures,8.5 total hours,Current price: $89.99
jira,https://www.udemy.com/course/jira-advanced/,https://img-c.udemycdn.com/course/240x135/4524878_25e4.jpg,"Masha Ostroumova, Agile Apothecary",Jira Advanced 2024 | Manage & Administer Jira Like a Pro,"Become a Jira guru in 2024 | Master advanced settings, tools, and best practices",4.5,3356,Intermediate,39 lectures,7.5 total hours,Current price: $74.99
jira,https://www.udemy.com/course/atlassian-automation-unleashed/,https://img-c.udemycdn.com/course/240x135/6186189_5f6e_7.jpg,Adonis Elfakih,Atlassian Jira Automation Unleashed,Master Incoming Webhooks and Send Web Requests to leverage Jira-Confluence REST APIs in solving real-world problems,5.0,6,Intermediate,30 lectures,4 total hours,Current price: $69.99
jira,https://www.udemy.com/course/the-complete-jira-agile-project-management-course/,https://img-c.udemycdn.com/course/240x135/1839552_d891_5.jpg,Danny Liu,The Complete JIRA Agile Project Management Course,Learn how to quickly manage Scrum and Kanban Agile projects using JIRA Software Cloud and more!,4.5,2958,Beginner,48 lectures,2 total hours,Current price: $49.99
jira,https://www.udemy.com/course/introduction-to-jira/,https://img-c.udemycdn.com/course/240x135/770336_d591_4.jpg,Dan LeFebvre,"Understanding Jira for users, managers and admins",Everything you need to know to get started with Atlassian's powerful agile project management and issue tracker tool.,4.6,25169,All Levels,68 lectures,7 total hours,Current price: $84.99
jira,https://www.udemy.com/course/the-complete-web-development-bootcamp/,https://img-c.udemycdn.com/course/240x135/1565838_e54e_18.jpg,"Dr. Angela Yu, Developer and Lead Instructor",The Complete Full-Stack Web Development Bootcamp,"Become a Full-Stack Web Developer with just ONE course. HTML, CSS, Javascript, Node, React, PostgreSQL, Web3 and DApps",4.7,431983,All Levels,374 lectures,61.5 total hours,Current price: $119.99
jira,https://www.udemy.com/course/jira-essentials/,https://img-c.udemycdn.com/course/240x135/4181202_efda_2.jpg,"Masha Ostroumova, Agile Apothecary",Jira Essentials 2024 | Complete Guide for Beginners,"Making Jira your best friend in 2024 | Master setup, issues, filters, boards, and more",4.5,9963,Beginner,27 lectures,4.5 total hours,Current price: $74.99
jira,https://www.udemy.com/course/jira-cloud-fundamentals/,https://img-c.udemycdn.com/course/240x135/5475892_c333_2.jpg,Alex Ortiz,Jira Cloud Fundamentals,Getting Started with Jira Cloud: Fundamentals for Beginners,4.5,33,Beginner,19 lectures,4 total hours,Current price: $54.99
jira,https://www.udemy.com/course/learn-automation-in-jira-with-real-world-examples/,https://img-c.udemycdn.com/course/240x135/4150284_7db9.jpg,Kosh Sarkar (Atlassian Certified Trainer),Learn Automation in Jira with real-world examples,Learn Jira's automation tool through multiple real-world examples to automate the mundane tasks and gain efficiency,4.6,1098,Intermediate,19 lectures,2.5 total hours,Current price: $59.99
jira,https://www.udemy.com/course/jira-automation-jira-agile-project-management-scrum-kanban/,https://img-c.udemycdn.com/course/240x135/5957594_a407_4.jpg,"Aclaran Academy, Praveen Prakash",JIRA Automation: Mastering Jira Agile Project Management,"Unlock the Power of Automation in JIRA: A no-code approach, suitable for all roles from Project Managers to Developers",4.4,37,All Levels,10 lectures,2 total hours,Current price: $49.99
jira,https://www.udemy.com/course/the-web-developer-bootcamp/,https://img-c.udemycdn.com/course/240x135/625204_436a_3.jpg,Colt Steele,The Web Developer Bootcamp 2025,"With 10 Hours of React added. Become a Developer With ONE course - HTML, CSS, JavaScript, React, Node, MongoDB and More!",4.7,279902,All Levels,730 lectures,74 total hours,Current price: $149.99
jira,https://www.udemy.com/course/selenium-cucumber-integration/,https://img-c.udemycdn.com/course/240x135/1287612_0451_6.jpg,"Testing World Infotech, Testing World",Practical Software Testing 2025-Manual+JIRA+API+DB+Selenium,Practical Manual Testing | Bug Reporting and Task Management with JIRA | Database Testing | Selenium with Python,4.5,1670,Intermediate,365 lectures,97.5 total hours,Current price: $84.99
jira,https://www.udemy.com/course/jira-administration-getting-started-with-jira/,https://img-c.udemycdn.com/course/240x135/1541210_3ff9_2.jpg,Packt Publishing,JIRA Administration - Getting Started with JIRA,Explore the great features of the all-new JIRA 7 to manage projects and effectively handle bugs and software issues,4.1,140,Intermediate,26 lectures,2.5 total hours,Current price: $39.99
jira,https://www.udemy.com/course/jirawithagile/,https://img-c.udemycdn.com/course/240x135/897682_6230.jpg,"Testing World, Testing World Infotech",Learn Basic to Advance JIRA for Testers/QA/Test Manager-2024,"Setup Jira Trial Account | Bug Tracking, Task Management & Agile/Scrum Project Management using JIRA | Realtime Examples",4.4,301,All Levels,86 lectures,9 total hours,Current price: $59.99
jira,https://www.udemy.com/course/agile-project-planning-with-jira-portfolio/,https://img-c.udemycdn.com/course/240x135/1693168_a4a9_2.jpg,Kosh Sarkar (Atlassian Certified Trainer),Project Planning with Advanced Roadmaps for Jira,Learn JIRA’s project planning and agile road-mapping tool with a real-world project,4.4,5369,Intermediate,34 lectures,4 total hours,Current price: $79.99
jira,https://www.udemy.com/course/searching-and-finding-in-jira/,https://img-c.udemycdn.com/course/240x135/4717156_b68e_5.jpg,Robert Hean,Master Jira Search & Jira Query Language (JQL),Jira Software | Jira Service Management | All Users | Project Managers | Software Engineers | Support Agents | Admins,4.6,623,All Levels,44 lectures,2 total hours,Current price: $64.99
jira,https://www.udemy.com/course/jira-software-administrator-course/,https://img-c.udemycdn.com/course/240x135/3962980_3755_3.jpg,Neeraj Kumar Singh,JIRA Software Administrator Course,Learn the Jira Admin concepts to customize Jira Instance in order to meet the organization needs.,4.1,80,All Levels,20 lectures,3 total hours,Current price: $39.99
