skill,link,image_link,partner,title,course_description,rating,num_review,difficulty,num_lecture,duration,price
js frameworks,https://www.udemy.com/course/the-complete-web-development-bootcamp/,https://img-c.udemycdn.com/course/240x135/1565838_e54e_18.jpg,"Dr. Angela Yu, Developer and Lead Instructor",The Complete Full-Stack Web Development Bootcamp,"Become a Full-Stack Web Developer with just ONE course. HTML, CSS, Javascript, Node, React, PostgreSQL, Web3 and DApps",4.7,431983,All Levels,374 lectures,61.5 total hours,
js frameworks,https://www.udemy.com/course/the-web-developer-bootcamp/,https://img-c.udemycdn.com/course/240x135/625204_436a_3.jpg,Colt Steele,The Web Developer Bootcamp 2025,"With 10 Hours of React added. Become a Developer With ONE course - HTML, CSS, JavaScript, React, Node, MongoDB and More!",4.7,279902,All Levels,730 lectures,74 total hours,Current price: $149.99
js frameworks,https://www.udemy.com/course/get-started-with-html-css-the-frontend-developer-bootcamp/,https://img-c.udemycdn.com/course/240x135/2917880_073a_21.jpg,Ivan Lourenço Gomes,"Complete Web Design: HTML, CSS, JavaScript, Vue, React, Git","10 Front End Web Development Courses: HTML, CSS, JavaScript, jQuery, TypeScript, Vue JS, React, Firebase, Git, PageSpeed",4.6,8634,Beginner,412 lectures,47.5 total hours,
js frameworks,https://www.udemy.com/course/the-front-end-web-developer-bootcamp-html-css-js-react/,https://img-c.udemycdn.com/course/240x135/5178116_6858.jpg,Meta Brains,"The Front-End Web Developer Bootcamp: HTML, CSS, JS & React","Get started as a front-end web developer with HTML, CSS, JavaScript, React.JS, and more!",4.4,993,All Levels,159 lectures,11 total hours,Current price: $54.99
js frameworks,https://www.udemy.com/course/learn-web-development-complete-step-by-step-guide-to-success/,https://img-c.udemycdn.com/course/240x135/629142_15c2_4.jpg,Laurence Svekis,Complete Web Developer Course HTML CSS JavaScript PHP jQuery,"Complete web developer Guide to websites working with HTML, CSS, JavaScript, PHP, Bootstrap, JQuery, MySQL and more",4.6,1274,All Levels,291 lectures,23 total hours,Current price: $64.99
js frameworks,https://www.udemy.com/course/nextjs-q/,https://img-c.udemycdn.com/course/240x135/5484456_a946.jpg,Epics Solution institute,React js &Next js: Became Full Stack web Developer,Web development,4.9,49,All Levels,125 lectures,9 total hours,Current price: $19.99
js frameworks,https://www.udemy.com/course/the-complete-javascript-course/,https://img-c.udemycdn.com/course/240x135/851712_fc61_6.jpg,Jonas Schmedtmann,The Complete JavaScript Course 2025: From Zero to Expert!,"The modern JavaScript course for everyone! Master JavaScript with projects, challenges and theory. Many courses in one!",4.7,221661,All Levels,330 lectures,71 total hours,Current price: $199.99
js frameworks,https://www.udemy.com/course/react-the-complete-guide-incl-redux/,https://img-c.udemycdn.com/course/240x135/1362070_b9a1_2.jpg,"Academind by Maximilian Schwarzmüller, Maximilian Schwarzmüller","React - The Complete Guide 2025 (incl. Next.js, Redux)","Dive in and learn React.js from scratch! Learn React, Hooks, Redux, React Router, Next.js, Best Practices and way more!",4.6,227622,All Levels,726 lectures,71.5 total hours,
js frameworks,https://www.udemy.com/course/web-design-html-css-js/,https://img-c.udemycdn.com/course/240x135/4343404_9233.jpg,Laurence Svekis,Frontend web developer Modern HTML CSS JavaScript,Quick Starting guide for Web design covering all the modern coding syntax for HTML CSS and JavaScript and JavaScript DOM,4.4,2983,Beginner,86 lectures,12 total hours,
js frameworks,https://www.udemy.com/course/playwright-tutorials-automation-testing/,https://img-c.udemycdn.com/course/240x135/4574326_d02f_3.jpg,Rahul Shetty,Playwright JS/TS Automation Testing from Scratch & Framework,"End to End Playwright tutorials on JavaScript & TypeScript. UI Testing, API testing, Page Objects,Cucumber, CI/CD etc",4.6,11446,All Levels,123 lectures,22.5 total hours,Current price: $84.99
js frameworks,https://www.udemy.com/course/web-dev-master/,https://img-c.udemycdn.com/course/240x135/6035102_7d1a.jpg,Hitesh Choudhary,Complete web development course,"Only web development course that you will need. Covers HTML, CSS, Tailwind, Node, React, MongoDB, Prisma, Deployment etc",4.7,9477,All Levels,231 lectures,79.5 total hours,Current price: $79.99
js frameworks,https://www.udemy.com/course/javascript-the-complete-guide-2020-beginner-advanced/,https://img-c.udemycdn.com/course/240x135/2508942_11d3_3.jpg,"Academind by Maximilian Schwarzmüller, Maximilian Schwarzmüller",JavaScript - The Complete Guide 2025 (Beginner + Advanced),Modern JavaScript from the beginning - all the way up to JS expert level! THE must-have JavaScript resource in 2025.,4.7,31452,All Levels,617 lectures,52.5 total hours,
js frameworks,https://www.udemy.com/course/web-projects-with-vanilla-javascript/,https://img-c.udemycdn.com/course/240x135/2782800_0b85.jpg,Brad Traversy,20 Web Projects With Vanilla JavaScript,"Build 20 mini frontend projects from scratch with HTML5, CSS & JavaScript (No frameworks or libraries)",4.8,7178,All Levels,121 lectures,16 total hours,
js frameworks,https://www.udemy.com/course/the-ultimate-fullstack-web-development-bootcamp/,https://img-c.udemycdn.com/course/240x135/3655840_1c3c.jpg,"Kane Ezki, Kalob Taulien, Radek Wilk",The Ultimate 2025 Fullstack Web Development Bootcamp,"Become a fullstack web developer (and get a job) by taking this ONE course, even if you've never coded before.",4.6,8191,All Levels,616 lectures,55 total hours,
js frameworks,https://www.udemy.com/course/full-stack-web-development-2021-guide-with-nodejs-mongodb/,https://img-c.udemycdn.com/course/240x135/3770614_40f4_5.jpg,"Oak Academy, OAK Academy Team","Full Stack Web Development with React JS, Angular and NodeJS","Full stack web development. Up full stack developer career with HTML CSS Javascript, React JS, Angular, NodeJS, MongoDB",4.2,904,All Levels,424 lectures,53 total hours,
js frameworks,https://www.udemy.com/course/master-backbonejs/,https://img-c.udemycdn.com/course/240x135/480416_5d9c_2.jpg,SkillBakery Studio,Master Backbone JS: A Course For Web Developers & Designers,Learn to create dynamic & modular web applications using BackboneJS framework,3.8,20,All Levels,56 lectures,3.5 total hours,Current price: $34.99
js frameworks,https://www.udemy.com/course/become-a-certified-web-developer/,https://img-c.udemycdn.com/course/240x135/11475_9dac_15.jpg,"SkillSprints Inc., Mark Lassoff","Become a Certified Web Developer: HTML, CSS and JavaScript",Learn: HTML | CSS | JavaScript | Web programming | Web development | Front-end | Responsive | JQuery,4.3,4028,All Levels,573 lectures,55 total hours,
js frameworks,https://www.udemy.com/course/javascript-beginners-complete-tutorial/,https://img-c.udemycdn.com/course/240x135/2634490_e343_3.jpg,"Colt Steele, Stephen Grider",The Modern Javascript Bootcamp Course,The most up-to-date JS resource online! Master Javascript by building a beautiful portfolio of projects!,4.7,12809,All Levels,484 lectures,52 total hours,
js frameworks,https://www.udemy.com/course/javascript-es6-tutorial/,https://img-c.udemycdn.com/course/240x135/861624_864d_2.jpg,Stephen Grider,ES6 Javascript: The Complete Developer's Guide,ES6 Javascript Development from scratch.  Get practice with live examples and learn exactly where to apply ES6 features.,4.6,14426,Beginner,70 lectures,6.5 total hours,Current price: $89.99
js frameworks,https://www.udemy.com/course/next-js-the-complete-developers-guide/,https://img-c.udemycdn.com/course/240x135/5655418_6b47_3.jpg,Stephen Grider,Next JS: The Complete Developer's Guide,"Build apps using NextJS v14 using App Router, Next Auth, NextUI, and TailwindCSS! Learn the latest version of NextJS!",4.7,2520,All Levels,210 lectures,15.5 total hours,Current price: $94.99
