skill,link,image_link,partner,title,course_description,rating,num_review,difficulty,num_lecture,duration,price
mongodb,https://www.udemy.com/course/mongodb-the-complete-developers-guide/,https://img-c.udemycdn.com/course/240x135/1906852_93c6_2.jpg,"Academind by Maximilian Schwarzmüller, Maximilian Schwarzmüller",MongoDB - The Complete Developer's Guide 2025,"Master MongoDB Development for Web & Mobile Apps. CRUD Operations, Indexes, Aggregation Framework - All about MongoDB!",4.6,26573,All Levels,266 lectures,17.5 total hours,Current price: $99.99
mongodb,https://www.udemy.com/course/the-web-developer-bootcamp/,https://img-c.udemycdn.com/course/240x135/625204_436a_3.jpg,Colt Steele,The Web Developer Bootcamp 2025,"With 10 Hours of React added. Become a Developer With ONE course - HTML, CSS, JavaScript, React, Node, MongoDB and More!",4.7,279902,All Levels,730 lectures,74 total hours,Current price: $149.99
mongodb,https://www.udemy.com/course/the-ultimate-guide-for-mongodb/,https://img-c.udemycdn.com/course/240x135/4186602_e4d7_3.jpg,Firoj Atar,MongoDB - The Ultimate Administration and Developer's Guide,"Master MongoDB Development and Administration. CRUD, Aggregation, Indexes, Replication, Sharding, Security, MongoDB 6.0!",4.4,242,All Levels,316 lectures,37.5 total hours,Current price: $59.99
mongodb,https://www.udemy.com/course/react-the-complete-2021-guide-with-nodejs-and-mongo-db/,https://img-c.udemycdn.com/course/240x135/3770612_848c_7.jpg,"Oak Academy, OAK Academy Team","React JS for Web Development: React with Node JS, MongoDB","React JS for Full Stack web development, Full stack web developer with react, redux, hooks, context, Node js and MongoDB",4.3,76,All Levels,187 lectures,21.5 total hours,Current price: $74.99
mongodb,https://www.udemy.com/course/the-complete-web-development-bootcamp/,https://img-c.udemycdn.com/course/240x135/1565838_e54e_18.jpg,"Dr. Angela Yu, Developer and Lead Instructor",The Complete Full-Stack Web Development Bootcamp,"Become a Full-Stack Web Developer with just ONE course. HTML, CSS, Javascript, Node, React, PostgreSQL, Web3 and DApps",4.7,431983,All Levels,374 lectures,61.5 total hours,Current price: $119.99
mongodb,https://www.udemy.com/course/certified-mongodb-developer-exam-c100dev-practice-tests/,https://img-c.udemycdn.com/course/240x135/4417592_ad04_9.jpg,Paweł Krakowiak,MongoDB Associate Developer Exam - Practice Tests,Master MongoDB Development with Practice Tests - Ace the Associate Developer Exam and Validate Your Expertise!,4.5,251,,Expert,,Current price: $59.99
mongodb,https://www.udemy.com/course/mongodb-complete-developers-guild/,https://img-c.udemycdn.com/course/240x135/4776688_36b5_15.jpg,"Donatus Obomighie, PhD, MSc, PMP",MongoDB - The Complete Dev BootCamp | Beginner-Expert {2024},"Master MongoDB and become a expert developer for Web & Mobile Apps. Learn CRUD, Aggregation Framework, Indexes & more!",4.6,45,All Levels,472 lectures,14 total hours,Current price: $69.99
mongodb,https://www.udemy.com/course/web-developer-bootcamp-flask-python/,https://img-c.udemycdn.com/course/240x135/631128_2efb_6.jpg,"Jose Salvatierra, Teclado by Jose Salvatierra",Web Developer Bootcamp with Flask and Python in 2024,"Become a Full Stack Web Developer using Flask, Python, HTML, CSS, and MongoDB! Fully updated for 2023 and beyond.",4.6,7110,Intermediate,183 lectures,19.5 total hours,Current price: $139.99
mongodb,https://www.udemy.com/course/mongodb-database-developer-course-in-python/,https://img-c.udemycdn.com/course/240x135/4271792_acd2.jpg,Raymond Andrade,MongoDB Database Developer Course In Python,Learn the powerful features of one of the most popular document-oriented database using Python code.,4.4,390,All Levels,69 lectures,9 total hours,Current price: $84.99
mongodb,https://www.udemy.com/course/mongodb-associate-developer-exam-preparation/,https://img-c.udemycdn.com/course/240x135/5652474_2773_6.jpg,Bartosz Prętnik,MongoDB Associate Developer Exam Preparation,Efficient Exam Preparation for MongoDB Associate Developer Certification,4.4,36,All Levels,23 lectures,,Current price: $69.99
mongodb,https://www.udemy.com/course/complete-nodejs-developer-zero-to-mastery/,https://img-c.udemycdn.com/course/240x135/3616978_b3f2_4.jpg,"Andrei Neagoie, Adam Odziemkowski","Complete NodeJS Developer (GraphQL, MongoDB, + more)","Learn from real NodeJS experts! Includes REALLY Advanced NodeJS. Express, GraphQL, REST, MongoDB, SQL, MERN + much more",4.5,5284,All Levels,432 lectures,46.5 total hours,Current price: $94.99
mongodb,https://www.udemy.com/course/the-complete-developers-guide-to-mongodb/,https://img-c.udemycdn.com/course/240x135/1000574_06cb.jpg,Stephen Grider,The Complete Developers Guide to MongoDB,Master MongoDB and Mongoose design with a test-driven approach,4.1,8038,All Levels,130 lectures,13 total hours,Current price: $79.99
mongodb,https://www.udemy.com/course/web-dev-master/,https://img-c.udemycdn.com/course/240x135/6035102_7d1a.jpg,Hitesh Choudhary,Complete web development course,"Only web development course that you will need. Covers HTML, CSS, Tailwind, Node, React, MongoDB, Prisma, Deployment etc",4.7,9477,All Levels,231 lectures,79.5 total hours,Current price: $79.99
mongodb,https://www.udemy.com/course/become-a-web-developer-bootcamp/,https://img-c.udemycdn.com/course/240x135/5776152_44ed_5.jpg,Brad Schiff,Become a Web Developer: 2024 Bootcamp,"A guided path to boost beginner's confidence from scratch; learn HTML, CSS, JavaScript, MongoDB, Deployment and more!",4.7,241,All Levels,114 lectures,22.5 total hours,Current price: $89.99
mongodb,https://www.udemy.com/course/complete-full-stack-web-development-bootcamp/,https://img-c.udemycdn.com/course/240x135/6061963_13c1_3.jpg,Manik (Cloudaffle),Complete Full Stack Web Development Bootcamp - AI Integrated,"Complete Web Development in One Course with Modern Stack - JavaScript, Node.js, React, MongoDB, Linux and lots more!",4.6,98,All Levels,495 lectures,62.5 total hours,Current price: $89.99
mongodb,https://www.udemy.com/course/mongodb-shell-mastery-a-comprehensive-guide-to-streamlining/,https://img-c.udemycdn.com/course/240x135/5960528_fc56_3.jpg,aryan Kumar,MongoDB for Developers: A Complete Guide,Mastering MongoDB Shell: Streamline Your Database Operations,4.9,15,Intermediate,24 lectures,4.5 total hours,Current price: $19.99
mongodb,https://www.udemy.com/course/nodejs-express-mongodb-bootcamp/,https://img-c.udemycdn.com/course/240x135/1672410_9ff1_5.jpg,Jonas Schmedtmann,"Node.js, Express, MongoDB & More: The Complete Bootcamp","Master Node by building a real-world RESTful API and web app (with authentication, Node.js security, payments & more)",4.6,27208,All Levels,229 lectures,42 total hours,Current price: $139.99
mongodb,https://www.udemy.com/course/introduction-to-mongodb/,https://img-c.udemycdn.com/course/240x135/2277219_d700_2.jpg,"Brian Dowe, SuperDataScience Team, Ligency Team",Introduction to MongoDB for Data Analytics,Learn the basics of MongoDB with step by step exercises from a professional Web Developer.,4.2,196,Beginner,80 lectures,6 total hours,Current price: $59.99
mongodb,https://www.udemy.com/course/the-complete-2021-guide-to-web-development/,https://img-c.udemycdn.com/course/240x135/3793268_b8ac_4.jpg,"Oak Academy, OAK Academy Team","Full Stack Web Development: Javascript, NodeJS, CSS and HTML","Full stack web development with HTML CSS JavaScript, NodeJS, MongoDB. Become full stack web developer with full stack JS",4.6,119,All Levels,160 lectures,18.5 total hours,Current price: $74.99
mongodb,https://www.udemy.com/course/full-stack-web-development-2021-guide-with-nodejs-mongodb/,https://img-c.udemycdn.com/course/240x135/3770614_40f4_5.jpg,"Oak Academy, OAK Academy Team","Full Stack Web Development with React JS, Angular and NodeJS","Full stack web development. Up full stack developer career with HTML CSS Javascript, React JS, Angular, NodeJS, MongoDB",4.2,904,All Levels,424 lectures,53 total hours,Current price: $89.99
