skill,thumbnail_link,video_link,title,num_views,age,channel,snippet,duration,chapter,series
application security,https://i.ytimg.com/vi/nthEXs12nFE/hq720.jpg?sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLBIX6ln2EuDBQivc9hh1yWMjdoT8w,https://youtube.com/watch?v=nthEXs12nFE&pp=ygU_Q291cnNlIGFwcGxpY2F0aW9uIHNlY3VyaXR5IGFwcGxpY2F0aW9uIHNlY3VyaXR5IERhdGEgQXJjaGl0ZWN0,Cybersecurity Architecture: Application Security,113K views,1 year ago,IBM Technology,,16:36,3,"['Introduction', 'Secure Coding Practices', 'Vulnerability Testing']"
application security,https://i.ytimg.com/vi/Dp019cWu1cg/hq720.jpg?sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLDVlfQXnMoBbLIWGy3SGB36TE1RZQ,https://youtube.com/watch?v=Dp019cWu1cg&t=30s&pp=ygU_Q291cnNlIGFwcGxpY2F0aW9uIHNlY3VyaXR5IGFwcGxpY2F0aW9uIHNlY3VyaXR5IERhdGEgQXJjaGl0ZWN0,Application Security 101 - What you need to know in 8 minutes,59K views,2 years ago,Snyk,What is Application Security (otherwise known as AppSec)? In this video we are going to tell you everything you need to know ...,8:05,,['0:30 What is Application Security']
application security,https://i.ytimg.com/vi/UpkqXK0B2E0/hq720.jpg?sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLBzxmq9Bs9Uo0D6RGbD1PLMcfSLzQ,https://youtube.com/watch?v=UpkqXK0B2E0&pp=ygU_Q291cnNlIGFwcGxpY2F0aW9uIHNlY3VyaXR5IGFwcGxpY2F0aW9uIHNlY3VyaXR5IERhdGEgQXJjaGl0ZWN0,Cybersecurity Architecture:  Data Security,86K views,1 year ago,IBM Technology,"Many companies refer to their data as the ""crown jewels"" for a reason - it represents one of a company's most valuable assets.",14:48,,
application security,https://i.ytimg.com/vi/gfFKuiZ9Y7s/hq720.jpg?sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLDKDA1ETdq8OvqPP93FBe3Bg7XK0A,https://youtube.com/watch?v=gfFKuiZ9Y7s&pp=ygU_Q291cnNlIGFwcGxpY2F0aW9uIHNlY3VyaXR5IGFwcGxpY2F0aW9uIHNlY3VyaXR5IERhdGEgQXJjaGl0ZWN0,Application Security | Application Security Tutorial | Cyber Security Certification Course | Edureka,84K views,6 years ago,edureka!,Following are the topics covered in this video: 1:03 Introduction to Cybersecurity 5:13 What is Application Security ? 8:55 What is ...,30:25,4,"['Introduction to Cybersecurity', 'What is Application Security?', 'What is an SQL Injection attack', 'Demo on SQL Injection']"
application security,https://i.ytimg.com/vi/WpMY4SC-yO8/hq720.jpg?sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLDuhanEvgNG2ZG2EuAdXgNn3WOIUg,https://youtube.com/watch?v=WpMY4SC-yO8&pp=ygU_Q291cnNlIGFwcGxpY2F0aW9uIHNlY3VyaXR5IGFwcGxpY2F0aW9uIHNlY3VyaXR5IERhdGEgQXJjaGl0ZWN0,Certified Application Security Engineer (CASE): Who Is It For?,3.1K views,6 years ago,EC-Council,Certified Application Security Engineer: .NET Developers with a minimum of 2 years of experience and individuals who want to ...,7:31,9,"['Intro', 'Case Program Overview', 'Security Requirements Gathering', 'Secure Application Design Architecture', 'Authentication Authorization', 'Error Handling', 'Session Management', 'SAST DAST', 'Secure Application Deployment Maintenance']"
application security,https://i.ytimg.com/vi/3QOlo2pEpvc/hq720.jpg?sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLDWAiuAAHceHRqMY0vHm5UpBQC2Ug,https://youtube.com/watch?v=3QOlo2pEpvc&pp=ygU_Q291cnNlIGFwcGxpY2F0aW9uIHNlY3VyaXR5IGFwcGxpY2F0aW9uIHNlY3VyaXR5IERhdGEgQXJjaGl0ZWN0,Introduction to Application Security - Course,19K views,4 years ago,Cybr,"In this course , we provide a thorough yet high-level understanding of Application Security concepts as they relate to web, mobile, ...",2:04:47,9,"['NICE Framework', 'OWASP ASVS Objectives', 'OWASP SAMM', 'Governance - Strategy & Metrics', 'Apps with at least 1 high severity flaw', 'Apps that fail common security tests', 'Most common flaws', 'Cryptographic issues', 'CRLF Injections']"
application security,https://i.ytimg.com/vi/-oGxe4CW_Z8/hq720.jpg?sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLDLPsifpiancvCRiFr13QrQSU5Bkw,https://youtube.com/watch?v=-oGxe4CW_Z8&t=221s&pp=ygU_Q291cnNlIGFwcGxpY2F0aW9uIHNlY3VyaXR5IGFwcGxpY2F0aW9uIHNlY3VyaXR5IERhdGEgQXJjaGl0ZWN0,Become an Application Security Engineer | Roadmap,23K views,2 years ago,UnixGuy | Cyber Security,In this video I clarify the confusion around Application Security and I share with you how you can become an Application Security ...,10:08,,['3:41 Application Security Specialist']
application security,https://i.ytimg.com/vi/q8U9QbYglbg/hq720.jpg?sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLB4iHbxjrD_WmlaD0B13Rx_adIKdw,https://youtube.com/watch?v=q8U9QbYglbg&pp=ygU_Q291cnNlIGFwcGxpY2F0aW9uIHNlY3VyaXR5IGFwcGxpY2F0aW9uIHNlY3VyaXR5IERhdGEgQXJjaGl0ZWN0,Learn Live: SecOps and AppSec fundamentals,279 views,Streamed 3 days ago,Microsoft Reactor,"In this episode, explore the critical role of Security Operations (SecOps) and how it differs from traditional IT operations, while ...",49:29,3,"['Code of Conduct', 'Speaker intro', 'Questions']"
application security,https://i.ytimg.com/vi/HJt8gaAh2e4/hq720.jpg?sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLCNHdmpHaX1SG0ArTnjigDBAgCiUg,https://youtube.com/watch?v=HJt8gaAh2e4&pp=ygU_Q291cnNlIGFwcGxpY2F0aW9uIHNlY3VyaXR5IGFwcGxpY2F0aW9uIHNlY3VyaXR5IERhdGEgQXJjaGl0ZWN00gcJCX4JAYcqIYzv,Cybersecurity | Interviewing An Application Security Architect with TEN+ YEARS of Experience!,2.9K views,4 years ago,Cybersecurity Meg,"Hiya there! In today's video, I interview Yevgen! Yevgen and I worked together at Tech Data Corporation (a Fortune Top 100 ...",35:59,9,"['What is Application Security, why is it important, and can you describe your career path to getting into Application Security?', 'What languages - if any - should you be knowledgeable of/proficient in if you are pursuing a career in Application Security?', 'What challenges/obstacles have you encountered when trying to implement security, and how did you overcome them?', 'What can organizations do/what controls can be put into place to help ensure developers implement secure coding practices and create secure applications?', 'Do you prefer Vim or Nano, and when is it best to use each?', 'Should we automate everything? Is there such a thing as too much automation?', 'How can you manage vulnerabilities coming from third party services/libraries/packages?', 'What are some of the “easy wins”. The highest value, most common, easy to spot items that you always look for first? Easy things to fix and spot that reduce attack surface a lot.', 'Do you have any tips to help people who are trying to get into Application Security careers?']"
application security,https://i.ytimg.com/vi/2EPvpDh6F28/hq720.jpg?sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLB0tkLuELODYAeYxQOepM69IGUPXQ,https://youtube.com/watch?v=2EPvpDh6F28&t=2954s&pp=ygU_Q291cnNlIGFwcGxpY2F0aW9uIHNlY3VyaXR5IGFwcGxpY2F0aW9uIHNlY3VyaXR5IERhdGEgQXJjaGl0ZWN0,Application Security | Cybersecurity Training | Edureka | Cybersecurity Rewind - 1,8.9K views,Streamed 4 years ago,edureka!,,1:01:21,8,['49:14 Web Application Security - High Level Approach']
