skill,thumbnail_link,video_link,title,num_views,age,channel,snippet,duration,chapter,series
big data frameworks,https://i.ytimg.com/vi/bAyrObl7TYE/hq720.jpg?sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLCpoY1I7E35HwJf470p6pNGx10sYw,https://youtube.com/watch?v=bAyrObl7TYE&pp=ygU9Q291cnNlIGJpZyBkYXRhIGZyYW1ld29ya3MgYmlnIGRhdGEgZnJhbWV3b3JrcyBEYXRhIFNjaWVudGlzdA%3D%3D,Big Data In 5 Minutes | What Is Big Data?| Big Data Analytics | Big Data Tutorial | Simplilearn,1.9M views,5 years ago,Simplilearn,"This video, Big Data In 5 Minutesby Simplilearn, will help you understand what is Big Data , the 5 V's of Big Data , why Hadoop ...",5:12,,['0:00 Big Data In 5 Minutes']
big data frameworks,https://i.ytimg.com/vi/aReuLtY0YMI/hq720.jpg?sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLAwjCGmNg7y298zllI4RBdkti3KLQ,https://youtube.com/watch?v=aReuLtY0YMI&pp=ygU9Q291cnNlIGJpZyBkYXRhIGZyYW1ld29ya3MgYmlnIGRhdGEgZnJhbWV3b3JrcyBEYXRhIFNjaWVudGlzdA%3D%3D,Hadoop In 5 Minutes | What Is Hadoop? | Introduction To Hadoop | Hadoop Explained |Simplilearn,1.4M views,4 years ago,Simplilearn,Hadoop is a famous Big Data framework ; this video on Hadoop will acquaint you with the term Big Data and help you understand ...,6:21,,
big data frameworks,https://i.ytimg.com/vi/S1zQU6p3jzo/hqdefault.jpg?sqp=-oaymwEnCOADEI4CSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLBfnqLO1Tg4gR6q8cizD4mxBIwVEQ,https://youtube.com/watch?v=S1zQU6p3jzo&pp=ygU9Q291cnNlIGJpZyBkYXRhIGZyYW1ld29ya3MgYmlnIGRhdGEgZnJhbWV3b3JrcyBEYXRhIFNjaWVudGlzdA%3D%3D,Big Data Framework in 1 minute,212 views,5 years ago,DASCIN | Data Science Institute,,0:56,,
big data frameworks,https://i.ytimg.com/vi/9R3X0JoCLyU/hq720.jpg?sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLBK-moGxUko8S_GH6Bmja0a-DK8lw,https://youtube.com/watch?v=9R3X0JoCLyU&t=324s&pp=ygU9Q291cnNlIGJpZyBkYXRhIGZyYW1ld29ya3MgYmlnIGRhdGEgZnJhbWV3b3JrcyBEYXRhIFNjaWVudGlzdA%3D%3D,The Complete Data Science Roadmap,317K views,8 months ago,Programming with Mosh,Go from zero to a data scientist in 12 months. This step-by-step roadmap covers the essential skills you must learn to become a ...,6:13,,['5:24 Big Data']
big data frameworks,https://i.ytimg.com/vi/jKCj4BxGTi8/hq720.jpg?sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLD1X5azkEuaAIRlpqLtsJd_Sl2zvQ,https://youtube.com/watch?v=jKCj4BxGTi8&pp=ygU9Q291cnNlIGJpZyBkYXRhIGZyYW1ld29ya3MgYmlnIGRhdGEgZnJhbWV3b3JrcyBEYXRhIFNjaWVudGlzdA%3D%3D,Big Data Framework | Big Data Hadoop Tutorial For Beginners | Big Data Hadoop Training | Simplilearn,14K views,7 years ago,Simplilearn,# bigdata #bigdatatutorialforbeginners #bigdataanalytics #bigdatahadooptutorialforbeginners #bigdatacertification ...,14:25,17,"['Introduction', 'Data Explosion', 'Distributed System', 'What is Hadoop', 'Key characteristics of Hadoop', 'Hadoop Ecosystem', 'HDFS', 'HBase', 'Scoop', 'Floom', 'MapReduce', 'Pig', 'Impala', 'Hive', 'Search', 'Hue', 'Big Data Processing']"
big data frameworks,https://i.ytimg.com/vi/2hNGHZd8VEI/hq720.jpg?sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLDmaTiQ5l-lpFh7xxpLgBMdGrPlmQ,https://youtube.com/watch?v=2hNGHZd8VEI&pp=ygU9Q291cnNlIGJpZyBkYXRhIGZyYW1ld29ya3MgYmlnIGRhdGEgZnJhbWV3b3JrcyBEYXRhIFNjaWVudGlzdA%3D%3D,Introduction to HADOOP and its FRAMEWORK |  BIG DATA & HADOOP FULL COURSE | TUTORT ACADEMY,92 views,1 year ago,Tutort Academy,"Welcome to ""Introduction to HADOOP and its FRAMEWORK "", a comprehensive course provided by TUTORT ACADEMY.",27:41,,
big data frameworks,https://i.ytimg.com/vi/ZxefC73PTnM/hq720.jpg?sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLCdPCeUpFDZbVUCdJmdpfyny5YtPQ,https://youtube.com/watch?v=ZxefC73PTnM&pp=ygU9Q291cnNlIGJpZyBkYXRhIGZyYW1ld29ya3MgYmlnIGRhdGEgZnJhbWV3b3JrcyBEYXRhIFNjaWVudGlzdA%3D%3D,🔥 WTF is this! Statistics for Data Science By Vaibhav | EP08: Covariance 🚀,507 views,Streamed 2 days ago,Prep Insta,WTF is this! Statistics for Data Science By Vaibhav | EP08: Covariance Join Vaibhav Shukla's Telegram Community here for ...,28:11,,
big data frameworks,https://i.ytimg.com/vi/F7GXZEPgoDM/hq720.jpg?sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLConiF4DOB5rBLHR6CsTCDf6vglxg,https://youtube.com/watch?v=F7GXZEPgoDM&pp=ygU9Q291cnNlIGJpZyBkYXRhIGZyYW1ld29ya3MgYmlnIGRhdGEgZnJhbWV3b3JrcyBEYXRhIFNjaWVudGlzdA%3D%3D,🔥 Big Data Bootcamp 2023 | Complete Big Data Course in 11 Hours| Big Data for Beginners |Simplilearn,1.8K views,1 year ago,Simplilearn,Simplilearn's Big Data Bootcamp 2023is designed to provide comprehensive coverage of all the skills required for big data and ...,11:00:14,12,"['Big Data Bootcamp 2023', 'Introduction to Big Data', 'What Is Big Data', 'What Is Hdfs', 'What Is Hive', 'Difference Between Hive and RDBMS', 'Why Pig', 'What Is Apache Spark', 'What Is Spark Streaming', 'How to Become a Big Data Engineer', 'Skills for Big Data', 'Big Data Interview Questions']"
big data frameworks,https://i.ytimg.com/vi/EaGA9eZW1aI/hq720.jpg?sqp=-oaymwFBCNAFEJQDSFryq4qpAzMIARUAAIhCGADYAQHiAQoIGBACGAY4AUAB8AEB-AG2CIACgA-KAgwIABABGBMgTih_MA8=&rs=AOn4CLAMBHm-uY6YeQuNDFU0ReIgYzYiHg,https://youtube.com/shorts/EaGA9eZW1aI,8 Projects for Your Data Analyst Resume! 📽️🤩#codebasics #shorts #dataanalysis #data #dataanalytics,172K views,1 year ago,codebasics,Enhance your data analyst resume with these 8 impactful projects that showcase your skills and expertise. All links here: Sales ...,SHORTS,,
big data frameworks,https://i.ytimg.com/vi/kmGaU_v538Q/hq720.jpg?sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLCqMdcTAkOe7_ABaZsPKXDlKlTogg,https://youtube.com/watch?v=kmGaU_v538Q&pp=ygU9Q291cnNlIGJpZyBkYXRhIGZyYW1ld29ya3MgYmlnIGRhdGEgZnJhbWV3b3JrcyBEYXRhIFNjaWVudGlzdA%3D%3D,Introduction to the Enterprise Big Data Framework,472 views,3 years ago,Cybiant,Most organizations are aware that Big Data provides long-term value to their organization. But where to start? In order to be ...,53:57,25,"['Intro', 'House Rules', 'Welcome to our Webinar', 'Agenda: Overview of the Big Data', 'Getting Value from Open Sources', 'Getting Value from Big Data', 'Simple Truths of Big Data in an Enterprise Context', 'Why the Enterprise Big Data Framework was created', 'Big Data Strategy', 'Big Data Architecture', 'Architecture - Tools', 'Architecture - about Hadoop', 'Big Data Algorithms - Clustering', 'Big Data Algorithms - Outlier Detection', 'Lab: Get Started with EDA', 'Data for this Lab', 'Big Data Processes', 'Data Governance vs. Data Management', 'Big Data Functions', 'Artificial Intelligence', 'Capabilities in Al', 'Recap - The Big Data Framework', 'Resources and Downloads', 'Attend Official Enterprise Big Data Professional Training this Year!', 'Questions and Answers']"
