skill,thumbnail_link,video_link,title,num_views,age,channel,snippet,duration,chapter,series
enterprise architecture,https://i.ytimg.com/vi/9TVc32M_gIY/hq720.jpg?sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLD5Gm7wL_SGqcInruUfS8pYwAqT9w,https://youtube.com/watch?v=9TVc32M_gIY&pp=ygVFQ291cnNlIGVudGVycHJpc2UgYXJjaGl0ZWN0dXJlIGVudGVycHJpc2UgYXJjaGl0ZWN0dXJlIERhdGEgQXJjaGl0ZWN0,What is Enterprise Architecture (EA) and why is it important? EA concepts explained in a simple way.,519K views,5 years ago,Dr. Raj Ramesh,Enterprise architecture is a way to understand how an organization works. We have often made it too complex in some cases and ...,6:56,4,['0:00 What Is Enterprise Architecture']
enterprise architecture,https://i.ytimg.com/vi/77J9sSuIP4k/hq720.jpg?sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLCzqMHadPSpKKor8lf29VPpGMNEbQ,https://youtube.com/watch?v=77J9sSuIP4k&pp=ygVFQ291cnNlIGVudGVycHJpc2UgYXJjaGl0ZWN0dXJlIGVudGVycHJpc2UgYXJjaGl0ZWN0dXJlIERhdGEgQXJjaGl0ZWN0,solution architecture | solution architect Enterprise architect | systems architect | Data architect,47 views,1 year ago,cloarde,This is a session video on solution architecture | solution architect Enterprise architect | systems architect | Data architect For More ...,36:52,,
enterprise architecture,https://i.ytimg.com/vi/hhlxFtV_tZo/hq720.jpg?sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLB3mgTohtaXaOhKUTb-cF1mMzRTPw,https://youtube.com/watch?v=hhlxFtV_tZo&pp=ygVFQ291cnNlIGVudGVycHJpc2UgYXJjaGl0ZWN0dXJlIGVudGVycHJpc2UgYXJjaGl0ZWN0dXJlIERhdGEgQXJjaGl0ZWN0,Enterprise Architecture = Architecting the Enterprise? • Gregor Hohpe • YOW! 2017,59K views,2 years ago,GOTO Conferences,Gregor Hohpe - Enterprise Strategist at AWS ABSTRACT Architects in the enterprise are often regarded as ivory tower residents ...,1:01:48,,
enterprise architecture,https://i.ytimg.com/vi/7959Ah1bQjc/hq720.jpg?sqp=-oaymwFBCNAFEJQDSFryq4qpAzMIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB8AEB-AH-DoACuAiKAgwIABABGEogTihyMA8=&rs=AOn4CLC3wrGAe5kX2qEVqNYrK6RYbbAAuw,https://youtube.com/watch?v=7959Ah1bQjc&pp=ygVFQ291cnNlIGVudGVycHJpc2UgYXJjaGl0ZWN0dXJlIGVudGVycHJpc2UgYXJjaGl0ZWN0dXJlIERhdGEgQXJjaGl0ZWN0,Enterprise Architecture vs  Data Architecture,2.8K views,3 years ago,DATAVERSITY,"Enterprise Architecture (EA) provides a visual blueprint of the organization, and shows key interrelationships between data , ...",1:01:40,26,"['Donna Burbank', 'Frameworks for Enterprise Architecture', 'Togaf', 'Conceptual Data Model', 'Tools of the Trade', 'One Pagers', 'Business Motivation Model', 'Internal Drivers', 'Use Case Model', 'Business Capability Models', 'Use Cases', 'Data Models', 'Customer Journey Map', 'Credit Matrix', 'Technology Trends', 'Enterprise Architecture Diagram', 'Summary', 'Why Business Glossaries Are Currently Popular', 'How Does One Gain Knowledge or Become an Expert on Different Types of Data Modeling', 'What Are some of the Challenges That You Face with Clients', 'Multiple Projects What Are some of the Challenges Faced When Developing an Enterprise Architecture Strategy and any Solutions To Overcome', 'Data Architecture Can Help Inform Governance', 'Who Owns the Business Capability', 'What Is the Most Common Client Problem That You Address', 'Student Journey Map', 'Journey Map']"
enterprise architecture,https://i.ytimg.com/vi/7txBntSzyMY/hq720.jpg?sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLBKe23TUH2nZX365mYi7KigBHFuKg,https://youtube.com/watch?v=7txBntSzyMY&pp=ygVFQ291cnNlIGVudGVycHJpc2UgYXJjaGl0ZWN0dXJlIGVudGVycHJpc2UgYXJjaGl0ZWN0dXJlIERhdGEgQXJjaGl0ZWN0,Enterprise Architecture and Optimized Big Data | The How-To Steps,1.1K views,10 years ago,Architectures Center of Excellence (ACOE),"Having developed, implemented, and “done” more Enterprise Architectures than any other Firm, you can ensure that an ...",1:01:10,21,"['Intro', 'Understanding Enterprise Architecture', 'History of Enterprise Architecture', 'Definition of ""Enterprise Architecture""', 'Definition of ""Architecture""', 'Understanding ""Complexity"" and ""Change""', 'Understanding Frameworks', 'Understanding Frameworks for Enterprise Architecture', 'Introduction to Big Data and Enterprise Architecture', 'How to achieve Holistic Enterprise Architecture', 'Current State of the Enterprise Architecture', 'Lifecycle Deliverables', 'Financial Times Case Study', 'Lifecycle Paths', 'Reverse (data) Engineering', 'Requirements to Design', 'Relational Design', 'Back to Requirements', 'Tuning and Maintenance', 'Why quality data must proceed any ""big data""', 'How to: Big Data and Enterprise Architecture']"
enterprise architecture,https://i.ytimg.com/vi/co1It6wXhaE/hq720.jpg?sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLCOaFRvQwcvxSjM_yS27zMRio90xg,https://youtube.com/watch?v=co1It6wXhaE&t=12s&pp=ygVFQ291cnNlIGVudGVycHJpc2UgYXJjaGl0ZWN0dXJlIGVudGVycHJpc2UgYXJjaGl0ZWN0dXJlIERhdGEgQXJjaGl0ZWN0,What is Enterprise Architecture and Why is it Important?,3.2K views,4 years ago,Sian Harding,Enterprise Architecture is a systematic way of describing and thinking about the structure of an Enterprise. It's the process that ...,7:26,3,['0:12 What is Enterprise Architecture?']
enterprise architecture,https://i.ytimg.com/vi/e4mHzTdTRSU/hqdefault.jpg?sqp=-oaymwEnCOADEI4CSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLC2P2YS1GnR2TwytphUR_JJRJNqhg,https://youtube.com/watch?v=e4mHzTdTRSU&pp=ygVFQ291cnNlIGVudGVycHJpc2UgYXJjaGl0ZWN0dXJlIGVudGVycHJpc2UgYXJjaGl0ZWN0dXJlIERhdGEgQXJjaGl0ZWN0,Explore the Role of a Business Architect! Introduction with Deirdre Caren,33 views,Streamed 3 days ago,Agora Insights,"Have you ever considered a career as a business architect ? For those who want to know more but not quite sure what it means, ...",50:39,,
enterprise architecture,https://i.ytimg.com/vi/v6xBGN2A0hM/hqdefault.jpg?sqp=-oaymwEnCOADEI4CSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLCYxoa7VT7rLE3q1DdtYUigIrB7cQ,https://youtube.com/watch?v=v6xBGN2A0hM&pp=ygVFQ291cnNlIGVudGVycHJpc2UgYXJjaGl0ZWN0dXJlIGVudGVycHJpc2UgYXJjaGl0ZWN0dXJlIERhdGEgQXJjaGl0ZWN00gcJCX4JAYcqIYzv,Enterprise Architecture Vs. Solution Architecture,11K views,1 year ago,Enterprise Architecture Radio,Common Question. What's the difference between EA and Solution Architecture . I thought I would talk about my take on it and how ...,20:30,8,"['Introduction', 'The Grocery shopping analogy', 'What are the skills required to be an Enterprise Architect?', 'The Skills framework', 'What is a solution architect?', 'The merger example', 'Domain Architecture', 'Conclusion']"
enterprise architecture,https://i.ytimg.com/vi/KgJ2dajCs5A/hq720.jpg?sqp=-oaymwFBCNAFEJQDSFryq4qpAzMIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB8AEB-AH-CYAC0AWKAgwIABABGBMgRSh_MA8=&rs=AOn4CLA-QWn2GjgCvCnRfDFhiXJ_U2dBjw,https://youtube.com/watch?v=KgJ2dajCs5A&pp=ygVFQ291cnNlIGVudGVycHJpc2UgYXJjaGl0ZWN0dXJlIGVudGVycHJpc2UgYXJjaGl0ZWN0dXJlIERhdGEgQXJjaGl0ZWN0,0100 Enterprise Architecture Course Introduction and Overview,324 views,3 years ago,GreatIdeaz,First introduction video of our education series about enterprise architecture for software development! Subscribe to our YouTube ...,27:34,11,"['Introduction', 'Why do you need this course', 'Who am I', 'What is Enterprise Architecture', 'Togaf', 'ServiceOriented Architecture', 'IT Service Management', 'Devops', 'Governance', 'Why Enterprise Architecture', 'Course Structure']"
enterprise architecture,https://i.ytimg.com/vi/UnhC9xk9wiE/hqdefault.jpg?sqp=-oaymwFBCOADEI4CSFryq4qpAzMIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB8AEB-AH-BIAC4AOKAgwIABABGHIgVig1MA8=&rs=AOn4CLA-U2m25AbOhIa67ueFBmERp5h3Ng,https://youtube.com/watch?v=UnhC9xk9wiE&t=132s&pp=ygVFQ291cnNlIGVudGVycHJpc2UgYXJjaGl0ZWN0dXJlIGVudGVycHJpc2UgYXJjaGl0ZWN0dXJlIERhdGEgQXJjaGl0ZWN0,An Enterprise Architecture introduction,188K views,12 years ago,EnterpriseArchitects,This video will Provide both practitioners and decision makers with an overview of the TOGAF ® 9.0 framework and how it can add ...,1:25:49,,['2:12 TOGAF']
