skill,thumbnail_link,video_link,title,num_views,age,channel,snippet,duration,chapter,series
iaas,https://i.ytimg.com/vi/36zducUX16w/hq720.jpg?sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLDmPAqernMZtZhL-l7dcQtWVyyuTg,https://youtube.com/watch?v=36zducUX16w&pp=ygUfQ291cnNlIGlhYXMgaWFhcyBEYXRhIEFyY2hpdGVjdA%3D%3D,Cloud Computing Services Models - IaaS PaaS SaaS Explained,1.5M views,7 years ago,Ecourse Review,,6:43,4,"['Intro', 'What is SaaS', 'What is PaaS', 'What is IaaS']"
iaas,https://i.ytimg.com/vi/lPiR3DzNjvE/hqdefault.jpg?sqp=-oaymwEnCOADEI4CSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLBPHWYp4LIZhLT4zeRhMepxKma_PA,https://youtube.com/watch?v=lPiR3DzNjvE&pp=ygUfQ291cnNlIGlhYXMgaWFhcyBEYXRhIEFyY2hpdGVjdA%3D%3D,Data Architect vs. Data Engineer: What's the Difference?,13K views,1 year ago,Eye on Tech,Data architects and data engineers are vital roles in the data management team. Sometimes they get conflated with each other ...,2:30,5,"['Intro', 'Main Differences', 'Skills', 'Qualifications', 'Summary']"
iaas,https://i.ytimg.com/vi/phLPKVx3Cl4/hq720.jpg?sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLDmEGGXBPXdmJDi4P2rjfBefX4Iog,https://youtube.com/watch?v=phLPKVx3Cl4&pp=ygUfQ291cnNlIGlhYXMgaWFhcyBEYXRhIEFyY2hpdGVjdA%3D%3D,"What is Cloud Architecture? Understanding SaaS, IaaS, Cloud Delivery Models & More",11K views,6 months ago,IBM Technology,"Join Jamil Spain as he explores the different components of cloud architecture , including front-end, back-end, networking, and ...",13:02,,
iaas,https://i.ytimg.com/vi/9CVBohl6w0Q/hq720.jpg?sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLBpF1alOj1UJk6fndJ9xGSY7i9Fvw,https://youtube.com/watch?v=9CVBohl6w0Q&pp=ygUfQ291cnNlIGlhYXMgaWFhcyBEYXRhIEFyY2hpdGVjdA%3D%3D,AZ-900 Episode 5 | IaaS vs PaaS vs SaaS cloud service models | Microsoft Azure Fundamentals Course,659K views,4 years ago,Adam Marczak - Azure for Everyone,Microsoft Azure Fundamental full course . Episode covers following skills - Describe Infrastructure-as-a-Service ( IaaS ) - Describe ...,7:59,9,"['Episode Introduction', 'Skills Measured', 'Example Scenario', 'On-Premises', 'IaaS', 'PaaS', 'SaaS', 'Comparing service models', 'Next Steps']"
iaas,https://i.ytimg.com/vi/zz_H5jBP158/hq720.jpg?sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLDkG3IethwEfw6GJZt8Cp1q4n8VMg,https://youtube.com/watch?v=zz_H5jBP158&pp=ygUfQ291cnNlIGlhYXMgaWFhcyBEYXRhIEFyY2hpdGVjdA%3D%3D,How to Become a Data Architect,104K views,5 years ago,365 Data Science,How to Become a Data Architect ? | We talk about an alternative way of getting into data science by becoming a data architect !,6:55,5,"['Intro', 'Who is a Data Architect', 'How much do Data Architects make', 'Academic background', 'Skills']"
iaas,https://i.ytimg.com/vi/q43jUUpxVNI/hq720.jpg?sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLD_QzyJE_G-SwbjlzF5ePzdfi-cjg,https://youtube.com/watch?v=q43jUUpxVNI&pp=ygUfQ291cnNlIGlhYXMgaWFhcyBEYXRhIEFyY2hpdGVjdA%3D%3D,How to Become a Data Architect (the Ultimate Guide),1.1K views,5 months ago,The Data Engineering Channel,Looking for more business related data content - Businesses: Reach out for a free consultation ...,5:29,6,"['Introduction to Data Engineering and Data Architecture', 'The Evolution of Data Engineering', 'Key Skills for Data Architects', 'Practical Steps to Transition to Data Architect', 'Case Study: A Successful Data Engineer to Data Architect Transition', 'The Future of Data Engineering and Data Architecture **** Affiliate links to great Data Engineering Books']"
iaas,https://i.ytimg.com/vi/TaMJ0Y5CmzA/hq720.jpg?sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLAwKppJ_Bz9f64s2bnh_5AtXTJyZg,https://youtube.com/watch?v=TaMJ0Y5CmzA&pp=ygUfQ291cnNlIGlhYXMgaWFhcyBEYXRhIEFyY2hpdGVjdA%3D%3D,Crash Course in Data Architecture,73K views,4 years ago,Dataiku,"Data architecture is the foundation of every organization's data strategy, but it's not just something for CIOs and data architects ...",44:56,14,"['Introduction', 'What is Data Architecture', 'Data Architecture Example', 'Data Architecture Steps', 'Security', 'Scaling', 'Big Concepts', 'Data Structure', 'Audience Questions', 'Building for the Future', 'Team Management', 'Quantifying ROI', 'Challenges', 'Question']"
iaas,https://i.ytimg.com/vi/9ToVk0Fgsz0/hq720.jpg?sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLCd01J3LLYotH-hY-hZ95tzL_wCog,https://youtube.com/watch?v=9ToVk0Fgsz0&pp=ygUfQ291cnNlIGlhYXMgaWFhcyBEYXRhIEFyY2hpdGVjdA%3D%3D,40 Real Data Architect Interview Questions & Answers - Part I,75K views,3 years ago,Software Architecture Academy,1st of 4 part Data Architect Interview Questions & Answers series focusing on real questions that are asked. This part covers the ...,20:03,11,"['Intro', 'How do you improve an existing Data Architecture?', 'How do you choose Data Lake vs Data Warehouse for your solution?', 'Can you explain different types of data stores used in organizations?', 'How do you choose a relational vs non-relational Database for your solution?', 'How do you choose Batch vs Real-time processing for your solution?', 'Where all would you use an Index? When does Indexing fail?', ""How do you improve your Database's performance"", 'When would you choose a Graph Database?', 'Have you come across the term Data Lakehouse? What is it?', ""What's trending in the world of data these days?""]"
iaas,https://i.ytimg.com/vi/9LJCvpqDe3Y/hq720.jpg?sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLBA8vSrPP9GSBKU4asT5u31LqLkXg,https://youtube.com/watch?v=9LJCvpqDe3Y&pp=ygUfQ291cnNlIGlhYXMgaWFhcyBEYXRhIEFyY2hpdGVjdA%3D%3D,Infrastructure as a service||IAAS||Cloud Computing||Cloud computing Service Model ||Benefits of IAAS,8 views,2 days ago,Technocrat CS Academy,,9:11,,
iaas,https://i.ytimg.com/vi/YzORhWjktwY/hq720.jpg?sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLB_AiBcKOoMDQozgiG1kEiEKNfz9g,https://youtube.com/watch?v=YzORhWjktwY&pp=ygUfQ291cnNlIGlhYXMgaWFhcyBEYXRhIEFyY2hpdGVjdA%3D%3D,Data Architects Vs Data Engineers - Is There A Difference?,17K views,1 year ago,Seattle Data Guy,Data architects vs data engineers. I get asked this question a lot. Perhaps people just want to know what the salary difference is ...,11:04,,
iaas,https://i.ytimg.com/vi/boY2i6qhPr8/hq720.jpg?sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLB4Tx1FDrjSbJfF3GaTfch5K5Nu4g,https://youtube.com/watch?v=boY2i6qhPr8&pp=ygUfQ291cnNlIGlhYXMgaWFhcyBEYXRhIEFyY2hpdGVjdA%3D%3D,Cloud Computing Service Model - IaaS PaaS SaaS Explained | Types of Cloud Services | Simplilearn,111K views,5 years ago,Simplilearn,utm_campaign=boY2i6qhPr8&utm_medium=DescriptionFirstFold&utm_source=Youtube Cloud Architect Masters Program ...,9:57,4,"[""What's in it for you?"", 'What is Cloud Computing?', 'Famous laas Providers', 'End Users of Service Models']"
iaas,https://i.ytimg.com/vi/QxZGWDu3X0s/hq720.jpg?sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLC-cO-bADhuk-tmYkdUt_7tATqY9w,https://youtube.com/watch?v=QxZGWDu3X0s&pp=ygUfQ291cnNlIGlhYXMgaWFhcyBEYXRhIEFyY2hpdGVjdA%3D%3D,How to become a Data Architect (Career in Architecture),28K views,3 years ago,Software Architecture Academy,Focus on only two topics: 1. Career Pathway. 2. Data Subject expertise required. Related: Data Architecture Interview Series: 1.,9:15,5,"['Possible Career Pathways', 'Years of Experience Requirements', 'Data Modeling', 'Analytics', 'Big Data Engineering and Cloud Engineering']"
iaas,https://i.ytimg.com/vi/aMhTC_VkOP0/hq720.jpg?sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLAx1UqmiN7PCEEg5Wui1eZdLKodEA,https://youtube.com/watch?v=aMhTC_VkOP0&pp=ygUfQ291cnNlIGlhYXMgaWFhcyBEYXRhIEFyY2hpdGVjdA%3D%3D,"👩🏻‍💼""Becoming a Data Architect: Job Role | Salary | Degree | Skills ??""",9.3K views,2 years ago,Build with Akshit,"A data architect is a professional who is responsible for designing, creating, deploying and managing an organization's data ...",5:38,,
iaas,https://i.ytimg.com/vi/GUpIakLNy_s/hq720.jpg?sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLA_o8sr2GiA-XmqjIIVdgFaS1sgOg,https://youtube.com/watch?v=GUpIakLNy_s&pp=ygUfQ291cnNlIGlhYXMgaWFhcyBEYXRhIEFyY2hpdGVjdA%3D%3D,Azure IAAS architecture for beginners and developers - Part 1,49K views,4 years ago,Cloud Academy - All in One,Azure IAAS architecture for beginners and developers - Part 1 (Presentation link is inside) It covers Azure end to end architecture ...,12:45,3,"['Introduction', 'Architecture', 'Demonstration']"
iaas,https://i.ytimg.com/vi/XHRLuB15htc/hq720.jpg?sqp=-oaymwFBCNAFEJQDSFryq4qpAzMIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB8AEB-AHUBoAC4AOKAgwIABABGC0gUihyMA8=&rs=AOn4CLA9xsT6WTLlGO2MvF_ZE359LKtmXA,https://youtube.com/watch?v=XHRLuB15htc&pp=ygUfQ291cnNlIGlhYXMgaWFhcyBEYXRhIEFyY2hpdGVjdA%3D%3D,"Cloud Computing Courses, Cloud Computing, Learn Cloud Computing 101, Data Security, IAAS, PAAS, SAAS",37 views,3 years ago,Tonex Training,"Cloud computing comes up with lots more advantages like, Backing-up and data restoring.Improved collaboration.",2:45,,
iaas,https://i.ytimg.com/vi/emSIeboJN8o/hq720.jpg?sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLCiz3mOrvVqZumgayANyRuPzCeYTg,https://youtube.com/watch?v=emSIeboJN8o&pp=ygUfQ291cnNlIGlhYXMgaWFhcyBEYXRhIEFyY2hpdGVjdA%3D%3D,Cloud Architecture Foundations (Lesson 3 of 3) | IaaS | Cloud Computing | Cybrary,113 views,4 years ago,Cybrary,Cloud Architecture Foundations (Lesson 3 of 3) | IaaS | Cloud Computing | Cybrary #cloudcomputing #cloudarchitecture In this ...,10:06,8,"['Summary', 'We are in the middle of an laas explosion', 'So what is Infrastructure as a Service!', 'Coin Operated Cloud', 'laas and Pay as You Go Use Case', 'What About Those Pesky Developers!', 'Compute - Storage - Virtualization', 'Learning Check']"
iaas,https://i.ytimg.com/vi/z19535b_z0Q/hq720.jpg?sqp=-oaymwFBCNAFEJQDSFryq4qpAzMIARUAAIhCGADYAQHiAQoIGBACGAY4AUAB8AEB-AG2CIACgA-KAgwIABABGGUgUyhDMA8=&rs=AOn4CLAghnflf0UDRFjtWROU5ex_TjnJkQ,https://youtube.com/shorts/z19535b_z0Q,🔥 AWS Cloud Engineer Salary | Salary Of Cloud Engineer In India #Shorts #simplilearn,676K views,10 months ago,Simplilearn,,SHORTS,,
iaas,https://i.ytimg.com/vi/CqynhE5hrc0/hq720.jpg?sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLC2DzNK0QlvqSrLqEDccsB09LSvEw,https://youtube.com/watch?v=CqynhE5hrc0&pp=ygUfQ291cnNlIGlhYXMgaWFhcyBEYXRhIEFyY2hpdGVjdA%3D%3D,Database Systems - Cloud Databases and Cloud Computing Explained SaaS PaaS IaaS - APPFICIAL,346 views,3 years ago,Appficial,"Multi-tier architecture A tier refers to a software or hardware layer, but in the terms of database architecture it refers to hardware.",6:25,7,"['Cloud Databases in Multi-Tier Architecture', 'Cloud Computing', 'Three Main Types of Cloud Services That Cloud Computing Provides', 'Benefits and Risks of Cloud Databases', 'Benefits of Cloud Databases', 'Cost for Cloud Computing', 'Concern with Cloud Computing']"
iaas,https://i.ytimg.com/vi/AOFcpl98Bnc/hq720.jpg?sqp=-oaymwFBCNAFEJQDSFryq4qpAzMIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB8AEB-AHUBoAC4AOKAgwIABABGGUgWihcMA8=&rs=AOn4CLBvlts0UFd7wHF-zXsnkG98ODtyrQ,https://youtube.com/watch?v=AOFcpl98Bnc&pp=ygUfQ291cnNlIGlhYXMgaWFhcyBEYXRhIEFyY2hpdGVjdA%3D%3D,"CCSP Domain 1| 1.2 Cloud Reference Architecture| IaaS, PaaS, SaaS, Cloud Deployment Models,",2.3K views,3 years ago,CyberPlatter,"Agenda: Domain 1 - Cloud Concepts, Architecture and Design 1.2 Describe cloud reference architecture Cloud computing ...",46:24,,
