skill,thumbnail_link,video_link,title,num_views,age,channel,snippet,duration,chapter,series
netbackup,https://i.ytimg.com/vi/Ev6UvDxbcZ4/hq720.jpg?sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLDvdSS30lphjcw3slWv2fi13GePeQ,https://youtube.com/watch?v=Ev6UvDxbcZ4&pp=ygUpQ291cnNlIG5ldGJhY2t1cCBuZXRiYWNrdXAgRGF0YSBBcmNoaXRlY3Q%3D,Snapshot-based Data Protection with NetBackup,4.6K views,5 years ago,Veritas Technologies,"Learn about snapshot-based data protection using Veritas NetBackup and Veritas CloudPoint, to ensure protection for data ...",2:55,,
netbackup,https://i.ytimg.com/vi/wb_dfvhUFIA/hq720.jpg?sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLBaea8nQ7RbkJgiFqG50kt-PJU6UQ,https://youtube.com/watch?v=wb_dfvhUFIA&pp=ygUpQ291cnNlIG5ldGJhY2t1cCBuZXRiYWNrdXAgRGF0YSBBcmNoaXRlY3Q%3D,NetBackup Tech Briefs: NetBackup Parallel Streaming,789 views,6 years ago,Veritas Tech Channel,"Learn how NetBackup Parallel Streaming, innovated and patented by Veritas, delivers data protection for next-gen, scale-out and ...",6:21,3,"['Plugins', 'The Flow of Data', 'Recap the Value of Net Backup Parallel Streaming']"
netbackup,https://i.ytimg.com/vi/ulPIk_VoRO4/hq720_2.jpg?sqp=-oaymwFBCNAFEJQDSFryq4qpAzMIARUAAIhCGADYAQHiAQoIGBACGAY4AUAB8AEB-AG2CIACgA-KAgwIABABGBMgXih_MA8=&rs=AOn4CLA4CeeEb2fdk0hixzOMk6j5Nbj93w,https://youtube.com/shorts/ulPIk_VoRO4,Learn Veritas Netbackup 8.2_ Advanced Administration online | Koenig Solutions,79 views,1 year ago,Koenig Solutions,,SHORTS,,
netbackup,https://i.ytimg.com/vi/Tdd6eKJdNuI/hq720.jpg?sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLBNpVLxzJxBEWEpO69Wig8RR9Pbow,https://youtube.com/watch?v=Tdd6eKJdNuI&pp=ygUpQ291cnNlIG5ldGJhY2t1cCBuZXRiYWNrdXAgRGF0YSBBcmNoaXRlY3Q%3D,Symantec Netbackup Training| Netbackup Full Course| Exolearn,33K views,4 years ago,ExoLearn,( NetBackup management) • Manages resources for backup and recovery activities Tracks the backed up data ...,55:29,,
netbackup,https://i.ytimg.com/vi/ul9DKfbdpbM/hq720.jpg?sqp=-oaymwFBCNAFEJQDSFryq4qpAzMIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB8AEB-AHUBoAC4AOKAgwIABABGH8gEygUMA8=&rs=AOn4CLCaTtKSbqRsyU-dnEXcNmKyIjZlng,https://youtube.com/watch?v=ul9DKfbdpbM&pp=ygUpQ291cnNlIG5ldGJhY2t1cCBuZXRiYWNrdXAgRGF0YSBBcmNoaXRlY3Q%3D,How to Restore Granular Files in the Multicloud with NetBackup,429 views,3 years ago,Veritas Tech Channel,"Anthony Cusimano and Tony Davids demonstrate performent data protection across every cloud including AWS, Azure, and ...",4:55,3,"['Intro', 'Demo', 'Wrap Up']"
netbackup,https://i.ytimg.com/vi/TcaykaGmsKA/hq720.jpg?sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLATrG05oGXY_KAT9etwk6hdnhRVsg,https://youtube.com/watch?v=TcaykaGmsKA&pp=ygUpQ291cnNlIG5ldGJhY2t1cCBuZXRiYWNrdXAgRGF0YSBBcmNoaXRlY3Q%3D,NetBackup 8.2 Advanced Administration Course,135 views,4 years ago,Optima Computer,,6:02,,
netbackup,https://i.ytimg.com/vi/A7E-2uHUX2Y/hq720.jpg?sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLDCMztxwZqfSppmJna2hEWfxzxA-g,https://youtube.com/watch?v=A7E-2uHUX2Y&pp=ygUpQ291cnNlIG5ldGJhY2t1cCBuZXRiYWNrdXAgRGF0YSBBcmNoaXRlY3TSBwkJfgkBhyohjO8%3D,NetX Webinar - Best Practices with NetBackup Intelligent Policies,2.3K views,9 years ago,NetX Information Systems,,42:49,12,"['Introduction', 'About NetX', 'How Intelligent Policies Work', 'VMware Intelligent Policies', 'Disadvantages of VMware Intelligent Policies', 'Best Practices', 'Oracle Intelligent Policies', 'Oracle Intelligent Policies Disadvantages', 'How to Use Oracle Intelligent Policies', 'Oracle Intelligent Policies Best Practices', 'Microsoft Intelligent Policies Best Practices', 'Disadvantages of Microsoft Intelligent Policies']"
netbackup,https://i.ytimg.com/vi/YUt4_7xNAfQ/hq720.jpg?sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLBOp-5Il3ti-a_TMlg7dp1jB3Z49Q,https://youtube.com/watch?v=YUt4_7xNAfQ&pp=ygUpQ291cnNlIG5ldGJhY2t1cCBuZXRiYWNrdXAgRGF0YSBBcmNoaXRlY3Q%3D,NetBackup Tech Briefs: Integrated Snapshot Management for Cloud Workloads,853 views,6 years ago,Veritas Tech Channel,"Learn how NetBackup with its new web-based UI delivers cloud workload protection and snapshot orchestration for AWS, Azure ...",2:29,,
netbackup,https://i.ytimg.com/vi/TaMJ0Y5CmzA/hq720.jpg?sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLAwKppJ_Bz9f64s2bnh_5AtXTJyZg,https://youtube.com/watch?v=TaMJ0Y5CmzA&pp=ygUpQ291cnNlIG5ldGJhY2t1cCBuZXRiYWNrdXAgRGF0YSBBcmNoaXRlY3Q%3D,Crash Course in Data Architecture,73K views,4 years ago,Dataiku,"Data architecture is the foundation of every organization's data strategy, but it's not just something for CIOs and data architects ...",44:56,14,"['Introduction', 'What is Data Architecture', 'Data Architecture Example', 'Data Architecture Steps', 'Security', 'Scaling', 'Big Concepts', 'Data Structure', 'Audience Questions', 'Building for the Future', 'Team Management', 'Quantifying ROI', 'Challenges', 'Question']"
netbackup,https://i.ytimg.com/vi/krY1fIJAmKs/hq720.jpg?sqp=-oaymwFBCNAFEJQDSFryq4qpAzMIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB8AEB-AH-DoACuAiKAgwIABABGH8gEygvMA8=&rs=AOn4CLDz16uInhtTvuWHZbBQBh4LBSuvXQ,https://youtube.com/watch?v=krY1fIJAmKs&pp=ygUpQ291cnNlIG5ldGJhY2t1cCBuZXRiYWNrdXAgRGF0YSBBcmNoaXRlY3Q%3D,NetBackup for Databases,648 views,3 years ago,Veritas Technologies,"Learn how NetBackup can help you achieve the protection you need for your databases with the automation, visibility and storage ...",1:57,8,"['Minimize Manual Oversight', 'Centralized Dashboard', 'Intelligent Policies', 'Public Cloud Integration', 'Built-In Deduplication', 'Integrated APIs', 'Long-Term Cost Savings', 'Veritas NetBackup']"
