skill,thumbnail_link,video_link,title,num_views,age,channel,snippet,duration,chapter,series
qlik,https://i.ytimg.com/vi/sd84bsRWSLY/hq720.jpg?sqp=-oaymwFBCNAFEJQDSFryq4qpAzMIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB8AEB-AH-CYAC0AWKAgwIABABGBEgaChyMA8=&rs=AOn4CLAK3Wr70HW2j-AJDHUjOV3MRZVVAw,https://youtube.com/watch?v=sd84bsRWSLY&pp=ygUfQ291cnNlIHFsaWsgcWxpayBEYXRhIFNjaWVudGlzdA%3D%3D,Qlik Sense – Product Tour,424K views,3 years ago,Qlik,The end-to-end data analytics platform without blind spots. Learn more here: http://bit.ly/2YmIE6L.,2:50,,"['Qlik Sense is a cloud analytics platform that uses artificial intelligence and associative technology to help users explore data and find insights. The platform allows users to create their own analytics, collaborate with others, and share their findings. Qlik Sense is designed for the enterprise and offers scalability, security, and governance features.']"
qlik,https://i.ytimg.com/vi/ny8d2XlTWsQ/hq720.jpg?sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLBXtJXokj94qXqjPwmnAxkmLD6U_w,https://youtube.com/watch?v=ny8d2XlTWsQ&pp=ygUfQ291cnNlIHFsaWsgcWxpayBEYXRhIFNjaWVudGlzdA%3D%3D,Qlik Sense Tutorial: 3.5 Hours of Beginner to Advanced Qlik Sense Training,141K views,1 year ago,Simon Sez IT,"In this Qlik Sense training course for beginners and advanced users, we show you how to get up and running in Qlik Sense. Qlik ...",3:29:41,20,"['What is Qlik Sense', 'Qlik Sense vs. Qlik View', 'Versions of Qlik Sense', 'Exploring Qlik Sense Interface', 'Loading Data Part 1', 'Loading Data Part 2', 'Creating Your First Chart', 'Adding Your First Chart', 'Editing Your Visualization', 'Publishing and Sharing Apps', 'Exercise 01', 'Data Assets Visualization Part 1', 'Data Assets Visualization Part 2', 'Introduction to Qlik Sense Advanced', 'Introduction to Variables', 'Uses of Variables', 'Dynamic Loading Part 1', 'Dynamic Loading Part 2', 'Script Files & Sub-routines', 'Advanced Script Functions']"
qlik,https://i.ytimg.com/vi/hbDWrzFnBqQ/hq720.jpg?sqp=-oaymwFBCNAFEJQDSFryq4qpAzMIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB8AEB-AH-CYAC0AWKAgwIABABGGUgYihUMA8=&rs=AOn4CLDbZDh4IBcyImcsFuFRcrAVoVjWfA,https://youtube.com/watch?v=hbDWrzFnBqQ&pp=ygUfQ291cnNlIHFsaWsgcWxpayBEYXRhIFNjaWVudGlzdA%3D%3D,Free Webinar: Qlik Sense for Data Visualization,750 views,2 years ago,Accelebrate,"This webinar introduces you to Qlik Sense, a popular data visualization platform, and demonstrates how to analyze your business ...",57:01,15,"['Chuck Patel', 'Agenda', 'Analytics Overview', 'Build a New Application', 'Creating Visualizations', 'Associate these Tables', 'Margin', 'Sales Kpi', 'Scatter Plot Chart', 'Tree Map Chart', 'Add this Chart Object', 'What Is Qlik Sense Cost', 'How Long Does It Take for a Click To Get Deployed', 'What Is a Typical Time Period To Get Implemented', 'Closing']"
qlik,https://i.ytimg.com/vi/_f7J68fLXNk/hq720.jpg?sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLDJB9mxzHBe9RYdv9_aggBntAWAvA,https://youtube.com/watch?v=_f7J68fLXNk&pp=ygUfQ291cnNlIHFsaWsgcWxpayBEYXRhIFNjaWVudGlzdNIHCQl-CQGHKiGM7w%3D%3D,Qlik Sense Training | BI and Data Science | Qlik Sense Tutorial for Beginners,548 views,5 years ago,Yoda Learning Academy,"In this video, we will look in to: - Dimension & Measures in Qlik Sense - A self-service tool of Qlik Sense- Data Manager We ...",5:34,5,"['Introduction', 'Dimensions and Measures', 'Tips and Tricks', 'Data Manager', 'Outro']"
qlik,https://i.ytimg.com/vi/VKGyL1Vf7wk/hq720.jpg?sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLBUuNcKpBM2UIhNk48trOGNHMVa5w,https://youtube.com/watch?v=VKGyL1Vf7wk&pp=ygUfQ291cnNlIHFsaWsgcWxpayBEYXRhIFNjaWVudGlzdA%3D%3D,Qlik Sense Training | Qlik Sense Fractile Chart and Script Function,1.3K views,4 years ago,Data Science Tutorials,Qlik Sense Training | Qlik Sense Fractile Chart and Script Function Dataset - https://tinyurl.com/yd65vnf3.,4:39,,
qlik,https://i.ytimg.com/vi/TtvJm6vLFyc/hqdefault.jpg?sqp=-oaymwEnCOADEI4CSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLAbUcugPPeqOf5JSLxjT8Xzm7JcEw,https://youtube.com/watch?v=TtvJm6vLFyc&pp=ygUfQ291cnNlIHFsaWsgcWxpayBEYXRhIFNjaWVudGlzdA%3D%3D,Week 1 : Qliksense Live Session,397 views,2 years ago,Monty Excel,"Week 1 : Qliksense Live Session In this Qlik Sense Tutorial for beginners, we show you how to get up and running in Qlik Sense ...",1:21:03,,
qlik,https://i.ytimg.com/vi/D8AVeU9J3nI/hq720.jpg?sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLAvPsRwUmPvocRwczFfjJuLjB0-BQ,https://youtube.com/watch?v=D8AVeU9J3nI&pp=ygUfQ291cnNlIHFsaWsgcWxpayBEYXRhIFNjaWVudGlzdA%3D%3D,"Talking Point Sydney: A QLIK User Group, Data Science with Qlik Sense and Python",98 views,6 years ago,Decision Inc. Australia,"From our Qlik User Group, Talking Points held on Tuesday 12 February 2019 for our second QLIK User Group. Get in touch with ...",41:45,13,"['Introduction', 'Why Data Science', 'Common Use Cases', 'Python Example', 'Anaconda', 'Notebooks', 'Plotly', 'Click cents', 'The old way', 'How it works', 'Forecasting', 'Getting started', 'Udemy']"
qlik,https://i.ytimg.com/vi/zzkryEkOarE/hq720.jpg?sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLCF_GeTYrVSaRFdvnqkmQjZ3W5LDg,https://youtube.com/watch?v=zzkryEkOarE&pp=ygUfQ291cnNlIHFsaWsgcWxpayBEYXRhIFNjaWVudGlzdA%3D%3D,Qlik Sense - FirstSortedValue | Qliksense Training,1.5K views,5 years ago,Data Science Tutorials,Qlik Sense - FirstSortedValue | Qliksense Training Dataset link - https://tinyurl.com/yd65vnf3.,10:20,3,"['Introduction', 'FirstSortedValue', 'UnitBySales']"
qlik,https://i.ytimg.com/vi/6cMVcKeBdkI/hq720.jpg?sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLA8B-eSGq0H13zBFFifCkzcQ0LsAA,https://youtube.com/watch?v=6cMVcKeBdkI&pp=ygUfQ291cnNlIHFsaWsgcWxpayBEYXRhIFNjaWVudGlzdA%3D%3D,Interview with Gleb Lukicov  - 10 Key Questions to AI & Data Science Practitioners,116 views,1 day ago,RoyalStatSoc,,11:56,,
qlik,https://i.ytimg.com/vi/g9NJkGE1esg/hq720.jpg?sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLCIJQSC7JCF4lnZsR5RT1EzUzQIzQ,https://youtube.com/watch?v=g9NJkGE1esg&pp=ygUfQ291cnNlIHFsaWsgcWxpayBEYXRhIFNjaWVudGlzdA%3D%3D,Microsoft SAP Qlik Data Integration Full Demo,3.2K views,4 years ago,Qlik,See the power of Qlik Data Integration in bringing SAP data into Microsoft Azure Synapse.,23:19,6,"['Analytical Query', 'Visualization', 'Fine Grained Security', 'Dynamic Data Masking', 'Microsoft Teams', 'Power Bi']"
