skill,link,image_link,partner,title,course_description,rating,num_review,difficulty,num_lecture,duration,price
communication skills,https://www.udemy.com/course/professional-communication-and-business-writing/,https://img-c.udemycdn.com/course/240x135/2323470_7191_32.jpg,Alex Genadinik,Business Communication Skills: Business Writing & Grammar,"Professional communication skills: Business writing, English grammar, business English, email, and presentation skills",4.6,26767,Beginner,276 lectures,18 total hours,Current price: $139.99
communication skills,https://www.udemy.com/course/the-complete-communication-skills-master-class-for-life/,https://img-c.udemycdn.com/course/240x135/1802404_48e9_2.jpg,TJ Walker,The Complete Communication Skills Master Class for Life,"Communication Skills for Persuasion, Assertiveness and All Business Communication Needs",4.4,30908,All Levels,713 lectures,36.5 total hours,Current price: $109.99
communication skills,https://www.udemy.com/course/advance-business-communication-professional-skills/,https://img-c.udemycdn.com/course/240x135/5347574_06f8.jpg,Human and Emotion: CHRMI,Advance Business Communication & Professional Skills,"Learn all Business Process like meeting, brainstorming, reporting, emails, announcement, public address, presentations",4.3,145,Intermediate,54 lectures,7.5 total hours,Current price: $49.99
communication skills,https://www.udemy.com/course/communication-skills-the-complete-guide-oral-written-body/,https://img-c.udemycdn.com/course/240x135/4992364_0a88_2.jpg,"Omni Academy 400,000+ students, Gustavo Farias 500.000+ Alunos, Mirko Perkusich, Ph.D., Omni Academy - Student Care & Support","Business Communication Skills: Speak, Write, and Influence","Master Communication Skills: Public Speaking, Writing, Storytelling and more. Get 3 EXTRA courses for Workplace Success!",4.6,656,Beginner,104 lectures,5 total hours,Current price: $64.99
communication skills,https://www.udemy.com/course/customer-service-soft-skills-training/,https://img-c.udemycdn.com/course/240x135/4787816_2775_21.jpg,Viktoriya Kurganska,Business Communication Skills: Handling Clients & Customers,Soft Skills Training | Social Skills | Business Etiquette | Business English | Customer Service Training,4.5,11551,All Levels,117 lectures,3 total hours,Current price: $64.99
communication skills,https://www.udemy.com/course/business-101-business-etiquette/,https://img-c.udemycdn.com/course/240x135/1699324_b51f_2.jpg,"Chris Benjamin, MBA & CFO",Business 101: Business Communication Skills,"Learn the right things to say, how to say them, and what to do in any business situation! Become a communication pro!",4.3,99,All Levels,79 lectures,4.5 total hours,Current price: $49.99
communication skills,https://www.udemy.com/course/business-communication-skills-mini-series/,https://img-c.udemycdn.com/course/240x135/4003068_37c6_3.jpg,Brad Byblow,Business Communication Skills,"The essentials to improve your business communication skills when speaking, writing an email or in a meeting.",4.5,259,Beginner,5 lectures,,Current price: $39.99
communication skills,https://www.udemy.com/course/communication-skills-masterclass-a-blueprint-for-homework/,https://img-c.udemycdn.com/course/240x135/6198509_6794.jpg,"Roger Kay Allen, Ph.D.",Communication Skills Masterclass: A Blueprint for Home/Work,Communication Skills | Leadership | Relationship Skills | Management Skills | Emotional Intelligence | Listening,4.6,324,All Levels,57 lectures,6 total hours,Current price: $69.99
communication skills,https://www.udemy.com/course/business-communication-skills-eq-intelligent-interactions/,https://img-c.udemycdn.com/course/240x135/2745692_7650_8.jpg,Jason Hurley,Business Communication Skills: EQ Intelligent Interactions,Elevate Your Business Communication Skills for Success. Learn to Master the Art of Emotionally Intelligent Interactions,4.7,526,All Levels,27 lectures,3.5 total hours,Current price: $39.99
communication skills,https://www.udemy.com/course/master-communication-skills/,https://img-c.udemycdn.com/course/240x135/4748530_3722_3.jpg,"Expert Academy, Lahcen Bouya",Communication Skills - 11 Communication Courses In 1,"Master Communication Skills: Learn Persuasion, Negotiation, Body Language, Emotional Intelligence And More!",4.4,2089,All Levels,246 lectures,13.5 total hours,Current price: $69.99
