skill,link,image_link,partner,title,course_description,rating,num_review,difficulty,num_lecture,duration,price
financial modeling,https://www.udemy.com/course/financial-modeling-for-business-analysts-and-consultants/,https://img-c.udemycdn.com/course/240x135/1006314_f6ec.jpg,Asen Gyczew,Financial Modeling for Business Analysts and Consultants,"Learn Financial Modeling in Excel that will allow you to participate in due diligence, strategy or turn around projects",4.3,1950,Intermediate,76 lectures,3.5 total hours,Current price: $64.99
financial modeling,https://www.udemy.com/course/excel-financial-modeling-and-business-analysis-masterclass/,https://img-c.udemycdn.com/course/240x135/4985300_727f_2.jpg,Andreas Exadaktylos,Excel Financial Modeling and Business Analysis Masterclass,"Excel Financial Modelling from scratch: Financial Statements, Project Costing, Discounted Cash Flow (DCF), Accounting",4.5,981,All Levels,150 lectures,15.5 total hours,Current price: $74.99
financial modeling,https://www.udemy.com/course/the-complete-financial-analyst-course/,https://img-c.udemycdn.com/course/240x135/648826_f0e5_4.jpg,365 Careers,The Complete Financial Analyst Course 2025,"Excel, Accounting, Financial Statement Analysis, Business Analysis, Financial Math, PowerPoint: Everything is Included!",4.6,94291,All Levels,381 lectures,22.5 total hours,Current price: $199.99
financial modeling,https://www.udemy.com/course/financial-modeling-valuation-in-excel-complete-course-educba/,https://img-c.udemycdn.com/course/240x135/5271968_918a_4.jpg,EDUCBA Bridging the Gap,Financial Modeling & Valuation in Excel - Complete Course,"Complete package of excel, accounting, ratio analysis, financial modeling, forecasting and business valuation techniques",4.4,1079,All Levels,257 lectures,33.5 total hours,Current price: $79.99
financial modeling,https://www.udemy.com/course/beginner-to-pro-in-excel-financial-modeling-and-valuation/,https://img-c.udemycdn.com/course/240x135/321410_d9c5_4.jpg,365 Careers,Beginner to Pro in Excel: Financial Modeling and Valuation,Financial Modeling in Excel that would allow you to walk into a job and be a rockstar from day one!,4.6,56377,All Levels,374 lectures,20.5 total hours,Current price: $174.99
financial modeling,https://www.udemy.com/course/the-valuation-analyst-skills-training-vast-course/,https://img-c.udemycdn.com/course/240x135/1349394_951e_2.jpg,Ashish Agarwal,Company Valuation & Financial Modeling,"Learn comprehensive financial modeling, forecasting and business valuation techniques for Finance professionals",4.4,5468,All Levels,142 lectures,6 total hours,Current price: $69.99
financial modeling,https://www.udemy.com/course/company-dcf-valuation-course/,https://img-c.udemycdn.com/course/240x135/3770834_6824_3.jpg,Corey @ Wisdify,"Financial Analysis - Business Valuation, DCF,  IRR, and more","Learn to model the valuation of a company using DCF & multiples - Perfect for  financial analysts, IB, and PE!",4.5,597,Intermediate,37 lectures,3 total hours,Current price: $74.99
financial modeling,https://www.udemy.com/course/bpmn-business-process-modelling-for-business-analysts/,https://img-c.udemycdn.com/course/240x135/2898026_1ecd_4.jpg,Peter Vliegenthart,BPMN 2.0 Business Process Modelling for Business Analysts,Become a BPMN 2.0 Expert in 1 day. With this practical hands-on course you will learn proper Business Process Modelling,4.4,843,All Levels,69 lectures,3 total hours,Current price: $54.99
financial modeling,https://www.udemy.com/course/python-financial-analyst-python-for-finance/,https://img-c.udemycdn.com/course/240x135/5952632_e57a_3.jpg,"Tamer Ahmed, Temotec Learning Academy",Python Financial Analyst: Financial Analysis Zero to Advance,"Master Finance using Python: Python Financial data manipulation, visualization, modeling, and driving business impact.",4.5,55,All Levels,46 lectures,4.5 total hours,Current price: $69.99
financial modeling,https://www.udemy.com/course/build-a-startup-financial-model-from-scratch/,https://img-c.udemycdn.com/course/240x135/3533538_faba_4.jpg,"Logan Burchett, MBA - TS Founder",Financial Modeling for Startups & Small Businesses,Learn the best practices for building practical financial models and forecasts for your startup business.,4.7,102,All Levels,7 lectures,2 total hours,Current price: $39.99
financial modeling,https://www.udemy.com/course/excel-for-financial-analysis-financial-modeling/,https://img-c.udemycdn.com/course/240x135/3432872_24b7_2.jpg,Start-Tech Academy,Financial Analysis and Financial Modeling using MS Excel,Perform financial analysis & financial modeling using MS excel. For people who want to become a Financial Analyst.,4.4,4636,All Levels,94 lectures,11 total hours,Current price: $84.99
financial modeling,https://www.udemy.com/course/visual-modeling-master-class/,https://img-c.udemycdn.com/course/240x135/1025822_5df6_3.jpg,The BA Guide | Jeremy Aschenbrenner,Business Analysis Modeling Skills & Techniques,"Learn to create Process Flowcharts, Use Cases, SWOT, RACI Matrices, Org Charts, User Stories, and more! - IIBA Endorsed",4.5,15572,Beginner,74 lectures,6.5 total hours,Current price: $99.99
financial modeling,https://www.udemy.com/course/excel-financial-modeling/,https://img-c.udemycdn.com/course/240x135/2202888_73bc_2.jpg,Corey @ Wisdify,Financial Modeling Bootcamp: Model all 3 Financial Stmts,Learn to build and forecast all 3 financial statements from scratch. Become a financial modeling rockstar!,4.5,640,Intermediate,34 lectures,3 total hours,Current price: $69.99
financial modeling,https://www.udemy.com/course/financial-modeling-for-startups-small-businesses/,https://img-c.udemycdn.com/course/240x135/1154754_cc5e_4.jpg,"Evan Kimbrell, Symon He",Financial Modeling for Startups & Small Businesses,Learn the best practices for building practical financial models and forecasts for your startup business.,4.5,3522,Beginner,92 lectures,11.5 total hours,Current price: $99.99
financial modeling,https://www.udemy.com/course/financialmodelling/,https://img-c.udemycdn.com/course/240x135/3633596_df59_3.jpg,Devang Maheshwari,Financial Modeling & Fundamental Analysis,Complete A-Z of Financial Modelling (India Focused),4.5,2808,Beginner,68 lectures,25 total hours,Current price: $59.99
financial modeling,https://www.udemy.com/course/a-complete-financial-planning-analysis-fpa-in-english/,https://img-c.udemycdn.com/course/240x135/6106111_00e1.jpg,"Md Sanaullah | US CMA, M Com, B Com |","The Complete FP&A and Financial Analysis with Book, & MCQ's","22Hrs Rec Lecture, Financial Modeling, Financial Planning and Analysis(FPNA), Budgeting, Forecasting | Financial Analyst",4.2,174,All Levels,66 lectures,22 total hours,Current price: $19.99
financial modeling,https://www.udemy.com/course/business-analysis-ba/,https://img-c.udemycdn.com/course/240x135/751792_622e_10.jpg,The BA Guide | Jeremy Aschenbrenner,Business Analysis Fundamentals - IIBA endorsed,Gain the core BA skills you need to start strong - and earn PD Hours/CDUs to kickstart your analysis career!,4.5,63374,Beginner,66 lectures,7.5 total hours,Current price: $129.99
financial modeling,https://www.udemy.com/course/financial-modeling-for-startups/,https://img-c.udemycdn.com/course/240x135/1636324_e82e.jpg,Asen Gyczew,Financial Modeling for Startups,Learn how to model a startup business in Excel and draw conclusions about your business,4.5,370,Intermediate,47 lectures,3 total hours,Current price: $64.99
financial modeling,https://www.udemy.com/course/business-analysis-masterclass/,https://img-c.udemycdn.com/course/240x135/3482742_897a_13.jpg,Meetul Patel,"Business Analysis ""A to Z"" Masterclass",We don't teach. We job Train!,4.6,8331,All Levels,25 lectures,31 total hours,Current price: $79.99
financial modeling,https://www.udemy.com/course/offline-business-models-in-excel/,https://img-c.udemycdn.com/course/240x135/1200206_ae29.jpg,Asen Gyczew,Offline Business Models in Excel - Practical Guide,A practical guide for Business Analysts and Consultants how to do financial and business modeling,4.5,136,Intermediate,73 lectures,4 total hours,Current price: $49.99
