skill,link,image_link,partner,title,course_description,rating,num_review,difficulty,num_lecture,duration,price
statistical modeling,https://www.udemy.com/course/data-analysis-and-predictive-modeling-using-sas/,https://img-c.udemycdn.com/course/240x135/2693448_1b72.jpg,Sharon Cheng,SAS programming Statistical Analyst Certification Course,The Complete SAS Prep Course: Statistical Business Analyst using SAS 9.4 on Regression and Modeling (exam ID A00-240),4.7,147,All Levels,89 lectures,12 total hours,Current price: $59.99
statistical modeling,https://www.udemy.com/course/bpmn-business-process-modelling-for-business-analysts/,https://img-c.udemycdn.com/course/240x135/2898026_1ecd_4.jpg,Peter Vliegenthart,BPMN 2.0 Business Process Modelling for Business Analysts,Become a BPMN 2.0 Expert in 1 day. With this practical hands-on course you will learn proper Business Process Modelling,4.4,843,All Levels,69 lectures,3 total hours,Current price: $54.99
statistical modeling,https://www.udemy.com/course/visual-modeling-master-class/,https://img-c.udemycdn.com/course/240x135/1025822_5df6_3.jpg,The BA Guide | Jeremy Aschenbrenner,Business Analysis Modeling Skills & Techniques,"Learn to create Process Flowcharts, Use Cases, SWOT, RACI Matrices, Org Charts, User Stories, and more! - IIBA Endorsed",4.5,15572,Beginner,74 lectures,6.5 total hours,Current price: $99.99
statistical modeling,https://www.udemy.com/course/dmn-training-understanding-and-applying-decision-models/,https://img-c.udemycdn.com/course/240x135/5989398_7508_3.jpg,Oliver Berndorf | Senior Business Analyst - Xplore One,DMN for Business Analysts: Decision Modeling made easy,Decision Modeling & Notation - The ideal BPMN extension for efficient business processes.,4.7,13,All Levels,34 lectures,1.5 total hours,Current price: $19.99
statistical modeling,https://www.udemy.com/course/financial-modeling-for-business-analysts-and-consultants/,https://img-c.udemycdn.com/course/240x135/1006314_f6ec.jpg,Asen Gyczew,Financial Modeling for Business Analysts and Consultants,"Learn Financial Modeling in Excel that will allow you to participate in due diligence, strategy or turn around projects",4.3,1950,Intermediate,76 lectures,3.5 total hours,Current price: $64.99
statistical modeling,https://www.udemy.com/course/the-business-intelligence-analyst-course-2018/,https://img-c.udemycdn.com/course/240x135/1653432_3a57_3.jpg,"365 Careers, 365 Team",The Business Intelligence Analyst Course 2025,"The skills you need to become a BI Analyst - Statistics, Database theory, SQL, Tableau – Everything is included",4.6,47217,All Levels,467 lectures,23 total hours,Current price: $109.99
statistical modeling,https://www.udemy.com/course/data-modelling-and-database-design-for-business-analysts/,https://img-c.udemycdn.com/course/240x135/1641148_cbf9.jpg,Dr Monjur Ahmed,Data Modelling and Database Design for Business Analysts,Learn Data Modelling and Database Design to become a successful Business Analyst,4.0,132,Beginner,15 lectures,2 total hours,Current price: $44.99
statistical modeling,https://www.udemy.com/course/business-analysis-data-modelling/,https://img-c.udemycdn.com/course/240x135/3537204_426c.jpg,Steve McIntosh,Business Analysis - Data Modelling,How to analyse and model business data requirements.,4.3,1344,Beginner,20 lectures,3 total hours,Current price: $64.99
statistical modeling,https://www.udemy.com/course/applied-statistical-modeling-for-data-analysis-in-r/,https://img-c.udemycdn.com/course/240x135/1205354_185e_3.jpg,Minerva Singh,Applied Statistical Modeling for Data Analysis in R,Your Complete Guide to Statistical Data Analysis and Visualization For Practical Applications in R,4.5,1902,All Levels,74 lectures,10 total hours,Current price: $99.99
statistical modeling,https://www.udemy.com/course/the-data-analyst-course-complete-data-analyst-bootcamp/,https://img-c.udemycdn.com/course/240x135/3570337_9b02_6.jpg,365 Careers,The Data Analyst Course: Complete Data Analyst Bootcamp,"Complete Data Analyst Training: Python, NumPy, Pandas, Data Collection, Preprocessing, Data Types, Data Visualization",4.5,21135,All Levels,282 lectures,21.5 total hours,Current price: $149.99
statistical modeling,https://www.udemy.com/course/python-mastery-for-data-statistics-statistical-modeling/,https://img-c.udemycdn.com/course/240x135/5663754_3cc7_4.jpg,"AI Sciences, AI Sciences Team","Python Mastery for Data, Statistics & Statistical Modeling","Python Mastery for Data Science & Statistical Modeling: Basics to Advanced Applications in Data Analysis, Visualization",5.0,1,All Levels,266 lectures,28 total hours,Current price: $19.99
statistical modeling,https://www.udemy.com/course/excel-financial-modeling-and-business-analysis-masterclass/,https://img-c.udemycdn.com/course/240x135/4985300_727f_2.jpg,Andreas Exadaktylos,Excel Financial Modeling and Business Analysis Masterclass,"Excel Financial Modelling from scratch: Financial Statements, Project Costing, Discounted Cash Flow (DCF), Accounting",4.5,981,All Levels,150 lectures,15.5 total hours,Current price: $74.99
