skill,link,image_link,partner,title,course_description,rating,num_review,difficulty,num_lecture,duration,price
visio,https://www.udemy.com/course/visio-2013-like-a-boss/,https://img-c.udemycdn.com/course/240x135/401708_577d_17.jpg,Brian Culp,Microsoft Visio 13/16/19 Like a Boss - The Definitive Course,100+ lessons. Always up to date. Boost your career by learning Microsoft Visio QUICKLY. FREE keyboard shortcuts guide.,4.6,7251,All Levels,110 lectures,7.5 total hours,Current price: $79.99
visio,https://www.udemy.com/course/microsoft-visio-2021-full-course/,https://img-c.udemycdn.com/course/240x135/5907878_3052_2.jpg,Delaram Garshasbi,Microsoft Visio 2021 Full Course - Visio Beginner to Expert,"Professionally drawing Diagrams, Architectural Plans, Business Process Models, Circuits, Organization Charts by MS Visio",4.5,72,All Levels,25 lectures,2.5 total hours,Current price: $69.99
visio,https://www.udemy.com/course/process-modelling-with-bpmn-20-and-visio-2016/,https://img-c.udemycdn.com/course/240x135/730438_7d34_7.jpg,Dave Murphy,BPMN 2.0 Process Modeling using Microsoft Visio Professional,The Complete Guide to BPMN 2.0 using Microsoft Visio Professional,4.5,2124,All Levels,69 lectures,5 total hours,Current price: $89.99
visio,https://www.udemy.com/course/microsoft-visio-2019-training-beginner-to-advanced/,https://img-c.udemycdn.com/course/240x135/3874568_1c8c.jpg,Simon Sez IT,Microsoft Visio 2019 Training - Beginner to Advanced,"Master Visio 2019 with this comprehensive Visio course from Microsoft experts, Simon Sez IT.",4.4,387,Beginner,76 lectures,8.5 total hours,Current price: $84.99
visio,https://www.udemy.com/course/the-business-intelligence-analyst-course-2018/,https://img-c.udemycdn.com/course/240x135/1653432_3a57_3.jpg,"365 Careers, 365 Team",The Business Intelligence Analyst Course 2025,"The skills you need to become a BI Analyst - Statistics, Database theory, SQL, Tableau – Everything is included",4.6,47217,All Levels,467 lectures,23 total hours,Current price: $109.99
visio,https://www.udemy.com/course/microsoft-visio-365-essentials/,https://img-c.udemycdn.com/course/240x135/6141109_e658_2.jpg,Simon Sez IT,Microsoft Visio 365 Essentials,"Learn the essential skills to create, customize, and share professional diagrams using Microsoft Visio 365.",4.7,12,Beginner,21 lectures,1.5 total hours,Current price: $69.99
visio,https://www.udemy.com/course/technical-business-analytics-for-agile-decision-making/,https://img-c.udemycdn.com/course/240x135/4990970_895f_4.jpg,Leo Zhu,"Business Analyst Bootcamp: Excel, Stats, SQL, Tableau","30+ Data Analysis, Business Intelligence, and Decision Making Exercises for Agile Business Analytics",4.5,621,All Levels,95 lectures,23.5 total hours,Current price: $64.99
visio,https://www.udemy.com/course/microsoft-visio-masterclass/,https://img-c.udemycdn.com/course/240x135/2483256_818c_5.jpg,Office Skills,Microsoft Visio Masterclass - Beginner To Advanced,Master Visio and Become An Expert At Creating Professional Diagrams and Data Visualisations. Get Started today!,4.6,425,All Levels,34 lectures,4 total hours,Current price: $44.99
visio,https://www.udemy.com/course/bpmn-business-process-modelling-for-business-analysts/,https://img-c.udemycdn.com/course/240x135/2898026_1ecd_4.jpg,Peter Vliegenthart,BPMN 2.0 Business Process Modelling for Business Analysts,Become a BPMN 2.0 Expert in 1 day. With this practical hands-on course you will learn proper Business Process Modelling,4.4,843,All Levels,69 lectures,3 total hours,Current price: $54.99
visio,https://www.udemy.com/course/salesforcebusinessanalyst/,https://img-c.udemycdn.com/course/240x135/4746864_2973_4.jpg,"Rapid Reskill by Mike Wheeler, Evan Wheeler",The Complete Salesforce Certified Business Analyst Course,Salesforce Business Analyst Certification Exam - Earn Salesforce's Newest Certification and Learn Business Analysis,3.9,1823,All Levels,92 lectures,5 total hours,Current price: $89.99
