skill,link,image_link,partner,title,course_description,rating,num_review,difficulty,num_lecture,duration,price
windows server,https://www.udemy.com/course/windows-server-2022-administration-d/,https://img-c.udemycdn.com/course/240x135/5492214_5fb8.jpg,Kevin Brown,Windows Server 2022 Administration,"Managing Windows Server, Active Directory, Group Policy, DNS, DHCP, Print Server, File Server, and more.",4.6,3600,All Levels,242 lectures,24.5 total hours,Current price: $19.99
windows server,https://www.udemy.com/course/windows-server-2022-administration-course-lecture-and-sims/,https://img-c.udemycdn.com/course/240x135/4523028_74df_2.jpg,John Christopher,Windows Server 2022 administration course. Lecture and Sims,Learn how to expertly administer Windows Server 2022 with lecture and hands on simulations available 24/7,4.7,3182,All Levels,88 lectures,13 total hours,Current price: $74.99
windows server,https://www.udemy.com/course/master-how-to-install-a-windows-server-for-a-small-business/,https://img-c.udemycdn.com/course/240x135/786030_a9f7_3.jpg,Jonathan Edwards,Master How to Install a Windows Server for a Small Business,Watch over my shoulder and learn how to install a server for a small business from start to finish.,4.6,239,Intermediate,48 lectures,2.5 total hours,Current price: $49.99
windows server,https://www.udemy.com/course/complete-windows-server-2016-administration-course/,https://img-c.udemycdn.com/course/240x135/1680944_c58b_8.jpg,Imran Afzal,Complete Windows Server Administration Course,"Installation and configuration of Domain Controller, Active Directory, DNS, WebServer (IIS), Group Policy, WSUS and more",4.5,5220,All Levels,135 lectures,14.5 total hours,Current price: $119.99
windows server,https://www.udemy.com/course/hyper-v-on-windows-server-2022-and-windows-11/,https://img-c.udemycdn.com/course/240x135/6271115_760f.jpg,Kevin Brown,Hyper-V on Windows Server 2022 and Windows 11,Beginner to Expert,4.7,119,All Levels,85 lectures,7 total hours,Current price: $79.99
windows server,https://www.udemy.com/course/windows-server-2019-administration-h/,https://img-c.udemycdn.com/course/240x135/3448142_bdbc_4.jpg,Kevin Brown,Windows Server 2019 Administration,"Learn Active Directory, Group Policy, DNS, DHCP, Storage, Backup, Azure integration and More",4.5,10845,All Levels,214 lectures,21.5 total hours,Current price: $99.99
windows server,https://www.udemy.com/course/mastering-web-server-iis-85-from-scratch/,https://img-c.udemycdn.com/course/240x135/1316886_8f98_5.jpg,Hasan Aboul Hasan,Web Server IIS Mastery Course,Go from to Novice to Expert in Managing and Configuring Web server IIS under Windows Server,4.5,3564,All Levels,83 lectures,4.5 total hours,Current price: $79.99
windows server,https://www.udemy.com/course/windows-server-2016-administration-and-deployment/,https://img-c.udemycdn.com/course/240x135/1522272_d707_3.jpg,Kevin Brown,Windows Server 2016 Administration,"Windows Server 2016: Nano Server, Server Core, Active Directory, DNS, DHCP, Hyper-V, WDS,  WSUS, NLB and more.",4.5,7337,All Levels,107 lectures,10.5 total hours,Current price: $94.99
windows server,https://www.udemy.com/course/az-800-course-administering-windows-server-hybrid-core-inf/,https://img-c.udemycdn.com/course/240x135/4416534_fb9c_2.jpg,John Christopher,AZ-800 Course Administering Windows Server Hybrid Core Inf.,Get prepared for the AZ-800 exam with instructor led labs and hands on simulations available 24/7,4.8,3022,All Levels,156 lectures,21.5 total hours,Current price: $84.99
windows server,https://www.udemy.com/course/windows-server-2019-active-directory-and-group-policies-gpo/,https://img-c.udemycdn.com/course/240x135/2518702_647e_5.jpg,Denilson Bonatti,"Windows Server 2019: Active Directory, GPO, R. Server Access",Training For Beginners - Become a Network Administrator in Microsoft Windows Server 2019 with Remote Server Access!,4.4,5465,Beginner,92 lectures,6 total hours,Current price: $109.99
windows server,https://www.udemy.com/course/the-business-intelligence-analyst-course-2018/,https://img-c.udemycdn.com/course/240x135/1653432_3a57_3.jpg,"365 Careers, 365 Team",The Business Intelligence Analyst Course 2025,"The skills you need to become a BI Analyst - Statistics, Database theory, SQL, Tableau – Everything is included",4.6,47217,All Levels,467 lectures,23 total hours,Current price: $109.99
windows server,https://www.udemy.com/course/windows-server-2016-with-powershell-dns/,https://img-c.udemycdn.com/course/240x135/1132376_40c0_4.jpg,Vitalii Shumylo,Administration of Active Directory and Windows Server (2025),"Domain Controllers (DC), Global Catalog, FSMO, Groups, Users, Security, Domains and Forests ,Trusts, GPO, much more..",4.4,337,All Levels,664 lectures,72 total hours,Current price: $34.99
windows server,https://www.udemy.com/course/windows-server-2025/,https://img-c.udemycdn.com/course/240x135/5796262_ee3c.jpg,Vitalii Shumylo,Getting Started with Windows Server 2025,"Mastering Windows Server 2025: In-Depth Training on Installation, AD DS Functional Levels, Schema Management, and more",4.1,111,All Levels,9 lectures,,Current price: $19.99
windows server,https://www.udemy.com/course/learn-microsoft-windows-11/,https://img-c.udemycdn.com/course/240x135/4381416_ee68.jpg,Simon Sez IT,Learn Microsoft Windows 11: Comprehensive Windows 11 Course,"Learn the essential features of Windows 11, Microsoft’s latest OS release, with this 5-hour course from Simon Sez IT.",4.5,4402,Beginner,68 lectures,5.5 total hours,Current price: $84.99
windows server,https://www.udemy.com/course/windows-server-fundamentals/,https://img-c.udemycdn.com/course/240x135/6197529_7e70.jpg,Dan Mill,Practical Windows Server Fundamentals - Hands on Labs,Hands-On Training for Effective Windows Server Management. Mastering Essential Skills for Server Administration.,4.7,7,Beginner,59 lectures,5.5 total hours,Current price: $59.99
windows server,https://www.udemy.com/course/microsoft-windows-system-user-administration-fundamentals/,https://img-c.udemycdn.com/course/240x135/5724958_aa85_3.jpg,"James Bernstein, David Bernstein",Microsoft Windows System & User Administration Fundamentals,"Master Windows System Settings, Firewall, Command Line, Control Panel, User Management, Windows Networking, and More.",4.6,98,All Levels,74 lectures,6 total hours,Current price: $69.99
windows server,https://www.udemy.com/course/learn-wds-server-on-windows-server-2022/,https://img-c.udemycdn.com/course/240x135/4819376_8770.jpg,Pavan Kumar,Configure Windows Server 2022 Windows Deployment Services,Learn how to Install & configure Windows Deployment Services on Windows Server 2022 - Deploy Windows 11 and Server 2022,4.2,21,Intermediate,22 lectures,3.5 total hours,Current price: $64.99
windows server,https://www.udemy.com/course/introduction-to-windows-server-2016-for-beginners/,https://img-c.udemycdn.com/course/240x135/2323984_5fc9_3.jpg,"Alton Teaches LLC, Alton Hardin | 200,000+ Enrollments Worldwide",Introduction to Windows Server 2016 for Beginners,"Learn Windows Server 2016: Active Directory, DHCP, DNS, IIS, Group Policy, RDP, WSUS, FSRM, PowerShell, and Much More!",4.7,343,Beginner,79 lectures,8 total hours,Current price: $69.99
