skill,link,image_link,partner,title,course_description,rating,num_review,difficulty,num_lecture,duration,price
azure devops,https://www.udemy.com/course/azure-kubernetes-service-with-azure-devops-and-terraform/,https://img-c.udemycdn.com/course/240x135/3381074_e443_2.jpg,"Kalyan Reddy Daida | DevOps & SRE Architect on AWS, Azure & Google Cloud Platforms",Azure Kubernetes Service with Azure DevOps and Terraform,"Docker, AKS, Azure Disks, DevOps, Virtual Nodes, ACR, DNS Zones, Active Directory, Kubernetes RBAC, Ingress, Terraform",4.6,5480,All Levels,216 lectures,28 total hours,Current price: $109.99
azure devops,https://www.udemy.com/course/azure-solutions-architect-certification-the-ultimate-bundle/,https://img-c.udemycdn.com/course/240x135/5968986_98b9_2.jpg,Memi Lavi,Azure Solutions Architect Certification: The Ultimate Bundle,Become a certified Azure Architect! Learn to design and build modern cloud apps from a certified Azure Architect,4.6,332,Beginner,392 lectures,28 total hours,Current price: $19.99
azure devops,https://www.udemy.com/course/complete-azure-devops/,https://img-c.udemycdn.com/course/240x135/6234977_f070_2.jpg,Jakub Kozera,Comprehensive Azure DevOps course for everyone,Build a solid foundation in Azure DevOps and create an effective work environment for your development team,4.7,85,Beginner,50 lectures,6.5 total hours,Current price: $79.99
azure devops,https://www.udemy.com/course/azure-devops-for-beginners/,https://img-c.udemycdn.com/course/240x135/2591908_30cf_11.jpg,Brian Culp,Azure DevOps Fundamentals for Beginners,"Learn How to Plan, Manage, and Deploy Your Very First Azure DevOps Application Through Hands-On Demos and Use Cases!",4.5,43498,Intermediate,45 lectures,3.5 total hours,Current price: $119.99
azure devops,https://www.udemy.com/course/masterazuredevops/,https://img-c.udemycdn.com/course/240x135/6302027_0257_10.jpg,Mark Lee,Master the Art of Managing Projects with Azure DevOps,Learn How to Setup and Manage Projects with Azure DevOps with AI Integration for 2025!,4.6,24,All Levels,132 lectures,12 total hours,Current price: $74.99
azure devops,https://www.udemy.com/course/build-data-engineering-pipelines-with-azure-data-factory/,https://img-c.udemycdn.com/course/240x135/5114410_ff69_5.jpg,Malvik Vaghadia,Azure Data Factory | Data Engineering on Azure and Fabric,"Data Factory on Azure and Microsoft Fabric, Azure DevOps (CI/CD), Azure Data Lake, Azure SQL and more (DP-203, DP-600)",4.6,1733,All Levels,133 lectures,11 total hours,Current price: $59.99
azure devops,https://www.udemy.com/course/agile-management-using-azure-devops/,https://img-c.udemycdn.com/course/240x135/5514010_29ca_2.jpg,Charles Aylward,Agile Management using Azure DevOps,Learn how to be a Scrum Master using Azure Boards on Azure DevOps,4.3,187,Beginner,67 lectures,6.5 total hours,Current price: $69.99
azure devops,https://www.udemy.com/course/learn-azure-data-factory-from-scratch/,https://img-c.udemycdn.com/course/240x135/3685634_740c_6.jpg,Ramesh Retnasamy,Azure Data Factory For Data Engineers - Project on Covid19,"Real world project for Data Engineers using Azure Data Factory, SQL, Data Lake, Databricks, HDInsight, CI/CD [DP203]",4.6,15379,All Levels,146 lectures,13 total hours,Current price: $94.99
azure devops,https://www.udemy.com/course/azure-devops-for-project-managers-analyst/,https://img-c.udemycdn.com/course/240x135/2377792_4088_5.jpg,Patrick Videos,Azure DevOps Boards for Project Managers/Analysts/Developers,Microsoft Project Management tool Azure DevOps Boards. TFS / VSTS is now Azure DevOps.,4.5,26863,Beginner,10 lectures,1.5 total hours,Current price: $89.99
azure devops,https://www.udemy.com/course/cicd-in-azure-databricks-using-azure-devops/,https://img-c.udemycdn.com/course/240x135/5767020_e85b.jpg,Mr. K Talks Tech,CI/CD in Azure Databricks using Azure DevOps,Databricks and Azure DevOps- Master CI/CD deployment across two environments with ease in this straightforward course.,4.7,257,Beginner,8 lectures,2 total hours,Current price: $69.99
azure devops,https://www.udemy.com/course/devops-with-docker-kubernetes-and-azure-devops/,https://img-c.udemycdn.com/course/240x135/2813427_cc60_2.jpg,"in28Minutes Official, Ravi S | DevOps Expert - Docker & Kubernetes, Open Cloud Solutions | Microsoft Azure Certification - AZ 900, Ranga Karanam | GCP Certification - Google Cloud Engineer & Architect","Learn DevOps: Docker, Kubernetes, Terraform and Azure DevOps","DevOps for Absolute Beginners: Azure DevOps, Docker, Kubernetes, Jenkins, Terraform, Ansible - AWS, Azure & Google Cloud",4.5,15966,All Levels,235 lectures,21.5 total hours,Current price: $139.99
azure devops,https://www.udemy.com/course/cicd-pipelines-using-azure-devops/,https://img-c.udemycdn.com/course/240x135/3244560_b8b3_2.jpg,Charles Aylward,CI/CD Pipelines using Azure DevOps,Create end-to-end DevOps pipelines using the Azure DevOps Platform,4.5,5234,Intermediate,70 lectures,6.5 total hours,Current price: $69.99
azure devops,https://www.udemy.com/course/azure-devops-fundamental/,https://img-c.udemycdn.com/course/240x135/3514014_c9ee_6.jpg,Rahul Shetty,Azure Devops Crash Course -Build CI/CD release pipelines,"Step by step Tutorial to understand CI/CD pipelines ,Release activities, Docker, Code  Repos, Project Boards, in Azure",4.4,6542,All Levels,51 lectures,7 total hours,Current price: $94.99
azure devops,https://www.udemy.com/course/certification-course-in-azure-data-engineering/,https://img-c.udemycdn.com/course/240x135/6500707_5fef.jpg,Human and Emotion: CHRMI,Certification Course in Azure Data Engineering,"Learn SQL for Data Engineering, Data Warehousing, Data Lake, Data Factory, Databricks, PySpark, Snowflakes and DevOps",4.8,13,,Expert,14.5 total hours,Current price: $54.99
azure devops,https://www.udemy.com/course/microsoft-azure-from-zero-to-hero-the-complete-guide/,https://img-c.udemycdn.com/course/240x135/3651110_df59.jpg,Memi Lavi,Microsoft Azure: From Zero to Hero - The Complete Guide,Become an Azure Expert! Learn to design and build modern cloud apps from a certified Azure Architect,4.6,19205,Beginner,286 lectures,21 total hours,Current price: $99.99
azure devops,https://www.udemy.com/course/azdevops/,https://img-c.udemycdn.com/course/240x135/3388278_aebc_2.jpg,Divyanshu Mehta,"Azure DevOps Bootcamp: Zero to Hero (Pipelines,Boards,Repos)",Master Azure DevOps with Comprehensive Course with Practice Tests to Pass AZ-400 Exam.,4.4,576,All Levels,149 lectures,15 total hours,Current price: $79.99
azure devops,https://www.udemy.com/course/terraform-on-azure-with-iac-azure-devops-sre-real-world-25-demos/,https://img-c.udemycdn.com/course/240x135/4061318_8089_2.jpg,"Kalyan Reddy Daida | DevOps & SRE Architect on AWS, Azure & Google Cloud Platforms",Terraform on Azure with IaC DevOps SRE | Real-World 25 Demos,"Load Balancer, Application Gateway, Traffic Manager, VM, VMSS, Azure DevOps, MySQL Server, DNS Zones, IaC, NAT Gateway",4.6,1663,All Levels,195 lectures,30.5 total hours,Current price: $84.99
azure devops,https://www.udemy.com/course/the-complete-devops-bootcamp/,https://img-c.udemycdn.com/course/240x135/4347106_9cfa.jpg,"Mumshad Mannambeth, KodeKloud Training",The Ultimate DevOps Bootcamp,The ultimate DevOps Bootcamp course for all your DevOps learning,4.6,6636,Beginner,281 lectures,17.5 total hours,Current price: $99.99
azure devops,https://www.udemy.com/course/azure-data-factory-data-engineer-real-time-projects/,https://img-c.udemycdn.com/course/240x135/4910374_507c_2.jpg,"Atchyut Kumar, Edufulness EFN",Masterclass on Azure Data Factory - Data Engineer for 2024,"Learn ETL & Big Data Processing - Azure Data Factory(ADF), SQL Server, Blob, Datalake, REST API, PySpark, Databricks",4.4,644,All Levels,69 lectures,17 total hours,Current price: $69.99
azure devops,https://www.udemy.com/course/devsecops-with-azure-devops/,https://img-c.udemycdn.com/course/240x135/4816326_37f2_2.jpg,"A Security Guru, Raghu The Security Expert",DevSecOps with Azure DevOps: Secure CI/CD with Azure DevOps,"This course helps to implement DevSecOps in Azure DevOps and integrate SAST, SCA & DAST security tools in CI/CD Pipeline",4.5,634,Beginner,40 lectures,3.5 total hours,Current price: $79.99
