skill,link,image_link,partner,title,course_description,rating,num_review,difficulty,num_lecture,duration,price
json,https://www.udemy.com/course/the-ultimate-json-with-python-course-jsonschema-jsonpath/,https://img-c.udemycdn.com/course/240x135/5831312_4c56_2.jpg,Andy Bek,The Ultimate JSON With Python Course + JSONSchema & JSONPath,"Master JSON with Python: Learn to parse, generate, manipulate, validate, query, and compare JSON documents in Python",4.7,58,All Levels,41 lectures,4.5 total hours,Current price: $79.99
json,https://www.udemy.com/course/master-json-using-python/,https://img-c.udemycdn.com/course/240x135/5173778_b57d_5.jpg,Jayden Rasband,Master JSON Using Python,The Data Engineer's Complete Guide to Working with JSON Data in Python (Beginner to Pro),4.2,174,Beginner,23 lectures,1.5 total hours,Current price: $64.99
json,https://www.udemy.com/course/jq-command-tutorials-to-parse-json-data/,https://img-c.udemycdn.com/course/240x135/5456594_1cd2_7.jpg,VR Technologies,Beginners Course:  Jq Command Tutorials to Parse JSON Data,"Learn How to Parse JSON Data With Jq Command;  Read, Write & Modify the JSON Data with Filters, Conditions & Functions",4.4,98,Beginner,44 lectures,3 total hours,Current price: $64.99
json,https://www.udemy.com/course/data-architecture-for-data-engineers/,https://img-c.udemycdn.com/course/240x135/6268045_b022.jpg,Manas Jain,Data Architecture for Data Engineers: Practical Approaches,"Building Scalable, Efficient Data Solutions with Real-World Applications",4.5,119,All Levels,41 lectures,4 total hours,Current price: $69.99
json,https://www.udemy.com/course/json-training-a-javascript-object-notation-course/,https://img-c.udemycdn.com/course/240x135/200824_a678_23.jpg,Marie Taylor,Introduction to JavaScript Object Notation (JSON),,4.5,994,All Levels,20 lectures,1.5 total hours,Current price: $69.99
json,https://www.udemy.com/course/introduction-to-json-javascript-object-notation-tutorial/,https://img-c.udemycdn.com/course/240x135/570416_fa18_5.jpg,Laurence Svekis,JSON Coding JSON data with JavaScript Objects Course,Learn how to use JSON the leading language-independent data format on the web  Human-readable text to transmit data APIs,4.1,93,All Levels,33 lectures,1.5 total hours,Current price: $39.99
json,https://www.udemy.com/course/the-data-analyst-course-complete-data-analyst-bootcamp/,https://img-c.udemycdn.com/course/240x135/3570337_9b02_6.jpg,365 Careers,The Data Analyst Course: Complete Data Analyst Bootcamp,"Complete Data Analyst Training: Python, NumPy, Pandas, Data Collection, Preprocessing, Data Types, Data Visualization",4.5,21135,All Levels,282 lectures,21.5 total hours,Current price: $149.99
json,https://www.udemy.com/course/ajax-javascript-json/,https://img-c.udemycdn.com/course/240x135/2661554_1b95_3.jpg,Laurence Svekis,Web APIs JavaScript Fetch getting JSON data Fun with APIs,Explore how to connect to various web APIs using JavaScript fetch.  Use the returned data JSON data within you Code.,4.4,142,All Levels,65 lectures,6.5 total hours,Current price: $74.99
json,https://www.udemy.com/course/ajax-api-json/,https://img-c.udemycdn.com/course/240x135/2786276_5196.jpg,Laurence Svekis,AJAX API JSON Connect to JSON data using AJAX webpage,JavaScript for beginners JavaScript Objects and JSON data for web pages AJAX request for JSON data to use in JavaScript,4.3,57,All Levels,39 lectures,1.5 total hours,Current price: $54.99
json,https://www.udemy.com/course/json-for-beginners-a-very-basic-introduction/,https://img-c.udemycdn.com/course/240x135/688874_d07e_2.jpg,Bluelime Learning Solutions,JSON For Beginners: A Very Basic Introduction,Learn the very basics of JSON and how it create it's own Objects and Arrays to display data,3.9,127,Beginner,9 lectures,,Current price: $39.99
json,https://www.udemy.com/course/data-architecture-for-data-scientists/,https://img-c.udemycdn.com/course/240x135/5295982_ca3c_3.jpg,Biju Krishnan,Data Architecture for Data Scientists,"Datawarehouse, Data Lake, Data Lakehouse, Data Mesh, Kafka, Lambda & Kappa architecture, Feature Store, Vector DB & more",4.6,849,Intermediate,37 lectures,2.5 total hours,Current price: $69.99
json,https://www.udemy.com/course/json-in-action/,https://img-c.udemycdn.com/course/240x135/661774_f878_2.jpg,Crypters Infotech,JSON in Action: Build JSON-Based Applications,Learn JSON from Scratch! Learn JavaScript Object Notation (JSON) to Build API-Based Apps! Develop 2 JSON-Based Projects,4.4,739,All Levels,41 lectures,4.5 total hours,Current price: $59.99
json,https://www.udemy.com/course/learn-azure-data-factory-from-scratch/,https://img-c.udemycdn.com/course/240x135/3685634_740c_6.jpg,Ramesh Retnasamy,Azure Data Factory For Data Engineers - Project on Covid19,"Real world project for Data Engineers using Azure Data Factory, SQL, Data Lake, Databricks, HDInsight, CI/CD [DP203]",4.6,15379,All Levels,146 lectures,13 total hours,Current price: $94.99
json,https://www.udemy.com/course/aws-certified-solutions-architect-associate-saa-c03/,https://img-c.udemycdn.com/course/240x135/2196488_8fc7_10.jpg,"Stephane Maarek | AWS Certified Cloud Practitioner,Solutions Architect,Developer",Ultimate AWS Certified Solutions Architect Associate 2025,Full Practice Exam | Learn Cloud Computing | Pass the AWS Certified Solutions Architect Associate Certification SAA-C03!,4.7,253574,All Levels,398 lectures,27.5 total hours,Current price: $119.99
json,https://www.udemy.com/course/aws-data-engineer/,https://img-c.udemycdn.com/course/240x135/5591620_4e46_2.jpg,"Sundog Education by Frank Kane, Frank Kane, Stephane Maarek | AWS Certified Cloud Practitioner,Solutions Architect,Developer",AWS Certified Data Engineer Associate 2025 - Hands On!,"AWS DEA-C01 certification prep course with exercises and a full-length practice exam. Redshift, Glue, Athena, and more",4.6,7915,Intermediate,289 lectures,22 total hours,Current price: $94.99
json,https://www.udemy.com/course/api-documentation-1-json-and-xml/,https://img-c.udemycdn.com/course/240x135/374222_0afa_4.jpg,Peter Gruenbaum,Learn API Technical Writing: JSON and XML for Writers,API Documentation 1: Teaches technical writers how to document structured data. No programming experience required.,4.5,12704,Beginner,16 lectures,1.5 total hours,Current price: $94.99
json,https://www.udemy.com/course/dynamodb-data-modeling/,https://img-c.udemycdn.com/course/240x135/5152646_e3f8_8.jpg,Rajeev Sakhuja,Amazon DynamoDB Data Modeling for Architects & Developers,"Proven design patterns. best practices, tips on saving costs and more",4.6,321,All Levels,71 lectures,6.5 total hours,Current price: $54.99
json,https://www.udemy.com/course/the-data-science-course-complete-data-science-bootcamp/,https://img-c.udemycdn.com/course/240x135/1754098_e0df_3.jpg,365 Careers,The Data Science Course: Complete Data Science Bootcamp 2025,"Complete Data Science Training: Math, Statistics, Python, Advanced Statistics in Python, Machine and Deep Learning",4.6,151551,All Levels,523 lectures,32 total hours,Current price: $124.99
json,https://www.udemy.com/course/projects-with-json-and-apis/,https://img-c.udemycdn.com/course/240x135/1030440_b50f.jpg,Komar Academy,Projects with JSON and APIs,Learn how to access JSON data through APIs and then manipulate the data in your application.,4.3,144,All Levels,28 lectures,2 total hours,Current price: $34.99
json,https://www.udemy.com/course/json-in-snowflake/,https://img-c.udemycdn.com/course/240x135/5812884_15e0.jpg,Cristian Scutaru,JSON in Snowflake Masterclass Hands-On,Learn all you need about semi-structured JSON data in Snowflake,4.8,3,All Levels,60 lectures,12.5 total hours,Current price: $19.99
