skill,link,image_link,partner,title,course_description,rating,num_review,difficulty,num_lecture,duration,price
jsp,https://www.udemy.com/course/jsp-tutorial/,https://img-c.udemycdn.com/course/240x135/618736_237d_5.jpg,Chad Darby,"JSP, Servlets and JDBC for Beginners: Build a Database App",JSP: Covers JSP 2.3 and Servlets 3.1 - Most Popular JSP/Servlet course,4.5,12226,All Levels,117 lectures,9 total hours,Current price: $94.99
jsp,https://www.udemy.com/course/salesforce-certified-data-architect-course/,https://img-c.udemycdn.com/course/240x135/4480780_cb46_2.jpg,Walid El Horr,Salesforce Data Architect Course,"Get your Salesforce Data Architect certification with this course, aligned with the Spring 23 exam guide objectives",4.5,435,Intermediate,68 lectures,10 total hours,Current price: $59.99
jsp,https://www.udemy.com/course/jsp-java-server-pages-training/,https://img-c.udemycdn.com/course/240x135/3427106_c1b2_3.jpg,Uplatz Training,JSP (JavaServer Pages) Complete Certification Training,Become a Full Stack Web Developer. Learn core concepts of JSP and build interactive & complex web applications using JSP,4.5,89,All Levels,44 lectures,15.5 total hours,Current price: $49.99
jsp,https://www.udemy.com/course/full-stack-java-developer-java/,https://img-c.udemycdn.com/course/240x135/1993718_b47a_4.jpg,"StudyEasy Organization, Chand Sheikh",FULL STACK JAVA DEV: JAVA + JSP + SPRING + BOOT + JS + REACT,"Full Stack Java, JSP, Hibernate, Spring, Web-services/RestFul  API, Spring boot, JavaScript, React, FREE 6-month IDE.",4.4,11808,All Levels,716 lectures,84.5 total hours,Current price: $139.99
jsp,https://www.udemy.com/course/jsp-and-servlets-for-beginners/,https://img-c.udemycdn.com/course/240x135/1214158_60d2_3.jpg,Bushan Sirgur,JSP and Servlets for Beginners,Become a Pro in JSP and Servlet | Build a fully fledged Database application,4.3,1326,All Levels,74 lectures,6 total hours,Current price: $54.99
jsp,https://www.udemy.com/course/jdbcservletsandjsp/,https://img-c.udemycdn.com/course/240x135/603778_9ad3_5.jpg,Bharath Thippireddy,JDBC Servlets and JSP - Java Web Development Fundamentals,Create Java Web Applications from scratch in easy steps,4.5,5936,All Levels,205 lectures,9 total hours,Current price: $79.99
jsp,https://www.udemy.com/course/data-architecture-for-data-engineers/,https://img-c.udemycdn.com/course/240x135/6268045_b022.jpg,Manas Jain,Data Architecture for Data Engineers: Practical Approaches,"Building Scalable, Efficient Data Solutions with Real-World Applications",4.5,119,All Levels,41 lectures,4 total hours,Current price: $69.99
jsp,https://www.udemy.com/course/advanced-java-jdbcservletsjspjstl-for-web-development/,https://img-c.udemycdn.com/course/240x135/4025472_63f6.jpg,DURGASOFT NAGOOR BABU,"Advanced Java ( JDBC,SERVLETS,JSP,JSTL ) For Web Development",Direct Class Room Videos to get complete knowledge on Advanced Java,4.6,232,All Levels,447 lectures,90.5 total hours,Current price: $64.99
jsp,https://www.udemy.com/course/jsp-servlet-free-course/,https://img-c.udemycdn.com/course/240x135/895138_5af8_8.jpg,"StudyEasy Organization, Chand Sheikh","JSP, Servlet, JSLT + Hibernate: A complete guide",A JSP (Java server pages) + Servlet + Hibernate: Quick course,4.6,3289,Intermediate,144 lectures,13 total hours,Current price: $84.99
jsp,https://www.udemy.com/course/the-data-analyst-course-complete-data-analyst-bootcamp/,https://img-c.udemycdn.com/course/240x135/3570337_9b02_6.jpg,365 Careers,The Data Analyst Course: Complete Data Analyst Bootcamp,"Complete Data Analyst Training: Python, NumPy, Pandas, Data Collection, Preprocessing, Data Types, Data Visualization",4.5,21135,All Levels,282 lectures,21.5 total hours,Current price: $149.99
