skill,link,image_link,partner,title,course_description,rating,num_review,difficulty,num_lecture,duration,price
problem solving,https://www.udemy.com/course/problem-solving-masterclass/,https://img-c.udemycdn.com/course/240x135/5187712_f6f4_2.jpg,Salil Dhawan,Problem Solving Masterclass - Guide To Problem Solving Skill,"Problem Solving Skill | Decision Making | Critical, Logical, Analytical, Strategic Thinking | Creative Problem Solving",4.3,2147,All Levels,42 lectures,4.5 total hours,Current price: $59.99
problem solving,https://www.udemy.com/course/problemsolvingtoolbox/,https://img-c.udemycdn.com/course/240x135/5336728_a421.jpg,Michael Parent,The Complete Problem Solving Toolbox Course,A Step by Step Guide to Problem Solving High-Powered Problem Solving Tools,4.2,15,All Levels,45 lectures,7 total hours,Current price: $64.99
problem solving,https://www.udemy.com/course/problem-solving-the-complete-guide/,https://img-c.udemycdn.com/course/240x135/4651438_3d08_2.jpg,Jamal Lazaar,Problem Solving: The Complete Guide,How to solve problems in an efficient and innovative way. Critical & Design thinking. Pareto. Mindmap. 6 thinking hats.,4.5,9286,All Levels,34 lectures,1.5 total hours,Current price: $84.99
problem solving,https://www.udemy.com/course/consulting-approach-to-problem-solving/,https://img-c.udemycdn.com/course/240x135/1037646_193c_22.jpg,Piotr Gawlicki,Consulting Approach to Problem Solving,Solving business problems and business cases using hypothesis-based problem solving - method of top consulting firms,4.4,38857,All Levels,18 lectures,1.5 total hours,Current price: $79.99
problem solving,https://www.udemy.com/course/root-cause-analysis-rca-capa-8d-training/,https://img-c.udemycdn.com/course/240x135/3614740_4f5e_9.jpg,"Sandeep Kumar, ­ Quality Gurus Inc.",Root Cause Analysis and the 8D Problem Solving Bootcamp,(Accredited) - Four RCA approaches for permanent and effective corrective actions | Get 8 PMI PDUs / SHRM PDCs / CPDs,4.6,1526,All Levels,94 lectures,8.5 total hours,Current price: $84.99
problem solving,https://www.udemy.com/course/decision-making-with-problem-solving-critical-thinking/,https://img-c.udemycdn.com/course/240x135/5128736_dac3.jpg,Diogo Alves de Resende,Decision Making with Problem Solving & Critical Thinking,Leveraging the Power of Critical and Strategic Thinking for Better Problem Solving and Effective Decision Making,4.6,1223,Beginner,47 lectures,3 total hours,Current price: $54.99
problem solving,https://www.udemy.com/course/optimization-with-python-linear-nonlinear-and-cplex-gurobi/,https://img-c.udemycdn.com/course/240x135/3957970_a8df_5.jpg,Rafael Silva Pinto,Optimization with Python: Solve Operations Research Problems,"Solve optimization problems with CPLEX, Gurobi, Pyomo... using linear programming, nonlinear, evolutionary algorithms...",4.5,1708,All Levels,104 lectures,13 total hours,Current price: $84.99
problem solving,https://www.udemy.com/course/the-data-analyst-course-complete-data-analyst-bootcamp/,https://img-c.udemycdn.com/course/240x135/3570337_9b02_6.jpg,365 Careers,The Data Analyst Course: Complete Data Analyst Bootcamp,"Complete Data Analyst Training: Python, NumPy, Pandas, Data Collection, Preprocessing, Data Types, Data Visualization",4.5,21135,All Levels,282 lectures,21.5 total hours,Current price: $149.99
problem solving,https://www.udemy.com/course/critical-thinking-plus-problem-solving/,https://img-c.udemycdn.com/course/240x135/4889940_7f3e_20.jpg,Alex Genadinik,Critical Thinking Skills & Problem Solving Brilliance,Creative problem solving skills and methods | Critical thinking skills to improve logical reasoning and decision making,4.4,1427,Beginner,98 lectures,6 total hours,Current price: $49.99
problem solving,https://www.udemy.com/course/effective-problem-solving-and-decision-making/,https://img-c.udemycdn.com/course/240x135/684890_35b1_4.jpg,Robin Hills,Decision Making: Solve Problems with Emotional Intelligence,Master Effective Decision Making using Emotional Intelligence | Enhancing Problem Solving and Critical Thinking Skills,4.5,15165,Intermediate,73 lectures,4.5 total hours,Current price: $89.99
problem solving,https://www.udemy.com/course/mastering-problem-solving-critical-thinking-skills/,https://img-c.udemycdn.com/course/240x135/6080981_b86d_3.jpg,Sabat Consulting,Lean Problem Solving: Creative Solutions for Teams & Leaders,"Become a Problem-Solving Expert: Lean, Creative Thinking, and Decision Making",4.8,119,All Levels,15 lectures,2.5 total hours,Current price: $49.99
problem solving,https://www.udemy.com/course/learn-sql-for-data-analysis-solving-real-world-problems/,https://img-c.udemycdn.com/course/240x135/5777432_f3ee_3.jpg,Faizan Arshad,Learn SQL for Data Analysis : Solving Real World Problems,"In this SQL course, you’ll learn how to work with data as a data analyst using different SQL commands",4.0,28,Beginner,10 lectures,1.5 total hours,Current price: $19.99
