skill,link,image_link,partner,title,course_description,rating,num_review,difficulty,num_lecture,duration,price
r,https://www.udemy.com/course/r-programming/,https://img-c.udemycdn.com/course/240x135/765242_2578_6.jpg,"Kirill Eremenko, SuperDataScience Team, Ligency Team",R Programming A-Z™: R For Data Science With Real Exercises!,"Learn Programming In R And R Studio. Data Analytics, Data Science, Statistical Analysis, Packages, Functions, GGPlot2",4.5,55636,All Levels,79 lectures,10.5 total hours,Current price: $109.99
r,https://www.udemy.com/course/data-science-and-machine-learning-bootcamp-with-r/,https://img-c.udemycdn.com/course/240x135/821726_8071.jpg,"Jose Portilla, Pierian Training",Data Science and Machine Learning Bootcamp with R,Learn how to use the R programming language for data science and machine learning and data visualization!,4.6,17410,All Levels,128 lectures,18 total hours,Current price: $99.99
r,https://www.udemy.com/course/r-ultimate-learn-r-for-data-science-and-machine-learning/,https://img-c.udemycdn.com/course/240x135/3372022_fb97_3.jpg,Bert Gollnick,R Ultimate 2024: R for Data Science and Machine Learning,"R Basics, Data Science, Statistical Machine Learning models, Deep Learning, Shiny and much more (All R code included)",4.6,365,All Levels,204 lectures,22.5 total hours,Current price: $74.99
r,https://www.udemy.com/course/r-analytics/,https://img-c.udemycdn.com/course/240x135/860148_4f31_7.jpg,"Kirill Eremenko, SuperDataScience Team, Ligency Team",R Programming: Advanced Analytics In R For Data Science,"Take Your R & R Studio Skills To The Next Level. Data Analytics, Data Science, Statistical Analysis in Business, GGPlot2",4.7,9053,Intermediate,53 lectures,6 total hours,Current price: $109.99
r,https://www.udemy.com/course/data-science-with-r-tidyverse/,https://img-c.udemycdn.com/course/240x135/4231900_d05e_2.jpg,Marko Intihar,Data science with R: tidyverse,"R Programming Language, Data Analysis, Data Cleaning, Data Science, Data Wrangling, tidyverse, dplyr, ggplot2, RStudio",4.4,630,All Levels,204 lectures,31 total hours,Current price: $79.99
r,https://www.udemy.com/course/learn-ggplot2-in-r-for-data-viz/,https://img-c.udemycdn.com/course/240x135/4095378_8f0e_9.jpg,"Clara Granell, PhD",Learn ggplot2 in R for Data Visualization,"Data Visualization is essential for data analysis and data science, so become an expert in ggplot from scratch!",4.7,775,All Levels,90 lectures,10.5 total hours,Current price: $84.99
r,https://www.udemy.com/course/r-programming-for-statistics-and-data-science/,https://img-c.udemycdn.com/course/240x135/1562640_6c9c_5.jpg,"365 Careers, 365 Simona (The 365 Team)",R Programming for Statistics and Data Science,R Programming for Data Science & Data Analysis. Applying R for Statistics and Data Visualization with GGplot2 in R,4.5,5447,All Levels,126 lectures,6.5 total hours,Current price: $79.99
r,https://www.udemy.com/course/statistics-using-r/,https://img-c.udemycdn.com/course/240x135/1320528_d85b_9.jpg,"Sandeep Kumar, ­ Quality Gurus Inc.",Statistics for Data Analysis Using R,"Learn Programming in R & R Studio • Descriptive, Inferential Statistics • Plots for Data Visualization • Data Science",4.5,2437,All Levels,111 lectures,12.5 total hours,Current price: $74.99
r,https://www.udemy.com/course/r-for-absolute-beginners/,https://img-c.udemycdn.com/course/240x135/2700614_1e75_8.jpg,Ivo Bernardo,R Programming - R Language for Absolute Beginners,"R Programming course suitable for everyone, no coding experience or a statistics background needed",4.5,2996,Beginner,112 lectures,10.5 total hours,Current price: $84.99
r,https://www.udemy.com/course/python-data-science-with-r-python-r-programming/,https://img-c.udemycdn.com/course/240x135/5293466_b5ef.jpg,"Oak Academy, OAK Academy Team, Ali̇ CAVDAR",Python & Data Science with R | Python & R Programming,R Programming Language & Python Programming for Data Science & Data Analytics all in one from scratch with real projects,4.6,43,All Levels,236 lectures,32 total hours,Current price: $64.99
r,https://www.udemy.com/course/the-data-analyst-course-complete-data-analyst-bootcamp/,https://img-c.udemycdn.com/course/240x135/3570337_9b02_6.jpg,365 Careers,The Data Analyst Course: Complete Data Analyst Bootcamp,"Complete Data Analyst Training: Python, NumPy, Pandas, Data Collection, Preprocessing, Data Types, Data Visualization",4.5,21135,All Levels,282 lectures,21.5 total hours,Current price: $149.99
r,https://www.udemy.com/course/data-cleaning-in-r-tidyverse/,https://img-c.udemycdn.com/course/240x135/1840658_36a9.jpg,R-Tutorials Training,Cleaning Data In R with Tidyverse and Data.table,"Get your data ready for analysis with R packages tidyverse, dplyr, data.table, tidyr and more",4.6,603,All Levels,37 lectures,4 total hours,Current price: $59.99
r,https://www.udemy.com/course/nonprofit-data-analysis-using-r/,https://img-c.udemycdn.com/course/240x135/6044402_ee7a_3.jpg,"Wesley Furlong, Ph.D.",R for Data Analysis: The Ultimate Beginner's Guide,"An 80-20 Approach to Proficiency for Beginners, taught by a Ph.D. Data Scientist",4.9,21,Beginner,70 lectures,8 total hours,Current price: $84.99
r,https://www.udemy.com/course/r-for-data-analysts/,https://img-c.udemycdn.com/course/240x135/5803580_5b95_6.jpg,Taesun Yoo,R Programming for Data Analysis: Ultimate Guide,"Complete R Programming for Data Analysis, Data Cleaning, Data Visualization and Solve Business Problems",4.5,18,Beginner,109 lectures,11.5 total hours,Current price: $64.99
r,https://www.udemy.com/course/master-r/,https://img-c.udemycdn.com/course/240x135/5503570_cbf7_2.jpg,Brian Greco,Master R for Statistics and Data Science,"A former Google data scientist teaches you R starting with the basics, and learning common tools for data science.",4.6,16,All Levels,97 lectures,6 total hours,Current price: $84.99
r,https://www.udemy.com/course/the-data-science-course-complete-data-science-bootcamp/,https://img-c.udemycdn.com/course/240x135/1754098_e0df_3.jpg,365 Careers,The Data Science Course: Complete Data Science Bootcamp 2025,"Complete Data Science Training: Math, Statistics, Python, Advanced Statistics in Python, Machine and Deep Learning",4.6,151551,All Levels,523 lectures,32 total hours,Current price: $124.99
r,https://www.udemy.com/course/r-graphics-data-visualization/,https://img-c.udemycdn.com/course/240x135/5155560_4678.jpg,hi- mathstats,Graphics in R: Data Visualization and Data Analysis with R,"Advance your data visualization skills using r packages. Master ggplot2, lattice, interactive plots with ggvis package",4.7,8,All Levels,166 lectures,13.5 total hours,Current price: $69.99
r,https://www.udemy.com/course/full-stack-data-science-r-and-python/,https://img-c.udemycdn.com/course/240x135/3519920_e45f_8.jpg,"Oak Academy, OAK Academy Team",Data Science with R and Python | R Programming,"Python and R programming! Learn data science with R & Python with all in one course. You'll learn NumPy, Pandas and more",4.5,158,All Levels,167 lectures,23.5 total hours,Current price: $69.99
r,https://www.udemy.com/course/data-visualization-with-r/,https://img-c.udemycdn.com/course/240x135/1467280_b74d_4.jpg,Arpan Gupta,R Programming for Data Analysis & Data Visualization,Developed  by Data Scientist / IITian  for Beginners . Complete Guide for Data Visualization & Data Analysis  in R,4.1,46,All Levels,32 lectures,4 total hours,Current price: $44.99
r,https://www.udemy.com/course/data-visualization-with-r-and-ggplot2/,https://img-c.udemycdn.com/course/240x135/2920394_1759_2.jpg,Marko Intihar,Data Visualization with R and ggplot2,"R Programming Language for Data Visualization. GGplot2, Data Analysis, Data Preparation, Data Sciene Tools, RStudio",4.4,269,All Levels,110 lectures,20.5 total hours,Current price: $64.99
