skill,link,image_link,partner,title,course_description,rating,num_review,difficulty,num_lecture,duration,price
typescript,https://www.udemy.com/course/understanding-typescript/,https://img-c.udemycdn.com/course/240x135/947098_02ec_2.jpg,Maximilian Schwarzmüller,Understanding TypeScript,"Boost your JavaScript projects with TypeScript: Learn all about core types, generics, TypeScript + React or Node & more!",4.7,54891,All Levels,338 lectures,22.5 total hours,Current price: $109.99
typescript,https://www.udemy.com/course/learn-typescript/,https://img-c.udemycdn.com/course/240x135/4724938_ab3d_3.jpg,Colt Steele,Mastering TypeScript - 2025 Edition,Learn the world's fastest growing programming language from scratch. Includes Webpack & React!,4.7,5357,Beginner,145 lectures,11 total hours,Current price: $94.99
typescript,https://www.udemy.com/course/typescript-the-complete-developers-guide/,https://img-c.udemycdn.com/course/240x135/2337318_abfd_5.jpg,Stephen Grider,Typescript: The Complete Developer's Guide,Master Typescript by learning popular design patterns and building complex projects.  Includes React and Express!,4.6,13609,All Levels,336 lectures,27.5 total hours,Current price: $99.99
typescript,https://www.udemy.com/course/advanced-typescript-bible/,https://img-c.udemycdn.com/course/240x135/5950028_bef6_2.jpg,CodeLicks Academy,Advanced TypeScript - A Production-grade TypeScript Course,Become the TypeScript guru at your company with this comprehensive production-grade advanced TypeScript course.,4.4,147,,Expert,10 total hours,Current price: $84.99
typescript,https://www.udemy.com/course/practical-typescript/,https://img-c.udemycdn.com/course/240x135/5834666_b9cf_4.jpg,John Smilga,Practical Typescript,"Unleash the Power of TypeScript: Dive into Type Annotations, Generics, React Integration, and Build Modern Apps",4.8,229,Beginner,216 lectures,20 total hours,Current price: $94.99
typescript,https://www.udemy.com/course/react-typescript-the-practical-guide/,https://img-c.udemycdn.com/course/240x135/5620946_7c11.jpg,"Academind by Maximilian Schwarzmüller, Maximilian Schwarzmüller",React & TypeScript - The Practical Guide,"Build type-safe React apps & use TypeScript to enhance your components, state management, Redux & side effects code.",4.7,3017,Intermediate,102 lectures,7.5 total hours,Current price: $89.99
typescript,https://www.udemy.com/course/typescript-for-professionals/,https://img-c.udemycdn.com/course/240x135/3387966_7b82_2.jpg,Basarat Ali Syed,TypeScript for Professionals - by Basarat,Learn all about the TypeScript type system - taught by a Microsoft MVP,4.7,4020,Beginner,75 lectures,3.5 total hours,Current price: $64.99
typescript,https://www.udemy.com/course/typescript-course/,https://img-c.udemycdn.com/course/240x135/4418914_9e62_12.jpg,Manik (Cloudaffle),TypeScript Masterclass 2025 Edition - React + NodeJS Project,"TypeScript V5 Updated Course - Full Stack Development, TypeScript with ReactJS, ShadcnUI, Node.js, Express and MongoDB.",4.4,994,All Levels,397 lectures,37 total hours,Current price: $84.99
typescript,https://www.udemy.com/course/data-architecture-for-data-engineers/,https://img-c.udemycdn.com/course/240x135/6268045_b022.jpg,Manas Jain,Data Architecture for Data Engineers: Practical Approaches,"Building Scalable, Efficient Data Solutions with Real-World Applications",4.5,119,All Levels,41 lectures,4 total hours,Current price: $69.99
typescript,https://www.udemy.com/course/design-patterns-using-typescript/,https://img-c.udemycdn.com/course/240x135/5517248_5d7d_8.jpg,Manik (Cloudaffle),TypeScript Design Patterns And SOLID Principles,"Complete Guide to Gang Of Four Design Patterns, SOLID Principles and Object Oriented Programming Using TypeScript.",4.6,435,All Levels,145 lectures,17 total hours,Current price: $19.99
