skill,link,image_link,partner,title,course_description,rating,num_review,difficulty,num_lecture,duration,price
data analysis,https://www.udemy.com/course/python-numpy-data-analysis-for-data-scientist-ai-ml-dl/,https://img-c.udemycdn.com/course/240x135/5291048_dbec_4.jpg,"Faisal Zamir, Jafri Code, Pro Python Support",Python Numpy Data Analysis for Data Scientist | AI | ML | DL,"Unlock the Power of Data Analysis with Python Pandas for Data Science, AI, Machine Learning, and Deep Learning",4.4,214.0,All Levels,92 lectures,8 total hours,Current price: $27.99
data analysis,https://www.udemy.com/course/the-data-analyst-course-complete-data-analyst-bootcamp/,https://img-c.udemycdn.com/course/240x135/3570337_9b02_6.jpg,365 Careers,The Data Analyst Course: Complete Data Analyst Bootcamp,"Complete Data Analyst Training: Python, NumPy, Pandas, Data Collection, Preprocessing, Data Types, Data Visualization",4.5,21135.0,All Levels,282 lectures,21.5 total hours,Current price: $149.99
data analysis,https://www.udemy.com/course/the-data-science-course-complete-data-science-bootcamp/,https://img-c.udemycdn.com/course/240x135/1754098_e0df_3.jpg,365 Careers,The Data Science Course: Complete Data Science Bootcamp 2025,"Complete Data Science Training: Math, Statistics, Python, Advanced Statistics in Python, Machine and Deep Learning",4.6,151551.0,All Levels,523 lectures,32 total hours,Current price: $124.99
data analysis,https://www.udemy.com/course/top-data-scientist/,https://img-c.udemycdn.com/course/240x135/5961214_0e9b_3.jpg,Nancy Ticharwa (CEO Bethel Labs),The Top Data Scientist ™ BootCamp,Python | SQL | Machine Learning | Deep Learning | ChatGPT | Natural Language Processing | Computer Vision | 20+ Projects,4.3,43.0,All Levels,433 lectures,38 total hours,Current price: $49.99
data analysis,https://www.udemy.com/course/learn-python-for-data-science-for-complete-beginners/,https://img-c.udemycdn.com/course/240x135/5023430_0c66_2.jpg,Fahad Masood Reda,Learn Python for Data Science & Data Analysis (Part 1),Master Python from Scratch to become a Professional Data Scientist - Data Analyst and Machine Learning Engineer,5.0,2.0,Beginner,234 lectures,12 total hours,Current price: $19.99
data analysis,https://www.udemy.com/course/python-pandas/,https://img-c.udemycdn.com/course/240x135/4780158_5d17.jpg,"Maven Analytics • 1,500,000 Learners, Chris Bruehl",Python Data Analysis: NumPy & Pandas Masterclass,"Learn NumPy + Pandas for data analysis, data science & business intelligence, w/ a top Python data science instructor!",4.7,2109.0,All Levels,216 lectures,13.5 total hours,Current price: $84.99
data analysis,https://www.udemy.com/course/nonprofit-data-analysis-using-r/,https://img-c.udemycdn.com/course/240x135/6044402_ee7a_3.jpg,"Wesley Furlong, Ph.D.",R for Data Analysis: The Ultimate Beginner's Guide,"An 80-20 Approach to Proficiency for Beginners, taught by a Ph.D. Data Scientist",4.9,21.0,Beginner,70 lectures,8 total hours,Current price: $84.99
data analysis,https://www.udemy.com/course/data-analyst-professional-certificate-in-data-analysis/,https://img-c.udemycdn.com/course/240x135/6300333_97a2.jpg,"MTF Institute of Management, Technology and Finance",Data Analyst: Professional Certificate in Data Analysis,"Data Based Decision Making, Data Analysis. Data Collection, Cleaning, Statistical Analysis, Visualisation, Privacy.",4.6,366.0,All Levels,236 lectures,19 total hours,Current price: $69.99
data analysis,https://www.udemy.com/course/practical-sas-from-beginner-to-advanced/,https://img-c.udemycdn.com/course/240x135/1161560_9af8_8.jpg,Alan Ye,SAS Programming - Data Analysis from Beginner to Advanced,Become a SAS Data Analyst and Data Scientist | SAS SQL | SAS Macro | 7+ Practice Projects,4.7,351.0,All Levels,100 lectures,8 total hours,Current price: $69.99
data analysis,https://www.udemy.com/course/microsoft-excel-for-scientists-and-engineers/,https://img-c.udemycdn.com/course/240x135/3565253_d9ce_3.jpg,Prof. Samer,Microsoft Excel for Scientists and Engineers,"Unlock Excel's Potential: Data Analysis, Charting, and Advanced Techniques for Science & Engineering Professionals",4.5,522.0,Intermediate,64 lectures,7 total hours,Current price: $59.99
data analysis,https://www.udemy.com/course/python-foundations-for-data-analysis/,https://img-c.udemycdn.com/course/240x135/4616694_f947_4.jpg,"Maven Analytics • 1,500,000 Learners, Chris Bruehl",Python for Data Analysis & Business Intelligence,"Learn Python for data analysis & business intelligence, w/ real-world projects from a top Python data science instructor",4.6,1686.0,All Levels,226 lectures,11.5 total hours,Current price: $84.99
data analysis,https://www.udemy.com/course/a-complete-roadmap-to-become-a-successful-data-scientist/,https://img-c.udemycdn.com/course/240x135/5724310_36ec_2.jpg,"Arun Singhal B-Tech, MBA (IIM-B),Unilever, J&J, Danone, IIMU, Cello","Master in Data Science, Data Analytics and Data Analysis","Machine Learning, Artificial Intelligence, Generative  AI using Python, R, statistics. For Data Scientists / Analysts",4.3,219.0,All Levels,47 lectures,5.5 total hours,Current price: $49.99
data analysis,https://www.udemy.com/course/data-preprocessing-for-machine-learning-and-data-analysis/,https://img-c.udemycdn.com/course/240x135/6519243_08b1.jpg,Muhtar Qong,Data Preprocessing for Machine Learning and Data Analysis,A Comprehensive Guide for AI & Machine Learning Developers and Data Scientists,,,All Levels,28 lectures,8.5 total hours,Current price: $54.99
data analysis,https://www.udemy.com/course/100-days-of-code-data-scientist-challenge/,https://img-c.udemycdn.com/course/240x135/4756496_4231_2.jpg,Paweł Krakowiak,100 Days of Code: Data Scientist Challenge,Embark on a Data Scientist Journey with the 100 Days of Code Challenge - Master Data Analysis and Machine Learning!,4.2,19.0,All Levels,333 lectures,1.5 total hours,Current price: $64.99
data analysis,https://www.udemy.com/course/pandas-for-data-wrangling-core-skills-for-data-scientists/,https://img-c.udemycdn.com/course/240x135/5861626_cd47_2.jpg,EDUCBA Bridging the Gap,Pandas for Data Wrangling: Core Skills for Data Scientists,Master data analysis with Pandas and Python through hands-on projects and real-world case studies.,4.4,11.0,All Levels,128 lectures,16.5 total hours,Current price: $19.99
data analysis,https://www.udemy.com/course/python-foundations-for-data-science-from-zero-to-data-analy/,https://img-c.udemycdn.com/course/240x135/6090501_3226_4.jpg,Dr. Ron Erez,Python for Data Science: From Zero to Data Analysis,"Master Python for Data Manipulation, Visualization, and Introductory Machine Learning",4.7,11.0,All Levels,228 lectures,23.5 total hours,Current price: $79.99
data analysis,https://www.udemy.com/course/statistics-for-data-science-and-business-analysis/,https://img-c.udemycdn.com/course/240x135/1298780_731f_4.jpg,365 Careers,Statistics for Data Science and Business Analysis,"Statistics you need in the office: Descriptive & Inferential statistics, Hypothesis testing, Regression analysis",4.5,46858.0,All Levels,92 lectures,5 total hours,Current price: $109.99
data analysis,https://www.udemy.com/course/data-analysis-for-beginners/,https://img-c.udemycdn.com/course/240x135/5891024_5cce_2.jpg,Matthew Walcott,Data Analysis for Beginners,"Learn the exact technical skills in Excel, Power BI and SQL that you need to land your first job as a Data Analyst",4.5,276.0,All Levels,118 lectures,4.5 total hours,Current price: $84.99
data analysis,https://www.udemy.com/course/complete-data-analyst-bootcamp-from-basics-to-advanced/,https://img-c.udemycdn.com/course/240x135/6074041_36f4_3.jpg,"Krish Naik, Jayant Topnani, KRISHAI Technologies Private Limited",Complete Data Analyst Bootcamp From Basics To Advanced,"Master Data Analysis: Python, Statistics, EDA, Feature Engineering, Power BI, and SQL Server,Snowflake,AWS",4.5,4995.0,All Levels,407 lectures,71.5 total hours,Current price: $79.99
data analysis,https://www.udemy.com/course/data-analysis-in-python-for-lean-six-sigma-professionals/,https://img-c.udemycdn.com/course/240x135/2443048_4402.jpg,Nilakantasrinivasan Janakiraman,Data Analysis in Python for Lean Six Sigma Professionals,Perform Six Sigma Data Analysis using Python like Data Scientists - No Programming Exp Needed - Download Source Files,4.3,64.0,Intermediate,31 lectures,4.5 total hours,Current price: $54.99
