skill,link,image_link,partner,title,course_description,rating,num_review,difficulty,num_lecture,duration,price
oracle,https://www.udemy.com/course/the-data-science-course-complete-data-science-bootcamp/,https://img-c.udemycdn.com/course/240x135/1754098_e0df_3.jpg,365 Careers,The Data Science Course: Complete Data Science Bootcamp 2025,"Complete Data Science Training: Math, Statistics, Python, Advanced Statistics in Python, Machine and Deep Learning",4.6,151551,All Levels,523 lectures,32 total hours,Current price: $124.99
oracle,https://www.udemy.com/course/oracle-sql-certification-course-1z0-071/,https://img-c.udemycdn.com/course/240x135/3336750_642b_41.jpg,Global Trainers,Oracle SQL - A Complete Developer's Guide (2023),"Certification Course for OCA (1Z0-071) | SQL Bootcamp for Database Developer, ETL Developer and Data Scientist !!",4.6,133,All Levels,87 lectures,12.5 total hours,Current price: $74.99
oracle,https://www.udemy.com/course/the-data-analyst-course-complete-data-analyst-bootcamp/,https://img-c.udemycdn.com/course/240x135/3570337_9b02_6.jpg,365 Careers,The Data Analyst Course: Complete Data Analyst Bootcamp,"Complete Data Analyst Training: Python, NumPy, Pandas, Data Collection, Preprocessing, Data Types, Data Visualization",4.5,21135,All Levels,282 lectures,21.5 total hours,Current price: $149.99
oracle,https://www.udemy.com/course/data-architecture-for-data-scientists/,https://img-c.udemycdn.com/course/240x135/5295982_ca3c_3.jpg,Biju Krishnan,Data Architecture for Data Scientists,"Datawarehouse, Data Lake, Data Lakehouse, Data Mesh, Kafka, Lambda & Kappa architecture, Feature Store, Vector DB & more",4.6,849,Intermediate,37 lectures,2.5 total hours,Current price: $69.99
oracle,https://www.udemy.com/course/dp-100-azure-data-scientist-associate-complete-exam-guide/,https://img-c.udemycdn.com/course/240x135/4992188_0f74_2.jpg,Henry Habib,DP-100 Azure Data Scientist Associate Complete Exam Guide,"Complete DP-100 Azure Machine Learning training guide to prepare you for DP-100, with practice exams on DP 100 Azure ML",4.4,689,All Levels,97 lectures,8.5 total hours,Current price: $74.99
oracle,https://www.udemy.com/course/oracle-sql-for-data-science/,https://img-c.udemycdn.com/course/240x135/2161954_9a36_2.jpg,Jiang Zhou,Oracle SQL for Data Science,Oracle SQL skills and best practices for data science/data analytics tasks.,4.5,6,Intermediate,50 lectures,4.5 total hours,Current price: $54.99
oracle,https://www.udemy.com/course/oracle-data-integrator-web-data-analysis-autonomous-db/,https://img-c.udemycdn.com/course/240x135/5163938_1b61.jpg,"Guha Rajan M., B.Engg, MBA",Oracle Data Integrator Web & Data Analysis-Autonomous DB,"Build expertise in Oracle Data Integrator Web, Data Analysis & Data insights with Oracle Autonomous Database - OCI",4.1,7,Beginner,24 lectures,3 total hours,Current price: $39.99
oracle,https://www.udemy.com/course/oracle-sql-12c-become-an-sql-developer-with-subtitle/,https://img-c.udemycdn.com/course/240x135/549998_134f_16.jpg,"Database Masters Training | 250,000+ Students Worldwide, Code Star Academy",The Complete Oracle SQL Bootcamp (2025),Become an In-demand SQL Professional! Pass Oracle SQL 1Z0-071 (OCA) Certification Exam Confidently!,4.6,22959,All Levels,400 lectures,38.5 total hours,Current price: $129.99
oracle,https://www.udemy.com/course/complete-machine-learning-and-data-science-zero-to-mastery/,https://img-c.udemycdn.com/course/240x135/2511476_4e38_5.jpg,"Andrei Neagoie, Daniel Bourke","Complete A.I. & Machine Learning, Data Science Bootcamp","Learn Data Science, Data Analysis, Machine Learning (Artificial Intelligence) and Python with Tensorflow, Pandas & more!",4.6,26310,All Levels,384 lectures,44 total hours,Current price: $119.99
oracle,https://www.udemy.com/course/teradata-sql/,https://img-c.udemycdn.com/course/240x135/3824370_6785_10.jpg,Kasper Peysepar,Teradata SQL for Data Science and Data Analytics,A complete course on learning SQL using Teradata Database,4.6,2038,All Levels,60 lectures,6.5 total hours,Current price: $74.99
oracle,https://www.udemy.com/course/sql-mysql-for-data-analytics-and-business-intelligence/,https://img-c.udemycdn.com/course/240x135/1405632_6e6f_2.jpg,"365 Careers, 365 Team",SQL - MySQL for Data Analytics and Business Intelligence,"SQL that will get you hired – SQL for Data Science, Data Engineering, Business Analysis, Marketing, and Data Management",4.6,61887,All Levels,333 lectures,12 total hours,Current price: $139.99
oracle,https://www.udemy.com/course/data-analytics-career-track/,https://img-c.udemycdn.com/course/240x135/5787046_e749_10.jpg,Shahriar's Sight Academy,Data Analytics Career Path: 72 Days of Data Analyst Bootcamp,"Learn Excel, MySQL, Python, PowerBI, ChatGPT for A-Z Data Analysis. Become a Full-Packed Data Analyst. [5 Courses in 1]",4.3,958,All Levels,359 lectures,34.5 total hours,Current price: $79.99
oracle,https://www.udemy.com/course/1z0-1110-23-oracle-cloud-infrastructure-data-science/,https://img-c.udemycdn.com/course/240x135/5851060_606a.jpg,Anuran Academy,1Z0-1110-24 : Oracle Cloud Infrastructure Data Science,To prepare for 1Z0-1110-24 Exam with confidence New Dec 2024,3.4,7,All Levels,70 questions,,Current price: $49.99
oracle,https://www.udemy.com/course/learn-azure-data-factory-from-scratch/,https://img-c.udemycdn.com/course/240x135/3685634_740c_6.jpg,Ramesh Retnasamy,Azure Data Factory For Data Engineers - Project on Covid19,"Real world project for Data Engineers using Azure Data Factory, SQL, Data Lake, Databricks, HDInsight, CI/CD [DP203]",4.6,15379,All Levels,146 lectures,13 total hours,Current price: $94.99
oracle,https://www.udemy.com/course/sql-for-data-science/,https://img-c.udemycdn.com/course/240x135/3212023_2eff_3.jpg,Piyush S | insightEdge100.com,"SQL for Data Science Oracle , MySQL, R and Python [2025]","Learn Database design ,Write SQLs in R and Python and become Data Literate.Learn to create ORACLE and MySQL databases.",4.2,97,All Levels,61 lectures,4.5 total hours,Current price: $64.99
oracle,https://www.udemy.com/course/mastering-oracle-data-integrator-odi/,https://img-c.udemycdn.com/course/240x135/5732240_8b93.jpg,"Dien Pham, Quan Pham, Cu Dinh Tien, Educonnhub",Mastering Oracle Data Integrator (ODI),"Comprehensive ETL, Data Integration and Change Data Capture (Oracle Golden Gate)",4.0,16,All Levels,74 lectures,6 total hours,Current price: $19.99
oracle,https://www.udemy.com/course/oracle-goldengate-19c-learn-and-master-oracle-goldengate-w/,https://img-c.udemycdn.com/course/240x135/3696662_66b6.jpg,Ashish Agarwal,Oracle Goldengate 19c - Learn and Master Oracle Goldengate,Professionally learn to design & implement Goldengate setup for ur customer & enterprise,4.4,706,All Levels,24 lectures,24 total hours,Current price: $69.99
oracle,https://www.udemy.com/course/100-days-of-code/,https://img-c.udemycdn.com/course/240x135/2776760_f176_10.jpg,"Dr. Angela Yu, Developer and Lead Instructor",100 Days of Code: The Complete Python Pro Bootcamp,"Master Python by building 100 projects in 100 days. Learn data science, automation, build websites, games and apps!",4.7,361653,All Levels,592 lectures,56.5 total hours,Current price: $119.99
oracle,https://www.udemy.com/course/mastering-the-art-of-data-visualization-2020/,https://img-c.udemycdn.com/course/240x135/3002664_21f4_7.jpg,Joshua Brindley,Data Storytelling and Data Visualization Mastery,"Learn the crucial skills to effectively communicate, persuade, and drive decisions with data",4.5,10452,All Levels,30 lectures,6 total hours,Current price: $119.99
oracle,https://www.udemy.com/course/complete-data-analyst-bootcamp-from-basics-to-advanced/,https://img-c.udemycdn.com/course/240x135/6074041_36f4_3.jpg,"Krish Naik, Jayant Topnani, KRISHAI Technologies Private Limited",Complete Data Analyst Bootcamp From Basics To Advanced,"Master Data Analysis: Python, Statistics, EDA, Feature Engineering, Power BI, and SQL Server,Snowflake,AWS",4.5,4995,All Levels,407 lectures,71.5 total hours,Current price: $79.99
