skill,link,image_link,partner,title,course_description,rating,num_review,difficulty,num_lecture,duration,price
qlik,https://www.udemy.com/course/qlik-sense/,https://img-c.udemycdn.com/course/240x135/2517944_fefb_3.jpg,"JP Labuschagne, SuperDataScience Team, Ligency Team",Qlik Sense for Data Science and BI,Learn Qlik Sense step-by-step with Real World Challenges - Learn by Doing!,4.3,3041,All Levels,46 lectures,5.5 total hours,Current price: $74.99
qlik,https://www.udemy.com/course/the-qlik-sense-data-analyst-weekend-boot-camp/,https://img-c.udemycdn.com/course/240x135/6065071_39de_6.jpg,Paul Scotchford,The Qlik Sense Data Analyst Weekend Boot Camp,"Master Qlik Sense for data analysis, data visualisation & dashboard design, advanced analytics e.g. K-Means, Forecasting",5.0,2,All Levels,178 lectures,16 total hours,Current price: $44.99
qlik,https://www.udemy.com/course/qlik-sense-advanced/,https://img-c.udemycdn.com/course/240x135/2517972_5248_6.jpg,"JP Labuschagne, SuperDataScience Team, Ligency Team",Qlik Sense Masterclass for Data Science and BI,Become a Qlik Sense Master - Step-by-step with Real World Challenges. Learn by Doing!,4.5,753,Intermediate,41 lectures,4 total hours,Current price: $79.99
qlik,https://www.udemy.com/course/qlik-sense-certification-the-complete-practical-course/,https://img-c.udemycdn.com/course/240x135/2612046_68c4_3.jpg,Paul Scotchford,Qlik Sense Certification - The Complete Practical Course,"Develop Qlik Sense Apps , be ready to take QSDA/QSBA certification exams - all in one comprehensive hands on course.",4.7,3579,All Levels,357 lectures,34 total hours,Current price: $84.99
qlik,https://www.udemy.com/course/the-ultimate-qlik-sense-course-beginner-to-advanced/,https://img-c.udemycdn.com/course/240x135/5252268_5c74.jpg,Simon Sez IT,The Ultimate Qlik Sense Course: Beginner to Advanced,Master Qlik Sense and boost your data analysis and business intelligence skills with this beginner to advanced bundle!,4.3,53,All Levels,54 lectures,8.5 total hours,Current price: $64.99
qlik,https://www.udemy.com/course/qlik-sense-data-analytics-dashboard-visualization/,https://img-c.udemycdn.com/course/240x135/6342089_2e38_2.jpg,Uplatz Training,"Qlik Sense: Master Data Visualization, Analytics, Reporting","Master Qlik Sense to create stunning dashboards, design reports, analyze data, and uncover actionable insights with ease",5.0,2,All Levels,20 lectures,15.5 total hours,Current price: $44.99
qlik,https://www.udemy.com/course/advanced-qlik-sense-for-data-analysis-and-visualization/,https://img-c.udemycdn.com/course/240x135/5058734_2b08.jpg,Simon Sez IT,Advanced Qlik Sense for Data Analysis and Visualization,Boost your Qlik Sense proficiency with this advanced course and explore its powerful business intelligence capabilities,4.5,12,,Expert,2.5 total hours,Current price: $64.99
qlik,https://www.udemy.com/course/mastering-data-replication-with-qlik-replicate/,https://img-c.udemycdn.com/course/240x135/5683154_780f.jpg,Amit Kumar,Mastering Data Replication with Qlik Replicate,Qlik Replicate Overview,3.6,26,All Levels,17 lectures,13 total hours,Current price: $19.99
qlik,https://www.udemy.com/course/is-my-startup-doing-ok/,https://img-c.udemycdn.com/course/240x135/507714_f9f3_3.jpg,Paul Scotchford,Certificate in Qlik Sense Analytics Development,Real world data scenarios for Qlik Sense app development,4.3,5101,All Levels,84 lectures,14 total hours,Current price: $89.99
qlik,https://www.udemy.com/course/the-complete-qlikview-boot-camp/,https://img-c.udemycdn.com/course/240x135/1259060_41d9.jpg,Paul Scotchford,The Complete QlikView Boot Camp,Learn QlikView for Data Analytics - Designer & Developer step by step. Real-World Data Analytics. Real data included.,4.4,6955,All Levels,114 lectures,15 total hours,Current price: $149.99
qlik,https://www.udemy.com/course/qlik-sense-for-beginner/,https://img-c.udemycdn.com/course/240x135/3772350_e8f2.jpg,Arthur Fong,Qlik Sense Data Architect MasterClass,"Introduction to Qlik Sense, Qlik Sense Load Script, Normalized vs De-normalized data structure in Qlik Sense",3.9,13,Beginner,49 lectures,5 total hours,Current price: $34.99
qlik,https://www.udemy.com/course/chatgpt-qlik-sense-application-development-master-class/,https://img-c.udemycdn.com/course/240x135/5347422_b7b2_5.jpg,Paul Scotchford,ChatGPT and Qlik Sense Application Development Master Class,"AI and Business Intelligence are made for each other, new discoveries are waiting. All data & resources provided.",4.7,13,All Levels,182 lectures,22.5 total hours,Current price: $64.99
qlik,https://www.udemy.com/course/become-an-expert-of-qlik-set-analysis/,https://img-c.udemycdn.com/course/240x135/1126962_6286_12.jpg,Manish Kachhia,Become an expert of Qlik Set Analysis,Qlik - Set Analysis,4.4,311,All Levels,51 lectures,8 total hours,Current price: $84.99
qlik,https://www.udemy.com/course/the-data-science-course-complete-data-science-bootcamp/,https://img-c.udemycdn.com/course/240x135/1754098_e0df_3.jpg,365 Careers,The Data Science Course: Complete Data Science Bootcamp 2025,"Complete Data Science Training: Math, Statistics, Python, Advanced Statistics in Python, Machine and Deep Learning",4.6,151551,All Levels,523 lectures,32 total hours,Current price: $124.99
qlik,https://www.udemy.com/course/the-data-analyst-course-complete-data-analyst-bootcamp/,https://img-c.udemycdn.com/course/240x135/3570337_9b02_6.jpg,365 Careers,The Data Analyst Course: Complete Data Analyst Bootcamp,"Complete Data Analyst Training: Python, NumPy, Pandas, Data Collection, Preprocessing, Data Types, Data Visualization",4.5,21135,All Levels,282 lectures,21.5 total hours,Current price: $149.99
qlik,https://www.udemy.com/course/qsda-qlik-sense-data-architect-exam-preparation-f/,https://img-c.udemycdn.com/course/240x135/6405747_5a8e_10.jpg,Vikas Mahajan,Qlik Sense QSDA Data Architect Certification preparation2025,Certification Exam Questions & Answers 2025,3.7,4,All Levels,150 questions,,Current price: $54.99
qlik,https://www.udemy.com/course/dp-100-azure-data-scientist-associate-complete-exam-guide/,https://img-c.udemycdn.com/course/240x135/4992188_0f74_2.jpg,Henry Habib,DP-100 Azure Data Scientist Associate Complete Exam Guide,"Complete DP-100 Azure Machine Learning training guide to prepare you for DP-100, with practice exams on DP 100 Azure ML",4.4,689,All Levels,97 lectures,8.5 total hours,Current price: $74.99
qlik,https://www.udemy.com/course/data-architecture-for-data-scientists/,https://img-c.udemycdn.com/course/240x135/5295982_ca3c_3.jpg,Biju Krishnan,Data Architecture for Data Scientists,"Datawarehouse, Data Lake, Data Lakehouse, Data Mesh, Kafka, Lambda & Kappa architecture, Feature Store, Vector DB & more",4.6,849,Intermediate,37 lectures,2.5 total hours,Current price: $69.99
qlik,https://www.udemy.com/course/qlik-sense-for-intermediate-advanced/,https://img-c.udemycdn.com/course/240x135/3899520_4030_2.jpg,Arthur Fong,Qlik Sense For Beginner + Intermediate + Advanced(All in 1),Qlik Sense Load Script + Visualizations,4.2,68,All Levels,103 lectures,7 total hours,Current price: $44.99
qlik,https://www.udemy.com/course/top-data-scientist/,https://img-c.udemycdn.com/course/240x135/5961214_0e9b_3.jpg,Nancy Ticharwa (CEO Bethel Labs),The Top Data Scientist ™ BootCamp,Python | SQL | Machine Learning | Deep Learning | ChatGPT | Natural Language Processing | Computer Vision | 20+ Projects,4.3,43,All Levels,433 lectures,38 total hours,Current price: $49.99
