skill,link,image_link,partner,title,course_description,rating,num_review,difficulty,num_lecture,duration,price
random forest,https://www.udemy.com/course/decision-trees-random-forests-get-ready-with-python/,https://img-c.udemycdn.com/course/240x135/4844944_a87a.jpg,Wim Koevoets,Master Decision Trees and Random Forests with Scikit-learn,Get to the bottom of how to make predictions with them and enjoy your competitive edge. Jupyter Notebooks included.,4.4,8,All Levels,101 lectures,4 total hours,Current price: $39.99
random forest,https://www.udemy.com/course/machine-learning-in-python-random-forest-adaboost/,https://img-c.udemycdn.com/course/240x135/1041564_6b27.jpg,"Lazy Programmer Team, Lazy Programmer Inc.","Ensemble Machine Learning in Python: Random Forest, AdaBoost","Ensemble Methods: Boosting, Bagging, Boostrap, and Statistical Machine Learning for Data Science in Python",4.7,2567,All Levels,45 lectures,6 total hours,Current price: $29.99
random forest,https://www.udemy.com/course/machine-learning-computing-school/,https://img-c.udemycdn.com/course/240x135/4836476_a3e8_2.jpg,Emmanuel Maggiori,Machine Learning for Aspiring Data Scientists: Zero to Hero,Learn the foundations of machine learning to get a job in data science. No coding experience required.,4.8,65,Beginner,218 lectures,16 total hours,Current price: $84.99
random forest,https://www.udemy.com/course/complete-machine-learning-and-data-science-zero-to-mastery/,https://img-c.udemycdn.com/course/240x135/2511476_4e38_5.jpg,"Andrei Neagoie, Daniel Bourke","Complete A.I. & Machine Learning, Data Science Bootcamp","Learn Data Science, Data Analysis, Machine Learning (Artificial Intelligence) and Python with Tensorflow, Pandas & more!",4.6,26310,All Levels,384 lectures,44 total hours,Current price: $119.99
random forest,https://www.udemy.com/course/the-data-science-course-complete-data-science-bootcamp/,https://img-c.udemycdn.com/course/240x135/1754098_e0df_3.jpg,365 Careers,The Data Science Course: Complete Data Science Bootcamp 2025,"Complete Data Science Training: Math, Statistics, Python, Advanced Statistics in Python, Machine and Deep Learning",4.6,151551,All Levels,523 lectures,32 total hours,Current price: $124.99
random forest,https://www.udemy.com/course/machine-learning-advanced-decision-trees-in-python/,https://img-c.udemycdn.com/course/240x135/2400996_7240_3.jpg,Start-Tech Academy,"Decision Trees, Random Forests, AdaBoost & XGBoost in Python","Decision Trees and Ensembling techniques in Python. How to run Bagging, Random Forest, GBM, AdaBoost & XGBoost in Python",4.3,1003,All Levels,69 lectures,7.5 total hours,Current price: $94.99
random forest,https://www.udemy.com/course/machine-learning-advanced-decision-trees-in-r/,https://img-c.udemycdn.com/course/240x135/2401052_2792_3.jpg,Start-Tech Academy,"Decision Trees, Random Forests, Bagging & XGBoost: R Studio","Decision Trees and Ensembling techinques in R studio. Bagging, Random Forest, GBM, AdaBoost & XGBoost in R programming",4.4,236,All Levels,56 lectures,6 total hours,Current price: $84.99
random forest,https://www.udemy.com/course/decision-trees-random-forests-gradient-boosting-in-r/,https://img-c.udemycdn.com/course/240x135/3909092_7df4_3.jpg,"Carlos Martínez, PhD • Instructor with 15 Best-Selling  Courses • 85K+ Students","Decision Trees, Random Forests & Gradient Boosting in R","Predictive models with machine learning wit Rstudio´s ROCR, XGBoost, rparty. Bonus: Neural Networks for Credit Scoring",4.5,50,All Levels,72 lectures,6 total hours,Current price: $64.99
random forest,https://www.udemy.com/course/100-days-of-code-data-scientist-challenge/,https://img-c.udemycdn.com/course/240x135/4756496_4231_2.jpg,Paweł Krakowiak,100 Days of Code: Data Scientist Challenge,Embark on a Data Scientist Journey with the 100 Days of Code Challenge - Master Data Analysis and Machine Learning!,4.2,19,All Levels,333 lectures,1.5 total hours,Current price: $64.99
random forest,https://www.udemy.com/course/top-data-scientist/,https://img-c.udemycdn.com/course/240x135/5961214_0e9b_3.jpg,Nancy Ticharwa (CEO Bethel Labs),The Top Data Scientist ™ BootCamp,Python | SQL | Machine Learning | Deep Learning | ChatGPT | Natural Language Processing | Computer Vision | 20+ Projects,4.3,43,All Levels,433 lectures,38 total hours,Current price: $49.99
